"Dim1","Dim2","Dim3","Dim4"
"RPS_All","biopower","AZ","2010"
"RPS_All","biopower","AZ","2012"
"RPS_All","biopower","AZ","2014"
"RPS_All","biopower","AZ","2016"
"RPS_All","biopower","AZ","2018"
"RPS_All","biopower","AZ","2020"
"RPS_All","biopower","AZ","2022"
"RPS_All","biopower","AZ","2024"
"RPS_All","biopower","AZ","2026"
"RPS_All","biopower","AZ","2028"
"RPS_All","biopower","AZ","2030"
"RPS_All","biopower","AZ","2032"
"RPS_All","biopower","AZ","2034"
"RPS_All","biopower","AZ","2036"
"RPS_All","biopower","AZ","2038"
"RPS_All","biopower","AZ","2040"
"RPS_All","biopower","AZ","2042"
"RPS_All","biopower","AZ","2044"
"RPS_All","biopower","AZ","2046"
"RPS_All","biopower","AZ","2048"
"RPS_All","biopower","AZ","2050"
"RPS_All","biopower","CA","2010"
"RPS_All","biopower","CA","2012"
"RPS_All","biopower","CA","2014"
"RPS_All","biopower","CA","2016"
"RPS_All","biopower","CA","2018"
"RPS_All","biopower","CA","2020"
"RPS_All","biopower","CA","2022"
"RPS_All","biopower","CA","2024"
"RPS_All","biopower","CA","2026"
"RPS_All","biopower","CA","2028"
"RPS_All","biopower","CA","2030"
"RPS_All","biopower","CA","2032"
"RPS_All","biopower","CA","2034"
"RPS_All","biopower","CA","2036"
"RPS_All","biopower","CA","2038"
"RPS_All","biopower","CA","2040"
"RPS_All","biopower","CA","2042"
"RPS_All","biopower","CA","2044"
"RPS_All","biopower","CA","2046"
"RPS_All","biopower","CA","2048"
"RPS_All","biopower","CA","2050"
"RPS_All","biopower","CO","2010"
"RPS_All","biopower","CO","2012"
"RPS_All","biopower","CO","2014"
"RPS_All","biopower","CO","2016"
"RPS_All","biopower","CO","2018"
"RPS_All","biopower","CO","2020"
"RPS_All","biopower","CO","2022"
"RPS_All","biopower","CO","2024"
"RPS_All","biopower","CO","2026"
"RPS_All","biopower","CO","2028"
"RPS_All","biopower","CO","2030"
"RPS_All","biopower","CO","2032"
"RPS_All","biopower","CO","2034"
"RPS_All","biopower","CO","2036"
"RPS_All","biopower","CO","2038"
"RPS_All","biopower","CO","2040"
"RPS_All","biopower","CO","2042"
"RPS_All","biopower","CO","2044"
"RPS_All","biopower","CO","2046"
"RPS_All","biopower","CO","2048"
"RPS_All","biopower","CO","2050"
"RPS_All","biopower","ID","2010"
"RPS_All","biopower","ID","2012"
"RPS_All","biopower","ID","2014"
"RPS_All","biopower","ID","2016"
"RPS_All","biopower","ID","2018"
"RPS_All","biopower","ID","2020"
"RPS_All","biopower","ID","2022"
"RPS_All","biopower","ID","2024"
"RPS_All","biopower","ID","2026"
"RPS_All","biopower","ID","2028"
"RPS_All","biopower","ID","2030"
"RPS_All","biopower","ID","2032"
"RPS_All","biopower","ID","2034"
"RPS_All","biopower","ID","2036"
"RPS_All","biopower","ID","2038"
"RPS_All","biopower","ID","2040"
"RPS_All","biopower","ID","2042"
"RPS_All","biopower","ID","2044"
"RPS_All","biopower","ID","2046"
"RPS_All","biopower","ID","2048"
"RPS_All","biopower","ID","2050"
"RPS_All","biopower","MT","2026"
"RPS_All","biopower","MT","2028"
"RPS_All","biopower","MT","2030"
"RPS_All","biopower","MT","2032"
"RPS_All","biopower","MT","2034"
"RPS_All","biopower","MT","2036"
"RPS_All","biopower","MT","2038"
"RPS_All","biopower","MT","2040"
"RPS_All","biopower","MT","2042"
"RPS_All","biopower","MT","2044"
"RPS_All","biopower","MT","2046"
"RPS_All","biopower","MT","2048"
"RPS_All","biopower","MT","2050"
"RPS_All","biopower","NM","2010"
"RPS_All","biopower","NM","2012"
"RPS_All","biopower","NM","2014"
"RPS_All","biopower","NM","2016"
"RPS_All","biopower","NM","2018"
"RPS_All","biopower","NM","2020"
"RPS_All","biopower","NM","2022"
"RPS_All","biopower","NM","2024"
"RPS_All","biopower","NM","2026"
"RPS_All","biopower","NM","2028"
"RPS_All","biopower","NM","2030"
"RPS_All","biopower","NM","2032"
"RPS_All","biopower","NM","2034"
"RPS_All","biopower","NM","2036"
"RPS_All","biopower","NM","2038"
"RPS_All","biopower","NM","2040"
"RPS_All","biopower","NM","2042"
"RPS_All","biopower","NM","2044"
"RPS_All","biopower","NM","2046"
"RPS_All","biopower","NM","2048"
"RPS_All","biopower","NM","2050"
"RPS_All","biopower","NV","2026"
"RPS_All","biopower","NV","2028"
"RPS_All","biopower","NV","2030"
"RPS_All","biopower","NV","2032"
"RPS_All","biopower","NV","2034"
"RPS_All","biopower","NV","2036"
"RPS_All","biopower","NV","2038"
"RPS_All","biopower","NV","2040"
"RPS_All","biopower","NV","2042"
"RPS_All","biopower","NV","2044"
"RPS_All","biopower","NV","2046"
"RPS_All","biopower","NV","2048"
"RPS_All","biopower","NV","2050"
"RPS_All","biopower","OR","2010"
"RPS_All","biopower","OR","2012"
"RPS_All","biopower","OR","2014"
"RPS_All","biopower","OR","2016"
"RPS_All","biopower","OR","2018"
"RPS_All","biopower","OR","2020"
"RPS_All","biopower","OR","2022"
"RPS_All","biopower","OR","2024"
"RPS_All","biopower","OR","2026"
"RPS_All","biopower","OR","2028"
"RPS_All","biopower","OR","2030"
"RPS_All","biopower","OR","2032"
"RPS_All","biopower","OR","2034"
"RPS_All","biopower","OR","2036"
"RPS_All","biopower","OR","2038"
"RPS_All","biopower","OR","2040"
"RPS_All","biopower","OR","2042"
"RPS_All","biopower","OR","2044"
"RPS_All","biopower","OR","2046"
"RPS_All","biopower","OR","2048"
"RPS_All","biopower","OR","2050"
"RPS_All","biopower","SD","2026"
"RPS_All","biopower","SD","2028"
"RPS_All","biopower","SD","2030"
"RPS_All","biopower","SD","2032"
"RPS_All","biopower","SD","2034"
"RPS_All","biopower","SD","2036"
"RPS_All","biopower","SD","2038"
"RPS_All","biopower","SD","2040"
"RPS_All","biopower","SD","2042"
"RPS_All","biopower","SD","2044"
"RPS_All","biopower","SD","2046"
"RPS_All","biopower","SD","2048"
"RPS_All","biopower","SD","2050"
"RPS_All","biopower","TX","2026"
"RPS_All","biopower","TX","2028"
"RPS_All","biopower","TX","2030"
"RPS_All","biopower","TX","2032"
"RPS_All","biopower","TX","2034"
"RPS_All","biopower","TX","2036"
"RPS_All","biopower","TX","2038"
"RPS_All","biopower","TX","2040"
"RPS_All","biopower","TX","2042"
"RPS_All","biopower","TX","2044"
"RPS_All","biopower","TX","2046"
"RPS_All","biopower","TX","2048"
"RPS_All","biopower","TX","2050"
"RPS_All","biopower","UT","2012"
"RPS_All","biopower","UT","2014"
"RPS_All","biopower","UT","2016"
"RPS_All","biopower","UT","2018"
"RPS_All","biopower","UT","2020"
"RPS_All","biopower","UT","2022"
"RPS_All","biopower","UT","2024"
"RPS_All","biopower","UT","2026"
"RPS_All","biopower","UT","2028"
"RPS_All","biopower","UT","2030"
"RPS_All","biopower","UT","2032"
"RPS_All","biopower","UT","2034"
"RPS_All","biopower","UT","2036"
"RPS_All","biopower","UT","2038"
"RPS_All","biopower","UT","2040"
"RPS_All","biopower","UT","2042"
"RPS_All","biopower","UT","2044"
"RPS_All","biopower","UT","2046"
"RPS_All","biopower","UT","2048"
"RPS_All","biopower","UT","2050"
"RPS_All","biopower","WA","2010"
"RPS_All","biopower","WA","2012"
"RPS_All","biopower","WA","2014"
"RPS_All","biopower","WA","2016"
"RPS_All","biopower","WA","2018"
"RPS_All","biopower","WA","2020"
"RPS_All","biopower","WA","2022"
"RPS_All","biopower","WA","2024"
"RPS_All","biopower","WA","2026"
"RPS_All","biopower","WA","2028"
"RPS_All","biopower","WA","2030"
"RPS_All","biopower","WA","2032"
"RPS_All","biopower","WA","2034"
"RPS_All","biopower","WA","2036"
"RPS_All","biopower","WA","2038"
"RPS_All","biopower","WA","2040"
"RPS_All","biopower","WA","2042"
"RPS_All","biopower","WA","2044"
"RPS_All","biopower","WA","2046"
"RPS_All","biopower","WA","2048"
"RPS_All","biopower","WA","2050"
"RPS_All","biopower","WY","2026"
"RPS_All","biopower","WY","2028"
"RPS_All","biopower","WY","2030"
"RPS_All","biopower","WY","2032"
"RPS_All","biopower","WY","2034"
"RPS_All","biopower","WY","2036"
"RPS_All","biopower","WY","2038"
"RPS_All","biopower","WY","2040"
"RPS_All","biopower","WY","2042"
"RPS_All","biopower","WY","2044"
"RPS_All","biopower","WY","2046"
"RPS_All","biopower","WY","2048"
"RPS_All","biopower","WY","2050"
"RPS_All","biopower","corporate","2010"
"RPS_All","biopower","corporate","2012"
"RPS_All","biopower","corporate","2014"
"RPS_All","biopower","corporate","2016"
"RPS_All","biopower","corporate","2018"
"RPS_All","biopower","corporate","2020"
"RPS_All","biopower","corporate","2022"
"RPS_All","biopower","corporate","2024"
"RPS_All","biopower","corporate","2026"
"RPS_All","biopower","corporate","2028"
"RPS_All","biopower","corporate","2030"
"RPS_All","biopower","corporate","2032"
"RPS_All","biopower","corporate","2034"
"RPS_All","biopower","corporate","2036"
"RPS_All","biopower","corporate","2038"
"RPS_All","biopower","corporate","2040"
"RPS_All","biopower","corporate","2042"
"RPS_All","biopower","corporate","2044"
"RPS_All","biopower","corporate","2046"
"RPS_All","biopower","corporate","2048"
"RPS_All","biopower","corporate","2050"
"RPS_All","can-imports","MT","2010"
"RPS_All","can-imports","MT","2012"
"RPS_All","can-imports","MT","2014"
"RPS_All","can-imports","MT","2016"
"RPS_All","can-imports","MT","2018"
"RPS_All","can-imports","MT","2020"
"RPS_All","can-imports","MT","2022"
"RPS_All","can-imports","MT","2024"
"RPS_All","can-imports","MT","2026"
"RPS_All","can-imports","MT","2028"
"RPS_All","can-imports","MT","2030"
"RPS_All","can-imports","MT","2032"
"RPS_All","can-imports","MT","2034"
"RPS_All","can-imports","MT","2036"
"RPS_All","can-imports","MT","2038"
"RPS_All","can-imports","MT","2040"
"RPS_All","can-imports","MT","2042"
"RPS_All","can-imports","MT","2044"
"RPS_All","can-imports","MT","2046"
"RPS_All","can-imports","MT","2048"
"RPS_All","can-imports","MT","2050"
"RPS_All","can-imports","corporate","2010"
"RPS_All","can-imports","corporate","2012"
"RPS_All","can-imports","corporate","2014"
"RPS_All","can-imports","corporate","2016"
"RPS_All","can-imports","corporate","2018"
"RPS_All","can-imports","corporate","2020"
"RPS_All","can-imports","corporate","2022"
"RPS_All","can-imports","corporate","2024"
"RPS_All","can-imports","corporate","2026"
"RPS_All","can-imports","corporate","2028"
"RPS_All","can-imports","corporate","2030"
"RPS_All","can-imports","corporate","2032"
"RPS_All","can-imports","corporate","2034"
"RPS_All","can-imports","corporate","2036"
"RPS_All","can-imports","corporate","2038"
"RPS_All","can-imports","corporate","2040"
"RPS_All","can-imports","corporate","2042"
"RPS_All","can-imports","corporate","2044"
"RPS_All","can-imports","corporate","2046"
"RPS_All","can-imports","corporate","2048"
"RPS_All","can-imports","corporate","2050"
"RPS_All","csp-ns","AZ","2014"
"RPS_All","csp-ns","AZ","2016"
"RPS_All","csp-ns","AZ","2018"
"RPS_All","csp-ns","AZ","2020"
"RPS_All","csp-ns","AZ","2022"
"RPS_All","csp-ns","AZ","2024"
"RPS_All","csp-ns","AZ","2026"
"RPS_All","csp-ns","AZ","2028"
"RPS_All","csp-ns","AZ","2030"
"RPS_All","csp-ns","AZ","2032"
"RPS_All","csp-ns","AZ","2034"
"RPS_All","csp-ns","AZ","2036"
"RPS_All","csp-ns","AZ","2038"
"RPS_All","csp-ns","AZ","2040"
"RPS_All","csp-ns","AZ","2042"
"RPS_All","csp-ns","AZ","2044"
"RPS_All","csp-ns","AZ","2046"
"RPS_All","csp-ns","AZ","2048"
"RPS_All","csp-ns","AZ","2050"
"RPS_All","csp-ns","CA","2014"
"RPS_All","csp-ns","CA","2016"
"RPS_All","csp-ns","CA","2018"
"RPS_All","csp-ns","CA","2020"
"RPS_All","csp-ns","CA","2022"
"RPS_All","csp-ns","CA","2024"
"RPS_All","csp-ns","CA","2026"
"RPS_All","csp-ns","CA","2028"
"RPS_All","csp-ns","CA","2030"
"RPS_All","csp-ns","CA","2032"
"RPS_All","csp-ns","CA","2034"
"RPS_All","csp-ns","CA","2036"
"RPS_All","csp-ns","CA","2038"
"RPS_All","csp-ns","CA","2040"
"RPS_All","csp-ns","CA","2042"
"RPS_All","csp-ns","CA","2044"
"RPS_All","csp-ns","CA","2046"
"RPS_All","csp-ns","CA","2048"
"RPS_All","csp-ns","CA","2050"
"RPS_All","csp-ns","NV","2016"
"RPS_All","csp-ns","NV","2018"
"RPS_All","csp-ns","NV","2020"
"RPS_All","csp-ns","NV","2022"
"RPS_All","csp-ns","NV","2024"
"RPS_All","csp-ns","NV","2026"
"RPS_All","csp-ns","NV","2028"
"RPS_All","csp-ns","NV","2030"
"RPS_All","csp-ns","NV","2032"
"RPS_All","csp-ns","NV","2034"
"RPS_All","csp-ns","NV","2036"
"RPS_All","csp-ns","NV","2038"
"RPS_All","csp-ns","NV","2040"
"RPS_All","csp-ns","NV","2042"
"RPS_All","csp-ns","NV","2044"
"RPS_All","csp-ns","NV","2046"
"RPS_All","csp-ns","NV","2048"
"RPS_All","csp-ns","NV","2050"
"RPS_All","csp-ns","corporate","2014"
"RPS_All","csp-ns","corporate","2016"
"RPS_All","csp-ns","corporate","2018"
"RPS_All","csp-ns","corporate","2020"
"RPS_All","csp-ns","corporate","2022"
"RPS_All","csp-ns","corporate","2024"
"RPS_All","csp-ns","corporate","2026"
"RPS_All","csp-ns","corporate","2028"
"RPS_All","csp-ns","corporate","2030"
"RPS_All","csp-ns","corporate","2032"
"RPS_All","csp-ns","corporate","2034"
"RPS_All","csp-ns","corporate","2036"
"RPS_All","csp-ns","corporate","2038"
"RPS_All","csp-ns","corporate","2040"
"RPS_All","csp-ns","corporate","2042"
"RPS_All","csp-ns","corporate","2044"
"RPS_All","csp-ns","corporate","2046"
"RPS_All","csp-ns","corporate","2048"
"RPS_All","csp-ns","corporate","2050"
"RPS_All","distpv","AZ","2010"
"RPS_All","distpv","AZ","2012"
"RPS_All","distpv","AZ","2014"
"RPS_All","distpv","AZ","2016"
"RPS_All","distpv","AZ","2018"
"RPS_All","distpv","AZ","2020"
"RPS_All","distpv","AZ","2022"
"RPS_All","distpv","AZ","2024"
"RPS_All","distpv","AZ","2026"
"RPS_All","distpv","AZ","2028"
"RPS_All","distpv","AZ","2030"
"RPS_All","distpv","AZ","2032"
"RPS_All","distpv","AZ","2034"
"RPS_All","distpv","AZ","2036"
"RPS_All","distpv","AZ","2038"
"RPS_All","distpv","AZ","2040"
"RPS_All","distpv","AZ","2042"
"RPS_All","distpv","AZ","2044"
"RPS_All","distpv","AZ","2046"
"RPS_All","distpv","AZ","2048"
"RPS_All","distpv","AZ","2050"
"RPS_All","distpv","CO","2010"
"RPS_All","distpv","CO","2012"
"RPS_All","distpv","CO","2014"
"RPS_All","distpv","CO","2016"
"RPS_All","distpv","CO","2018"
"RPS_All","distpv","CO","2020"
"RPS_All","distpv","CO","2022"
"RPS_All","distpv","CO","2024"
"RPS_All","distpv","CO","2026"
"RPS_All","distpv","CO","2028"
"RPS_All","distpv","CO","2030"
"RPS_All","distpv","CO","2032"
"RPS_All","distpv","CO","2034"
"RPS_All","distpv","CO","2036"
"RPS_All","distpv","CO","2038"
"RPS_All","distpv","CO","2040"
"RPS_All","distpv","CO","2042"
"RPS_All","distpv","CO","2044"
"RPS_All","distpv","CO","2046"
"RPS_All","distpv","CO","2048"
"RPS_All","distpv","CO","2050"
"RPS_All","distpv","ID","2014"
"RPS_All","distpv","ID","2016"
"RPS_All","distpv","ID","2018"
"RPS_All","distpv","ID","2020"
"RPS_All","distpv","ID","2022"
"RPS_All","distpv","ID","2024"
"RPS_All","distpv","ID","2026"
"RPS_All","distpv","ID","2028"
"RPS_All","distpv","ID","2030"
"RPS_All","distpv","ID","2032"
"RPS_All","distpv","ID","2034"
"RPS_All","distpv","ID","2036"
"RPS_All","distpv","ID","2038"
"RPS_All","distpv","ID","2040"
"RPS_All","distpv","ID","2042"
"RPS_All","distpv","ID","2044"
"RPS_All","distpv","ID","2046"
