"Dim1","Dim2","Dim3","Val"
"bioclass2","p3","2010",293811.635035824
"bioclass2","p5","2012",20974.6003790769
"bioclass2","p5","2014",56619.4346584615
"bioclass2","p5","2016",10376.4519761539
"bioclass2","p5","2018",24462.6238761797
"bioclass2","p5","2022",28803.7600996154
"bioclass2","p5","2024",27772.8898572692
"bioclass2","p5","2026",32897.2529842534
"bioclass2","p5","2028",29145.9087623077
"bioclass2","p5","2032",17108.7193855385
"bioclass2","p5","2034",17108.7193855385
"bioclass2","p5","2036",18110.75112
"bioclass2","p5","2038",18110.75112
"bioclass2","p5","2040",18110.75112
"bioclass2","p5","2042",16871.437674
"bioclass2","p5","2044",16871.437674
"bioclass2","p5","2046",9866.0787627828
"bioclass2","p5","2048",7598.39323153846
"bioclass2","p5","2050",10729.1624884616
"bioclass2","p8","2010",14250.2976
"bioclass2","p8","2030",52774.3949344615
"bioclass2","p9","2010",541096.428208483
"bioclass2","p9","2012",206105.832754708
"bioclass2","p9","2014",217013.256664615
"bioclass2","p9","2016",235598.589986259
"bioclass2","p9","2018",164681.583725769
"bioclass2","p9","2020",1117762.193352
"bioclass2","p9","2022",170267.169264231
"bioclass2","p9","2024",164009.180419615
"bioclass2","p9","2026",155202.713068688
"bioclass2","p9","2028",177576.632874081
"bioclass2","p9","2030",171774.614501308
"bioclass2","p9","2032",128691.598994308
"bioclass2","p9","2034",65438.0663157692
"bioclass2","p9","2036",11393.2302403846
"bioclass2","p9","2044",24075.6027403846
"bioclass2","p9","2046",24075.6027403846
"bioclass2","p9","2048",24075.6027403846
"bioclass2","p9","2050",24075.6027403846
"bioclass2","p10","2010",516234.139155692
"bioclass2","p10","2012",94773.6405636923
"bioclass2","p10","2014",80856.6949218461
"bioclass2","p10","2016",60718.3678066968
"bioclass2","p10","2018",142776.222428077
"bioclass2","p10","2020",247630.306648
"bioclass2","p10","2022",143631.258428077
"bioclass2","p10","2024",149889.247272692
"bioclass2","p10","2026",158695.714623604
"bioclass2","p10","2028",136321.794818226
"bioclass2","p10","2030",129570.059344846
"bioclass2","p10","2032",90289.5333133846
"bioclass2","p10","2034",45144.1306073086
"bioclass2","p10","2036",58798.6282211538
"bioclass2","p10","2038",58183.9199999998
"bioclass2","p10","2040",58183.9199999991
"bioclass2","p10","2042",58183.92
"bioclass2","p10","2044",34108.3172596154
"bioclass2","p10","2046",100419.202010077
"bioclass2","p10","2048",34603.4935003846
"bioclass2","p10","2050",34108.3172596154
"bioclass2","p15","2010",1543.1472
"bioclass2","p15","2012",59118.2064
"bioclass2","p15","2014",124715.781747692
"bioclass2","p15","2016",54178.8354969231
"bioclass2","p15","2018",55566.8323858711
"bioclass2","p15","2020",124715.781747692
"bioclass2","p15","2022",58382.1011059615
"bioclass2","p15","2024",54392.8410619615
"bioclass2","p15","2026",53229.3068824615
"bioclass2","p15","2028",34769.0727761538
"bioclass2","p15","2030",4010.18273653846
"bioclass2","p15","2032",26174.4406144615
"bioclass2","p15","2034",9799.97907600001
"bioclass2","p15","2036",8797.94734153846
"bioclass2","p15","2038",8797.94734153846
"bioclass2","p15","2040",8797.94734153847
"bioclass2","p15","2042",10037.2607875385
"bioclass2","p15","2044",8733.16078753847
"bioclass2","p15","2046",13028.8204679864
"bioclass2","p15","2048",16215.7547492308
"bioclass2","p15","2050",13084.9854923077
"bioclass2","p16","2012",18937.5663461538
"bioclass2","p16","2014",38256.3747692308
"bioclass2","p16","2016",21463.0848173077
"bioclass2","p16","2018",11139.6281283937
"bioclass2","p16","2020",38256.3747692308
"bioclass2","p16","2022",7437.44147019233
"bioclass2","p16","2024",12016.3321384615
"bioclass2","p16","2026",10012.9943640545
"bioclass2","p16","2044",1304.1
"bioclass2","p16","2046",4013.79923076923
"bioclass2","p16","2048",3094.55048076923
"bioclass2","p16","2050",3094.55048076923
"bioclass2","p25","2012",13677.8703507692
"bioclass2","p25","2014",22953.8248615385
"bioclass2","p25","2016",11518.8369403846
"bioclass2","p25","2018",6368.12484032485
"bioclass2","p25","2020",22953.8248615385
"bioclass2","p25","2022",2913.906555
"bioclass2","p25","2024",3355.14617307692
"bioclass2","p25","2026",1397.655
"bioclass2","p28","2010",12469.581936
"bioclass2","p28","2012",7335.04819764706
"bioclass2","p29","2010",1610.6202
"bioclass2","p29","2012",1073.7468
"bioclass2","p33","2010",12018.0083926154
"bioclass2","p33","2012",17459.0971069683
"bioclass2","p33","2014",96406.0644184616
"bioclass2","p33","2016",26908.6984615385
"bioclass2","p33","2018",26908.6984615385
"bioclass2","p33","2020",96406.0644184615
"bioclass2","p33","2022",26908.6984615385
"bioclass2","p33","2024",26908.6984615385
"bioclass2","p33","2026",26908.6984615385
"bioclass2","p33","2028",26908.6984615385
"bioclass2","p33","2030",24288.7846153846
"bioclass2","p33","2032",23087.9907692308
"bioclass2","p33","2034",23087.9907692308
"bioclass2","p33","2036",23087.9907692308
"bioclass2","p33","2038",23087.9907692308
"bioclass2","p33","2040",23087.9907692308
"bioclass2","p33","2042",23087.9907692308
"bioclass2","p33","2044",23087.9907692308
"bioclass2","p33","2046",20358.9138461541
"bioclass2","p33","2048",20358.9138461539
"bioclass2","p33","2050",18994.3753846153
"bioclass3","p8","2020",169392.704123077
"bioclass3","p10","2020",741353.558168
