"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",4
"battery_2","p1","2018",6.2
"battery_2","p1","2020",6.2
"battery_2","p1","2022",7.2
"battery_2","p1","2024",7.2
"battery_2","p1","2026",7.2
"battery_2","p1","2028",7.2
"battery_2","p1","2030",7.2
"battery_2","p1","2032",3.2
"battery_2","p1","2034",1
"battery_2","p1","2036",1
"battery_2","p3","2014",2.4
"battery_2","p3","2016",2.4
"battery_2","p3","2018",2.4
"battery_2","p3","2020",2.4
"battery_2","p3","2022",2.4
"battery_2","p3","2024",2.4
"battery_2","p3","2026",2.4
"battery_2","p3","2028",2.4
"battery_2","p4","2038",32.433875
"battery_2","p4","2040",32.433875
"battery_2","p4","2042",32.433875
"battery_2","p4","2044",32.433875
"battery_2","p4","2046",32.433875
"battery_2","p4","2048",32.433875
"battery_2","p4","2050",32.433875
"battery_2","p5","2014",5
"battery_2","p5","2016",5
"battery_2","p5","2018",5
"battery_2","p5","2020",5
"battery_2","p5","2022",5
"battery_2","p5","2024",5
"battery_2","p5","2026",5
"battery_2","p5","2028",5
"battery_2","p5","2040",98.7349750000001
"battery_2","p5","2042",98.7349750000001
"battery_2","p5","2044",98.7349750000001
"battery_2","p5","2046",98.7349750000001
"battery_2","p5","2048",98.7349750000001
"battery_2","p5","2050",98.7349750000001
"battery_2","p6","2022",1.25
"battery_2","p6","2024",1.25
"battery_2","p6","2026",1.25
"battery_2","p6","2028",1.25
"battery_2","p6","2030",1.25
"battery_2","p6","2032",1.25
"battery_2","p6","2034",1.25
"battery_2","p6","2036",1.25
"battery_2","p6","2038",2.93364712063607
"battery_2","p6","2040",3.88564712063607
"battery_2","p6","2042",3.88564712063607
"battery_2","p6","2044",3.88564712063607
"battery_2","p6","2046",4.78465937443678
"battery_2","p6","2048",4.78465937443678
"battery_2","p6","2050",4.78465937443678
"battery_2","p8","2038",1.46146167619907
"battery_2","p8","2040",1.46146167619907
"battery_2","p8","2042",1.46146167619907
"battery_2","p8","2044",1.46146167619907
"battery_2","p8","2046",146.485801302944
"battery_2","p8","2048",153.998136263318
"battery_2","p8","2050",159.082464625123
"battery_2","p9","2024",256.086421816661
"battery_2","p9","2026",728.842153200734
"battery_2","p9","2028",728.842153200734
"battery_2","p9","2030",813.216169862432
"battery_2","p9","2032",1868.09470155556
"battery_2","p9","2034",1868.09470155556
"battery_2","p9","2036",1868.09470155556
"battery_2","p9","2038",2057.92586812577
"battery_2","p9","2040",2026.87033019138
"battery_2","p9","2042",1554.1145988073
"battery_2","p9","2044",1937.5207525834
"battery_2","p9","2046",2428.58544802581
"battery_2","p9","2048",2059.14507644705
"battery_2","p9","2050",2326.57001387048
"battery_2","p10","2024",75.066492638769
"battery_2","p10","2026",201.18551187839
"battery_2","p10","2028",201.18551187839
"battery_2","p10","2030",315.611495216692
"battery_2","p10","2032",1266.18296352356
"battery_2","p10","2034",1266.18296352356
"battery_2","p10","2036",1266.18296352356
"battery_2","p10","2038",1972.45270152104
"battery_2","p10","2040",2604.06
"battery_2","p10","2042",2477.94098076038
"battery_2","p10","2044",3373.63570855968
"battery_2","p10","2046",3259.20972522138
"battery_2","p10","2048",3864.96515937671
"battery_2","p10","2050",3864.96515937671
"battery_2","p11","2024",170.39708554457
"battery_2","p11","2026",173.562334920876
"battery_2","p11","2028",173.562334920876
"battery_2","p11","2030",173.562334920876
"battery_2","p11","2032",173.562334920876
"battery_2","p11","2034",173.562334920876
"battery_2","p11","2036",173.562334920876
"battery_2","p11","2038",280.841430353193
"battery_2","p11","2040",176.569669808623
"battery_2","p11","2042",173.404420432317
"battery_2","p11","2044",297.693538856915
"battery_2","p11","2046",319.624826752805
"battery_2","p11","2048",319.624826752805
"battery_2","p11","2050",319.624826752805
"battery_2","p12","2022",100
"battery_2","p12","2024",100
"battery_2","p12","2026",100
"battery_2","p12","2028",100
"battery_2","p12","2030",100
"battery_2","p12","2032",100
"battery_2","p12","2034",100
"battery_2","p12","2036",100
"battery_2","p12","2044",79.6023293752735
"battery_2","p12","2046",350.889036888583
"battery_2","p12","2048",643.81740192821
"battery_2","p12","2050",643.81740192821
"battery_2","p13","2022",100
"battery_2","p13","2024",100
"battery_2","p13","2026",100
"battery_2","p13","2028",100
"battery_2","p13","2030",100
"battery_2","p13","2032",100
"battery_2","p13","2034",100
"battery_2","p13","2036",100
"battery_2","p13","2038",263.731016203165
"battery_2","p13","2040",263.731016203165
"battery_2","p13","2042",263.731016203165
"battery_2","p13","2044",484.748686827891
"battery_2","p13","2046",679.508179044878
"battery_2","p13","2048",679.508179044878
"battery_2","p13","2050",918.696559494869
"battery_2","p18","2022",200
"battery_2","p18","2024",200
"battery_2","p18","2026",200
"battery_2","p18","2028",200
"battery_2","p18","2030",200
"battery_2","p18","2032",200
"battery_2","p18","2034",200
"battery_2","p18","2036",200
"battery_2","p21","2046",32.7212381835921
"battery_2","p21","2048",32.7212381835921
"battery_2","p21","2050",32.7212381835921
"battery_2","p23","2022",0.00354156197822078
"battery_2","p23","2024",0.00354156197822078
"battery_2","p23","2026",0.00354156197822078
"battery_2","p23","2028",0.00354156197822078
"battery_2","p23","2030",0.00354156197822078
"battery_2","p23","2032",0.00354156197822078
"battery_2","p23","2034",0.00354156197822078
"battery_2","p23","2036",3.84815546879407
"battery_2","p23","2038",3.84461390681585
"battery_2","p23","2040",3.84461390681585
"battery_2","p23","2042",3.84461390681585
"battery_2","p23","2044",3.84461390681585
"battery_2","p23","2046",3.84461390681585
"battery_2","p23","2048",3.84461390681585
"battery_2","p23","2050",3.84461390681585
"battery_2","p24","2046",3.80697089946703
"battery_2","p24","2048",255.74944104422
"battery_2","p24","2050",255.74944104422
"battery_2","p25","2040",0.473025
"battery_2","p25","2042",0.473025
"battery_2","p25","2044",0.473025
"battery_2","p25","2046",57.6222352055651
"battery_2","p25","2048",58.1815352055651
"battery_2","p25","2050",115.008826393768
"battery_2","p27","2034",26.6891253874045
"battery_2","p27","2036",26.6891253874045
"battery_2","p27","2038",26.6891253874045
"battery_2","p27","2040",26.6891253874045
"battery_2","p27","2042",26.6891253874045
"battery_2","p27","2044",26.6891253874045
"battery_2","p27","2046",26.6891253874045
"battery_2","p27","2048",26.6891253874045
"battery_2","p28","2018",2
"battery_2","p28","2020",12
"battery_2","p28","2022",235
"battery_2","p28","2024",235
"battery_2","p28","2026",235
"battery_2","p28","2028",235
"battery_2","p28","2030",235
"battery_2","p28","2032",235
"battery_2","p28","2034",467.400764521884
"battery_2","p28","2036",593.113182635933
"battery_2","p28","2038",625.85031287777
"battery_2","p28","2040",1011.2650759109
"battery_2","p28","2042",1092.478684869
"battery_2","p28","2044",1092.478684869
"battery_2","p28","2046",1092.478684869
"battery_2","p28","2048",1092.478684869
"battery_2","p28","2050",858.077920347119
"battery_2","p29","2034",61.676
"battery_2","p29","2036",93.313
"battery_2","p29","2038",113.059739073269
"battery_2","p29","2040",131.781414073269
"battery_2","p29","2042",131.781414073269
"battery_2","p29","2044",163.105274306291
"battery_2","p29","2046",163.105274306291
"battery_2","p29","2048",169.708827461562
"battery_2","p29","2050",108.032827461562
"battery_2","p30","2018",10
"battery_2","p30","2020",10
"battery_2","p30","2022",10
"battery_2","p30","2024",10
"battery_2","p30","2026",10
"battery_2","p30","2028",10
"battery_2","p30","2030",10
"battery_2","p30","2032",10
"battery_2","p30","2034",28.5005
"battery_2","p30","2036",28.5005
"battery_2","p30","2038",46.0014159992444
"battery_2","p30","2040",172.613165999245
"battery_2","p30","2042",609.678099585558
"battery_2","p30","2044",626.426077046378
"battery_2","p30","2046",824.109106146911
"battery_2","p30","2048",824.109106146911
"battery_2","p30","2050",795.608606146911
"battery_2","p31","2012",1.8
"battery_2","p31","2014",1.8
"battery_2","p31","2016",1.8
"battery_2","p31","2018",2.8
"battery_2","p31","2020",2.8
"battery_2","p31","2022",2.8
"battery_2","p31","2024",2.8
"battery_2","p31","2026",2.8
"battery_2","p31","2028",1
"battery_2","p31","2030",1
"battery_2","p31","2032",1
"battery_2","p31","2036",214.241517649653
"battery_2","p31","2038",214.241517649653
"battery_2","p31","2040",252.544089423803
"battery_2","p31","2042",252.544089423803
"battery_2","p31","2044",252.544089423803
"battery_2","p31","2046",252.544089423803
"battery_2","p31","2048",252.544089423803
"battery_2","p31","2050",252.544089423803
"battery_2","p32","2036",16.0450394887702
"battery_2","p32","2038",16.0450394887702
"battery_2","p32","2040",16.0450394887702
"battery_2","p32","2042",16.0450394887702
"battery_2","p32","2044",16.0450394887702
"battery_2","p32","2046",16.0450394887702
"battery_2","p32","2048",16.0450394887702
"battery_2","p32","2050",16.0450394887702
"battery_2","p33","2018",4
"battery_2","p33","2020",4
"battery_2","p33","2022",4
"battery_2","p33","2024",4
"battery_2","p33","2026",4
"battery_2","p33","2028",4
"battery_2","p33","2030",4
"battery_2","p33","2032",4
"battery_2","p33","2034",10.1111947696633
"battery_2","p33","2036",72.2352338603281
"battery_2","p33","2038",72.2352338603281
"battery_2","p33","2040",72.2352338603281
"battery_2","p33","2042",106.525261144743
"battery_2","p33","2044",128.831346004367
"battery_2","p33","2046",128.831346004367
"battery_2","p33","2048",132.998471004367
"battery_2","p33","2050",122.887276234703
"battery_2","p34","2034",7.63887375906982
"battery_2","p34","2036",33.1425706414063
"battery_2","p34","2038",33.1425706414063
"battery_2","p34","2040",62.8123586645329
"battery_2","p34","2042",93.5032462600829
"battery_2","p34","2044",192.7430629104
"battery_2","p34","2046",192.7430629104
"battery_2","p34","2048",262.846854479983
"battery_2","p34","2050",255.207980720913
"battery_2","p59","2036",24.1616748677084
"battery_2","p59","2038",24.1616748677084
"battery_2","p59","2040",24.1616748677084
"battery_2","p59","2042",76.7104258605517
"battery_2","p59","2044",303.992686656768
"battery_2","p59","2046",303.992686656768
"battery_2","p59","2048",303.992686656768
"battery_2","p59","2050",303.992686656768
"battery_4","p1","2026",0.953605596132085
"battery_4","p1","2028",0.953605596132085
"battery_4","p1","2030",1.70266809613209
"battery_4","p1","2032",5.76287036769706
"battery_4","p1","2034",13.1224423584897
"battery_4","p1","2036",35.2988760469137
"battery_4","p1","2038",52.1750220416425
"battery_4","p1","2040",70.5980218711373
"battery_4","p1","2042",87.0644578786916
"battery_4","p1","2044",94.8300840311617
"battery_4","p1","2046",94.0810215311618
"battery_4","p1","2048",100.771510147483
"battery_4","p1","2050",101.620985618786
"battery_4","p2","2024",7.8474826634532
"battery_4","p2","2026",7.99028266345325
"battery_4","p2","2028",7.99028266345325
"battery_4","p2","2030",7.99028266345325
"battery_4","p2","2032",10.2401558950338
"battery_4","p2","2034",11.4848838036852
"battery_4","p2","2036",12.9456388700364
"battery_4","p2","2038",15.5511944255919
"battery_4","p2","2040",10.2219770682612
"battery_4","p2","2042",22.1621395682611
"battery_4","p2","2044",22.1621395682611
"battery_4","p2","2046",22.1621395682611
"battery_4","p2","2048",19.9122663366806
"battery_4","p2","2050",18.6675384280292
"battery_4","p5","2026",0.437197819154408
"battery_4","p5","2028",1.19233326255334
"battery_4","p5","2030",67.3389035196365
"battery_4","p5","2032",104.324264564725
"battery_4","p5","2034",118.057693089402
"battery_4","p5","2036",135.279968089402
"battery_4","p5","2038",460.70950982937
"battery_4","p5","2040",626.785077812493
"battery_4","p5","2042",1034.21293877055
"battery_4","p5","2044",1119.3520183204
"battery_4","p5","2046",1053.20544806332
"battery_4","p5","2048",1037.88547423873
"battery_4","p5","2050",1112.68328003553
"battery_4","p6","2024",0.038675
"battery_4","p6","2026",0.199325
"battery_4","p6","2028",0.592545918075856
"battery_4","p6","2030",10.558599158712
"battery_4","p6","2032",10.772799158712
"battery_4","p6","2034",11.182924158712
"battery_4","p6","2036",11.2800483238735
"battery_4","p6","2038",11.2939360633778
"battery_4","p6","2040",11.2552610633778
"battery_4","p6","2042",13.1571560690357
"battery_4","p6","2044",12.7639351509598
"battery_4","p6","2046",2.79788191032373
"battery_4","p6","2048",7.42269139246798
"battery_4","p6","2050",26.296589093771
"battery_4","p7","2024",0.277378900396935
"battery_4","p7","2026",0.277378900396935
"battery_4","p7","2028",0.802543094990023
"battery_4","p7","2030",1.02724306296873
"battery_4","p7","2032",1.35386403253922
"battery_4","p7","2034",74.0471203739133
"battery_4","p7","2036",551.921467989292
"battery_4","p7","2038",552.018155489292
"battery_4","p7","2040",551.740776588895
"battery_4","p7","2042",551.740776588895
"battery_4","p7","2044",644.288382110591
"battery_4","p7","2046",691.872967856898
"battery_4","p7","2048",748.980573984791
"battery_4","p7","2050",1078.60751969559
"battery_4","p8","2024",7.32286006415101
"battery_4","p8","2026",8.04427799999989
"battery_4","p8","2028",8.04427799999989
"battery_4","p8","2030",81.903858167782
"battery_4","p8","2032",81.903858167782
"battery_4","p8","2034",94.72399767577
"battery_4","p8","2036",96.0619019688989
"battery_4","p8","2038",96.0619019688989
"battery_4","p8","2040",156.644916265869
"battery_4","p8","2042",155.92349833002
"battery_4","p8","2044",155.92349833002
"battery_4","p8","2046",82.0639181622381
"battery_4","p8","2048",86.0904934292351
"battery_4","p8","2050",73.2703539212471
"battery_4","p9","2014",6
"battery_4","p9","2016",6
"battery_4","p9","2018",6
"battery_4","p9","2020",7
"battery_4","p9","2022",1072.8
"battery_4","p9","2024",1271.33569754428
"battery_4","p9","2026",1282.18512289684
"battery_4","p9","2028",1291.71107289684
"battery_4","p9","2030",2006.93223539684
"battery_4","p9","2032",2006.93223539684
"battery_4","p9","2034",2006.93223539684
"battery_4","p9","2036",3663.48204918159
"battery_4","p9","2038",3085.65123656212
"battery_4","p9","2040",3518.54034375409
"battery_4","p9","2042",3507.69091840153
"battery_4","p9","2044",3498.16496840153
"battery_4","p9","2046",2776.94380590153
"battery_4","p9","2048",3147.29397628035
"battery_4","p9","2050",3271.61287544649
"battery_4","p10","2012",1
"battery_4","p10","2014",1
"battery_4","p10","2016",91.9
"battery_4","p10","2018",125.2
"battery_4","p10","2020",145.2
"battery_4","p10","2022",960
"battery_4","p10","2024",2296.72165897535
"battery_4","p10","2026",2431.40305054274
"battery_4","p10","2028",2910.32228354681
"battery_4","p10","2030",2930.63112104681
"battery_4","p10","2032",2839.73112104681
"battery_4","p10","2034",2806.43112104681
"battery_4","p10","2036",4068.65743842708
"battery_4","p10","2038",5345.16325104655
"battery_4","p10","2040",5904.41414385458
"battery_4","p10","2042",7388.89128750313
"battery_4","p10","2044",9267.09592028644
"battery_4","p10","2046",11033.2569275258
"battery_4","p10","2048",16027.9103676426
"battery_4","p10","2050",20451.8437009759
"battery_4","p11","2012",1
"battery_4","p11","2014",3
"battery_4","p11","2016",4
"battery_4","p11","2018",83.5
"battery_4","p11","2020",335.5
"battery_4","p11","2022",431.5
"battery_4","p11","2024",431.5
"battery_4","p11","2026",432.901725510417
"battery_4","p11","2028",724.826643556351
"battery_4","p11","2030",722.826643556351
"battery_4","p11","2032",721.826643556351
"battery_4","p11","2034",680.921643556351
"battery_4","p11","2036",688.675512391333
"battery_4","p11","2038",592.675512391333
"battery_4","p11","2040",592.675512391333
"battery_4","p11","2042",622.777794095337
"battery_4","p11","2044",335.43595376186
"battery_4","p11","2046",357.868426790052
"battery_4","p11","2048",357.868426790052
"battery_4","p11","2050",363.572711165113
"battery_4","p12","2024",100
"battery_4","p12","2026",630.622737804448
"battery_4","p12","2028",1216.84849565693
"battery_4","p12","2030",1399.33463638781
"battery_4","p12","2032",1424.03812941908
"battery_4","p12","2034",1425.55389191908
"battery_4","p12","2036",1425.61934191908
"battery_4","p12","2038",1425.61934191908
"battery_4","p12","2040",1325.61934191908
"battery_4","p12","2042",794.99660411463
"battery_4","p12","2044",208.770846262147
"battery_4","p12","2046",26.2847055312636
"battery_4","p12","2048",439.838971601373
"battery_4","p12","2050",1425.81373286991
"battery_4","p13","2024",139.15630092
"battery_4","p13","2026",200
"battery_4","p13","2028",1441.94283850095
"battery_4","p13","2030",1487.72230583963
"battery_4","p13","2032",2643.55055272867
"battery_4","p13","2034",3491.02388054724
"battery_4","p13","2036",3786.75033210246
"battery_4","p13","2038",4052.28576249566
"battery_4","p13","2040",4571.75132407566
"battery_4","p13","2042",5519.19937711978
"battery_4","p13","2044",4695.67611571642
"battery_4","p13","2046",4767.04190066846
"battery_4","p13","2048",4666.43550817201
"battery_4","p13","2050",4432.47526250642
"battery_4","p14","2032",0.171501036836497
"battery_4","p14","2034",0.171501036836497
"battery_4","p14","2036",0.171501036836497
"battery_4","p14","2038",0.171501036836497
"battery_4","p14","2040",0.171501036836497
"battery_4","p14","2042",0.171501036836497
"battery_4","p14","2044",0.187960248851721
"battery_4","p14","2046",0.187960248851721
"battery_4","p14","2048",0.0164592120152248
"battery_4","p14","2050",0.0164592120152248
"battery_4","p15","2048",35.357152194
"battery_4","p15","2050",57.5986007688
"battery_4","p19","2028",0.0813454552204943
"battery_4","p19","2030",0.0813454552204943
"battery_4","p19","2032",0.0813454552204943
"battery_4","p19","2034",0.0813454552204943
"battery_4","p19","2036",0.0813454552204943
"battery_4","p19","2038",0.0813454552204943
"battery_4","p19","2040",0.0813454552204943
"battery_4","p19","2042",0.0813454552204943
"battery_4","p20","2030",85.5751018317186
"battery_4","p20","2032",104.166917650267
"battery_4","p20","2034",104.166917650267
"battery_4","p20","2036",104.166917650267
"battery_4","p20","2038",104.166917650267
"battery_4","p20","2040",104.166917650267
"battery_4","p20","2042",104.166917650267
"battery_4","p20","2044",104.166917650267
"battery_4","p20","2046",18.5918158185488
"battery_4","p21","2026",23.9921417898418
"battery_4","p21","2028",68.6100786952711
"battery_4","p21","2030",192.163162512711
"battery_4","p21","2032",240.9612714458
"battery_4","p21","2034",332.975014526438
"battery_4","p21","2036",397.071378650154
"battery_4","p21","2038",477.936254727356
"battery_4","p21","2040",495.456130156886
"battery_4","p21","2042",567.383861494383
"battery_4","p21","2044",616.450162088954
"battery_4","p21","2046",571.266409179717
"battery_4","p21","2048",608.271669718305
"battery_4","p21","2050",718.617595262121
"battery_4","p22","2030",13.9090909090909
"battery_4","p22","2032",19.3686006785521
"battery_4","p22","2034",19.3686006785521
"battery_4","p22","2036",43.8280656785521
"battery_4","p22","2038",43.8280656785521
"battery_4","p22","2040",43.8280656785521
"battery_4","p22","2042",43.8280656785521
"battery_4","p22","2044",57.1022606785521
"battery_4","p22","2046",43.1931697694612
"battery_4","p22","2048",37.73366
"battery_4","p22","2050",37.73366
"battery_4","p23","2026",0.440283921407263
"battery_4","p23","2028",0.440283921407263
"battery_4","p23","2030",21.7160131221757
"battery_4","p23","2032",25.9154864892701
"battery_4","p23","2034",25.9154864892701
"battery_4","p23","2036",25.9154864892701
"battery_4","p23","2038",25.9154864892701
"battery_4","p23","2040",25.9154864892701
"battery_4","p23","2042",25.4752025678629
"battery_4","p23","2044",25.4752025678629
"battery_4","p23","2046",4.19947336709446
"battery_4","p24","2026",102.040316822611
"battery_4","p24","2028",102.040316822611
"battery_4","p24","2030",102.040316822611
"battery_4","p24","2032",102.040316822611
"battery_4","p24","2034",102.040316822611
"battery_4","p24","2036",102.040316822611
"battery_4","p24","2038",102.040316822611
"battery_4","p24","2040",102.040316822611
"battery_4","p25","2026",96.7260633317229
"battery_4","p25","2028",561.595754639863
"battery_4","p25","2030",615.20401874486
"battery_4","p25","2032",616.878746342697
"battery_4","p25","2034",617.454663670009
"battery_4","p25","2036",620.538093162468
"battery_4","p25","2038",620.538093162468
"battery_4","p25","2040",690.312978179398
"battery_4","p25","2042",873.332388446071
"battery_4","p25","2044",453.603000547747
"battery_4","p25","2046",399.99473644275
"battery_4","p25","2048",861.498783649114
"battery_4","p25","2050",903.486023125018
"battery_4","p26","2022",0.087125
"battery_4","p26","2024",0.087125
"battery_4","p26","2026",1.63951837926733
"battery_4","p26","2028",1.63951837926733
"battery_4","p26","2030",2.45078555638816
"battery_4","p26","2032",2.47012305638816
"battery_4","p26","2034",2.47012305638816
"battery_4","p26","2036",2.47012305638816
"battery_4","p26","2038",2.38299805638816
"battery_4","p26","2040",6.84636517806736
"battery_4","p26","2042",5.29397179880004
"battery_4","p26","2044",5.4502716692542
"battery_4","p26","2046",4.63900449213336
"battery_4","p26","2048",4.61966699213336
"battery_4","p26","2050",4.73538595514718
"battery_4","p27","2026",112.170237527146
"battery_4","p27","2028",185.309466367023
"battery_4","p27","2030",334.862824392637
"battery_4","p27","2032",419.936718335823
"battery_4","p27","2034",473.889666370703
"battery_4","p27","2036",550.881178870703
"battery_4","p27","2038",611.315581536304
"battery_4","p27","2040",673.672733444948
"battery_4","p27","2042",692.329508597447
"battery_4","p27","2044",664.769899276332
"battery_4","p27","2046",893.209590341168
"battery_4","p27","2048",1330.39443666328
"battery_4","p27","2050",1495.93840790238
"battery_4","p28","2026",394.950162968116
"battery_4","p28","2028",1592.08037661243
"battery_4","p28","2030",1935.98392360412
"battery_4","p28","2032",1935.98392360412
"battery_4","p28","2034",2029.09228928206
"battery_4","p28","2036",2029.09228928206
"battery_4","p28","2038",2087.78931851801
"battery_4","p28","2040",2144.6875804897
