"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2016",4
"battery_2","new1","p1","2018",6.2
"battery_2","new1","p1","2020",6.2
"battery_2","new1","p1","2022",6.2
"battery_2","new1","p1","2024",6.2
"battery_2","new1","p1","2026",6.2
"battery_2","new1","p1","2028",6.2
"battery_2","new1","p1","2030",6.2
"battery_2","new1","p1","2032",2.2
"battery_2","new1","p3","2014",2.4
"battery_2","new1","p3","2016",2.4
"battery_2","new1","p3","2018",2.4
"battery_2","new1","p3","2020",2.4
"battery_2","new1","p3","2022",2.4
"battery_2","new1","p3","2024",2.4
"battery_2","new1","p3","2026",2.4
"battery_2","new1","p3","2028",2.4
"battery_2","new1","p5","2014",5
"battery_2","new1","p5","2016",5
"battery_2","new1","p5","2018",5
"battery_2","new1","p5","2020",5
"battery_2","new1","p5","2022",5
"battery_2","new1","p5","2024",5
"battery_2","new1","p5","2026",5
"battery_2","new1","p5","2028",5
"battery_2","new1","p28","2018",2
"battery_2","new1","p28","2020",2
"battery_2","new1","p28","2022",2
"battery_2","new1","p28","2024",2
"battery_2","new1","p28","2026",2
"battery_2","new1","p28","2028",2
"battery_2","new1","p28","2030",2
"battery_2","new1","p28","2032",2
"battery_2","new1","p30","2018",10
"battery_2","new1","p30","2020",10
"battery_2","new1","p30","2022",10
"battery_2","new1","p30","2024",10
"battery_2","new1","p30","2026",10
"battery_2","new1","p30","2028",10
"battery_2","new1","p30","2030",10
"battery_2","new1","p30","2032",10
"battery_2","new1","p31","2012",1.8
"battery_2","new1","p31","2014",1.8
"battery_2","new1","p31","2016",1.8
"battery_2","new1","p31","2018",2.8
"battery_2","new1","p31","2020",2.8
"battery_2","new1","p31","2022",2.8
"battery_2","new1","p31","2024",2.8
"battery_2","new1","p31","2026",2.8
"battery_2","new1","p31","2028",1
"battery_2","new1","p31","2030",1
"battery_2","new1","p31","2032",1
"battery_2","new1","p33","2018",4
"battery_2","new1","p33","2020",4
"battery_2","new1","p33","2022",4
"battery_2","new1","p33","2024",4
"battery_2","new1","p33","2026",4
"battery_2","new1","p33","2028",4
"battery_2","new1","p33","2030",4
"battery_2","new1","p33","2032",4
"battery_2","new3","p28","2020",10
"battery_2","new3","p28","2022",10
"battery_2","new3","p28","2024",10
"battery_2","new3","p28","2026",10
"battery_2","new3","p28","2028",10
"battery_2","new3","p28","2030",10
"battery_2","new3","p28","2032",10
"battery_2","new3","p28","2034",10
"battery_2","new5","p1","2022",1
"battery_2","new5","p1","2024",1
"battery_2","new5","p1","2026",1
"battery_2","new5","p1","2028",1
"battery_2","new5","p1","2030",1
"battery_2","new5","p1","2032",1
"battery_2","new5","p1","2034",1
"battery_2","new5","p1","2036",1
"battery_2","new5","p6","2022",1.25
"battery_2","new5","p6","2024",1.25
"battery_2","new5","p6","2026",1.25
"battery_2","new5","p6","2028",1.25
"battery_2","new5","p6","2030",1.25
"battery_2","new5","p6","2032",1.25
"battery_2","new5","p6","2034",1.25
"battery_2","new5","p6","2036",1.25
"battery_2","new5","p12","2022",100
"battery_2","new5","p12","2024",100
"battery_2","new5","p12","2026",100
"battery_2","new5","p12","2028",100
"battery_2","new5","p12","2030",100
"battery_2","new5","p12","2032",100
"battery_2","new5","p12","2034",100
"battery_2","new5","p12","2036",100
"battery_2","new5","p13","2022",100
"battery_2","new5","p13","2024",100
"battery_2","new5","p13","2026",100
"battery_2","new5","p13","2028",100
"battery_2","new5","p13","2030",100
"battery_2","new5","p13","2032",100
"battery_2","new5","p13","2034",100
"battery_2","new5","p13","2036",100
"battery_2","new5","p18","2022",200
"battery_2","new5","p18","2024",200
"battery_2","new5","p18","2026",200
"battery_2","new5","p18","2028",200
"battery_2","new5","p18","2030",200
"battery_2","new5","p18","2032",200
"battery_2","new5","p18","2034",200
"battery_2","new5","p18","2036",200
"battery_2","new5","p23","2022",0.00354156197822078
"battery_2","new5","p23","2024",0.00354156197822078
"battery_2","new5","p23","2026",0.00354156197822078
"battery_2","new5","p23","2028",0.00354156197822078
"battery_2","new5","p23","2030",0.00354156197822078
"battery_2","new5","p23","2032",0.00354156197822078
"battery_2","new5","p23","2034",0.00354156197822078
"battery_2","new5","p23","2036",0.00354156197822078
"battery_2","new5","p28","2022",223
"battery_2","new5","p28","2024",223
"battery_2","new5","p28","2026",223
"battery_2","new5","p28","2028",223
"battery_2","new5","p28","2030",223
"battery_2","new5","p28","2032",223
"battery_2","new5","p28","2034",223
"battery_2","new5","p28","2036",223
"battery_2","new7","p9","2024",256.086421816661
"battery_2","new7","p9","2026",256.086421816661
"battery_2","new7","p9","2028",256.086421816661
"battery_2","new7","p9","2030",256.086421816661
"battery_2","new7","p9","2032",256.086421816661
"battery_2","new7","p9","2034",256.086421816661
"battery_2","new7","p9","2036",256.086421816661
"battery_2","new7","p9","2038",256.086421816661
"battery_2","new7","p10","2024",75.066492638769
"battery_2","new7","p10","2026",75.066492638769
"battery_2","new7","p10","2028",75.066492638769
"battery_2","new7","p10","2030",75.066492638769
"battery_2","new7","p10","2032",75.066492638769
"battery_2","new7","p10","2034",75.066492638769
"battery_2","new7","p10","2036",75.066492638769
"battery_2","new7","p10","2038",75.066492638769
"battery_2","new7","p11","2024",170.39708554457
"battery_2","new7","p11","2026",170.39708554457
"battery_2","new7","p11","2028",170.39708554457
"battery_2","new7","p11","2030",170.39708554457
"battery_2","new7","p11","2032",170.39708554457
"battery_2","new7","p11","2034",170.39708554457
"battery_2","new7","p11","2036",170.39708554457
"battery_2","new7","p11","2038",170.39708554457
"battery_2","new9","p9","2026",472.755731384073
"battery_2","new9","p9","2028",472.755731384073
"battery_2","new9","p9","2030",472.755731384073
"battery_2","new9","p9","2032",472.755731384073
"battery_2","new9","p9","2034",472.755731384073
"battery_2","new9","p9","2036",472.755731384073
"battery_2","new9","p9","2038",472.755731384073
"battery_2","new9","p9","2040",472.755731384073
"battery_2","new9","p10","2026",126.119019239621
"battery_2","new9","p10","2028",126.119019239621
"battery_2","new9","p10","2030",126.119019239621
"battery_2","new9","p10","2032",126.119019239621
"battery_2","new9","p10","2034",126.119019239621
"battery_2","new9","p10","2036",126.119019239621
"battery_2","new9","p10","2038",126.119019239621
"battery_2","new9","p10","2040",126.119019239621
"battery_2","new9","p11","2026",3.16524937630612
"battery_2","new9","p11","2028",3.16524937630612
"battery_2","new9","p11","2030",3.16524937630612
"battery_2","new9","p11","2032",3.16524937630612
"battery_2","new9","p11","2034",3.16524937630612
"battery_2","new9","p11","2036",3.16524937630612
"battery_2","new9","p11","2038",3.16524937630612
"battery_2","new9","p11","2040",3.16524937630612
"battery_2","new13","p9","2030",84.3740166616981
"battery_2","new13","p9","2032",84.3740166616981
"battery_2","new13","p9","2034",84.3740166616981
"battery_2","new13","p9","2036",84.3740166616981
"battery_2","new13","p9","2038",84.3740166616981
"battery_2","new13","p9","2040",84.3740166616981
"battery_2","new13","p9","2042",84.3740166616981
"battery_2","new13","p9","2044",84.3740166616981
"battery_2","new13","p10","2030",114.425983338302
"battery_2","new13","p10","2032",114.425983338302
"battery_2","new13","p10","2034",114.425983338302
"battery_2","new13","p10","2036",114.425983338302
"battery_2","new13","p10","2038",114.425983338302
"battery_2","new13","p10","2040",114.425983338302
"battery_2","new13","p10","2042",114.425983338302
"battery_2","new13","p10","2044",114.425983338302
"battery_2","new15","p9","2032",1054.87853169313
"battery_2","new15","p9","2034",1054.87853169313
"battery_2","new15","p9","2036",1054.87853169313
"battery_2","new15","p9","2038",1054.87853169313
"battery_2","new15","p9","2040",1054.87853169313
"battery_2","new15","p9","2042",1054.87853169313
"battery_2","new15","p9","2044",1054.87853169313
"battery_2","new15","p9","2046",1054.87853169313
"battery_2","new15","p10","2032",950.57146830687
"battery_2","new15","p10","2034",950.57146830687
"battery_2","new15","p10","2036",950.57146830687
"battery_2","new15","p10","2038",950.57146830687
"battery_2","new15","p10","2040",950.57146830687
"battery_2","new15","p10","2042",950.57146830687
"battery_2","new15","p10","2044",950.57146830687
"battery_2","new15","p10","2046",950.57146830687
"battery_2","new17","p27","2034",26.6891253874045
"battery_2","new17","p27","2036",26.6891253874045
"battery_2","new17","p27","2038",26.6891253874045
"battery_2","new17","p27","2040",26.6891253874045
"battery_2","new17","p27","2042",26.6891253874045
"battery_2","new17","p27","2044",26.6891253874045
"battery_2","new17","p27","2046",26.6891253874045
"battery_2","new17","p27","2048",26.6891253874045
"battery_2","new17","p28","2034",234.400764521884
"battery_2","new17","p28","2036",234.400764521884
"battery_2","new17","p28","2038",234.400764521884
"battery_2","new17","p28","2040",234.400764521884
"battery_2","new17","p28","2042",234.400764521884
"battery_2","new17","p28","2044",234.400764521884
"battery_2","new17","p28","2046",234.400764521884
"battery_2","new17","p28","2048",234.400764521884
"battery_2","new17","p29","2034",61.676
"battery_2","new17","p29","2036",61.676
"battery_2","new17","p29","2038",61.676
"battery_2","new17","p29","2040",61.676
"battery_2","new17","p29","2042",61.676
"battery_2","new17","p29","2044",61.676
"battery_2","new17","p29","2046",61.676
"battery_2","new17","p29","2048",61.676
"battery_2","new17","p30","2034",28.5005
"battery_2","new17","p30","2036",28.5005
"battery_2","new17","p30","2038",28.5005
"battery_2","new17","p30","2040",28.5005
"battery_2","new17","p30","2042",28.5005
"battery_2","new17","p30","2044",28.5005
"battery_2","new17","p30","2046",28.5005
"battery_2","new17","p30","2048",28.5005
"battery_2","new17","p33","2034",10.1111947696633
"battery_2","new17","p33","2036",10.1111947696633
"battery_2","new17","p33","2038",10.1111947696633
"battery_2","new17","p33","2040",10.1111947696633
"battery_2","new17","p33","2042",10.1111947696633
"battery_2","new17","p33","2044",10.1111947696633
"battery_2","new17","p33","2046",10.1111947696633
"battery_2","new17","p33","2048",10.1111947696633
"battery_2","new17","p34","2034",7.63887375906982
"battery_2","new17","p34","2036",7.63887375906982
"battery_2","new17","p34","2038",7.63887375906982
"battery_2","new17","p34","2040",7.63887375906982
"battery_2","new17","p34","2042",7.63887375906982
"battery_2","new17","p34","2044",7.63887375906982
"battery_2","new17","p34","2046",7.63887375906982
"battery_2","new17","p34","2048",7.63887375906982
"battery_2","new19","p23","2036",3.84461390681585
"battery_2","new19","p23","2038",3.84461390681585
"battery_2","new19","p23","2040",3.84461390681585
"battery_2","new19","p23","2042",3.84461390681585
"battery_2","new19","p23","2044",3.84461390681585
"battery_2","new19","p23","2046",3.84461390681585
"battery_2","new19","p23","2048",3.84461390681585
"battery_2","new19","p23","2050",3.84461390681585
"battery_2","new19","p28","2036",135.712418114049
"battery_2","new19","p28","2038",135.712418114049
"battery_2","new19","p28","2040",135.712418114049
"battery_2","new19","p28","2042",135.712418114049
"battery_2","new19","p28","2044",135.712418114049
"battery_2","new19","p28","2046",135.712418114049
"battery_2","new19","p28","2048",135.712418114049
"battery_2","new19","p28","2050",135.712418114049
"battery_2","new19","p29","2036",31.637
"battery_2","new19","p29","2038",31.637
"battery_2","new19","p29","2040",31.637
"battery_2","new19","p29","2042",31.637
"battery_2","new19","p29","2044",31.637
"battery_2","new19","p29","2046",31.637
"battery_2","new19","p29","2048",31.637
"battery_2","new19","p29","2050",31.637
"battery_2","new19","p31","2036",214.241517649653
"battery_2","new19","p31","2038",214.241517649653
"battery_2","new19","p31","2040",214.241517649653
"battery_2","new19","p31","2042",214.241517649653
"battery_2","new19","p31","2044",214.241517649653
"battery_2","new19","p31","2046",214.241517649653
"battery_2","new19","p31","2048",214.241517649653
"battery_2","new19","p31","2050",214.241517649653
"battery_2","new19","p32","2036",16.0450394887702
"battery_2","new19","p32","2038",16.0450394887702
"battery_2","new19","p32","2040",16.0450394887702
"battery_2","new19","p32","2042",16.0450394887702
"battery_2","new19","p32","2044",16.0450394887702
"battery_2","new19","p32","2046",16.0450394887702
"battery_2","new19","p32","2048",16.0450394887702
"battery_2","new19","p32","2050",16.0450394887702
"battery_2","new19","p33","2036",62.1240390906648
"battery_2","new19","p33","2038",62.1240390906648
"battery_2","new19","p33","2040",62.1240390906648
"battery_2","new19","p33","2042",62.1240390906648
"battery_2","new19","p33","2044",62.1240390906648
"battery_2","new19","p33","2046",62.1240390906648
"battery_2","new19","p33","2048",62.1240390906648
"battery_2","new19","p33","2050",62.1240390906648
"battery_2","new19","p34","2036",25.5036968823365
"battery_2","new19","p34","2038",25.5036968823365
"battery_2","new19","p34","2040",25.5036968823365
"battery_2","new19","p34","2042",25.5036968823365
"battery_2","new19","p34","2044",25.5036968823365
"battery_2","new19","p34","2046",25.5036968823365
"battery_2","new19","p34","2048",25.5036968823365
"battery_2","new19","p34","2050",25.5036968823365
"battery_2","new19","p59","2036",24.1616748677084
"battery_2","new19","p59","2038",24.1616748677084
"battery_2","new19","p59","2040",24.1616748677084
"battery_2","new19","p59","2042",24.1616748677084
"battery_2","new19","p59","2044",24.1616748677084
"battery_2","new19","p59","2046",24.1616748677084
"battery_2","new19","p59","2048",24.1616748677084
"battery_2","new19","p59","2050",24.1616748677084
"battery_2","new21","p4","2038",32.433875
"battery_2","new21","p4","2040",32.433875
"battery_2","new21","p4","2042",32.433875
"battery_2","new21","p4","2044",32.433875
"battery_2","new21","p4","2046",32.433875
"battery_2","new21","p4","2048",32.433875
"battery_2","new21","p4","2050",32.433875
"battery_2","new21","p6","2038",2.93364712063607
"battery_2","new21","p6","2040",2.93364712063607
"battery_2","new21","p6","2042",2.93364712063607
"battery_2","new21","p6","2044",2.93364712063607
"battery_2","new21","p6","2046",2.93364712063607
"battery_2","new21","p6","2048",2.93364712063607
"battery_2","new21","p6","2050",2.93364712063607
"battery_2","new21","p8","2038",1.46146167619907
"battery_2","new21","p8","2040",1.46146167619907
"battery_2","new21","p8","2042",1.46146167619907
"battery_2","new21","p8","2044",1.46146167619907
"battery_2","new21","p8","2046",1.46146167619907
"battery_2","new21","p8","2048",1.46146167619907
"battery_2","new21","p8","2050",1.46146167619907
"battery_2","new21","p9","2038",189.831166570205
"battery_2","new21","p9","2040",189.831166570205
"battery_2","new21","p9","2042",189.831166570205
"battery_2","new21","p9","2044",189.831166570205
"battery_2","new21","p9","2046",189.831166570205
"battery_2","new21","p9","2048",189.831166570205
"battery_2","new21","p9","2050",189.831166570205
"battery_2","new21","p10","2038",706.269737997478
"battery_2","new21","p10","2040",706.269737997478
"battery_2","new21","p10","2042",706.269737997478
"battery_2","new21","p10","2044",706.269737997478
"battery_2","new21","p10","2046",706.269737997478
"battery_2","new21","p10","2048",706.269737997478
"battery_2","new21","p10","2050",706.269737997478
"battery_2","new21","p11","2038",107.279095432317
"battery_2","new21","p11","2040",107.279095432317
"battery_2","new21","p11","2042",107.279095432317
"battery_2","new21","p11","2044",107.279095432317
"battery_2","new21","p11","2046",107.279095432317
"battery_2","new21","p11","2048",107.279095432317
"battery_2","new21","p11","2050",107.279095432317
"battery_2","new21","p13","2038",263.731016203165
"battery_2","new21","p13","2040",263.731016203165
"battery_2","new21","p13","2042",263.731016203165
"battery_2","new21","p13","2044",263.731016203165
"battery_2","new21","p13","2046",263.731016203165
"battery_2","new21","p13","2048",263.731016203165
"battery_2","new21","p13","2050",263.731016203165
"battery_2","new21","p28","2038",255.737130241838
"battery_2","new21","p28","2040",255.737130241838
"battery_2","new21","p28","2042",255.737130241838
"battery_2","new21","p28","2044",255.737130241838
"battery_2","new21","p28","2046",255.737130241838
"battery_2","new21","p28","2048",255.737130241838
"battery_2","new21","p28","2050",255.737130241838
"battery_2","new21","p29","2038",19.7467390732692
"battery_2","new21","p29","2040",19.7467390732692
"battery_2","new21","p29","2042",19.7467390732692
"battery_2","new21","p29","2044",19.7467390732692
"battery_2","new21","p29","2046",19.7467390732692
"battery_2","new21","p29","2048",19.7467390732692
"battery_2","new21","p29","2050",19.7467390732692
"battery_2","new21","p30","2038",17.5009159992444
"battery_2","new21","p30","2040",17.5009159992444
"battery_2","new21","p30","2042",17.5009159992444
"battery_2","new21","p30","2044",17.5009159992444
