"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","p1","summ","2022",3.6
"battery_2","p1","summ","2024",3.6
"battery_2","p1","summ","2026",3.6
"battery_2","p1","summ","2028",3.6
"battery_2","p1","summ","2030",3.6
"battery_2","p1","summ","2032",1.6
"battery_2","p1","summ","2034",0.5
"battery_2","p1","summ","2036",0.5
"battery_2","p1","fall","2022",3.6
"battery_2","p1","fall","2024",3.6
"battery_2","p1","fall","2026",3.6
"battery_2","p1","fall","2028",3.6
"battery_2","p1","fall","2030",3.6
"battery_2","p1","fall","2032",1.6
"battery_2","p1","fall","2034",1
"battery_2","p1","fall","2036",1
"battery_2","p1","wint","2022",3.6
"battery_2","p1","wint","2024",3.6
"battery_2","p1","wint","2026",3.6
"battery_2","p1","wint","2028",3.6
"battery_2","p1","wint","2030",3.6
"battery_2","p1","wint","2032",1.6
"battery_2","p1","wint","2034",0.5
"battery_2","p1","wint","2036",0.5
"battery_2","p1","spri","2022",3.6
"battery_2","p1","spri","2024",3.6
"battery_2","p1","spri","2026",3.6
"battery_2","p1","spri","2028",3.6
"battery_2","p1","spri","2030",3.6
"battery_2","p1","spri","2032",1.6
"battery_2","p1","spri","2034",0.5
"battery_2","p1","spri","2036",0.5
"battery_2","p3","summ","2022",1.2
"battery_2","p3","summ","2024",1.2
"battery_2","p3","summ","2026",1.2
"battery_2","p3","summ","2028",1.2
"battery_2","p3","fall","2022",1.2
"battery_2","p3","fall","2024",1.2
"battery_2","p3","fall","2026",1.2
"battery_2","p3","fall","2028",1.2
"battery_2","p3","wint","2022",1.2
"battery_2","p3","wint","2024",1.2
"battery_2","p3","wint","2026",1.2
"battery_2","p3","wint","2028",1.2
"battery_2","p3","spri","2022",1.2
"battery_2","p3","spri","2024",1.2
"battery_2","p3","spri","2026",1.2
"battery_2","p3","spri","2028",1.2
"battery_2","p4","summ","2038",32.433875
"battery_2","p4","summ","2040",32.433875
"battery_2","p4","summ","2042",16.2169375
"battery_2","p4","summ","2044",16.2169375
"battery_2","p4","summ","2046",16.2169375
"battery_2","p4","summ","2048",16.2169375
"battery_2","p4","summ","2050",16.2169375
"battery_2","p4","fall","2038",32.433875
"battery_2","p4","fall","2040",32.433875
"battery_2","p4","fall","2042",8.10846875
"battery_2","p4","fall","2044",32.433875
"battery_2","p4","fall","2046",32.433875
"battery_2","p4","fall","2048",32.433875
"battery_2","p4","fall","2050",32.433875
"battery_2","p4","wint","2038",16.2169375
"battery_2","p4","wint","2040",32.433875
"battery_2","p4","wint","2042",32.433875
"battery_2","p4","wint","2044",32.433875
"battery_2","p4","wint","2046",32.433875
"battery_2","p4","wint","2048",16.2169375
"battery_2","p4","wint","2050",16.2169375
"battery_2","p4","spri","2038",16.2169375
"battery_2","p4","spri","2040",16.2169375
"battery_2","p4","spri","2042",16.2169375
"battery_2","p4","spri","2044",16.2169375
"battery_2","p4","spri","2046",16.2169375
"battery_2","p4","spri","2048",16.2169375
"battery_2","p4","spri","2050",16.2169375
"battery_2","p5","summ","2022",2.5
"battery_2","p5","summ","2024",2.5
"battery_2","p5","summ","2026",2.5
"battery_2","p5","summ","2028",2.5
"battery_2","p5","summ","2040",98.7349750000001
"battery_2","p5","summ","2042",97.539663939682
"battery_2","p5","summ","2044",49.3674875
"battery_2","p5","summ","2046",98.7349750000001
"battery_2","p5","summ","2048",49.3674875
"battery_2","p5","summ","2050",49.3674875
"battery_2","p5","fall","2022",2.5
"battery_2","p5","fall","2024",2.5
"battery_2","p5","fall","2026",2.5
"battery_2","p5","fall","2028",2.5
"battery_2","p5","fall","2040",98.7349750000001
"battery_2","p5","fall","2042",98.7349750000001
"battery_2","p5","fall","2044",98.7349750000001
"battery_2","p5","fall","2046",98.7349750000001
"battery_2","p5","fall","2048",98.7349750000001
"battery_2","p5","fall","2050",98.7349750000001
"battery_2","p5","wint","2022",2.5
"battery_2","p5","wint","2024",2.5
"battery_2","p5","wint","2026",2.5
"battery_2","p5","wint","2028",2.5
"battery_2","p5","wint","2040",98.7349750000001
"battery_2","p5","wint","2042",98.7349750000001
"battery_2","p5","wint","2044",98.7349750000001
"battery_2","p5","wint","2046",98.7349750000001
"battery_2","p5","wint","2048",49.3674875
"battery_2","p5","wint","2050",49.3674875
"battery_2","p5","spri","2022",2.5
"battery_2","p5","spri","2024",2.5
"battery_2","p5","spri","2026",2.5
"battery_2","p5","spri","2028",2.5
"battery_2","p5","spri","2040",49.3674875
"battery_2","p5","spri","2042",49.3674875
"battery_2","p5","spri","2044",49.3674875
"battery_2","p5","spri","2046",49.3674875
"battery_2","p5","spri","2048",49.3674875
"battery_2","p5","spri","2050",49.3674875
"battery_2","p6","summ","2022",0.625
"battery_2","p6","summ","2024",0.625
"battery_2","p6","summ","2026",0.625
"battery_2","p6","summ","2028",0.625
"battery_2","p6","summ","2030",1.25
"battery_2","p6","summ","2032",1.25
"battery_2","p6","summ","2034",0.625
"battery_2","p6","summ","2036",0.625
"battery_2","p6","summ","2038",2.93364712063607
"battery_2","p6","summ","2040",3.88564712063607
"battery_2","p6","summ","2042",3.88564712063607
"battery_2","p6","summ","2044",3.88564712063607
"battery_2","p6","summ","2046",4.78465937443678
"battery_2","p6","summ","2048",4.78465937443678
"battery_2","p6","summ","2050",2.39232968721839
"battery_2","p6","fall","2022",0.625
"battery_2","p6","fall","2024",0.625
"battery_2","p6","fall","2026",0.625
"battery_2","p6","fall","2028",0.625
"battery_2","p6","fall","2030",0.625
"battery_2","p6","fall","2032",0.625
"battery_2","p6","fall","2034",1.25
"battery_2","p6","fall","2036",1.25
"battery_2","p6","fall","2038",2.93364712063607
"battery_2","p6","fall","2040",3.88564712063607
"battery_2","p6","fall","2042",3.88564712063607
"battery_2","p6","fall","2044",3.88564712063607
"battery_2","p6","fall","2046",4.78465937443678
"battery_2","p6","fall","2048",4.78465937443678
"battery_2","p6","fall","2050",4.78465937443678
"battery_2","p6","wint","2022",0.625
"battery_2","p6","wint","2024",0.625
"battery_2","p6","wint","2026",0.625
"battery_2","p6","wint","2028",0.625
"battery_2","p6","wint","2030",0.625
"battery_2","p6","wint","2032",0.625
"battery_2","p6","wint","2034",0.625
"battery_2","p6","wint","2036",0.625
"battery_2","p6","wint","2038",1.46682356031804
"battery_2","p6","wint","2040",3.88564712063607
"battery_2","p6","wint","2042",3.88564712063607
"battery_2","p6","wint","2044",3.88564712063607
"battery_2","p6","wint","2046",4.78465937443678
"battery_2","p6","wint","2048",2.39232968721839
"battery_2","p6","wint","2050",2.39232968721839
"battery_2","p6","spri","2022",0.625
"battery_2","p6","spri","2024",0.625
"battery_2","p6","spri","2026",0.625
"battery_2","p6","spri","2028",0.625
"battery_2","p6","spri","2030",0.625
"battery_2","p6","spri","2032",0.625
"battery_2","p6","spri","2034",0.625
"battery_2","p6","spri","2036",0.625
"battery_2","p6","spri","2038",1.46682356031804
"battery_2","p6","spri","2040",1.94282356031804
"battery_2","p6","spri","2042",1.94282356031804
"battery_2","p6","spri","2044",1.94282356031804
"battery_2","p6","spri","2046",2.39232968721839
"battery_2","p6","spri","2048",2.39232968721839
"battery_2","p6","spri","2050",2.39232968721839
"battery_2","p8","summ","2038",1.46146167619907
"battery_2","p8","summ","2040",1.46146167619907
"battery_2","p8","summ","2042",0.730730838099537
"battery_2","p8","summ","2044",0.730730838099537
"battery_2","p8","summ","2046",73.242900651472
"battery_2","p8","summ","2048",76.9990681316588
"battery_2","p8","summ","2050",79.5412323125615
"battery_2","p8","fall","2038",1.46146167619907
"battery_2","p8","fall","2040",1.46146167619907
"battery_2","p8","fall","2042",1.46146167619907
"battery_2","p8","fall","2044",1.46146167619907
"battery_2","p8","fall","2046",146.485801302944
"battery_2","p8","fall","2048",153.998136263318
"battery_2","p8","fall","2050",159.082464625123
"battery_2","p8","wint","2038",0.730730838099537
"battery_2","p8","wint","2040",1.46146167619907
"battery_2","p8","wint","2042",1.46146167619907
"battery_2","p8","wint","2044",1.46146167619907
"battery_2","p8","wint","2046",146.485801302944
"battery_2","p8","wint","2048",76.9990681316588
"battery_2","p8","wint","2050",79.5412323125615
"battery_2","p8","spri","2038",0.730730838099537
"battery_2","p8","spri","2040",0.730730838099537
"battery_2","p8","spri","2042",0.730730838099537
"battery_2","p8","spri","2044",0.730730838099537
"battery_2","p8","spri","2046",73.242900651472
"battery_2","p8","spri","2048",76.9990681316588
"battery_2","p8","spri","2050",79.5412323125615
"battery_2","p9","summ","2024",256.086421816661
"battery_2","p9","summ","2026",728.842153200734
"battery_2","p9","summ","2028",728.842153200734
"battery_2","p9","summ","2030",813.216169862432
"battery_2","p9","summ","2032",1868.09470155556
"battery_2","p9","summ","2034",1868.09470155556
"battery_2","p9","summ","2036",1868.09470155556
"battery_2","p9","summ","2038",1981.44293406288
"battery_2","p9","summ","2040",2026.87033019138
"battery_2","p9","summ","2042",1554.1145988073
"battery_2","p9","summ","2044",1820.1053762917
"battery_2","p9","summ","2046",1764.97272401291
"battery_2","p9","summ","2048",1380.32253822353
"battery_2","p9","summ","2050",1513.88500693524
"battery_2","p9","fall","2024",128.04321090833
"battery_2","p9","fall","2026",364.421076600367
"battery_2","p9","fall","2028",364.421076600367
"battery_2","p9","fall","2030",406.608084931216
"battery_2","p9","fall","2032",934.047350777781
"battery_2","p9","fall","2034",934.047350777781
"battery_2","p9","fall","2036",1868.09470155556
"battery_2","p9","fall","2038",2057.92586812577
"battery_2","p9","fall","2040",2026.87033019138
"battery_2","p9","fall","2042",1554.1145988073
"battery_2","p9","fall","2044",1937.5207525834
"battery_2","p9","fall","2046",2428.58544802581
"battery_2","p9","fall","2048",2059.14507644705
"battery_2","p9","fall","2050",2326.57001387048
"battery_2","p9","wint","2024",128.04321090833
"battery_2","p9","wint","2026",364.421076600367
"battery_2","p9","wint","2028",364.421076600367
"battery_2","p9","wint","2030",270.80098456419
"battery_2","p9","wint","2032",622.075535618002
"battery_2","p9","wint","2034",622.075535618002
"battery_2","p9","wint","2036",622.075535618002
"battery_2","p9","wint","2038",685.28931408588
"battery_2","p9","wint","2040",1013.43516509569
"battery_2","p9","wint","2042",777.057299403652
"battery_2","p9","wint","2044",1937.5207525834
"battery_2","p9","wint","2046",1427.36456433342
"battery_2","p9","wint","2048",845.822403058863
"battery_2","p9","wint","2050",774.74781461887
"battery_2","p9","spri","2024",128.04321090833
"battery_2","p9","spri","2026",364.421076600367
"battery_2","p9","spri","2028",364.421076600367
"battery_2","p9","spri","2030",406.608084931216
"battery_2","p9","spri","2032",622.075535618002
"battery_2","p9","spri","2034",798.240250410755
"battery_2","p9","spri","2036",622.075535618002
"battery_2","p9","spri","2038",893.155833695857
"battery_2","p9","spri","2040",674.947819953728
"battery_2","p9","spri","2042",517.520161402832
"battery_2","p9","spri","2044",645.194410610274
"battery_2","p9","spri","2046",808.718954192596
"battery_2","p9","spri","2048",821.046959912399
"battery_2","p9","spri","2050",774.74781461887
"battery_2","p10","summ","2024",75.066492638769
"battery_2","p10","summ","2026",201.18551187839
"battery_2","p10","summ","2028",200.56551187839
"battery_2","p10","summ","2030",315.611495216692
"battery_2","p10","summ","2032",1266.18296352356
"battery_2","p10","summ","2034",1115.03796352356
"battery_2","p10","summ","2036",764.977963523562
"battery_2","p10","summ","2038",986.22635076052
"battery_2","p10","summ","2040",1302.03
"battery_2","p10","summ","2042",1276.67098076038
"battery_2","p10","summ","2044",1686.81785427984
"battery_2","p10","summ","2046",1629.60486261069
"battery_2","p10","summ","2048",1932.48257968836
"battery_2","p10","summ","2050",1932.48257968836
"battery_2","p10","fall","2024",37.5332463193845
"battery_2","p10","fall","2026",100.592755939195
"battery_2","p10","fall","2028",100.592755939195
"battery_2","p10","fall","2030",157.805747608346
"battery_2","p10","fall","2032",633.091481761781
"battery_2","p10","fall","2034",633.091481761781
"battery_2","p10","fall","2036",1266.18296352356
"battery_2","p10","fall","2038",1972.45270152104
"battery_2","p10","fall","2040",2604.06
"battery_2","p10","fall","2042",2477.94098076038
"battery_2","p10","fall","2044",3373.63570855968
"battery_2","p10","fall","2046",3259.20972522138
"battery_2","p10","fall","2048",3849.74262808843
"battery_2","p10","fall","2050",3864.96515937671
"battery_2","p10","wint","2024",37.5332463193845
"battery_2","p10","wint","2026",100.592755939195
"battery_2","p10","wint","2028",100.592755939195
"battery_2","p10","wint","2030",105.098627907158
"battery_2","p10","wint","2032",421.638926853346
"battery_2","p10","wint","2034",421.638926853346
"battery_2","p10","wint","2036",421.638926853346
"battery_2","p10","wint","2038",656.826749606506
"battery_2","p10","wint","2040",1302.03
"battery_2","p10","wint","2042",1238.97049038019
"battery_2","p10","wint","2044",1686.81785427984
"battery_2","p10","wint","2046",1629.60486261069
"battery_2","p10","wint","2048",1932.48257968836
"battery_2","p10","wint","2050",1546.93999078363
"battery_2","p10","spri","2024",37.5332463193845
"battery_2","p10","spri","2026",100.592755939195
"battery_2","p10","spri","2028",100.592755939195
"battery_2","p10","spri","2030",157.805747608346
"battery_2","p10","spri","2032",421.638926853346
"battery_2","p10","spri","2034",421.638926853346
"battery_2","p10","spri","2036",421.638926853346
"battery_2","p10","spri","2038",656.826749606506
"battery_2","p10","spri","2040",867.15198
"battery_2","p10","spri","2042",825.154346593206
"battery_2","p10","spri","2044",1282.16612615762
"battery_2","p10","spri","2046",1085.31683849872
"battery_2","p10","spri","2048",1814.4680565717
"battery_2","p10","spri","2050",1480.91750180292
"battery_2","p11","summ","2024",170.39708554457
"battery_2","p11","summ","2026",173.562334920876
"battery_2","p11","summ","2028",173.562334920876
"battery_2","p11","summ","2030",173.562334920876
