"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",2
"battery_2","p1","2018",1.1
"battery_2","p1","2022",0.5
"battery_2","p3","2014",1.2
"battery_2","p4","2038",16.2169375
"battery_2","p5","2014",2.5
"battery_2","p5","2040",49.3674875
"battery_2","p6","2022",0.625
"battery_2","p6","2038",1.46682356031804
"battery_2","p6","2040",0.476
"battery_2","p6","2046",0.449506126900355
"battery_2","p8","2038",0.730730838099537
"battery_2","p8","2046",72.5121698133724
"battery_2","p8","2048",3.75616748018682
"battery_2","p8","2050",2.5421641809027
"battery_2","p9","2024",128.04321090833
"battery_2","p9","2026",236.377865692037
"battery_2","p9","2030",42.187008330849
"battery_2","p9","2032",527.439265846565
"battery_2","p9","2038",94.9155832851023
"battery_2","p9","2040",112.515441941135
"battery_2","p9","2044",191.70307688805
"battery_2","p9","2046",287.719356052055
"battery_2","p9","2048",342.719080057183
"battery_2","p9","2050",133.712468711715
"battery_2","p10","2024",37.5332463193845
"battery_2","p10","2026",63.0595096198103
"battery_2","p10","2030",57.212991669151
"battery_2","p10","2032",475.285734153435
"battery_2","p10","2038",353.134868998739
"battery_2","p10","2040",353.336895558865
"battery_2","p10","2044",447.847363899651
"battery_2","p10","2048",778.163451231102
"battery_2","p11","2024",85.198542772285
"battery_2","p11","2026",1.58262468815306
"battery_2","p11","2038",53.6395477161585
"battery_2","p11","2040",33.0626625
"battery_2","p11","2044",62.1445592122988
"battery_2","p11","2046",10.9656439479452
"battery_2","p12","2022",50
"battery_2","p12","2044",39.8011646876367
"battery_2","p12","2046",135.643353756655
"battery_2","p12","2048",146.464182519813
"battery_2","p13","2022",50
"battery_2","p13","2038",131.865508101582
"battery_2","p13","2044",110.508835312363
"battery_2","p13","2046",97.3797461084935
"battery_2","p13","2050",119.594190224996
"battery_2","p18","2022",100
"battery_2","p21","2046",16.3606190917961
"battery_2","p23","2022",0.00177078098911039
"battery_2","p23","2036",1.92230695340793
"battery_2","p24","2046",1.90348544973352
"battery_2","p24","2048",125.971235072377
