"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","new1","p1","2016","bin1",4
"battery_2","new1","p1","2018","bin1",2.2
"battery_2","new1","p3","2014","bin1",2.4
"battery_2","new1","p5","2014","bin1",5
"battery_2","new1","p28","2018","bin1",2
"battery_2","new1","p30","2018","bin1",10
"battery_2","new1","p31","2012","bin1",1.8
"battery_2","new1","p31","2018","bin1",1
"battery_2","new1","p33","2018","bin1",4
"battery_2","new3","p28","2020","bin1",10
"battery_2","new5","p1","2022","bin1",1
"battery_2","new5","p6","2022","bin1",1.25
"battery_2","new5","p12","2022","bin1",100
"battery_2","new5","p13","2022","bin1",100
"battery_2","new5","p18","2022","bin1",200
"battery_2","new5","p23","2022","bin1",0.00354156197822078
"battery_2","new5","p28","2022","bin1",223
"battery_2","new7","p9","2024","bin1",256.086421816661
"battery_2","new7","p10","2024","bin1",75.066492638769
"battery_2","new7","p11","2024","bin1",170.39708554457
"battery_2","new9","p9","2026","bin1",472.755731384073
"battery_2","new9","p10","2026","bin1",126.119019239621
"battery_2","new9","p11","2026","bin1",3.16524937630612
"battery_2","new13","p9","2030","bin1",84.3740166616981
"battery_2","new13","p10","2030","bin1",114.425983338302
"battery_2","new15","p9","2032","bin1",1054.87853169313
"battery_2","new15","p10","2032","bin1",950.57146830687
"battery_2","new17","p27","2034","bin1",26.6891253874045
"battery_2","new17","p28","2034","bin1",234.400764521884
"battery_2","new17","p29","2034","bin1",61.676
"battery_2","new17","p30","2034","bin1",28.5005
"battery_2","new17","p33","2034","bin1",10.1111947696633
"battery_2","new17","p34","2034","bin1",7.63887375906982
"battery_2","new19","p23","2036","bin1",3.84461390681585
"battery_2","new19","p28","2036","bin1",135.712418114049
"battery_2","new19","p29","2036","bin1",31.637
"battery_2","new19","p31","2036","bin1",214.241517649653
"battery_2","new19","p32","2036","bin1",16.0450394887702
"battery_2","new19","p33","2036","bin1",62.1240390906648
"battery_2","new19","p34","2036","bin1",25.5036968823365
"battery_2","new19","p59","2036","bin1",24.1616748677084
"battery_2","new21","p4","2038","bin1",32.433875
"battery_2","new21","p6","2038","bin1",2.93364712063607
"battery_2","new21","p8","2038","bin1",1.46146167619907
"battery_2","new21","p9","2038","bin1",189.831166570205
"battery_2","new21","p10","2038","bin1",706.269737997478
"battery_2","new21","p11","2038","bin1",107.279095432317
"battery_2","new21","p13","2038","bin1",263.731016203165
"battery_2","new21","p28","2038","bin1",255.737130241838
"battery_2","new21","p29","2038","bin1",19.7467390732692
"battery_2","new21","p30","2038","bin1",17.5009159992444
"battery_2","new23","p5","2040","bin1",98.7349750000001
"battery_2","new23","p6","2040","bin1",0.952
"battery_2","new23","p9","2040","bin1",225.030883882271
"battery_2","new23","p10","2040","bin1",706.673791117729
"battery_2","new23","p11","2040","bin1",66.125325
"battery_2","new23","p25","2040","bin1",0.473025
"battery_2","new23","p28","2040","bin1",385.414763033125
"battery_2","new23","p29","2040","bin1",18.721675
"battery_2","new23","p30","2040","bin1",126.61175
"battery_2","new23","p31","2040","bin1",38.30257177415
"battery_2","new23","p34","2040","bin1",29.6697880231266
"battery_2","new25","p28","2042","bin1",81.213608958107
"battery_2","new25","p30","2042","bin1",437.064933586313
"battery_2","new25","p33","2042","bin1",34.2900272844144
"battery_2","new25","p34","2042","bin1",30.69088759555
"battery_2","new25","p59","2042","bin1",52.5487509928433
"battery_2","new27","p9","2044","bin1",383.4061537761
"battery_2","new27","p10","2044","bin1",895.694727799302
"battery_2","new27","p11","2044","bin1",124.289118424598
"battery_2","new27","p12","2044","bin1",79.6023293752735
"battery_2","new27","p13","2044","bin1",221.017670624726
"battery_2","new27","p29","2044","bin1",31.3238602330218
