"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2016",4
"battery_2","new1","p1","2018",2.2
"battery_2","new1","p3","2014",2.4
"battery_2","new1","p5","2014",5
"battery_2","new1","p28","2018",2
"battery_2","new1","p30","2018",10
"battery_2","new1","p31","2012",1.8
"battery_2","new1","p31","2018",1
"battery_2","new1","p33","2018",4
"battery_2","new3","p28","2020",10
"battery_2","new5","p1","2022",1
"battery_2","new5","p6","2022",1.25
"battery_2","new5","p12","2022",100
"battery_2","new5","p13","2022",100
"battery_2","new5","p18","2022",200
"battery_2","new5","p23","2022",0.00354156197822078
"battery_2","new5","p28","2022",223
"battery_2","new7","p9","2024",256.086421816661
"battery_2","new7","p10","2024",75.066492638769
"battery_2","new7","p11","2024",170.39708554457
"battery_2","new9","p9","2026",472.755731384073
"battery_2","new9","p10","2026",126.119019239621
"battery_2","new9","p11","2026",3.16524937630612
"battery_2","new13","p9","2030",84.3740166616981
"battery_2","new13","p10","2030",114.425983338302
"battery_2","new15","p9","2032",1054.87853169313
"battery_2","new15","p10","2032",950.57146830687
"battery_2","new17","p27","2034",26.6891253874045
"battery_2","new17","p28","2034",234.400764521884
"battery_2","new17","p29","2034",61.676
"battery_2","new17","p30","2034",28.5005
"battery_2","new17","p33","2034",10.1111947696633
"battery_2","new17","p34","2034",7.63887375906982
"battery_2","new19","p23","2036",3.84461390681585
"battery_2","new19","p28","2036",135.712418114049
"battery_2","new19","p29","2036",31.637
"battery_2","new19","p31","2036",214.241517649653
"battery_2","new19","p32","2036",16.0450394887702
"battery_2","new19","p33","2036",62.1240390906648
"battery_2","new19","p34","2036",25.5036968823365
"battery_2","new19","p59","2036",24.1616748677084
"battery_2","new21","p4","2038",32.433875
"battery_2","new21","p6","2038",2.93364712063607
"battery_2","new21","p8","2038",1.46146167619907
"battery_2","new21","p9","2038",189.831166570205
"battery_2","new21","p10","2038",706.269737997478
"battery_2","new21","p11","2038",107.279095432317
"battery_2","new21","p13","2038",263.731016203165
"battery_2","new21","p28","2038",255.737130241838
"battery_2","new21","p29","2038",19.7467390732692
"battery_2","new21","p30","2038",17.5009159992444
"battery_2","new23","p5","2040",98.7349750000001
"battery_2","new23","p6","2040",0.952
"battery_2","new23","p9","2040",225.030883882271
"battery_2","new23","p10","2040",706.673791117729
"battery_2","new23","p11","2040",66.125325
"battery_2","new23","p25","2040",0.473025
"battery_2","new23","p28","2040",385.414763033125
"battery_2","new23","p29","2040",18.721675
"battery_2","new23","p30","2040",126.61175
"battery_2","new23","p31","2040",38.30257177415
"battery_2","new23","p34","2040",29.6697880231266
"battery_2","new25","p28","2042",81.213608958107
"battery_2","new25","p30","2042",437.064933586313
"battery_2","new25","p33","2042",34.2900272844144
"battery_2","new25","p34","2042",30.69088759555
"battery_2","new25","p59","2042",52.5487509928433
"battery_2","new27","p9","2044",383.4061537761
"battery_2","new27","p10","2044",895.694727799302
"battery_2","new27","p11","2044",124.289118424598
"battery_2","new27","p12","2044",79.6023293752735
"battery_2","new27","p13","2044",221.017670624726
"battery_2","new27","p29","2044",31.3238602330218
"battery_2","new27","p30","2044",16.74797746082
"battery_2","new27","p33","2044",22.306084859624
"battery_2","new27","p34","2044",99.2398166503175
"battery_2","new27","p59","2044",227.282260796216
"battery_2","new29","p6","2046",0.89901225380071
"battery_2","new29","p8","2046",145.024339626745
"battery_2","new29","p9","2046",575.43871210411
"battery_2","new29","p11","2046",21.9312878958904
"battery_2","new29","p12","2046",271.28670751331
"battery_2","new29","p13","2046",194.759492216987
"battery_2","new29","p21","2046",32.7212381835921
"battery_2","new29","p24","2046",3.80697089946703
"battery_2","new29","p25","2046",57.1492102055651
"battery_2","new29","p30","2046",197.683029100534
"battery_2","new31","p8","2048",7.51233496037363
"battery_2","new31","p9","2048",685.438160114366
"battery_2","new31","p10","2048",1556.3269024622
"battery_2","new31","p12","2048",292.928365039626
"battery_2","new31","p24","2048",251.942470144753
"battery_2","new31","p25","2048",0.5593
"battery_2","new31","p29","2048",6.60355315527137
"battery_2","new31","p33","2048",4.167125
"battery_2","new31","p34","2048",70.1037915695828
"battery_2","new33","p8","2050",5.08432836180541
"battery_2","new33","p9","2050",267.42493742343
"battery_2","new33","p13","2050",239.188380449991
"battery_2","new33","p25","2050",56.8272911882031
"battery_4","new1","p9","2014",6
"battery_4","new1","p10","2012",1
"battery_4","new1","p10","2016",90.9
"battery_4","new1","p10","2018",33.3
"battery_4","new1","p11","2012",1
"battery_4","new1","p11","2014",2
"battery_4","new1","p11","2016",1
"battery_4","new1","p11","2018",79.5
"battery_4","new3","p9","2020",1
"battery_4","new3","p10","2020",20
"battery_4","new3","p11","2020",252
"battery_4","new5","p9","2022",1065.8
"battery_4","new5","p10","2022",814.8
"battery_4","new5","p11","2022",96
"battery_4","new5","p26","2022",0.087125
"battery_4","new7","p2","2024",7.8474826634532
"battery_4","new7","p6","2024",0.038675
"battery_4","new7","p7","2024",0.277378900396935
"battery_4","new7","p8","2024",7.32286006415101
"battery_4","new7","p9","2024",198.535697544278
"battery_4","new7","p10","2024",1336.72165897535
"battery_4","new7","p12","2024",100
"battery_4","new7","p13","2024",139.15630092
"battery_4","new9","p1","2026",0.953605596132085
"battery_4","new9","p2","2026",0.142800000000053
"battery_4","new9","p5","2026",0.437197819154408
"battery_4","new9","p6","2026",0.16065
"battery_4","new9","p8","2026",0.721417935848876
"battery_4","new9","p9","2026",10.849425352565
"battery_4","new9","p10","2026",134.681391567384
"battery_4","new9","p11","2026",1.40172551041679
"battery_4","new9","p12","2026",530.622737804448
"battery_4","new9","p13","2026",60.8436990800001
"battery_4","new9","p21","2026",23.9921417898418
"battery_4","new9","p23","2026",0.440283921407263
"battery_4","new9","p24","2026",102.040316822611
"battery_4","new9","p25","2026",96.7260633317229
"battery_4","new9","p26","2026",1.55239337926733
"battery_4","new9","p27","2026",112.170237527146
"battery_4","new9","p28","2026",394.950162968116
"battery_4","new9","p29","2026",0.2097375
"battery_4","new9","p30","2026",67.3641334470349
"battery_4","new9","p31","2026",87.6114435601005
"battery_4","new9","p33","2026",105.838809329101
"battery_4","new9","p59","2026",104.045693086718
"battery_4","new11","p5","2028",0.755135443398933
"battery_4","new11","p6","2028",0.393220918075856
"battery_4","new11","p7","2028",0.525164194593087
"battery_4","new11","p9","2028",9.52595
"battery_4","new11","p10","2028",479.919233004068
"battery_4","new11","p11","2028",292.924918045934
"battery_4","new11","p12","2028",586.225757852483
"battery_4","new11","p13","2028",1241.94283850095
"battery_4","new11","p19","2028",0.0813454552204943
"battery_4","new11","p21","2028",44.6179369054294
"battery_4","new11","p25","2028",464.86969130814
"battery_4","new11","p27","2028",73.1392288398769
"battery_4","new11","p28","2028",1197.13021364431
"battery_4","new11","p29","2028",10.20425
"battery_4","new11","p30","2028",444.126870984913
"battery_4","new11","p31","2028",67.4338460685553
"battery_4","new11","p33","2028",111.453590117788
"battery_4","new11","p59","2028",139.458871876697
"battery_4","new13","p1","2030",0.7490625
"battery_4","new13","p5","2030",66.1465702570832
"battery_4","new13","p6","2030",9.96605324063611
"battery_4","new13","p7","2030",0.224699967978711
"battery_4","new13","p8","2030",73.8595801677821
"battery_4","new13","p9","2030",721.221162500001
"battery_4","new13","p10","2030",20.3088375
"battery_4","new13","p12","2030",182.486140730884
"battery_4","new13","p13","2030",45.7794673386799
"battery_4","new13","p20","2030",85.5751018317186
"battery_4","new13","p21","2030",123.55308381744
"battery_4","new13","p22","2030",13.9090909090909
"battery_4","new13","p23","2030",21.2757292007684
"battery_4","new13","p25","2030",53.6082641049974
"battery_4","new13","p26","2030",0.811267177120836
