"Dim1","Dim2","Dim3","Dim4","Val"
"upv_4","new31","p5","2048",19.8
"upv_4","new31","p6","2048",5
"upv_4","new31","p15","2048",120
"upv_4","new33","p5","2050",111.9
"upv_4","new33","p6","2050",21.601872655728
"upv_4","new33","p15","2050",80
"upv_4","new33","p21","2050",92
"upv_5","new25","p34","2042",19
"upv_5","new27","p34","2044",70.5
"upv_5","new31","p33","2048",63.6
"upv_5","new31","p34","2048",212
"upv_5","new33","p33","2050",66
"upv_6","new25","p9","2042",5
"upv_6","new25","p13","2042",48
"upv_6","new27","p9","2044",269
"upv_6","new27","p12","2044",21.8
"upv_6","new27","p13","2044",164
"upv_6","new27","p27","2044",9
"upv_6","new27","p30","2044",30
"upv_6","new29","p9","2046",113.590130127812
"upv_6","new29","p11","2046",42.3
"upv_6","new29","p13","2046",277.5
"upv_6","new29","p29","2046",8.3
"upv_6","new29","p30","2046",82.6
"upv_6","new31","p9","2048",984.019370266485
"upv_6","new31","p10","2048",1304.19138461538
"upv_6","new31","p13","2048",838.1
"upv_6","new31","p25","2048",810.4
"upv_6","new31","p27","2048",10
"upv_6","new31","p28","2048",466.8
"upv_6","new31","p30","2048",15.84
"upv_6","new33","p9","2050",353.320355924575
"upv_6","new33","p10","2050",990.8
"upv_6","new33","p11","2050",20
"upv_6","new33","p12","2050",95.6
"upv_6","new33","p13","2050",229
"upv_6","new33","p27","2050",55
"upv_6","new33","p28","2050",87.3
"upv_7","new27","p10","2044",213
"upv_7","new27","p28","2044",557.6
"upv_7","new27","p31","2044",95.5
"upv_7","new29","p10","2046",2532.833
"upv_7","new29","p28","2046",370.8
"upv_7","new29","p31","2046",74.7
"upv_7","new29","p59","2046",10.3
"upv_7","new31","p10","2048",1225.76161538462
"upv_7","new31","p31","2048",56.2
"upv_7","new33","p31","2050",71.1
"dupv_5","new27","p34","2044",1
"dupv_5","new29","p13","2046",3.3
"dupv_5","new31","p13","2048",6.4
"dupv_5","new33","p13","2050",3.1
"dupv_6","new27","p11","2044",3.3
"dupv_6","new29","p11","2046",4.5
"dupv_6","new31","p11","2048",8
"dupv_6","new33","p11","2050",10.2
"wind-ons_1","new5","s74","2022",43.4000000000001
"wind-ons_1","new13","s74","2030",41.4
"wind-ons_1","new15","s74","2032",56.2
"wind-ons_1","new19","s33","2036",24.956
"wind-ons_1","new23","s74","2040",653.7
"wind-ons_1","new25","s74","2042",311
"wind-ons_1","new27","s16","2044",146.407
"wind-ons_1","new27","s30","2044",554.745
"wind-ons_1","new27","s33","2044",226.646
"wind-ons_1","new29","s64","2046",10
"wind-ons_1","new31","s74","2048",80
"wind-ons_1","new33","s92","2050",298
"wind-ons_2","new23","s74","2040",17
"wind-ons_2","new27","s31","2044",60.701
"wind-ons_2","new27","s66","2044",60
"wind-ons_2","new27","s67","2044",9.6
"wind-ons_2","new29","s66","2046",9.7
"wind-ons_2","new31","s64","2048",25
"wind-ons_2","new33","s66","2050",4.3
"wind-ons_2","new33","s67","2050",110.1
"wind-ons_3","new17","s87","2034",162
"wind-ons_3","new27","s30","2044",220.534
"wind-ons_3","new27","s31","2044",31.59
"wind-ons_3","new27","s84","2044",14.5
"wind-ons_3","new27","s87","2044",14.5
