"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","p1","summ","4","2022",7.2
"battery_2","p1","summ","4","2024",7.2
"battery_2","p1","summ","4","2026",7.2
"battery_2","p1","summ","4","2028",7.2
"battery_2","p1","summ","4","2030",7.2
"battery_2","p1","summ","4","2032",3.2
"battery_2","p1","summ","4","2034",1
"battery_2","p1","summ","4","2036",1
"battery_2","p1","summ","8760","2016",4
"battery_2","p1","summ","8760","2018",6.2
"battery_2","p1","summ","8760","2020",6.2
"battery_2","p1","fall","2","2034",1
"battery_2","p1","fall","2","2036",1
"battery_2","p1","fall","4","2022",7.2
"battery_2","p1","fall","4","2024",7.2
"battery_2","p1","fall","4","2026",7.2
"battery_2","p1","fall","4","2028",7.2
"battery_2","p1","fall","4","2030",7.2
"battery_2","p1","fall","4","2032",3.2
"battery_2","p1","fall","8760","2016",4
"battery_2","p1","fall","8760","2018",6.2
"battery_2","p1","fall","8760","2020",6.2
"battery_2","p1","wint","4","2022",7.2
"battery_2","p1","wint","4","2024",7.2
"battery_2","p1","wint","4","2026",7.2
"battery_2","p1","wint","4","2028",7.2
"battery_2","p1","wint","4","2030",7.2
"battery_2","p1","wint","4","2032",3.2
"battery_2","p1","wint","4","2034",1
"battery_2","p1","wint","4","2036",1
"battery_2","p1","wint","8760","2016",4
"battery_2","p1","wint","8760","2018",6.2
"battery_2","p1","wint","8760","2020",6.2
"battery_2","p1","spri","4","2022",7.2
"battery_2","p1","spri","4","2024",7.2
"battery_2","p1","spri","4","2026",7.2
"battery_2","p1","spri","4","2028",7.2
"battery_2","p1","spri","4","2030",7.2
"battery_2","p1","spri","4","2032",3.2
"battery_2","p1","spri","4","2034",1
"battery_2","p1","spri","4","2036",1
"battery_2","p1","spri","8760","2016",4
"battery_2","p1","spri","8760","2018",6.2
"battery_2","p1","spri","8760","2020",6.2
"battery_2","p3","summ","4","2022",2.4
"battery_2","p3","summ","4","2024",2.4
"battery_2","p3","summ","4","2026",2.4
"battery_2","p3","summ","4","2028",2.4
"battery_2","p3","summ","8760","2014",2.4
"battery_2","p3","summ","8760","2016",2.4
"battery_2","p3","summ","8760","2018",2.4
"battery_2","p3","summ","8760","2020",2.4
"battery_2","p3","fall","4","2022",2.4
"battery_2","p3","fall","4","2024",2.4
"battery_2","p3","fall","4","2026",2.4
"battery_2","p3","fall","4","2028",2.4
"battery_2","p3","fall","8760","2014",2.4
"battery_2","p3","fall","8760","2016",2.4
"battery_2","p3","fall","8760","2018",2.4
"battery_2","p3","fall","8760","2020",2.4
"battery_2","p3","wint","4","2022",2.4
"battery_2","p3","wint","4","2024",2.4
"battery_2","p3","wint","4","2026",2.4
"battery_2","p3","wint","4","2028",2.4
"battery_2","p3","wint","8760","2014",2.4
"battery_2","p3","wint","8760","2016",2.4
"battery_2","p3","wint","8760","2018",2.4
"battery_2","p3","wint","8760","2020",2.4
"battery_2","p3","spri","4","2022",2.4
"battery_2","p3","spri","4","2024",2.4
"battery_2","p3","spri","4","2026",2.4
"battery_2","p3","spri","4","2028",2.4
"battery_2","p3","spri","8760","2014",2.4
"battery_2","p3","spri","8760","2016",2.4
"battery_2","p3","spri","8760","2018",2.4
"battery_2","p3","spri","8760","2020",2.4
"battery_2","p4","summ","2","2038",32.433875
"battery_2","p4","summ","2","2040",32.433875
"battery_2","p4","summ","4","2042",32.433875
"battery_2","p4","summ","4","2044",32.433875
"battery_2","p4","summ","4","2046",32.433875
"battery_2","p4","summ","4","2048",32.433875
"battery_2","p4","summ","4","2050",32.433875
"battery_2","p4","fall","2","2038",32.433875
"battery_2","p4","fall","2","2040",32.433875
"battery_2","p4","fall","2","2044",32.433875
"battery_2","p4","fall","2","2046",32.433875
"battery_2","p4","fall","2","2048",32.433875
"battery_2","p4","fall","2","2050",32.433875
"battery_2","p4","fall","8","2042",32.433875
"battery_2","p4","wint","2","2040",32.433875
"battery_2","p4","wint","2","2042",32.433875
"battery_2","p4","wint","2","2044",32.433875
"battery_2","p4","wint","2","2046",32.433875
"battery_2","p4","wint","4","2038",32.433875
"battery_2","p4","wint","4","2048",32.433875
"battery_2","p4","wint","4","2050",32.433875
"battery_2","p4","spri","4","2038",32.433875
"battery_2","p4","spri","4","2040",32.433875
"battery_2","p4","spri","4","2042",32.433875
"battery_2","p4","spri","4","2044",32.433875
"battery_2","p4","spri","4","2046",32.433875
"battery_2","p4","spri","4","2048",32.433875
"battery_2","p4","spri","4","2050",32.433875
"battery_2","p5","summ","2","2040",98.7349750000001
"battery_2","p5","summ","2","2042",96.3443528793639
"battery_2","p5","summ","2","2046",98.7349750000001
"battery_2","p5","summ","4","2022",5
"battery_2","p5","summ","4","2024",5
"battery_2","p5","summ","4","2026",5
"battery_2","p5","summ","4","2028",5
"battery_2","p5","summ","4","2042",2.39062212063614
"battery_2","p5","summ","4","2044",98.7349750000001
"battery_2","p5","summ","4","2048",98.7349750000001
"battery_2","p5","summ","4","2050",98.7349750000001
"battery_2","p5","summ","8760","2014",5
"battery_2","p5","summ","8760","2016",5
"battery_2","p5","summ","8760","2018",5
"battery_2","p5","summ","8760","2020",5
"battery_2","p5","fall","2","2040",98.7349750000001
"battery_2","p5","fall","2","2042",98.7349750000001
"battery_2","p5","fall","2","2044",98.7349750000001
"battery_2","p5","fall","2","2046",98.7349750000001
"battery_2","p5","fall","2","2048",98.7349750000001
"battery_2","p5","fall","2","2050",98.7349750000001
"battery_2","p5","fall","4","2022",5
"battery_2","p5","fall","4","2024",5
"battery_2","p5","fall","4","2026",5
"battery_2","p5","fall","4","2028",5
"battery_2","p5","fall","8760","2014",5
"battery_2","p5","fall","8760","2016",5
"battery_2","p5","fall","8760","2018",5
"battery_2","p5","fall","8760","2020",5
"battery_2","p5","wint","2","2040",98.7349750000001
"battery_2","p5","wint","2","2042",98.7349750000001
"battery_2","p5","wint","2","2044",98.7349750000001
"battery_2","p5","wint","2","2046",98.7349750000001
"battery_2","p5","wint","4","2022",5
"battery_2","p5","wint","4","2024",5
"battery_2","p5","wint","4","2026",5
"battery_2","p5","wint","4","2028",5
"battery_2","p5","wint","4","2048",98.7349750000001
"battery_2","p5","wint","4","2050",98.7349750000001
"battery_2","p5","wint","8760","2014",5
"battery_2","p5","wint","8760","2016",5
"battery_2","p5","wint","8760","2018",5
"battery_2","p5","wint","8760","2020",5
"battery_2","p5","spri","4","2022",5
"battery_2","p5","spri","4","2024",5
"battery_2","p5","spri","4","2026",5
"battery_2","p5","spri","4","2028",5
"battery_2","p5","spri","4","2040",98.7349750000001
"battery_2","p5","spri","4","2042",98.7349750000001
"battery_2","p5","spri","4","2044",98.7349750000001
"battery_2","p5","spri","4","2046",98.7349750000001
"battery_2","p5","spri","4","2048",98.7349750000001
"battery_2","p5","spri","4","2050",98.7349750000001
"battery_2","p5","spri","8760","2014",5
"battery_2","p5","spri","8760","2016",5
"battery_2","p5","spri","8760","2018",5
"battery_2","p5","spri","8760","2020",5
"battery_2","p6","summ","2","2030",1.25
"battery_2","p6","summ","2","2032",1.25
"battery_2","p6","summ","2","2038",2.93364712063607
"battery_2","p6","summ","2","2040",3.88564712063607
"battery_2","p6","summ","2","2042",3.88564712063607
"battery_2","p6","summ","2","2044",3.88564712063607
"battery_2","p6","summ","2","2046",4.78465937443678
"battery_2","p6","summ","2","2048",4.78465937443678
"battery_2","p6","summ","4","2022",1.25
"battery_2","p6","summ","4","2024",1.25
"battery_2","p6","summ","4","2026",1.25
"battery_2","p6","summ","4","2028",1.25
"battery_2","p6","summ","4","2034",1.25
"battery_2","p6","summ","4","2036",1.25
"battery_2","p6","summ","4","2050",4.78465937443678
"battery_2","p6","fall","2","2034",1.25
"battery_2","p6","fall","2","2036",1.25
"battery_2","p6","fall","2","2038",2.93364712063607
"battery_2","p6","fall","2","2040",3.88564712063607
"battery_2","p6","fall","2","2042",3.88564712063607
"battery_2","p6","fall","2","2044",3.88564712063607
"battery_2","p6","fall","2","2046",4.78465937443678
"battery_2","p6","fall","2","2048",4.78465937443678
"battery_2","p6","fall","2","2050",4.78465937443678
"battery_2","p6","fall","4","2022",1.25
"battery_2","p6","fall","4","2024",1.25
"battery_2","p6","fall","4","2026",1.25
"battery_2","p6","fall","4","2028",1.25
"battery_2","p6","fall","4","2030",1.25
"battery_2","p6","fall","4","2032",1.25
"battery_2","p6","wint","2","2040",3.88564712063607
"battery_2","p6","wint","2","2042",3.88564712063607
"battery_2","p6","wint","2","2044",3.88564712063607
"battery_2","p6","wint","2","2046",4.78465937443678
"battery_2","p6","wint","4","2022",1.25
"battery_2","p6","wint","4","2024",1.25
"battery_2","p6","wint","4","2026",1.25
"battery_2","p6","wint","4","2028",1.25
"battery_2","p6","wint","4","2030",1.25
"battery_2","p6","wint","4","2032",1.25
"battery_2","p6","wint","4","2034",1.25
"battery_2","p6","wint","4","2036",1.25
"battery_2","p6","wint","4","2038",2.93364712063607
