"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2016",7990031.076
"battery_2","new1","p1","2018",1653093.3144
"battery_2","new1","p3","2014",4706182.2384
"battery_2","new1","p5","2014",9929751.735
"battery_2","new1","p28","2018",1466582.304
"battery_2","new1","p30","2018",7303927.68
"battery_2","new1","p31","2012",3474161.0532
"battery_2","new1","p31","2018",726045.192
"battery_2","new1","p33","2018",2886790.464
"battery_2","new3","p28","2020",7302571.76
"battery_2","new5","p1","2022",672018.193
"battery_2","new5","p6","2022",846648.6875
"battery_2","new5","p12","2022",67496305.8
"battery_2","new5","p13","2022",67142922
"battery_2","new5","p18","2022",132047746.6
"battery_2","new5","p23","2022",2286.1292837665
"battery_2","new5","p28","2022",146182509.627
"battery_2","new7","p9","2024",150046648.981093
"battery_2","new7","p10","2024",43595245.7366838
"battery_2","new7","p11","2024",99839388.2062671
"battery_2","new9","p9","2026",245854933.204861
"battery_2","new9","p10","2026",64987126.0784847
"battery_2","new9","p11","2026",1646076.65719922
"battery_2","new13","p9","2030",38380126.5263378
"battery_2","new13","p10","2030",51566003.5964654
"battery_2","new15","p9","2032",468135577.112575
"battery_2","new15","p10","2032",417921882.926961
"battery_2","new17","p27","2034",11132672.5228983
"battery_2","new17","p28","2034",95794167.4887999
"battery_2","new17","p29","2034",25131127.922908
"battery_2","new17","p30","2034",11613102.5255665
"battery_2","new17","p33","2034",4071204.2324395
"battery_2","new17","p34","2034",3078813.55616145
"battery_2","new19","p23","2036",1507298.8096018
"battery_2","new19","p28","2036",54003989.3408555
"battery_2","new19","p29","2036",12552125.881303
"battery_2","new19","p31","2036",84413938.3803794
"battery_2","new19","p32","2036",6271679.80468763
"battery_2","new19","p33","2036",24356019.2098894
"battery_2","new19","p34","2036",10008832.1408906
"battery_2","new19","p59","2036",9557866.40434839
"battery_2","new21","p4","2038",12730831.745115
"battery_2","new21","p6","2038",1174982.24426582
"battery_2","new21","p8","2038",589242.161774581
"battery_2","new21","p9","2038",77767241.8023329
"battery_2","new21","p10","2038",286642723.129308
"battery_2","new21","p11","2038",43948522.8140088
"battery_2","new21","p13","2038",104724824.743075
"battery_2","new21","p28","2038",99016645.7977377
"battery_2","new21","p29","2038",7622993.4750667
"battery_2","new21","p30","2038",6756020.22060057
