"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p1","p2","AC","summ","2022",736.311352824299
"p1","p2","AC","summ","2024",479.845585435438
"p1","p2","AC","summ","2026",776.481182095667
"p1","p2","AC","summ","2028",272.388041266952
"p1","p2","AC","fall","2022",2927.071
"p1","p2","AC","fall","2024",2936.76180776172
"p1","p2","AC","fall","2026",2937.1747366966
"p1","p2","AC","fall","2028",1609.8259264881
"p1","p2","AC","fall","2030",531.800277937298
"p1","p2","AC","wint","2024",178.30799309664
"p1","p2","AC","spri","2022",971.723080764391
"p1","p2","AC","spri","2024",1018.95766360267
"p1","p2","AC","spri","2048",1155.34625173519
"p1","p4","AC","wint","2028",456.350529275624
"p1","p4","AC","spri","2026",1229.8533683469
"p1","p4","AC","spri","2046",2110.52232665792
"p2","p1","AC","fall","2022",2686.48063882303
"p2","p1","AC","fall","2026",235.840922792097
"p2","p1","AC","wint","2022",5092.371
"p2","p1","AC","wint","2026",3309.72124266844
"p2","p1","AC","wint","2028",825.579907002979
"p2","p1","AC","wint","2030",3226.90358383009
"p2","p1","AC","wint","2032",1492.80161940718
"p2","p1","AC","wint","2034",5257.875353522
"p2","p1","AC","wint","2036",3258.44139477228
"p2","p1","AC","wint","2038",3802.00940311336
"p2","p1","AC","wint","2040",3768.61250917027
"p2","p1","AC","wint","2042",2374.96147590569
"p2","p1","AC","wint","2044",945.659963199565
"p2","p1","AC","spri","2022",5092.371
"p2","p1","AC","spri","2028",286.799668666965
"p2","p1","AC","spri","2030",3510.77804032853
"p2","p1","AC","spri","2032",4033.57912537124
"p2","p1","AC","spri","2034",810.234753984951
"p2","p1","AC","spri","2036",1745.90666139591
"p2","p1","AC","spri","2038",2477.96254877646
"p2","p1","AC","spri","2040",2397.90126181441
"p2","p1","AC","spri","2042",1175.74597992329
"p2","p3","AC","summ","2022",58.7746082520175
"p2","p3","AC","wint","2024",185.490913512414
"p2","p3","AC","wint","2026",305.51415887166
"p2","p3","AC","wint","2028",1524.634
"p2","p3","AC","wint","2032",43.0439518778072
"p2","p3","AC","wint","2034",139.88779254119
"p2","p3","AC","wint","2036",160.425728428338
"p2","p3","AC","spri","2024",1524.634
"p2","p3","AC","spri","2030",1524.634
"p2","p3","AC","spri","2036",136.461495764788
"p2","p3","AC","spri","2038",591.20441444874
"p2","p3","AC","spri","2042",190.949104089127
"p2","p3","AC","spri","2048",694.679207622502
"p2","p4","AC","wint","2022",2151.48135929431
"p2","p4","AC","spri","2024",3196.0065827944
"p2","p5","AC","summ","2022",24723.0048928012
