"Dim1","Dim2","Dim3","Dim4","Val"
"upv_3","p1","summ","2022",0.17796
"upv_3","p1","summ","2036",0.10187
"upv_3","p1","fall","2022",0.06961
"upv_3","p1","fall","2036",0.02084
"upv_3","p1","spri","2022",0.059
"upv_3","p2","summ","2022",0.18574
"upv_3","p2","summ","2030",0.12968
"upv_3","p2","summ","2034",0.05663
"upv_3","p2","summ","2036",0.09632
"upv_3","p2","fall","2022",0.06294
"upv_3","p2","fall","2030",0.0212
"upv_3","p2","fall","2034",0.01311
"upv_3","p2","fall","2036",0.01364
"upv_3","p2","spri","2022",0.0622
"upv_3","p2","spri","2030",0.02736
"upv_3","p3","summ","2018",0.169940170091324
"upv_3","p3","fall","2018",0.169940170091324
"upv_3","p3","wint","2018",0.169940170091324
"upv_3","p3","spri","2018",0.169940170091324
"upv_3","p7","summ","2024",0.33509
"upv_3","p7","summ","2028",0.24422
"upv_3","p7","summ","2030",0.29061
"upv_3","p7","summ","2032",0.18089
"upv_3","p7","summ","2034",0.21113
"upv_3","p7","summ","2036",0.30859
"upv_3","p7","summ","2038",0.25437
"upv_3","p7","summ","2040",0.22989
"upv_3","p7","summ","2042",0.2251
"upv_3","p7","summ","2044",0.21807
"upv_3","p7","summ","2046",0.2379
"upv_3","p7","summ","2048",0.24177
"upv_3","p7","summ","2050",0.25479
"upv_3","p7","fall","2024",0.13319
"upv_3","p7","fall","2028",0.0605
"upv_3","p7","fall","2030",0.1052
"upv_3","p7","fall","2032",0.06428
"upv_3","p7","fall","2034",0.0869
"upv_3","p7","fall","2036",0.14619
"upv_3","p7","fall","2038",0.11387
"upv_3","p7","fall","2040",0.1042
"upv_3","p7","fall","2042",0.10577
"upv_3","p7","fall","2044",0.10258
"upv_3","p7","fall","2046",0.10438
"upv_3","p7","fall","2048",0.09884
"upv_3","p7","fall","2050",0.10228
"upv_3","p7","spri","2024",0.01925
"upv_3","p7","spri","2028",0.02692
"upv_3","p7","spri","2030",0.02463
"upv_3","p7","spri","2032",0.01449
"upv_3","p7","spri","2034",0.02609
"upv_3","p7","spri","2036",0.06349
"upv_3","p7","spri","2038",0.06184
"upv_3","p7","spri","2040",0.06841
"upv_3","p7","spri","2042",0.06611
"upv_3","p7","spri","2044",0.06897
"upv_3","p7","spri","2046",0.0645
"upv_3","p7","spri","2048",0.06471
"upv_3","p7","spri","2050",0.06818
"upv_3","p17","summ","2022",0.07369
"upv_3","p17","fall","2022",0.01247
"upv_3","p17","spri","2022",0.0532
"upv_3","p20","fall","2022",0.01497
"upv_3","p20","spri","2022",0.0401
"upv_4","p5","summ","2016",0.196217184931507
"upv_4","p5","summ","2018",0.196217184931507
"upv_4","p5","summ","2020",0.196217184931507
"upv_4","p5","summ","2022",0.18228
"upv_4","p5","summ","2028",0.11633
"upv_4","p5","summ","2030",0.11971
"upv_4","p5","summ","2032",0.04554
"upv_4","p5","summ","2034",0.05263
"upv_4","p5","summ","2036",0.08842
"upv_4","p5","summ","2038",0.05396
"upv_4","p5","summ","2040",0.03711
"upv_4","p5","summ","2042",0.03381
"upv_4","p5","summ","2048",0.05314
"upv_4","p5","summ","2050",0.06476
"upv_4","p5","fall","2016",0.196217184931507
"upv_4","p5","fall","2018",0.196217184931507
"upv_4","p5","fall","2020",0.196217184931507
"upv_4","p5","fall","2022",0.07823
"upv_4","p5","fall","2028",0.01627
"upv_4","p5","fall","2030",0.01793
"upv_4","p5","fall","2032",0.01277
"upv_4","p5","fall","2034",0.01346
"upv_4","p5","fall","2036",0.01684
"upv_4","p5","fall","2038",0.0159
"upv_4","p5","wint","2016",0.196217184931507
"upv_4","p5","wint","2018",0.196217184931507
"upv_4","p5","wint","2020",0.196217184931507
"upv_4","p5","spri","2016",0.196217184931507
"upv_4","p5","spri","2018",0.196217184931507
"upv_4","p5","spri","2020",0.196217184931507
"upv_4","p5","spri","2022",0.0151
"upv_4","p5","spri","2028",0.01702
"upv_4","p5","spri","2030",0.01579
"upv_4","p6","summ","2016",0.199004858447489
"upv_4","p6","summ","2018",0.199004858447489
"upv_4","p6","summ","2020",0.199004858447489
"upv_4","p6","summ","2028",0.12719
"upv_4","p6","summ","2030",0.12821
"upv_4","p6","summ","2034",0.05511
"upv_4","p6","summ","2036",0.0961
"upv_4","p6","summ","2038",0.05734
"upv_4","p6","summ","2042",0.03441
"upv_4","p6","summ","2048",0.05467
"upv_4","p6","summ","2050",0.06536
"upv_4","p6","fall","2016",0.199004858447489
"upv_4","p6","fall","2018",0.199004858447489
"upv_4","p6","fall","2020",0.199004858447489
"upv_4","p6","fall","2028",0.02728
"upv_4","p6","fall","2030",0.03247
"upv_4","p6","fall","2034",0.01457
"upv_4","p6","fall","2036",0.02384
"upv_4","p6","fall","2038",0.02031
"upv_4","p6","fall","2042",0.0121
"upv_4","p6","fall","2048",0.01234
