"Dim1","Dim2","Val"
"battery_2","2010",1926237
"battery_2","2011",1926237
"battery_2","2012",1926237
"battery_2","2013",1926237
"battery_2","2014",1926237
"battery_2","2015",1926237
"battery_2","2016",1926237
"battery_2","2017",1926237
"battery_2","2018",724596
"battery_2","2019",630819
"battery_2","2020",721598
"battery_2","2021",625606
"battery_2","2022",588973
"battery_2","2023",544700
"battery_2","2024",516686
"battery_2","2025",490730
"battery_2","2026",476233
"battery_2","2027",462716
"battery_2","2028",445379
"battery_2","2029",435682
"battery_2","2030",423145
"battery_2","2031",418109
"battery_2","2032",412820
"battery_2","2033",407531
"battery_2","2034",402241
"battery_2","2035",396952
"battery_2","2036",391663
"battery_2","2037",386373
"battery_2","2038",381084
"battery_2","2039",375795
"battery_2","2040",370505
"battery_2","2041",365216
"battery_2","2042",359927
"battery_2","2043",354638
"battery_2","2044",349348
"battery_2","2045",344059
"battery_2","2046",338770
"battery_2","2047",333480
"battery_2","2048",328191
"battery_2","2049",322902
"battery_2","2050",317683
"battery_4","2010",2961340
"battery_4","2011",2746804
"battery_4","2012",2532267
"battery_4","2013",2317731
"battery_4","2014",2103194
"battery_4","2015",1888658
"battery_4","2016",1788333
"battery_4","2017",1688008
"battery_4","2018",1228729
"battery_4","2019",1060126
"battery_4","2020",1261096
"battery_4","2021",1077267
"battery_4","2022",1000866
"battery_4","2023",916823
"battery_4","2024",851882
"battery_4","2025",806041
"battery_4","2026",771660
"battery_4","2027",741099
"battery_4","2028",706718
"battery_4","2029",679977
"battery_4","2030",653237
"battery_4","2031",645396
"battery_4","2032",637230
"battery_4","2033",629065
"battery_4","2034",620900
"battery_4","2035",612734
"battery_4","2036",604569
"battery_4","2037",596403
"battery_4","2038",588238
"battery_4","2039",580072
"battery_4","2040",571907
"battery_4","2041",563741
"battery_4","2042",555576
"battery_4","2043",547410
"battery_4","2044",539245
"battery_4","2045",531079
"battery_4","2046",522914
"battery_4","2047",514749
"battery_4","2048",506583
"battery_4","2049",498418
"battery_4","2050",490252
"battery_6","2010",3236078
"battery_6","2011",3236078
"battery_6","2012",3236078
"battery_6","2013",3236078
"battery_6","2014",3236078
"battery_6","2015",3236078
"battery_6","2016",3236078
"battery_6","2017",3236078
"battery_6","2018",1733613
"battery_6","2019",1489434
"battery_6","2020",1800595
"battery_6","2021",1528929
"battery_6","2022",1412758
"battery_6","2023",1288947
"battery_6","2024",1187077
"battery_6","2025",1121351
"battery_6","2026",1067086
"battery_6","2027",1019482
"battery_6","2028",968057
"battery_6","2029",924272
"battery_6","2030",883328
"battery_6","2031",872683
"battery_6","2032",861641
"battery_6","2033",850599
"battery_6","2034",839558
"battery_6","2035",828516
"battery_6","2036",817474
"battery_6","2037",806433
"battery_6","2038",795391
"battery_6","2039",784350
"battery_6","2040",773308
"battery_6","2041",762266
"battery_6","2042",751225
"battery_6","2043",740183
"battery_6","2044",729142
"battery_6","2045",718100
"battery_6","2046",707058
"battery_6","2047",696017
"battery_6","2048",684975
"battery_6","2049",673934
"battery_6","2050",662821
"battery_8","2010",3467227
"battery_8","2011",3467227
"battery_8","2012",3467227
"battery_8","2013",3467227
"battery_8","2014",3467227
"battery_8","2015",3467227
"battery_8","2016",3467227
"battery_8","2017",3467227
"battery_8","2018",2238498
"battery_8","2019",1918741
"battery_8","2020",2340093
"battery_8","2021",1980591
"battery_8","2022",1824651
"battery_8","2023",1661071
"battery_8","2024",1522273
"battery_8","2025",1436662
"battery_8","2026",1362513
"battery_8","2027",1297864
"battery_8","2028",1229396
"battery_8","2029",1168567
"battery_8","2030",1113420
"battery_8","2031",1099969
"battery_8","2032",1086051
"battery_8","2033",1072134
"battery_8","2034",1058216
"battery_8","2035",1044298
"battery_8","2036",1030380
"battery_8","2037",1016463
"battery_8","2038",1002545
"battery_8","2039",988627
"battery_8","2040",974709
"battery_8","2041",960792
"battery_8","2042",946874
"battery_8","2043",932956
"battery_8","2044",919038
"battery_8","2045",905121
"battery_8","2046",891203
"battery_8","2047",877285
"battery_8","2048",863367
"battery_8","2049",849450
"battery_8","2050",835390
"battery_10","2010",3852474
"battery_10","2011",3852474
"battery_10","2012",3852474
"battery_10","2013",3852474
"battery_10","2014",3852474
"battery_10","2015",3852474
"battery_10","2016",3852474
"battery_10","2017",3852474
"battery_10","2018",2743383
"battery_10","2019",2348048
"battery_10","2020",2879591
"battery_10","2021",2432252
"battery_10","2022",2236543
"battery_10","2023",2033194
"battery_10","2024",1857468
"battery_10","2025",1751973
"battery_10","2026",1657939
"battery_10","2027",1576247
"battery_10","2028",1490734
"battery_10","2029",1412862
"battery_10","2030",1343512
"battery_10","2031",1327256
"battery_10","2032",1310462
"battery_10","2033",1293668
"battery_10","2034",1276874
"battery_10","2035",1260080
"battery_10","2036",1243286
"battery_10","2037",1226492
"battery_10","2038",1209698
"battery_10","2039",1192905
"battery_10","2040",1176111
"battery_10","2041",1159317
"battery_10","2042",1142523
"battery_10","2043",1125729
"battery_10","2044",1108935
"battery_10","2045",1092141
"battery_10","2046",1075347
"battery_10","2047",1058553
"battery_10","2048",1041759
"battery_10","2049",1024966
"battery_10","2050",1007959
"biopower","2010",3051914
"biopower","2011",3042834
"biopower","2012",3033754
"biopower","2013",3024675
"biopower","2014",3015595
"biopower","2015",3006516
"biopower","2016",2997436
"biopower","2017",2988357
"biopower","2018",2979277
"biopower","2019",2970198
"biopower","2020",2981400
"biopower","2021",2962509
"biopower","2022",2943618
"biopower","2023",2924727
"biopower","2024",2906027
"biopower","2025",2886918
"biopower","2026",2868223
"biopower","2027",2849528
"biopower","2028",2830833
"biopower","2029",2812137
"biopower","2030",2793441
"biopower","2031",2774744
"biopower","2032",2756048
"biopower","2033",2737354
"biopower","2034",2718656
"biopower","2035",2699960
"biopower","2036",2681264
"biopower","2037",2662570
"biopower","2038",2643874
"biopower","2039",2625179
"biopower","2040",2606483
"biopower","2041",2587786
"biopower","2042",2569090
"biopower","2043",2550394
"biopower","2044",2531699
"biopower","2045",2513005
"biopower","2046",2494309
"biopower","2047",2475613
"biopower","2048",2456916
"biopower","2049",2438220
"biopower","2050",2419525
"beccs_mod","2010",4834971
"beccs_mod","2011",4834971
"beccs_mod","2012",4834971
"beccs_mod","2013",4834971
"beccs_mod","2014",4834971
"beccs_mod","2015",4834971
"beccs_mod","2016",4834971
"beccs_mod","2017",4834971
"beccs_mod","2018",4834971
"beccs_mod","2019",4834971
"beccs_mod","2020",4834971
"beccs_mod","2021",4820240
"beccs_mod","2022",4805510
"beccs_mod","2023",4790780
"beccs_mod","2024",4776050
"beccs_mod","2025",4761320
"beccs_mod","2026",4746589
"beccs_mod","2027",4731859
"beccs_mod","2028",4717129
"beccs_mod","2029",4702399
"beccs_mod","2030",4687669
"beccs_mod","2031",4674238
"beccs_mod","2032",4660808
"beccs_mod","2033",4647377
"beccs_mod","2034",4633947
"beccs_mod","2035",4620516
"beccs_mod","2036",4607086
"beccs_mod","2037",4593655
"beccs_mod","2038",4580225
"beccs_mod","2039",4566794
"beccs_mod","2040",4553364
"beccs_mod","2041",4539933
"beccs_mod","2042",4526503
"beccs_mod","2043",4513072
"beccs_mod","2044",4499642
"beccs_mod","2045",4486211
"beccs_mod","2046",4472781
"beccs_mod","2047",4459351
"beccs_mod","2048",4445920
"beccs_mod","2049",4432490
"beccs_mod","2050",4419059
"beccs_max","2010",5028369
"beccs_max","2011",5028369
"beccs_max","2012",5028369
"beccs_max","2013",5028369
"beccs_max","2014",5028369
"beccs_max","2015",5028369
"beccs_max","2016",5028369
"beccs_max","2017",5028369
"beccs_max","2018",5028369
"beccs_max","2019",5028369
"beccs_max","2020",5028369
"beccs_max","2021",5013033
"beccs_max","2022",4997696
"beccs_max","2023",4982446
"beccs_max","2024",4967109
"beccs_max","2025",4951772
"beccs_max","2026",4936436
"beccs_max","2027",4921099
"beccs_max","2028",4905849
"beccs_max","2029",4890512
"beccs_max","2030",4875175
"beccs_max","2031",4861225
"beccs_max","2032",4847275
"beccs_max","2033",4833238
"beccs_max","2034",4819287
"beccs_max","2035",4805337
"beccs_max","2036",4791386
"beccs_max","2037",4777436
"beccs_max","2038",4763399
"beccs_max","2039",4749449
"beccs_max","2040",4735498
"beccs_max","2041",4721548
