"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",1.405
"battery_2","p1","2018",1.371
"battery_2","p1","2022",1.511
"battery_2","p1","2024",0.92
"battery_2","p1","2026",0.857
"battery_2","p1","2028",0.812
"battery_2","p1","2030",0.812
"battery_2","p1","2032",0.812
"battery_2","p1","2034",0.812
"battery_2","p1","2036",0.812
"battery_2","p1","2038",0.812
"battery_2","p1","2040",0.812
"battery_2","p1","2042",0.882
"battery_2","p1","2044",1.232
"battery_2","p1","2046",1.372
"battery_2","p1","2048",1.372
"battery_2","p1","2050",1.372
"battery_2","p2","2022",1.504
"battery_2","p2","2024",0.916
"battery_2","p2","2026",0.853
"battery_2","p2","2028",0.808
"battery_2","p2","2030",0.808
"battery_2","p2","2032",0.808
"battery_2","p2","2034",0.808
"battery_2","p2","2036",0.808
"battery_2","p2","2038",0.808
"battery_2","p2","2040",0.808
"battery_2","p2","2042",0.878
"battery_2","p2","2044",1.226
"battery_2","p2","2046",1.365
"battery_2","p2","2048",1.365
"battery_2","p2","2050",1.365
"battery_2","p3","2014",1.388
"battery_2","p3","2022",1.483
"battery_2","p3","2024",0.903
"battery_2","p3","2026",0.841
"battery_2","p3","2028",0.797
"battery_2","p3","2030",0.797
"battery_2","p3","2032",0.797
"battery_2","p3","2034",0.797
"battery_2","p3","2036",0.797
"battery_2","p3","2038",0.797
"battery_2","p3","2040",0.797
"battery_2","p3","2042",0.866
"battery_2","p3","2044",1.209
"battery_2","p3","2046",1.347
"battery_2","p3","2048",1.347
"battery_2","p3","2050",1.347
"battery_2","p4","2022",1.493
"battery_2","p4","2024",0.909
"battery_2","p4","2026",0.846
"battery_2","p4","2028",0.802
"battery_2","p4","2030",0.802
"battery_2","p4","2032",0.802
"battery_2","p4","2034",0.802
"battery_2","p4","2036",0.802
"battery_2","p4","2038",0.802
"battery_2","p4","2040",0.802
"battery_2","p4","2042",0.871
"battery_2","p4","2044",1.217
"battery_2","p4","2046",1.355
"battery_2","p4","2048",1.355
"battery_2","p4","2050",1.355
"battery_2","p5","2014",1.404
"battery_2","p5","2020",1.33
"battery_2","p5","2022",1.501
"battery_2","p5","2024",0.914
"battery_2","p5","2026",0.851
"battery_2","p5","2028",0.807
"battery_2","p5","2030",0.807
"battery_2","p5","2032",0.807
"battery_2","p5","2034",0.807
"battery_2","p5","2036",0.807
"battery_2","p5","2038",0.807
"battery_2","p5","2040",0.807
"battery_2","p5","2042",0.876
"battery_2","p5","2044",1.224
"battery_2","p5","2046",1.363
"battery_2","p5","2048",1.363
"battery_2","p5","2050",1.363
"battery_2","p6","2020",1.35
"battery_2","p6","2022",1.523
"battery_2","p6","2024",0.927
"battery_2","p6","2026",0.864
"battery_2","p6","2028",0.819
"battery_2","p6","2030",0.819
"battery_2","p6","2032",0.819
"battery_2","p6","2034",0.819
"battery_2","p6","2036",0.819
"battery_2","p6","2038",0.819
"battery_2","p6","2040",0.819
"battery_2","p6","2042",0.889
"battery_2","p6","2044",1.242
"battery_2","p6","2046",1.383
"battery_2","p6","2048",1.383
"battery_2","p6","2050",1.383
"battery_2","p7","2022",1.499
"battery_2","p7","2024",0.912
"battery_2","p7","2026",0.85
"battery_2","p7","2028",0.805
"battery_2","p7","2030",0.805
