"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",1.405
"battery_2","p1","2018",1.371
"battery_2","p1","2022",1.511
"battery_2","p1","2024",1.456
"battery_2","p1","2026",1.401
"battery_2","p1","2028",1.373
"battery_2","p1","2030",1.372
"battery_2","p1","2032",1.372
"battery_2","p1","2034",1.372
"battery_2","p1","2036",1.372
"battery_2","p1","2038",1.372
"battery_2","p1","2040",1.372
"battery_2","p1","2042",1.372
"battery_2","p1","2044",1.372
"battery_2","p1","2046",1.372
"battery_2","p1","2048",1.372
"battery_2","p1","2050",1.372
"battery_2","p2","2022",1.504
"battery_2","p2","2024",1.449
"battery_2","p2","2026",1.394
"battery_2","p2","2028",1.366
"battery_2","p2","2030",1.365
"battery_2","p2","2032",1.365
"battery_2","p2","2034",1.365
"battery_2","p2","2036",1.365
"battery_2","p2","2038",1.365
"battery_2","p2","2040",1.365
"battery_2","p2","2042",1.365
"battery_2","p2","2044",1.365
"battery_2","p2","2046",1.365
"battery_2","p2","2048",1.365
"battery_2","p2","2050",1.365
"battery_2","p3","2014",1.388
"battery_2","p3","2022",1.483
"battery_2","p3","2024",1.429
"battery_2","p3","2026",1.375
"battery_2","p3","2028",1.347
"battery_2","p3","2030",1.347
"battery_2","p3","2032",1.347
"battery_2","p3","2034",1.347
"battery_2","p3","2036",1.347
"battery_2","p3","2038",1.347
"battery_2","p3","2040",1.347
"battery_2","p3","2042",1.347
"battery_2","p3","2044",1.347
"battery_2","p3","2046",1.347
"battery_2","p3","2048",1.347
"battery_2","p3","2050",1.347
"battery_2","p4","2022",1.493
"battery_2","p4","2024",1.438
"battery_2","p4","2026",1.384
"battery_2","p4","2028",1.356
"battery_2","p4","2030",1.355
"battery_2","p4","2032",1.355
"battery_2","p4","2034",1.355
"battery_2","p4","2036",1.355
"battery_2","p4","2038",1.355
"battery_2","p4","2040",1.355
"battery_2","p4","2042",1.355
"battery_2","p4","2044",1.355
"battery_2","p4","2046",1.355
"battery_2","p4","2048",1.355
"battery_2","p4","2050",1.355
"battery_2","p5","2014",1.404
"battery_2","p5","2020",1.33
"battery_2","p5","2022",1.501
"battery_2","p5","2024",1.447
"battery_2","p5","2026",1.392
"battery_2","p5","2028",1.364
"battery_2","p5","2030",1.363
"battery_2","p5","2032",1.363
"battery_2","p5","2034",1.363
"battery_2","p5","2036",1.363
"battery_2","p5","2038",1.363
"battery_2","p5","2040",1.363
"battery_2","p5","2042",1.363
"battery_2","p5","2044",1.363
"battery_2","p5","2046",1.363
"battery_2","p5","2048",1.363
"battery_2","p5","2050",1.363
"battery_2","p6","2020",1.35
"battery_2","p6","2022",1.523
"battery_2","p6","2024",1.468
"battery_2","p6","2026",1.412
"battery_2","p6","2028",1.384
"battery_2","p6","2030",1.383
"battery_2","p6","2032",1.383
"battery_2","p6","2034",1.383
"battery_2","p6","2036",1.383
"battery_2","p6","2038",1.383
"battery_2","p6","2040",1.383
"battery_2","p6","2042",1.383
"battery_2","p6","2044",1.383
"battery_2","p6","2046",1.383
"battery_2","p6","2048",1.383
"battery_2","p6","2050",1.383
"battery_2","p7","2022",1.499
"battery_2","p7","2024",1.444
"battery_2","p7","2026",1.389
"battery_2","p7","2028",1.361
"battery_2","p7","2030",1.36
