"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",1.037
"battery_2","p1","2018",1.037
"battery_2","p1","2022",1.141
"battery_2","p1","2024",1.1
"battery_2","p1","2026",1.059
"battery_2","p1","2028",1.04
"battery_2","p1","2030",1.042
"battery_2","p1","2032",1.042
"battery_2","p1","2034",1.042
"battery_2","p1","2036",1.042
"battery_2","p1","2038",1.042
"battery_2","p1","2040",1.042
"battery_2","p1","2042",1.042
"battery_2","p1","2044",1.042
"battery_2","p1","2046",1.042
"battery_2","p1","2048",1.042
"battery_2","p1","2050",1.042
"battery_2","p2","2022",1.136
"battery_2","p2","2024",1.094
"battery_2","p2","2026",1.054
"battery_2","p2","2028",1.035
"battery_2","p2","2030",1.037
"battery_2","p2","2032",1.037
"battery_2","p2","2034",1.037
"battery_2","p2","2036",1.037
"battery_2","p2","2038",1.037
"battery_2","p2","2040",1.037
"battery_2","p2","2042",1.037
"battery_2","p2","2044",1.037
"battery_2","p2","2046",1.037
"battery_2","p2","2048",1.037
"battery_2","p2","2050",1.037
"battery_2","p3","2014",1.018
"battery_2","p3","2022",1.12
"battery_2","p3","2024",1.079
"battery_2","p3","2026",1.04
"battery_2","p3","2028",1.021
"battery_2","p3","2030",1.023
"battery_2","p3","2032",1.023
"battery_2","p3","2034",1.023
"battery_2","p3","2036",1.023
"battery_2","p3","2038",1.023
"battery_2","p3","2040",1.023
"battery_2","p3","2042",1.023
"battery_2","p3","2044",1.023
"battery_2","p3","2046",1.023
"battery_2","p3","2048",1.023
"battery_2","p3","2050",1.023
"battery_2","p4","2022",1.127
"battery_2","p4","2024",1.086
"battery_2","p4","2026",1.046
"battery_2","p4","2028",1.028
"battery_2","p4","2030",1.03
"battery_2","p4","2032",1.03
"battery_2","p4","2034",1.03
"battery_2","p4","2036",1.03
"battery_2","p4","2038",1.03
"battery_2","p4","2040",1.03
"battery_2","p4","2042",1.03
"battery_2","p4","2044",1.03
"battery_2","p4","2046",1.03
"battery_2","p4","2048",1.03
"battery_2","p4","2050",1.03
"battery_2","p5","2014",1.031
"battery_2","p5","2020",1.031
"battery_2","p5","2022",1.134
"battery_2","p5","2024",1.092
"battery_2","p5","2026",1.052
"battery_2","p5","2028",1.034
"battery_2","p5","2030",1.036
"battery_2","p5","2032",1.036
"battery_2","p5","2034",1.036
"battery_2","p5","2036",1.036
"battery_2","p5","2038",1.036
"battery_2","p5","2040",1.036
"battery_2","p5","2042",1.036
"battery_2","p5","2044",1.036
"battery_2","p5","2046",1.036
"battery_2","p5","2048",1.036
"battery_2","p5","2050",1.036
"battery_2","p6","2020",1.046
"battery_2","p6","2022",1.15
"battery_2","p6","2024",1.109
"battery_2","p6","2026",1.068
"battery_2","p6","2028",1.049
"battery_2","p6","2030",1.051
"battery_2","p6","2032",1.051
"battery_2","p6","2034",1.051
"battery_2","p6","2036",1.051
"battery_2","p6","2038",1.051
"battery_2","p6","2040",1.051
"battery_2","p6","2042",1.051
"battery_2","p6","2044",1.051
"battery_2","p6","2046",1.051
"battery_2","p6","2048",1.051
"battery_2","p6","2050",1.051
"battery_2","p7","2022",1.132
"battery_2","p7","2024",1.091
"battery_2","p7","2026",1.05
"battery_2","p7","2028",1.032
"battery_2","p7","2030",1.034
"battery_2","p7","2032",1.034
"battery_2","p7","2034",1.034
"battery_2","p7","2036",1.034
"battery_2","p7","2038",1.034
"battery_2","p7","2040",1.034
"battery_2","p7","2042",1.034
"battery_2","p7","2044",1.034
"battery_2","p7","2046",1.034
"battery_2","p7","2048",1.034
"battery_2","p7","2050",1.034
"battery_2","p8","2022",1.158
"battery_2","p8","2024",1.116
"battery_2","p8","2026",1.075
"battery_2","p8","2028",1.056
"battery_2","p8","2030",1.058
"battery_2","p8","2032",1.058
"battery_2","p8","2034",1.058
