"Dim1","Dim2","Val"
"p1","2010",5.30491206518491E-11
"p1","2012",-2.07194261747645E-11
"p1","2020",1.40971678774804E-11
"p1","2022",6373.53934649721
"p1","2024",2061.52129382415
"p1","2026",2014.79298805978
"p1","2028",8253.60417489267
"p1","2030",274775.607454293
"p1","2032",131861.56733722
"p1","2034",1048.95091319746
"p1","2036",17995.5878376701
"p1","2038",118468.171434238
"p1","2040",13579.1614416565
"p1","2042",3602.13425519376
"p1","2044",7006.78222064684
"p1","2046",4537.00644940765
"p1","2048",10355.0574451793
"p1","2050",3291.85846743775
"p2","2010",1.083435563487E-10
"p2","2012",9.78843672783114E-11
"p2","2014",-1.80762071977369E-11
"p2","2016",-1.69734448718373E-10
"p2","2018",1.29261934489477E-10
"p2","2020",3.14344106300268E-11
"p2","2022",12384.1918414495
"p2","2024",8274.81523379724
"p2","2026",-3.61978891305625E-10
"p2","2028",-3.21733750752173E-11
"p2","2030",869885.10505357
"p2","2032",516202.187056653
"p2","2034",890473.289772768
"p2","2036",186598.504643915
"p2","2038",947408.478044872
"p2","2040",466501.982588482
"p2","2042",157781.384710276
"p2","2044",285386.0071272
"p2","2046",244502.368691173
"p2","2048",688868.981162815
"p2","2050",473701.918229096
"p3","2018",3.63797880709171E-12
"p3","2020",9.15179043659009E-12
"p3","2024",1.04591890703887E-11
"p3","2028",-2.23536744670128E-11
"p3","2030",106774.145917645
"p3","2032",51664.2242908426
"p3","2034",-2.61479726759717E-12
"p3","2036",-2.76259015663527E-11
"p3","2038",50831.0375659674
"p3","2040",19029.8678331786
"p3","2042",-3.92219590139575E-12
"p3","2046",2.11244355341478E-11
"p3","2048",196032.467319039
"p4","2022",8553.30871122
"p4","2030",82398.07316
"p4","2032",22808.68906176
"p4","2038",22443.11262144
"p4","2040",36168.0276384
"p5","2010",-1.80364168045344E-10
"p5","2012",-3.54702933691442E-11
"p5","2014",-3.86535248253495E-12
"p5","2016",-1.93267624126747E-10
"p5","2018",-1.94404492503963E-10
"p5","2020",2.91493051918224E-10
"p5","2022",81138.9735970117
"p5","2024",22.5365785938111
"p5","2026",14.1804346799836
"p5","2028",392.354226483712
"p5","2030",753260.29947914
"p5","2032",749816.950505559
"p5","2034",726546.372160864
"p5","2036",767012.495044218
"p5","2038",1533831.30181168
"p5","2040",402254.337037017
"p5","2042",733479.911867434
"p5","2044",959568.579407895
"p5","2046",5999.88178730548
"p5","2048",24521.6780357692
"p5","2050",479658.576503181
"p6","2016",4.2632564145606E-13
"p6","2018",-1.38129507831763E-11
"p6","2020",9.15179043659009E-12
"p6","2024",15.285935600009
"p6","2028",758.597837041418
"p6","2030",108490.064152418
"p6","2032",-1.53694834637008E-11
"p6","2034",0.0688028609563034
"p6","2036",66.2498884357351
"p6","2038",15.6554202223045
"p6","2040",23314.6795960596
"p6","2042",18.7633833618619
"p6","2044",557.065560623524
"p6","2046",320.709444864633
"p6","2048",3951.97517293723
"p6","2050",21818.3078113771
"p7","2018",4.83169060316868E-13
"p7","2022",6597.02487180101
"p7","2024",606.413029468358
"p7","2026",-6.06803496339126E-12
"p7","2028",617.976041822252
"p7","2030",15601.9022948877
"p7","2032",9496.87036761021
"p7","2034",506598.824662411
"p7","2036",983871.919006582
"p7","2038",426081.794090727
"p7","2040",388181.146512865
"p7","2042",559573.633956715
"p7","2044",184135.568045057
"p7","2046",119832.484026408
"p7","2048",93700.1833088785
"p7","2050",1682738.88573997
"p8","2024",9162.69569168265
"p8","2026",3.41060513164848E-12
"p8","2028",9.9120711638534E-12
"p8","2030",159612.1890725
"p8","2032",64451.0081319898
"p8","2034",16216.2321260792
"p8","2036",-7.52464757169946E-12
"p8","2038",-1.38697942020372E-11
"p8","2040",140365.018552449
"p8","2042",334168.515981398
"p8","2044",-7.95807864051312E-13
"p8","2046",141774.676198361
"p8","2048",12180.3885237288
"p8","2050",212835.194426873
"p9","2010",-7.86712917033583E-11
"p9","2012",-1.98951966012828E-11
"p9","2014",-3.55157681042328E-10
"p9","2016",1.57115209731273E-9
