"Dim1","Dim2","Dim3","Val"
"csp-ns","p10","2032",0.0047348077682025
"csp-ns","p10","2040",0.112662477565926
"csp-ns","p10","2042",0.149535898704318
"csp-ns","p12","2026",0.109405575064029
"csp-ns","p12","2028",0.258941473768347
"csp-ns","p12","2030",0.369756254131795
"csp-ns","p12","2036",0.472250874748176
"csp-ns","p12","2038",0.021618490388823
"csp-ns","p12","2040",0.28055996415717
"csp-ns","p12","2042",0.131024065452852
"csp-ns","p12","2044",0.120388185930157
"csp-ns","p28","2024",0.194346475376854
"csp-ns","p28","2028",0.0120450848221139
"csp-ns","p28","2030",0.0070006919817572
"csp-ns","p28","2032",0.242319256713829
"csp-ns","p28","2034",0.165229321356945
"csp-ns","p28","2040",0.00269481916026838
"csp-ns","p28","2042",0.0798317587111898
"distpv","p1","2030",0.0354662923497762
"distpv","p1","2032",0.00231298140031586
"distpv","p1","2040",0.00374813079729606
"distpv","p2","2030",0.146641661338051
"distpv","p2","2032",0.00689738077999633
"distpv","p2","2036",0.00214911673903965
"distpv","p3","2012",5.83667316053076E-16
"distpv","p3","2024",2.82633353549031E-16
"distpv","p3","2030",0.0967600187620711
"distpv","p4","2022",0.202468599816198
"distpv","p4","2024",-1.16877376854178E-16
"distpv","p4","2028",1.36152965183531E-16
"distpv","p4","2030",0.292309084018819
"distpv","p5","2030",0.016897044204972
"distpv","p6","2030",0.27167358310497
"distpv","p6","2034",1.38463046162391E-7
"distpv","p6","2036",4.12956659726441E-5
"distpv","p6","2040",0.00112737278842143
"distpv","p7","2018",1.61549451713896E-16
"distpv","p7","2022",1.42980549218046E-16
"distpv","p7","2024",0.000997841750318962
"distpv","p7","2032",0.00236964356421965
"distpv","p7","2034",0.780394148499119
"distpv","p7","2036",0.992250813192855
"distpv","p7","2038",0.488816627874812
"distpv","p7","2040",0.550440838916181
"distpv","p7","2042",0.385274618637939
"distpv","p7","2050",0.00126787306087742
"distpv","p8","2024",0.0565586328417924
"distpv","p8","2028",-1.56812619266359E-16
"distpv","p8","2030",0.783579277796023
"distpv","p8","2032",0.278091803043467
"distpv","p8","2034",0.0435272310797346
"distpv","p8","2036",-2.59158110272134E-16
"distpv","p8","2040",0.133582962661053
"distpv","p8","2042",0.495062693610211
"distpv","p9","2020",1.26684052952794E-16
"distpv","p9","2024",0.0490774359444825
"distpv","p9","2028",0.0165502484277537
"distpv","p9","2030",0.702904210257803
"distpv","p10","2020",-6.34628893788603E-16
"distpv","p10","2024",0.155833919662074
"distpv","p10","2028",0.120186245722331
"distpv","p10","2030",0.912331374817454
"distpv","p10","2032",0.00442906703348502
"distpv","p10","2034",0.016438899557918
"distpv","p10","2040",0.00336483041258997
"distpv","p10","2042",0.0472473721864405
"distpv","p10","2044",0.00734568109894286
"distpv","p10","2046",0.119693611103247
"distpv","p10","2048",0.119693611103247
"distpv","p10","2050",0.034781304716913
"distpv","p11","2024",0.135386586522309
"distpv","p11","2028",0.251161291128051
"distpv","p11","2030",0.189495779391467
"distpv","p11","2032",0.349569360594541
"distpv","p11","2034",0.262079013168088
"distpv","p11","2036",0.105238767264144
"distpv","p11","2038",0.00564609893472606
"distpv","p11","2048",0.00929687186860178
"distpv","p11","2050",0.00892396741098275
"distpv","p12","2026",0.35453813981573
"distpv","p12","2028",0.281812445298899
"distpv","p12","2030",0.58788311144602
"distpv","p12","2032",0.0953232903785572
"distpv","p12","2034",0.0953232903785573
"distpv","p12","2036",0.722727888246574
"distpv","p12","2038",0.103926927857279
"distpv","p12","2040",0.113378207346597
"distpv","p12","2042",0.299867362266939
"distpv","p12","2044",0.29041608277762
"distpv","p12","2048",0.0086036374787214
"distpv","p12","2050",0.0136628378580707
"distpv","p13","2024",1.38399241594231E-16
"distpv","p13","2026",-2.21747744776551E-16
"distpv","p13","2028",0.154023158880528
"distpv","p13","2030",0.0241620766754009
"distpv","p13","2032",0.0958777756410474
"distpv","p13","2034",0.0880670341143596
"distpv","p13","2036",0.00267340330660888
"distpv","p13","2038",0.00267340330660887
"distpv","p13","2040",0.0958777756410474
"distpv","p13","2042",0.00267340330660886
"distpv","p13","2044",0.00285031804556484
"distpv","p13","2046",0.00285031804556487
"distpv","p13","2048",0.00285031804556473
"distpv","p13","2050",0.00285031804556427
"distpv","p14","2028",0.000425101840426884
"distpv","p14","2030",0.280091825917352
"distpv","p14","2032",0.280138525612525
"distpv","p14","2040",0.0913704805380546
"distpv","p14","2044",0.000348141489161693
"distpv","p14","2046",0.000102187931830551
"distpv","p14","2048",0.000268131003767999
"distpv","p14","2050",0.000256393199393407
"distpv","p15","2048",0.164681856250441
"distpv","p15","2050",0.113425217483835
"distpv","p16","2036",0.111460500383084
"distpv","p17","2030",0.277908385406541
"distpv","p17","2032",0.277908385406542
"distpv","p17","2036",0.109917556255548
"distpv","p17","2040",0.167990829150993
"distpv","p17","2042",0.168570008498445
"distpv","p17","2044",0.168570008498445
"distpv","p17","2046",0.168570008498446
"distpv","p17","2048",0.168570008498445
"distpv","p17","2050",0.168570008498445
"distpv","p18","2026",0.177119517868559
"distpv","p18","2030",0.17711951786856
"distpv","p18","2042",0.106315954057172
"distpv","p19","2028",0.351643543409386
"distpv","p19","2036",0.102456528178408
"distpv","p19","2042",0.1993207582832
"distpv","p19","2044",0.1993207582832
"distpv","p19","2046",0.00173888815572061
"distpv","p19","2048",0.00173888815572075
"distpv","p19","2050",0.1993207582832
"distpv","p20","2026",0.0998504746442159
"distpv","p20","2030",0.280004791651945
"distpv","p20","2032",0.0998504746442159
"distpv","p20","2040",0.0998504746442159
"distpv","p20","2042",0.00112341668405508
"distpv","p20","2044",0.180154317007729
"distpv","p20","2048",0.0998504746442159
"distpv","p20","2050",0.099850474644216
"distpv","p21","2024",0.107603780282839
"distpv","p22","2030",0.281819347942102
"distpv","p22","2032",0.281819347942102
"distpv","p22","2036",0.284081142659334
"distpv","p22","2038",0.0022617947172322
"distpv","p22","2040",0.284081142659334
"distpv","p22","2042",0.284081142659334
"distpv","p22","2044",0.284081142659334
"distpv","p22","2046",0.284081142659334
"distpv","p22","2048",0.284081142659334
"distpv","p22","2050",0.284486563207981
"distpv","p23","2022",0.998876478169549
"distpv","p23","2024",0.362582125587224
"distpv","p23","2026",0.0664535535125765
"distpv","p23","2028",0.140017763921192
"distpv","p23","2030",0.4783445950251
"distpv","p23","2032",0.447289025276992
"distpv","p24","2022",0.277249108974631
"distpv","p24","2026",0.285867628496819
"distpv","p24","2028",0.27879104863294
"distpv","p25","2038",0.113566131141017
"distpv","p25","2040",0.290946400495198
"distpv","p25","2042",0.0132023872610119
"distpv","p25","2044",0.000602456216226624
"distpv","p25","2046",0.000495187177526108
"distpv","p25","2048",0.000495187177526383
"distpv","p25","2050",0.00211384724758492
"distpv","p26","2022",0.053287532778514
"distpv","p26","2028",0.0282928683305173
"distpv","p26","2030",0.355212258861426
"distpv","p26","2032",0.278454581798908
