"Dim1","Dim2","Dim3","Val"
"csp-ns","p10","2032",11983.6157195587
"csp-ns","p10","2040",285144.382466875
"csp-ns","p10","2042",378469.588224
"csp-ns","p12","2026",33187.1232
"csp-ns","p12","2028",78547.392
"csp-ns","p12","2030",112161.984
"csp-ns","p12","2036",143252.736
"csp-ns","p12","2038",6557.76000000001
"csp-ns","p12","2040",85105.152
"csp-ns","p12","2042",39744.8832
"csp-ns","p12","2044",36518.592
"csp-ns","p28","2024",158423.122037049
"csp-ns","p28","2028",9818.6496
"csp-ns","p28","2030",5706.67143831204
"csp-ns","p28","2032",197528.527872
"csp-ns","p28","2034",134688.035328
"csp-ns","p28","2040",2196.70392203995
"csp-ns","p28","2042",65075.51232
"distpv","p1","2030",52802.3009470394
"distpv","p1","2032",4459.6316332249
"distpv","p1","2040",7644.03604303533
"distpv","p2","2030",92143.6089483929
"distpv","p2","2032",5862.16257279983
"distpv","p2","2036",1921.78721362911
"distpv","p3","2012",1.36424205265939E-12
"distpv","p3","2024",2.91038304567337E-11
"distpv","p3","2030",35281.464192
"distpv","p4","2022",5296.62199362
"distpv","p4","2024",-7.27595761418343E-12
"distpv","p4","2028",2.91038304567337E-11
"distpv","p4","2030",82398.07316
"distpv","p5","2030",13393.118059929
"distpv","p6","2030",48812.534208
"distpv","p6","2034",0.0387882904033177
"distpv","p6","2036",12.2903252171236
"distpv","p6","2040",373.12697599997
"distpv","p7","2018",1.81898940354586E-12
"distpv","p7","2022",1.81898940354586E-12
"distpv","p7","2024",14.7372686493491
"distpv","p7","2032",77.6184559805333
"distpv","p7","2034",29670.25698
"distpv","p7","2036",40046.494068
"distpv","p7","2038",20871.93808
"distpv","p7","2040",24871.563264
"distpv","p7","2042",18197.29674
"distpv","p7","2050",72.6768000000011
"distpv","p8","2024",9162.69569168266
"distpv","p8","2028",-2.91038304567337E-11
"distpv","p8","2030",157384.143547199
"distpv","p8","2032",59748.364632
"distpv","p8","2034",9728.41871303826
"distpv","p8","2036",-5.82076609134674E-11
"distpv","p8","2040",30402.320836
"distpv","p8","2042",114229.282738563
"distpv","p9","2020",9.31322574615479E-10
"distpv","p9","2024",453167.925241306
"distpv","p9","2028",212317.607141173
"distpv","p9","2030",10457614.0063939
"distpv","p10","2020",-5.58793544769287E-9
"distpv","p10","2024",1753458.46812908
"distpv","p10","2028",1796942.16106678
"distpv","p10","2030",15414078.1387194
"distpv","p10","2032",82119.4058848992
"distpv","p10","2034",322081.621946443
"distpv","p10","2040",71200.504200913
"distpv","p10","2042",1024247.32745652
"distpv","p10","2044",162742.787582342
"distpv","p10","2046",2704890.814672
"distpv","p10","2048",2751379.88152
"distpv","p10","2050",810115.856228448
"distpv","p11","2024",232826.318954281
"distpv","p11","2028",583308.540981511
"distpv","p11","2030",506387.215759482
"distpv","p11","2032",1043001.09951664
"distpv","p11","2034",833417.082079118
"distpv","p11","2036",346047.93152
"distpv","p11","2038",19068.8400000003
"distpv","p11","2048",34290.6623717626
"distpv","p11","2050",33376.1912860796
"distpv","p12","2026",85303.2702
"distpv","p12","2028",84316.338848
"distpv","p12","2030",229094.489552
"distpv","p12","2032",45950.79104
"distpv","p12","2034",51503.5136000001
"distpv","p12","2036",399156.505732
"distpv","p12","2038",58485.910824
"distpv","p12","2040",65355.321792
"distpv","p12","2042",175183.48144
"distpv","p12","2044",174516.504576
"distpv","p12","2048",5690.14756000007
"distpv","p12","2050",9495.20039999997
"distpv","p13","2024",1.16415321826935E-10
"distpv","p13","2026",-2.3283064365387E-10
"distpv","p13","2028",196647.289484402
"distpv","p13","2030",37511.7896723982
"distpv","p13","2032",172975.54432
"distpv","p13","2034",172207.721832909
"distpv","p13","2036",5323.0353600001
"distpv","p13","2038",5398.99056000006
"distpv","p13","2040",197100.184704
"distpv","p13","2042",5555.17344000004
"distpv","p13","2044",6049.83165500034
"distpv","p13","2046",6251.27338500042
"distpv","p13","2048",6432.46971500013
"distpv","p13","2050",6584.81634999905
"distpv","p14","2028",54.2289999999921
"distpv","p14","2030",52084.20932
"distpv","p14","2032",57520.7542295342
"distpv","p14","2040",19771.009024
"distpv","p14","2044",76.9163673490111
"distpv","p14","2046",22.8159999999916
"distpv","p14","2048",60.63400000002
"distpv","p14","2050",58.9465464487439
"distpv","p15","2048",113846.216588003
"distpv","p15","2050",80128.7915546801
"distpv","p16","2036",36514.172192
"distpv","p17","2030",19096.9023
"distpv","p17","2032",27681.414572
"distpv","p17","2036",15063.14712
"distpv","p17","2040",25572.150996
"distpv","p17","2042",26785.5746
"distpv","p17","2044",27977.0252
"distpv","p17","2046",29190.5397000001
"distpv","p17","2048",30536.4376
"distpv","p17","2050",32367.7413
"distpv","p18","2026",3657.392784
"distpv","p18","2030",11115.60552
"distpv","p18","2042",15568.32648
"distpv","p19","2028",367.923289158034
"distpv","p19","2036",321.599616
"distpv","p19","2042",729.919904
"distpv","p19","2044",782.05704
"distpv","p19","2046",7.05014399999982
"distpv","p19","2048",7.27756800000043
"distpv","p19","2050",860.262744000001
"distpv","p20","2026",1266.724448
"distpv","p20","2030",10429.865568
"distpv","p20","2032",5457.69576
"distpv","p20","2040",8220.23312
"distpv","p20","2042",96.1245439999911
"distpv","p20","2044",16095.587312
"distpv","p20","2048",9621.715488
"distpv","p20","2050",10052.940832
"distpv","p21","2024",887.3216
"distpv","p22","2030",568.11564
"distpv","p22","2032",757.487519999999
"distpv","p22","2036",1221.707008
"distpv","p22","2038",11.8547520000002
"distpv","p22","2040",1832.560512
"distpv","p22","2042",2137.987264
"distpv","p22","2044",2481.59236
"distpv","p22","2046",2901.554144
"distpv","p22","2048",3359.694272
"distpv","p22","2050",3937.981432
"distpv","p23","2022",979.440035
"distpv","p23","2024",711.053784
"distpv","p23","2026",195.481439999985
"distpv","p23","2028",608.012988932465
"distpv","p23","2030",3082.24196
"distpv","p23","2032",3759.30462
"distpv","p24","2022",1349.438244
"distpv","p24","2026",3373.05856
"distpv","p24","2028",4975.458532
"distpv","p25","2038",176952.590976
"distpv","p25","2040",460062.584256
"distpv","p25","2042",21139.1869319999
"distpv","p25","2044",978.188969524112
"distpv","p25","2046",815.997311999789
"distpv","p25","2048",831.158912000246
"distpv","p25","2050",3629.26372000016
"distpv","p26","2022",2158.17390555218
"distpv","p26","2028",2346.31849344885
"distpv","p26","2030",33831.4919905042
"distpv","p26","2032",28668.965112
"distpv","p26","2036",694.499341697723
"distpv","p26","2040",4074.58802989179
"distpv","p26","2042",30225.334356
"distpv","p26","2044",21760.847920989
"distpv","p26","2046",22022.2368267245
"distpv","p26","2048",19793.547
"distpv","p26","2050",20110.243752
"distpv","p27","2022",2.91038304567337E-11
"distpv","p27","2024",37566.31584
"distpv","p27","2026",20768.7401169708
"distpv","p27","2028",51708.35712
"distpv","p27","2030",61670.96352
"distpv","p27","2032",26818.628544
"distpv","p27","2044",5127.32711226167
"distpv","p27","2048",29444.898816
"distpv","p27","2050",32446.488144
"distpv","p28","2024",599878.36308
"distpv","p28","2030",986077.075452
"distpv","p28","2032",1162935.22668
"distpv","p28","2034",46778.9612400001
"distpv","p28","2036",48709.1269308254
"distpv","p28","2044",50333.9254200002
"distpv","p28","2048",53476.2102600001
"distpv","p28","2050",66530.5251599997
"distpv","p29","2022",949.730557440002
"distpv","p29","2026",6861.34174399999
"distpv","p29","2028",9195.96672000001
"distpv","p29","2030",12917.1294
"distpv","p29","2032",12452.8716
"distpv","p29","2034",16528.6212500061
"distpv","p29","2036",13793.95008
"distpv","p29","2038",575.896079999999
"distpv","p29","2040",5857.96384
"distpv","p29","2042",14125.899144
"distpv","p29","2044",14961.958804
"distpv","p29","2046",16263.24843
"distpv","p29","2048",16689.825438
"distpv","p29","2050",17123.045898
"distpv","p30","2024",493.411909772083
"distpv","p30","2028",385477.293835384
"distpv","p30","2030",510290.126780971
"distpv","p30","2032",552693.748377945
"distpv","p30","2034",245924.949866221
"distpv","p30","2036",431930.389851234
"distpv","p30","2038",170958.340084
"distpv","p30","2040",448913.876599305
"distpv","p30","2042",178351.372226806
"distpv","p30","2044",439896.426647269
"distpv","p30","2046",448106.822103305
"distpv","p30","2048",457974.294472
"distpv","p30","2050",468437.221636
"distpv","p31","2022",2413.55744
"distpv","p31","2024",227079.196244266
"distpv","p31","2026",92644.9359228705
"distpv","p31","2028",334388.68596
"distpv","p31","2030",550187.3505
"distpv","p31","2032",61228.1862336413
"distpv","p31","2040",101942.181383316
"distpv","p32","2020",-3.63797880709171E-12
"distpv","p32","2022",3.63797880709171E-12
"distpv","p32","2024",7.27595761418343E-12
"distpv","p32","2026",-7.27595761418343E-12
"distpv","p32","2030",23238.054784
"distpv","p32","2032",10152.73728
"distpv","p32","2036",11605.392624
"distpv","p32","2038",10399.5480393813
"distpv","p32","2040",10912.0698070862
"distpv","p32","2042",12036.934448
"distpv","p32","2044",241.046623999995
"distpv","p32","2046",38152.7960484701
"distpv","p32","2048",21032.037936
"distpv","p32","2050",44462.6330778892
"distpv","p33","2030",587322.230336554
"distpv","p33","2032",23132.1156482142
"distpv","p33","2036",9526.04886045121
"distpv","p33","2044",1015.79166214727
"distpv","p34","2024",44881.16592
"distpv","p34","2026",54263.312304
"distpv","p34","2028",62333.883136
"distpv","p34","2030",225938.0298
"distpv","p34","2032",93673.2776
"distpv","p34","2042",149834.50889609
"distpv","p59","2026",24457.2050595596
"distpv","p59","2028",119199.49063864
"distpv","p59","2030",308878.108207469
"distpv","p59","2032",307788.242289395
"distpv","p59","2034",213986.581663109
"distpv","p59","2036",271358.73953688
"distpv","p59","2038",273813.272272
"distpv","p59","2040",284047.674436
"distpv","p59","2042",102654.843104
"distpv","p59","2044",113101.748637
"distpv","p59","2046",321974.149982
"distpv","p59","2048",301403.058670151
"distpv","p59","2050",384929.60911409
"upv_3","p1","2030",5355.253336524
"upv_3","p1","2042",201.896630832001
"upv_3","p2","2030",26621.8415486403
"upv_3","p2","2036",25520.8112920802
"upv_3","p2","2040",240173.490974629
"upv_3","p2","2042",92859.0366928969
"upv_3","p2","2044",170013.392304857
"upv_3","p2","2046",181408.538929086
"upv_3","p2","2048",322247.626988277
"upv_3","p2","2050",261908.124537041
"upv_3","p3","2018",7.27595761418343E-12
"upv_3","p7","2034",10896.1281703862
"upv_3","p7","2036",345093.070178935
"upv_3","p7","2038",34058.4596309066
"upv_3","p7","2040",19977.1931838524
"upv_3","p7","2042",155691.57972669
"upv_3","p7","2044",2842.51710245572
"upv_3","p7","2046",34762.2691417374
"upv_3","p7","2048",43535.3579003625
"upv_3","p7","2050",1587476.43507445
"upv_3","p17","2022",4669.10840344001
"upv_3","p17","2030",41295.186053056
"upv_3","p17","2032",40718.608460608
"upv_3","p17","2040",439.777734656003
"upv_3","p17","2042",25036.92808656
"upv_3","p17","2044",24688.27251072
"upv_3","p17","2046",24345.37983696
"upv_3","p17","2048",24005.36861424
"upv_3","p17","2050",23668.23884256
"upv_3","p20","2024",4046.98715599006
"upv_3","p20","2026",13344.275308513
"upv_3","p20","2030",43708.458262144
"upv_3","p20","2032",14441.756948736
"upv_3","p20","2036",14040.510966144
"upv_3","p20","2040",40740.314597632
"upv_3","p20","2044",13273.650883584
"upv_3","p20","2046",13089.294621312
"upv_4","p5","2040",151335.130743191
"upv_4","p5","2042",49858.3542723535
"upv_4","p5","2044",20652.629765776
"upv_4","p5","2048",989.295905327424
"upv_4","p5","2050",92066.9725238476
"upv_4","p6","2016",1.81898940354586E-12
"upv_4","p6","2018",-2.91038304567337E-11
"upv_4","p6","2028",758.156310574152
"upv_4","p6","2030",55188.4730746962
"upv_4","p6","2034",0.00523557042470202
"upv_4","p6","2040",22941.5526200596
"upv_4","p6","2046",308.369813442463
"upv_4","p6","2048",3951.97517293724
"upv_4","p6","2050",21818.307811377
"upv_4","p7","2022",6597.02487180091
"upv_4","p7","2024",584.973902851925
"upv_4","p7","2034",379576.787046226
"upv_4","p7","2036",487898.775547719
"upv_4","p7","2038",285738.501658829
"upv_4","p7","2040",242292.24003974
"upv_4","p7","2042",301144.106910232
"upv_4","p7","2044",119062.582318427
"upv_4","p7","2046",47242.045976757
"upv_4","p7","2048",42640.9734259392
"upv_4","p7","2050",92111.6719710641
"upv_4","p15","2046",-2.91038304567337E-11
"upv_4","p16","2044",1.45519152283669E-11
"upv_4","p21","2024",20294.1415213056
"upv_4","p21","2028",2601.78873657898
"upv_4","p21","2030",58311.7676339328
"upv_4","p21","2044",17635.3909475328
"upv_4","p21","2046",17387.7207109632
"upv_4","p21","2048",20451.8019258617
"upv_4","p21","2050",20166.5912146021
"upv_4","p23","2022",258.285098794839
"upv_4","p23","2024",85.6429639183979
"upv_4","p23","2026",13.7858181395179
"upv_4","p23","2028",27.0015230843756
"upv_4","p23","2030",112.684195632697
"upv_4","p23","2032",109.265034253011
"upv_4","p23","2036",1.56200241003535
"upv_4","p23","2038",1.54028638845193
"upv_4","p23","2046",11531.7341858983
"upv_4","p23","2048",11370.4426282112
"upv_4","p23","2050",11211.7293874657
"upv_5","p8","2030",1920.77570482722
"upv_5","p8","2032",4702.64349998976
"upv_5","p8","2034",6487.81341304095
"upv_5","p8","2040",108656.462609516
"upv_5","p8","2042",216870.589852884
"upv_5","p8","2046",137841.368241803
"upv_5","p8","2048",12180.3885237291
"upv_5","p8","2050",212835.194426873
"upv_5","p11","2044",4943.28957479633
"upv_5","p11","2048",12872.329607487
"upv_5","p11","2050",19672.6260373131
"upv_5","p26","2022",19983.7993961435
"upv_5","p26","2024",-2.91038304567337E-11
"upv_5","p26","2030",49626.1255762331
"upv_5","p26","2032",39188.5233065166
"upv_5","p26","2040",48238.6498998863
"upv_5","p26","2042",88600.6985921763
"upv_5","p26","2044",85064.4741789483
"upv_5","p26","2046",3386.77360084926
"upv_5","p26","2048",83768.7252721227
"upv_5","p26","2050",58624.7315178991
"upv_5","p33","2030",189560.647648893
"upv_5","p33","2040",188327.877691059
"upv_5","p33","2048",89630.3835511981
"upv_5","p33","2050",84911.9173264392
"upv_5","p34","2024",115968.053498869
"upv_5","p34","2026",201761.869373148
"upv_5","p34","2028",80705.3923722869
"upv_5","p34","2030",445657.205536311
"upv_5","p34","2032",315646.370376326
"upv_5","p34","2036",112270.161777729
"upv_5","p34","2040",360914.782730284
"upv_5","p34","2042",392688.315498385
"upv_6","p10","2030",465322.122796014
"upv_6","p10","2032",267251.303823814
"upv_6","p10","2036",145547.615503296
"upv_6","p10","2042",2701652.62287644
"upv_6","p10","2044",8778898.23030773
"upv_6","p10","2046",24646328.6653133
"upv_6","p10","2048",28059450.4612645
"upv_6","p10","2050",31274595.2889538
"upv_6","p11","2022",5467.9641504623
"upv_6","p11","2032",365088.130932726
"upv_6","p11","2034",393061.692387562
"upv_6","p11","2036",579590.810977729
"upv_6","p11","2038",885621.236710189
"upv_6","p11","2040",1101490.6653768
"upv_6","p11","2042",1148647.95136242
"upv_6","p11","2044",1249476.10359125
"upv_6","p11","2046",1199221.03777503
"upv_6","p11","2048",1521779.18747257
"upv_6","p11","2050",1498005.30814517
"upv_6","p12","2012",-7.27595761418343E-12
"upv_6","p12","2018",5.82076609134674E-11
"upv_6","p12","2022",817.461095602717
"upv_6","p12","2024",93312.8454535564
"upv_6","p12","2026",305060.617185981
"upv_6","p12","2028",275560.355478024
"upv_6","p12","2030",386142.296130901
"upv_6","p12","2032",181947.30371337
