sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
9,1177,48.833,-122.483,p1,1,1,652.2875578124998,6177.607603119118
261,5737,47.70399999999999,-121.944,p1,1,1,390.9311859375,11611.587973957488
110,3837,48.175,-122.166,p1,1,1,448.93547578125,11900.143913499622
43,2696,48.43,-122.459,p1,1,2,1578.4582640625,12026.732746312224
3,796,48.9,-122.688,p1,1,2,396.21403125,12074.952353040286
4,797,48.927,-122.529,p1,1,3,1298.41633125,12208.429811216867
864,8390,46.859,-122.722,p1,1,3,382.254946875,12998.7598722316
862,8388,46.805,-123.029,p1,1,4,601.7695031249998,14841.701867156968
225,5357,47.798,-121.988,p1,1,4,324.82158046875,15171.70284477786
863,8389,46.832,-122.876,p1,1,4,570.6089296875,16646.38699275731
6,799,48.981,-122.208,p1,1,4,421.64986640625,17383.068791066642
632,7634,47.155,-122.192,p1,1,4,253.382206640625,17418.379101731734
633,7635,47.181,-122.037,p1,1,5,923.6843859375,17839.72743726204
189,4976,47.86600000000001,-122.189,p1,1,5,285.14512265625,18252.65838037433
5,798,48.95399999999999,-122.369,p1,1,6,1307.22811875,18451.53892409394
190,4977,47.893,-122.032,p1,1,6,365.5227515625,20144.52880521977
138,4217,48.081,-122.121,p1,1,6,349.8368484375,20629.4354509471
8,1176,48.806,-122.642,p1,1,7,520.755866015625,20694.399942916767
28,2317,48.551,-122.346,p1,1,7,1054.69055859375,21339.18406513518
308,6117,47.61,-121.9,p1,1,8,433.76556796875,21511.181684486102
83,3456,48.242,-122.369,p1,1,8,558.8212781249998,22378.07950603474
995,8769,46.739,-122.831,p1,1,8,177.80123320312495,23267.011422976524
535,7256,47.302,-121.925,p1,1,8,362.7317953125,24186.97055742144
368,6492,47.383,-122.636,p1,1,8,162.80185253906245,24255.932897164
865,8391,46.887,-122.567,p1,1,9,1028.6382374999996,24597.851751203307
227,5359,47.851000000000006,-121.674,p1,1,9,185.5189669921875,26112.82692338978
44,2697,48.457,-122.301,p1,1,10,796.9874765625,26492.78366443614
745,8014,47.06100000000001,-122.148,p1,1,10,348.28525546875,27432.244138339986
743,8012,47.007,-122.457,p1,1,10,490.425416015625,27705.292495005568
740,8009,46.926,-122.92,p1,1,10,575.6742140624998,30666.254922930584
0,416,48.994,-122.735,p1,1,10,97.0260873046875,30845.763143076427
448,6876,47.396,-121.969,p1,1,11,363.92844375,31079.80244065266
62,3076,48.336000000000006,-122.414,p1,1,11,1044.84602109375,31756.41180755992
744,8013,47.034,-122.303,p1,1,12,446.13967851562495,31932.331077547416
60,3074,48.282,-122.73,p1,1,12,108.709941796875,32177.369817160128
27,2316,48.524,-122.505,p1,1,12,509.26098515624994,32791.301074077084
534,7255,47.275,-122.081,p1,1,12,591.9050953125,34534.2585435467
10,1178,48.86,-122.323,p1,1,13,600.95197265625,34768.419990907925
45,2698,48.484,-122.142,p1,1,13,361.8106734375,34808.39678642344
866,8392,46.913,-122.413,p1,1,13,820.5379734375,36002.66963554512
109,3836,48.148,-122.324,p1,1,13,263.1423427734374,36032.94956060297
305,6112,47.477,-122.681,p1,1,14,541.1990953124998,39960.598184800685
191,4978,47.919,-121.875,p1,1,14,156.8920640625,44525.1603084601
61,3075,48.309,-122.572,p1,1,14,133.3361724609375,45512.07327916669
