sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
19,1543,48.347,-124.653,s1,6,1,8.9667,6141593.465296312
27,1924,48.282,-124.447,s1,7,1,92.1942,475014.25974768936
26,1923,48.253,-124.604,s1,7,2,80.3601,590188.4825348587
1659,9521,46.32899999999999,-123.963,s1,7,3,14.4342,650544.7865129736
20,1544,48.376000000000005,-124.495,s1,7,4,28.3581,2661455.9669933342
1852,9901,46.236,-123.917,s1,7,5,5.6619,4685056.281221713
1144,8383,46.666,-123.796,s1,8,1,58.8303,162005.68795304123
765,7248,47.086000000000006,-123.165,s1,8,1,110.6865,171116.95776787458
1477,9145,46.535,-123.399,s1,8,1,68.69634323730469,184734.72851164688
57,2684,48.096,-124.35,s1,8,1,123.57910942382811,231892.8365747645
58,2685,48.124,-124.193,s1,8,2,113.3595,265846.2638951408
661,6863,47.039,-123.982,s1,8,2,105.9723,268460.4298846599
40,2304,48.18899999999999,-124.398,s1,8,2,101.26854140625,272959.56806074607
874,7623,46.853,-123.889,s1,8,2,86.2893,296132.6659742387
1660,9522,46.357,-123.811,s1,8,2,30.204899999999995,301561.81400087
1003,8003,46.75899999999999,-123.843,s1,8,3,58.5873,333850.6210001434
39,2303,48.16,-124.555,s1,8,3,101.1609,336732.8414228312
41,2305,48.218,-124.241,s1,8,3,130.10219999999998,390811.3136911321
1292,8763,46.572,-123.75,s1,8,3,54.7722,408679.6306060659
1856,9905,46.348,-123.308,s1,8,4,110.76450205078125,430366.5844493533
569,6483,47.133,-124.029,s1,8,4,76.61789999999998,449147.9238699653
1476,9144,46.507,-123.552,s1,8,4,39.2931,470998.31504764414
83,3062,47.944,-124.614,s1,8,4,76.9095,503436.1484239485
1474,9142,46.451,-123.857,s1,8,4,36.52289999999999,561518.7448520409
873,7622,46.824,-124.042,s1,8,4,64.2006,571379.2137957846
1475,9143,46.479,-123.704,s1,8,4,21.2625,641406.6278431735
55,2682,48.038,-124.663,s1,8,5,71.5392,650111.1742475718
1662,9524,46.413,-123.506,s1,8,5,35.92779323730469,732955.1910461291
87,3066,48.059,-123.989,s1,8,5,34.967699999999994,739999.2995409168
760,7243,46.946000000000005,-123.936,s1,8,5,23.39385205078125,991721.9571946806
345,5342,47.38399999999999,-124.325,s1,8,5,69.71669999999999,1026231.4383783544
1291,8762,46.544,-123.903,s1,8,5,24.3,1045849.6848301934
568,6482,47.104,-124.183,s1,8,5,30.666599999999995,1200577.6118685524
1002,8002,46.731,-123.996,s1,8,5,16.961399999999998,1610083.0019983994
1143,8382,46.637,-123.949,s1,8,5,11.8827,1911104.6376114525
481,6102,47.198,-124.23,s1,8,5,27.1674,2042269.65078883
408,5722,47.291,-124.278,s1,8,5,32.7807,2174520.3830798343
120,3446,47.966,-123.941,s1,8,5,12.854699999999998,3073818.2211589767
1853,9902,46.264,-123.765,s1,8,5,9.0882,3518896.9227739726
38,2302,48.131,-124.712,s1,8,5,11.3238,4651230.773743025
25,1922,48.224,-124.761,s1,8,5,8.8452,8618557.831563609
662,6864,47.068000000000005,-123.828,s1,9,1,188.0800541015625,110446.47096606703
663,6865,47.096,-123.674,s1,9,1,179.577,141166.68900880514
875,7624,46.881,-123.735,s1,9,1,73.38600000000001,173235.5623659523
761,7244,46.974,-123.782,s1,9,1,67.2867,184995.016538638
762,7245,47.002,-123.628,s1,9,1,74.0907,209580.560527592
878,7627,46.965,-123.274,s1,9,1,75.1599,221496.17965361968
570,6484,47.161,-123.875,s1,9,1,157.020525,224964.65097369385
877,7626,46.937,-123.428,s1,9,2,68.3802,233915.51752147675
1007,8007,46.871,-123.228,s1,9,2,97.2729,243306.320500454
59,2686,48.153,-124.036,s1,9,2,114.7689,269190.40093592444
764,7247,47.058,-123.32,s1,9,2,75.59729999999998,274061.24104336085
1006,8006,46.843,-123.382,s1,9,2,108.378,305355.1989742371
56,2683,48.067,-124.506,s1,9,2,142.13993115234376,322473.5585471637
2052,10285,46.254,-123.263,s1,9,3,106.1424,323449.03171855496
205,4213,47.973,-122.751,s1,9,3,32.6592,330826.97471204324
876,7625,46.909,-123.582,s1,9,3,62.5482,332557.28126743605
665,6867,47.152,-123.365,s1,9,3,77.0796,338965.0621498153
86,3065,48.031000000000006,-124.145,s1,9,3,62.4024,344846.49041380134
666,6868,47.179,-123.211,s1,9,3,42.3549,363375.5615152989
1004,8004,46.787,-123.689,s1,9,3,41.5044,367142.0918959181
84,3063,47.973,-124.458,s1,9,3,126.02903115234376,368463.50689636194
85,3064,48.002,-124.302,s1,9,4,109.9332,375328.5135610647
1146,8385,46.722,-123.49,s1,9,4,69.40079999999999,409150.3664804924
1005,8005,46.815,-123.536,s1,9,4,58.1985,429066.4177727198
88,3067,48.088,-123.832,s1,9,4,46.7775,430158.8124260551
1294,8765,46.628,-123.444,s1,9,4,102.37687294921874,439984.6504670537
117,3443,47.88,-124.41,s1,9,4,136.7847,463251.5001598579
295,4963,47.506,-124.218,s1,9,4,187.6446,473998.3511848581
409,5723,47.32,-124.123,s1,9,5,132.192,507399.7279257384
118,3444,47.909,-124.254,s1,9,5,73.5075,552709.9465523984
346,5343,47.413,-124.171,s1,9,5,141.183,556382.8811675988
482,6103,47.226000000000006,-124.076,s1,9,5,71.85339733886718,631754.8463745525
1854,9903,46.292,-123.613,s1,9,5,20.3148,738773.7783123988
155,3823,47.787,-124.362,s1,9,5,56.5947,890885.4658631114
199,4203,47.693000000000005,-124.314,s1,9,5,65.29409999999999,986219.0881552402
116,3442,47.851000000000006,-124.566,s1,9,5,32.48909999999999,1455588.306558467
119,3445,47.937,-124.097,s1,9,5,13.8267,2774518.6698365626
294,4962,47.478,-124.373,s1,9,5,31.8087,3048090.6819161237
42,2306,48.246,-124.084,s1,9,5,11.9799,4119359.6537361583
1293,8764,46.6,-123.597,s1,10,1,77.85719999999998,139134.39713080705
1855,9904,46.32,-123.46,s1,10,1,97.3215,151585.69132756357
204,4212,47.946000000000005,-122.908,s1,10,1,78.39179999999998,179066.18561372213
250,4592,47.852,-122.862,s1,10,1,49.2075,206699.60225491444
571,6485,47.18899999999999,-123.721,s1,10,1,147.81689999999998,246366.41860513896
160,3832,48.04,-122.954,s1,10,1,40.824,247247.45685577596
763,7246,47.03,-123.474,s1,10,1,62.9127,249481.48588360983
2051,10284,46.226000000000006,-123.415,s1,10,2,43.1082,266305.1803518408
574,6488,47.273,-123.257,s1,10,2,44.97152233886719,318177.72421939194
1145,8384,46.694,-123.643,s1,10,2,39.8277,323890.2015027176
251,4593,47.879,-122.705,s1,10,2,47.0934,350291.6377433906
89,3068,48.11600000000001,-123.675,s1,10,2,22.0158,377933.5922760607
576,6490,47.328,-122.946,s1,10,2,25.5636,379220.0599815531
159,3831,48.012,-123.111,s1,10,2,44.1531,389694.824854263
664,6866,47.124,-123.52,s1,10,2,62.58950881347656,393196.6531575685
572,6486,47.217,-123.566,s1,10,2,83.59758852539062,401492.49428808567
484,6105,47.283,-123.767,s1,10,3,133.0668,414677.6444958546
2254,10665,46.161,-123.218,s1,10,3,25.3206,426556.2622837292
488,6109,47.394,-123.147,s1,10,3,26.244,431844.1911808223
485,6106,47.31100000000001,-123.612,s1,10,3,88.02408032226562,479645.8924130883
1661,9523,46.385,-123.658,s1,10,3,26.6085,483935.1498760272
573,6487,47.245,-123.411,s1,10,3,46.61080235595704,490549.8589134398
123,3450,48.078,-123.314,s1,10,3,13.7538,506599.5963076288
487,6108,47.367,-123.302,s1,10,3,35.9883,546641.4460313533
410,5724,47.348,-123.969,s1,10,3,96.24500881347656,566918.8976705298
122,3449,48.05,-123.471,s1,10,3,29.0871,599515.5206650562
158,3830,47.984,-123.267,s1,10,3,47.0205,625785.8417500644
483,6104,47.255,-123.922,s1,10,4,66.578108203125,673509.2081784143
415,5729,47.488,-123.193,s1,10,4,21.0924,699243.6377930265
347,5344,47.442,-124.016,s1,10,4,86.96678115234373,760229.9145960027
247,4584,47.628,-124.11,s1,10,4,101.331,859032.5123665882
296,4964,47.535,-124.063,s1,10,4,102.1329,947249.8171252484
246,4583,47.6,-124.266,s1,10,4,83.6892,963747.1850545744
416,5730,47.516000000000005,-123.037,s1,10,4,32.1003,1012280.8198023842
203,4211,47.918,-123.064,s1,10,5,31.9302,1026240.3538520158
411,5725,47.376000000000005,-123.814,s1,10,5,52.731,1126702.4293639094
352,5350,47.609,-123.083,s1,10,5,14.4099,1143654.2611404746
200,4204,47.722,-124.158,s1,10,5,108.2079,1165646.8076274698
353,5351,47.637,-122.927,s1,10,5,9.5013,1230033.719654209
156,3824,47.815,-124.206,s1,10,5,41.0184,1238282.2925477535
489,6110,47.422,-122.992,s1,10,5,20.169,1254312.8441642034
60,2687,48.181,-123.879,s1,10,5,26.1711,1256838.1285739555
577,6491,47.356,-122.791,s1,10,5,7.1442,1706750.407533406
575,6489,47.301,-123.102,s1,10,5,6.2937,1707068.7959467778
201,4205,47.75,-124.002,s1,10,5,43.74,1731068.8604081897
486,6107,47.339,-123.457,s1,10,5,15.7464,2116338.691498799
412,5726,47.405,-123.659,s1,10,5,24.9318,2215852.0367830326
157,3825,47.844,-124.05,s1,10,5,30.0591,2244365.208869725
414,5728,47.46,-123.348,s1,10,5,7.9947,2879002.00919192
348,5345,47.47,-123.861,s1,10,5,23.95858529663085,3108672.3815464946
297,4965,47.563,-123.908,s1,10,5,28.2852,3140229.0972419614
248,4585,47.657,-123.955,s1,10,5,28.8927,3291376.684509104
413,5727,47.433,-123.504,s1,10,5,6.318,5842121.99764141
4430,14458,45.031000000000006,-123.821,s10,7,1,113.2623,116335.5149136227
2447,11040,45.927,-123.93,s10,7,1,69.69239999999999,175596.52257886104
2649,11420,45.834,-123.884,s10,7,2,104.733,183200.95127684087
4192,14078,45.124,-123.867,s10,7,2,94.8672,197120.011959608
2252,10663,46.105,-123.522,s10,7,3,127.7208,208034.67278268092
2448,11041,45.955,-123.779,s10,7,4,83.22749999999998,252900.13708880564
2858,11802,45.797,-123.537,s10,7,4,83.05739999999999,356750.3115619799
3729,13318,45.31100000000001,-123.957,s10,7,5,44.3718,507136.13270945335
3068,12179,45.619,-123.944,s10,7,5,28.7712,633562.350823308
3071,12182,45.703,-123.492,s10,7,5,37.9566,909916.1946712404
3070,12181,45.675,-123.643,s10,7,5,24.2271,1294127.5424723602
4191,14077,45.096,-124.015,s10,7,5,7.3386,4917867.796371698
2855,11799,45.712,-123.989,s10,7,5,7.0227,5601879.260743427
3503,12938,45.404,-124.002,s10,7,5,6.439500000000002,6301613.028489411
3074,12185,45.786,-123.04,s10,8,1,134.59769999999995,83674.5381287532
2250,10661,46.049,-123.825,s10,8,1,93.1662,139971.70689584356
2253,10664,46.133,-123.37,s10,8,2,63.6417,175024.54844069312
3291,12562,45.61,-123.447,s10,8,2,58.5144,257279.9765943464
2859,11803,45.825,-123.386,s10,8,3,141.7419,266460.56932230847
3959,13698,45.217,-123.912,s10,8,3,56.3274,282423.7979386797
2449,11042,45.984,-123.628,s10,8,4,129.6648,294876.1941540242
2650,11421,45.862,-123.734,s10,8,5,111.9987,327293.4572202535
3504,12939,45.432,-123.853,s10,8,5,28.0179,350524.9512225972
3288,12559,45.526,-123.898,s10,8,5,21.9186,572988.6292690577
3069,12180,45.647,-123.793,s10,8,5,30.0834,669330.6800317322
3289,12560,45.554,-123.748,s10,8,5,30.375,793046.4805408411
2861,11805,45.88,-123.084,s10,9,1,140.6727,78918.31175027338
3730,13319,45.339,-123.808,s10,9,1,84.0051,133605.2009532088
2654,11425,45.973,-123.129,s10,9,1,147.03929999999997,138651.3796317952
2862,11806,45.907,-122.933,s10,9,2,93.7008,156701.01632234085
2856,11800,45.74100000000001,-123.839,s10,9,2,65.97449999999999,165141.20883349652
2251,10662,46.077,-123.673,s10,9,2,135.7155,173521.2186782371
2451,11044,46.039,-123.325,s10,9,3,129.4461,198056.10642908892
2452,11045,46.067,-123.173,s10,9,3,59.8509,230674.6315198714
2450,11043,46.012,-123.477,s10,9,3,157.9257,234640.468782358
3960,13699,45.246,-123.762,s10,9,4,82.9845,255410.11406069197
3731,13320,45.367,-123.658,s10,9,4,37.8351,258835.0013966791
2652,11423,45.918,-123.431,s10,9,4,161.7651,294178.56408450654
3732,13321,45.395,-123.508,s10,9,5,71.2962,303162.2320553721
2655,11426,46.001000000000005,-122.977,s10,9,5,59.1219,316247.35378962377
3075,12186,45.81399999999999,-122.889,s10,9,5,27.3618,316464.1319670746
2453,11046,46.094,-123.021,s10,9,5,27.2889,326693.62767006096
3506,12941,45.488,-123.553,s10,9,5,44.5662,430070.0298091621
2050,10283,46.198,-123.567,s10,9,5,34.749,431832.6484807667
3290,12561,45.582,-123.598,s10,9,5,33.096599999999995,447524.09793808137
2857,11801,45.769,-123.688,s10,9,5,64.2978,484079.5061512899
2653,11424,45.946000000000005,-123.28,s10,10,1,135.5211,238769.85920071564
2860,11804,45.852,-123.235,s10,10,2,109.9818,301753.30715706875
3961,13700,45.274,-123.613,s10,10,3,83.98079999999999,362648.4743347245
2651,11422,45.89,-123.583,s10,10,4,143.1756,366551.1690679157
3505,12940,45.46,-123.703,s10,10,4,32.076,458796.84840799513
2049,10282,46.17,-123.719,s10,10,4,15.066,489783.1463841407
5510,16125,47.113,-100.741,s100,4,1,255.4416,13918.435384860784
5505,16120,47.086000000000006,-101.545,s100,4,1,203.8041,42667.87027488255
