year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2010,13547,,32.675846,-114.493805,p28,7,,5455.411999999999,3.5,1
2010,14200,,32.070159999999994,-110.836845,p30,6,,4896.062,2.0999999999999943,1
2010,8360,,39.039272,-108.41655,p33,5,,2132.0273,0.9,1
2010,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2010,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,1
2010,9792,,35.546326,-120.708725,p9,6,,21117.752,5.987978642936596,1
2012,11858,,34.14852,-116.35859,p10,7,,18401.17,8.397179739507958,0
2012,11856,,34.079227,-116.472916,p10,7,,20456.236,2.583747612156295,0
2012,11857,,34.089787,-116.40877,p10,7,,117431.664,49.81907264833575,1
2012,13042,,32.770965999999994,-117.02311,p11,6,,323.3736,0.9683925773195876,1
2012,13160,,32.674343,-116.99478,p11,6,,5668.8203,2.3316074226804133,1
2012,7237,,39.645092,-110.76543,p25,5,,843.6955,1.2999999999999998,1
2012,10947,,35.201405,-114.08028,p27,6,,3519.6436,1.5,1
2012,13547,,32.675846,-114.493805,p28,7,,5455.411999999999,19.19999999999999,1
2012,14200,,32.070159999999994,-110.836845,p30,6,,4896.062,13.0,1
2012,14807,,31.813198,-106.60987,p31,7,,5110.652,17.100000000000044,1
2012,8360,,39.039272,-108.41655,p33,5,,2132.0273,1.0368000000000002,1
2012,8068,,39.61901,-104.728065,p33,5,,4096.9688,5.063199999999995,1
2012,8605,,38.92872,-104.77772,p34,5,,3559.823,1.0,1
2012,765,,44.253525,-121.25785,p5,4,,9217.217,4.299999999999997,1
2012,803,,44.745987,-117.87875,p7,3,,11777.316,2.692731753554502,0
2012,772,,44.79343,-117.89646,p7,3,,11844.818,3.3659146919431278,1
2012,916,,44.22686,-116.97883600000002,p7,3,,102972.23,0.34135355450236204,1
2012,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2012,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,0
