year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,1
2009,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,1
2009,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,1
2009,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,1
2009,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,1
2010,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2010,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2010,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,48.0,1
2010,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2010,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,30.59999999999991,1
2010,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,19.0,1
2010,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2010,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2010,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,5.0,1
2012,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2012,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,213.0,1
2012,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2012,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,21.800000000000182,1
2012,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,212.0,1
2012,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2012,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,9.0,1
2012,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,557.5999999999999,1
2012,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,30.0,1
2012,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,95.5,1
2012,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,89.5,1
2012,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2012,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2012,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,274.0,1
2014,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2014,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,1
2014,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,1
2014,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,255.37376923076908,1
2014,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2014,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,42.299999999999955,1
2014,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,21.800000000000182,0
2014,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,489.5,1
2014,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
