year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,5737,16498,46.977,-101.857,s100,4,2,63096.00304302962,18.0,1
2009,5741,16502,47.0,-101.215,s100,4,3,74357.7479179146,50.599999999999994,1
2009,5275,15745,47.21,-100.749,s100,5,3,108589.3072527213,49.5,1
2009,5744,16505,47.015,-100.733,s100,5,5,158660.30435687868,79.5,1
2009,8786,20696,45.986,-98.911,s101,3,2,75010.5757035747,180.0,1
2009,7934,19556,46.278,-98.925,s102,3,1,317166.6407247691,61.5,1
2009,5762,16523,47.076,-97.839,s102,5,1,53068.896842497554,194.1084,1
2009,5528,16143,47.174,-97.842,s102,5,1,55486.22863896367,2.391600000000011,1
2009,14629,28297,44.04,-98.664,s110,4,5,76676.27542271613,51.0,1
2009,14954,28676,43.93899999999999,-98.812,s110,5,2,43027.24598420639,65.5,1
2009,14627,28295,44.034,-98.97,s110,6,2,55267.56173751045,1.3000000000000114,1
2009,12192,25251,44.8,-99.628,s110,6,3,86726.23175201647,1.3000000000000114,1
2009,11063,23742,45.221,-97.937,s112,4,1,43318.21896084496,50.400000000000006,1
2009,20343,35103,42.107,-103.627,s114,5,1,1469.8919822385906,10.5,1
2009,20059,34751,42.365,-99.485,s116,3,1,25239.23010561652,59.400000000000006,1
2009,19436,34004,42.593,-97.556,s118,2,3,81957.38672114233,8.909999999999997,1
2009,22007,37041,41.808,-97.979,s118,3,3,70241.62387785593,8.909999999999997,1
2009,19757,34386,42.499,-97.256,s118,3,4,86988.06286948278,54.27000000000001,1
2009,19121,33628,42.696000000000005,-96.96,s118,5,4,164863.1374995683,8.909999999999997,1
2009,25010,40470,40.942,-96.643,s119,6,3,201396.5438103508,0.7000000000000028,1
2009,22681,37809,41.624,-96.797,s119,6,5,314838.93066720007,0.7000000000000028,1
2009,6013,16911,46.988,-96.55,s120,6,1,55247.07039291042,0.6999999999999886,1
2009,5772,16533,47.087,-96.229,s120,6,3,189294.36379578864,2.5999999999999943,1
2009,9648,21854,45.721,-96.066,s121,5,5,325545.4087994412,0.3999999999999986,1
2009,11080,23759,45.231,-95.286,s121,6,3,186604.7554856747,2.0,1
2009,9939,22239,45.621,-95.281,s121,6,5,402992.827920082,2.0,1
2009,12789,26032,44.648,-96.374,s122,3,1,122541.4393432392,8.400000000000006,1
2009,11652,24518,45.037,-95.444,s122,5,1,137665.69819624798,0.9689999999999941,1
2009,12790,26033,44.648,-96.22,s122,5,5,249035.73000443447,2.950000000000003,1
2009,12795,26038,44.647,-95.447,s122,6,1,106412.75208644332,4.492999999999995,1
2009,12794,26037,44.648,-95.602,s122,6,2,137137.5347293908,7.909999999999997,1
2009,14009,27558,44.257,-95.451,s122,6,3,168265.5293799619,2.831000000000003,1
2009,11364,24137,45.135,-95.598,s122,6,4,196627.1918664872,6.486000000000004,1
2009,14010,27559,44.257,-95.297,s122,6,5,250803.70567935752,6.509999999999998,1
2009,11646,24512,45.038,-96.376,s122,7,3,338471.0486883231,0.9309999999999974,1
2009,14319,27933,44.161,-96.218,s123,2,2,186589.8797858471,49.5,1
2009,14646,28314,44.063,-96.064,s123,3,1,20281.367049202458,150.0,1
2009,15295,29075,43.869,-95.912,s123,3,2,30975.297808550906,55.538862304687456,1
2009,13377,26793,44.453,-96.219,s123,3,4,60515.880077251175,2.8000000000000114,1
2009,14320,27934,44.161,-96.065,s123,3,5,99192.9790071688,125.1936,1
2009,14323,27937,44.16,-95.605,s123,3,5,129101.50020303286,14.84129999999999,1
2009,15939,29836,43.673,-95.76,s123,4,1,27681.79794849486,85.5,1
2009,13376,26792,44.453,-96.373,s123,4,2,83539.07615363649,30.05000000000001,1
2009,15621,29457,43.771,-95.608,s123,4,3,123913.44542898051,10.0,1
2009,14645,28313,44.063,-96.217,s123,4,4,149703.57831866466,65.5,1
2009,14007,27556,44.258,-95.758,s123,4,5,176863.65660560786,36.3,1
2009,15617,29453,43.771,-96.216,s123,5,1,40810.62081489179,3.6829999999999927,1
2009,15294,29074,43.869,-96.064,s123,5,2,111033.5632728083,149.96113769531254,1
2009,13080,26414,44.551,-96.065,s123,5,2,129472.17924857808,3.9000000000000057,1
2009,15292,29072,43.868,-96.369,s123,5,3,133341.7348289521,73.8651,1
2009,15293,29073,43.868,-96.217,s123,5,4,146207.19368682682,9.200000000000003,1
2009,13691,27176,44.356,-95.757,s123,5,5,167079.76676389796,11.799999999999997,1
2009,13381,26797,44.453,-95.603,s123,6,1,128378.93861383128,4.968999999999994,1
2009,15618,29454,43.771,-96.064,s123,6,2,140127.93394922384,2.0999999999999943,1
2009,16256,30212,43.576,-96.367,s123,6,3,149828.95321361822,15.400000000000006,1
2009,16258,30214,43.576,-96.064,s123,6,4,164315.21832469845,3.3659999999999997,1
