"Dim1","Dim2","Dim3","Dim4","Val"
"CO2","coal-new","p12","2010",1676.79349727146
"CO2","coal-new","p12","2012",184.917895488
"CO2","coal-new","p12","2014",1676.79349727146
"CO2","coal-new","p12","2016",184.917895488
"CO2","coal-new","p12","2018",435.09198723147
"CO2","coal-new","p12","2020",184.917895488
"CO2","coal-new","p12","2022",1094.19896132112
"CO2","coal-new","p12","2024",184.917895488
"CO2","coal-new","p12","2026",184.917895488
"CO2","coal-new","p12","2028",191.176782268373
"CO2","coal-new","p18","2010",542.326699195392
"CO2","coal-new","p23","2010",2864.12669633146
"CO2","coal-new","p23","2012",3131.76327135212
"CO2","coal-new","p23","2014",5310.95470438061
"CO2","coal-new","p23","2016",1688.67191460724
"CO2","coal-new","p23","2018",3074.21980498483
"CO2","coal-new","p23","2020",1185.66621016006
"CO2","coal-new","p23","2022",2871.11317266547
"CO2","coal-new","p23","2024",1072.82463884706
"CO2","coal-new","p23","2026",529.59522150815
"CO2","coal-new","p23","2028",703.637450619295
"CO2","coal-new","p23","2030",848.638415588646
"CO2","coal-new","p23","2032",563.915479871912
"CO2","coal-new","p23","2034",723.310035430267
"CO2","coal-new","p23","2036",506.279375926079
"CO2","coal-new","p23","2038",359.13847250232
"CO2","coal-new","p23","2040",60.6413824287911
"CO2","coal-new","p23","2042",122.088323694207
"CO2","coal-new","p23","2044",53.2952588266018
"CO2","coal-new","p23","2046",128.876476216359
"CO2","coal-new","p23","2048",122.088323694207
"CO2","coal-new","p23","2050",144.978223449013
"CO2","coal-new","p29","2010",6249.57399084768
"CO2","coal-new","p29","2012",3091.04972626491
"CO2","coal-new","p29","2014",6249.57399084768
"CO2","coal-new","p29","2016",889.955007420101
"CO2","coal-new","p29","2018",3274.65366826353
"CO2","coal-new","p29","2020",1495.48826791692
"CO2","coal-new","p29","2022",4617.5923152795
"CO2","coal-new","p29","2024",2183.93319694759
"CO2","coal-new","p29","2026",2183.93319694759
"CO2","coal-new","p29","2028",2347.14160661672
"CO2","coal-new","p29","2030",2577.60124310975
"CO2","coal-new","p29","2032",2645.06821280587
"CO2","coal-new","p29","2034",2783.31092734962
"CO2","coal-new","p29","2036",1637.20477250638
"CO2","coal-new","p29","2038",1512.42503073037
"CO2","coal-new","p29","2040",1389.43872696399
"CO2","coal-new","p29","2042",900.113625644952
"CO2","coal-new","p29","2044",557.930289464952
"CO2","coal-new","p29","2046",892.03128473178
"CO2","coal-new","p29","2048",900.113625644952
"CO2","coal-new","p29","2050",872.85967507697
"CO2","coal-new","p34","2010",4888.5439276512
"CO2","coal-new","p34","2012",4436.1410818176
"CO2","coal-new","p34","2014",4705.4384770176
"CO2","coal-new","p34","2016",2354.48469928603
"CO2","coal-new","p34","2018",4583.74272996714
"CO2","coal-new","p34","2020",810.084794447338
"CO2","coal-new","p34","2022",4119.8558541923
"CO2","coal-new","p34","2024",512.805794907463
"CO2","coal-new","p34","2026",115.083052079915
"CO2","coal-new","p34","2028",359.702700791003
"CO2","coal-new","p34","2030",786.810633640387
"CO2","coal-new","p34","2032",681.067059384502
"CO2","coal-new","p34","2034",765.120208871993
"CO2","coal-new","p34","2036",610.908418951142
"CO2","coal-new","p34","2044",356.184143947605
"CO2","CoalOldScr","p2","2010",5391.7807870752
"CO2","CoalOldScr","p2","2012",3185.3897884704
"CO2","CoalOldScr","p2","2014",5391.7807870752
"CO2","CoalOldScr","p2","2020",1018.49955493913
"CO2","CoalOldScr","p2","2022",5391.7807870752
"CO2","CoalOldScr","p2","2024",394.685935922013
"CO2","CoalOldScr","p9","2010",518.066312524128
"CO2","CoalOldScr","p10","2010",1291.85000100288
"CO2","CoalOldScr","p10","2012",441.354102317568
"CO2","CoalOldScr","p10","2014",889.01800960896
"CO2","CoalOldScr","p12","2010",2228.558375904
"CO2","CoalOldScr","p12","2014",2228.558375904
"CO2","CoalOldScr","p12","2022",1396.390859808
"CO2","CoalOldScr","p13","2010",4579.61405899104
"CO2","CoalOldScr","p13","2012",1289.49103525248
"CO2","CoalOldScr","p13","2014",2113.5843947088
"CO2","CoalOldScr","p20","2010",16352.7950618188
"CO2","CoalOldScr","p20","2012",436.328307618981
"CO2","CoalOldScr","p20","2014",16226.3618769615
"CO2","CoalOldScr","p20","2018",1411.93671170574
"CO2","CoalOldScr","p20","2022",4441.28146557239
"CO2","CoalOldScr","p20","2030",186.540768551154
"CO2","CoalOldScr","p20","2032",466.469573599679
"CO2","CoalOldScr","p20","2034",1569.2498635569
"CO2","CoalOldScr","p20","2036",1465.42681161468
"CO2","CoalOldScr","p21","2010",19070.8413164717
"CO2","CoalOldScr","p21","2012",11069.9177870713
"CO2","CoalOldScr","p21","2014",19070.8413164717
"CO2","CoalOldScr","p21","2016",2077.60909798195
"CO2","CoalOldScr","p21","2018",11751.2073918221
"CO2","CoalOldScr","p21","2020",972.846434899746
"CO2","CoalOldScr","p21","2022",13892.311517029
"CO2","CoalOldScr","p21","2024",1443.04197223943
"CO2","CoalOldScr","p21","2026",683.37323130384
"CO2","CoalOldScr","p21","2028",1804.59430942032
"CO2","CoalOldScr","p21","2030",2635.96006343447
"CO2","CoalOldScr","p21","2032",2554.99404829174
"CO2","CoalOldScr","p21","2034",3371.89197830894
"CO2","CoalOldScr","p21","2036",2200.79875874355
"CO2","CoalOldScr","p21","2038",1561.02027982032
"CO2","CoalOldScr","p21","2040",1322.81875823128
"CO2","CoalOldScr","p21","2042",1280.92004758645
"CO2","CoalOldScr","p21","2044",389.71844736
"CO2","CoalOldScr","p21","2046",389.71844736
"CO2","CoalOldScr","p21","2048",1718.50119640522
"CO2","CoalOldScr","p23","2010",2871.76882818109
"CO2","CoalOldScr","p23","2014",2871.76882818109
"CO2","CoalOldScr","p23","2032",90.6395636390477
"CO2","CoalOldScr","p23","2034",91.3504061738704
"CO2","CoalOldScr","p24","2010",17037.5248810368
"CO2","CoalOldScr","p24","2012",16100.8446313863
"CO2","CoalOldScr","p24","2014",17037.5248810368
"CO2","CoalOldScr","p24","2016",12713.8292687016
"CO2","CoalOldScr","p24","2018",15926.3339823072
"CO2","CoalOldScr","p24","2020",10037.7410699231
"CO2","CoalOldScr","p24","2022",16241.0129721936
"CO2","CoalOldScr","p24","2024",11309.1499686083
"CO2","CoalOldScr","p24","2026",7465.16659093083
"CO2","CoalOldScr","p24","2028",6146.85033732491
"CO2","CoalOldScr","p24","2030",5711.48462641537
"CO2","CoalOldScr","p24","2032",5918.89283323782
"CO2","CoalOldScr","p24","2034",6974.78349730742
"CO2","CoalOldScr","p24","2036",6132.20031510622
"CO2","CoalOldScr","p24","2038",3957.70695214183
"CO2","CoalOldScr","p24","2040",1208.89902399654
"CO2","CoalOldScr","p24","2042",1940.33481222423
"CO2","CoalOldScr","p24","2044",1580.59342965431
"CO2","CoalOldScr","p24","2046",1333.76946309176
"CO2","CoalOldScr","p24","2048",1223.01939382931
"CO2","CoalOldScr","p24","2050",1232.8989575182
"CO2","CoalOldScr","p25","2010",30328.5376743638
"CO2","CoalOldScr","p25","2012",27464.3897724144
"CO2","CoalOldScr","p25","2014",30328.5376743638
"CO2","CoalOldScr","p25","2016",11583.1060989041
"CO2","CoalOldScr","p25","2018",28558.0952124083
"CO2","CoalOldScr","p25","2020",11982.4762365508
"CO2","CoalOldScr","p25","2022",29747.1402422301
"CO2","CoalOldScr","p25","2024",10680.9439957414
"CO2","CoalOldScr","p25","2026",10825.329618448
"CO2","CoalOldScr","p25","2028",11414.9173176305
"CO2","CoalOldScr","p25","2030",11640.3617807868
"CO2","CoalOldScr","p25","2032",12373.5438213026
"CO2","CoalOldScr","p25","2034",12870.9223510046
"CO2","CoalOldScr","p25","2036",12214.1463040277
"CO2","CoalOldScr","p25","2038",9797.14832662804
"CO2","CoalOldScr","p25","2040",8236.71533390162
"CO2","CoalOldScr","p25","2042",7899.30408296544
"CO2","CoalOldScr","p25","2044",6330.92342276074
"CO2","CoalOldScr","p25","2046",7368.04955719559
"CO2","CoalOldScr","p25","2048",7913.87157466818
"CO2","CoalOldScr","p25","2050",6000.8866781607
"CO2","CoalOldScr","p26","2010",3287.1714763008
"CO2","CoalOldScr","p26","2012",3098.8660293888
"CO2","CoalOldScr","p26","2014",3287.1714763008
"CO2","CoalOldScr","p26","2016",1869.90183193302
"CO2","CoalOldScr","p26","2018",3287.1714763008
"CO2","CoalOldScr","p26","2020",1582.00261133703
"CO2","CoalOldScr","p26","2022",3287.1714763008
