"Dim1","Dim2","Val"
"CO2","2010",341267932.566369
"CO2","2012",253436756.433141
"CO2","2014",314759131.017611
"CO2","2016",185305187.463756
"CO2","2018",234565209.690874
"CO2","2020",177055389.945366
"CO2","2022",202685345.816109
"CO2","2024",108636684.890046
"CO2","2026",89708445.4216927
"CO2","2028",79118729.8611129
"CO2","2030",67588330.8746733
"CO2","2032",59269479.4182562
"CO2","2034",59487133.7400988
"CO2","2036",48432684.5526457
"CO2","2038",36690855.4532531
"CO2","2040",30980525.6440801
"CO2","2042",30889136.4313474
"CO2","2044",28146338.06661
"CO2","2046",31869573.2252322
"CO2","2048",35732802.0643929
"CO2","2050",32527591.6956905
"SO2","2010",313012.603249199
"SO2","2012",175063.156899614
"SO2","2014",266609.823717823
"SO2","2016",66737.7523147609
"SO2","2018",145134.339819216
"SO2","2020",53971.1386418083
"SO2","2022",144037.526491245
"SO2","2024",49267.1311604487
"SO2","2026",41877.0207501803
"SO2","2028",42877.8290177559
"SO2","2030",41039.0676703886
"SO2","2032",36896.9622263924
"SO2","2034",38535.6580306882
"SO2","2036",31791.3374800285
"SO2","2038",22587.167217776
"SO2","2040",16618.9147843188
"SO2","2042",15847.9390060761
"SO2","2044",11683.5376922794
"SO2","2046",13394.9464703219
"SO2","2048",15802.5036471632
"SO2","2050",10881.6817472117
"NOX","2010",276083.456599482
"NOX","2012",172666.812421995
"NOX","2014",249225.927340413
"NOX","2016",84931.5076224562
"NOX","2018",154019.153375121
"NOX","2020",82226.150255086
"NOX","2022",150254.743307112
"NOX","2024",62073.390104999
"NOX","2026",53386.2316895674
"NOX","2028",52296.5987817145
"NOX","2030",49031.6042348688
"NOX","2032",44398.3245561928
"NOX","2034",46043.7148179699
"NOX","2036",39161.0674844121
"NOX","2038",30191.9793341983
"NOX","2040",25194.9680235631
"NOX","2042",25649.4245999121
"NOX","2044",23450.3312593392
"NOX","2046",27978.6510129861
"NOX","2048",32464.0257641669
"NOX","2050",30084.9796243014
"CH4","2010",679877.801873454
"CH4","2012",882328.374941493
"CH4","2014",677549.272822905
"CH4","2016",1131547.86974483
"CH4","2018",873917.959957908
"CH4","2020",1156627.65229525
"CH4","2022",548981.249632221
"CH4","2024",493365.38473516
"CH4","2026",370653.721295098
"CH4","2028",257869.277223687
"CH4","2030",169270.059411382
"CH4","2032",142517.228380354
"CH4","2034",132837.838121208
"CH4","2036",107461.416433775
"CH4","2038",90681.6746120087
"CH4","2040",92257.8559033377
"CH4","2042",98019.0304999512
"CH4","2044",106307.878804105
"CH4","2046",120022.592645765
"CH4","2048",130080.660432647
"CH4","2050",139530.583274035
"CO2e","2010",364383777.830066
"CO2e","2012",283435921.181152
"CO2e","2014",337795806.29359
"CO2e","2016",223777815.03508
"CO2e","2018",264278420.329443
"CO2e","2020",216380730.123404
"CO2e","2022",221350708.303605
"CO2e","2024",125411107.971042
"CO2e","2026",102310671.945726
"CO2e","2028",87886285.2867183
"CO2e","2030",73343512.8946603
"CO2e","2032",64115065.1831882
"CO2e","2034",64003620.2362199
"CO2e","2036",52086372.7113941
"CO2e","2038",39774032.3900614
"CO2e","2040",34117292.7447935
"CO2e","2042",34221783.4683458
"CO2e","2044",31760805.9459495
"CO2e","2046",35950341.3751882
"CO2e","2048",40155544.5191028
"CO2e","2050",37271631.5270077
