"Dim1","Dim2","Dim3","Val"
"CO2","coal-new","2010",16221.3648112972
"CO2","coal-new","2012",10843.8719749226
"CO2","coal-new","2014",17942.7606695173
"CO2","coal-new","2016",5118.02951680137
"CO2","coal-new","2018",11367.708190447
"CO2","coal-new","2020",3676.15716801231
"CO2","coal-new","2022",12702.7603034584
"CO2","coal-new","2024",3954.48152619012
"CO2","coal-new","2026",3013.52936602366
"CO2","coal-new","2028",3601.65854029539
"CO2","coal-new","2030",4213.05029233878
"CO2","coal-new","2032",3890.05075206228
"CO2","coal-new","2034",4271.74117165188
"CO2","coal-new","2036",2754.3925673836
"CO2","coal-new","2038",1871.56350323269
"CO2","coal-new","2040",1450.08010939279
"CO2","coal-new","2042",1022.20194933916
"CO2","coal-new","2044",967.409692239159
"CO2","coal-new","2046",1020.90776094814
"CO2","coal-new","2048",1022.20194933916
"CO2","coal-new","2050",1017.83789852598
"CO2","CoalOldScr","2010",190256.552901326
"CO2","CoalOldScr","2012",118969.775147116
"CO2","CoalOldScr","2014",185783.946596915
"CO2","CoalOldScr","2016",40808.1151681821
"CO2","CoalOldScr","2018",112738.52134171
"CO2","CoalOldScr","2020",34096.1168145998
"CO2","CoalOldScr","2022",118782.736955742
"CO2","CoalOldScr","2024",38739.8109031282
"CO2","CoalOldScr","2026",33158.893077835
"CO2","CoalOldScr","2028",34846.0381908825
"CO2","CoalOldScr","2030",34163.8286694913
"CO2","CoalOldScr","2032",30777.5465301251
"CO2","CoalOldScr","2034",32154.4975692732
"CO2","CoalOldScr","2036",27275.2417540935
"CO2","CoalOldScr","2038",19428.6096425393
"CO2","CoalOldScr","2040",13874.1930358172
"CO2","CoalOldScr","2042",13244.6008547795
"CO2","CoalOldScr","2044",9167.58313568814
"CO2","CoalOldScr","2046",10539.8441610689
"CO2","CoalOldScr","2048",12716.091223029
"CO2","CoalOldScr","2050",7983.34177837648
"CO2","CoalOldUns","2010",46916.1483005324
"CO2","CoalOldUns","2012",12753.0865144065
"CO2","CoalOldUns","2014",25279.7356376918
"CO2","CoalOldUns","2016",1830.6862353408
"CO2","CoalOldUns","2018",4245.4290336472
"CO2","CoalOldUns","2020",947.022566007
"CO2","CoalOldUns","2022",1464.387472767
"CO2","CoalOldUns","2024",545.598776857899
"CO2","CoalOldUns","2026",180.13486047984
"CO2","CoalOldUns","2028",198.28524313584
"CO2","CoalOldUns","2030",265.10153203968
"CO2","CoalOldUns","2032",188.64395216688
"CO2","CoalOldUns","2034",319.099069879904
"CO2","Gas-CC","2010",73737.4559985819
"CO2","Gas-CC","2012",97102.7893422132
"CO2","Gas-CC","2014",72473.2065889233
"CO2","Gas-CC","2016",125160.020353217
"CO2","Gas-CC","2018",95156.5873531869
"CO2","Gas-CC","2020",121361.968500604
"CO2","Gas-CC","2022",59231.1361444838
"CO2","Gas-CC","2024",57550.8072788866
"CO2","Gas-CC","2026",45603.4941121021
"CO2","Gas-CC","2028",33235.8167098202
"CO2","Gas-CC","2030",22330.3840548449
"CO2","Gas-CC","2032",17961.0909635088
"CO2","Gas-CC","2034",16006.2874626209
"CO2","Gas-CC","2036",11887.413247971
"CO2","Gas-CC","2038",9061.49327326259
"CO2","Gas-CC","2040",8747.52952914264
"CO2","Gas-CC","2042",8760.33107018086
"CO2","Gas-CC","2044",8717.00078949426
"CO2","Gas-CC","2046",8625.93727181252
"CO2","Gas-CC","2048",8532.41160846594
"CO2","Gas-CC","2050",8252.44732160302
"CO2","Gas-CT","2010",5487.6192072633
"CO2","Gas-CT","2012",5714.30297590395
"CO2","Gas-CT","2014",6481.56044904866
"CO2","Gas-CT","2016",6696.64452686981
"CO2","Gas-CT","2018",6681.4212590917
"CO2","Gas-CT","2020",13416.8763236083
"CO2","Gas-CT","2022",7009.68633250014
"CO2","Gas-CT","2024",6479.21812117727
"CO2","Gas-CT","2026",6423.85425583051
"CO2","Gas-CT","2028",6181.01267747991
"CO2","Gas-CT","2030",6047.21360353078
"CO2","Gas-CT","2032",5931.28384198171
"CO2","Gas-CT","2034",6263.16900586147
"CO2","Gas-CT","2036",6127.56366689089
"CO2","Gas-CT","2038",6140.10022255723
"CO2","Gas-CT","2040",6718.19521371162
"CO2","Gas-CT","2042",7670.88075826612
"CO2","Gas-CT","2044",9103.37285138529
"CO2","Gas-CT","2046",11493.145910669
"CO2","Gas-CT","2048",13272.4664492384
"CO2","Gas-CT","2050",15136.1349114971
"CO2","o-g-s","2010",8648.79134736771
"CO2","o-g-s","2012",8052.93047857843
"CO2","o-g-s","2014",6797.92107551554
"CO2","o-g-s","2016",5691.69166334472
"CO2","o-g-s","2018",4375.54251279064
"CO2","o-g-s","2020",3557.24857253448
"CO2","o-g-s","2022",3494.63860715766
"CO2","o-g-s","2024",1366.76828380602
"CO2","o-g-s","2026",1328.53974942158
"CO2","o-g-s","2028",1055.91849949905
"CO2","o-g-s","2030",568.752722427936
"CO2","o-g-s","2032",520.863378411423
"CO2","o-g-s","2034",472.339460811423
"CO2","o-g-s","2036",388.073316306658
"CO2","o-g-s","2038",189.088811661214
"CO2","o-g-s","2040",190.527756015767
"CO2","o-g-s","2042",191.121798781772
"CO2","o-g-s","2044",190.971597803105
"CO2","o-g-s","2046",189.738120733665
"CO2","o-g-s","2048",189.630834320332
"CO2","o-g-s","2050",137.829785688
"SO2","biopower","2010",724.605867030809
"SO2","biopower","2012",228.525367325845
"SO2","biopower","2014",331.1522966832
"SO2","biopower","2016",218.798239615962
"SO2","biopower","2018",224.5899312
"SO2","biopower","2020",1330.55246932786
"SO2","biopower","2022",227.9390544
"SO2","biopower","2024",227.9390544
"SO2","biopower","2026",227.939054399992
"SO2","biopower","2028",210.455496
"SO2","biopower","2030",198.8390347479
"SO2","biopower","2032",148.3831872
"SO2","biopower","2034",83.5010208000005
"SO2","biopower","2036",62.4980448
"SO2","biopower","2038",56.2539167999999
"SO2","biopower","2040",56.2539167999995
"SO2","biopower","2042",56.2539168
"SO2","biopower","2044",56.2539168
"SO2","biopower","2046",89.3164568702401
"SO2","biopower","2048",55.0922884452
"SO2","biopower","2050",54.1252368
"SO2","coal-new","2010",7646.85440772979
"SO2","coal-new","2012",5114.78675407521
"SO2","coal-new","2014",8459.33801904499
"SO2","coal-new","2016",2414.37159921097
"SO2","coal-new","2018",5361.89271776265
"SO2","coal-new","2020",1733.76915919467
"SO2","coal-new","2022",5990.50297874538
"SO2","coal-new","2024",1864.76099390842
"SO2","coal-new","2026",1420.79510706817
"SO2","coal-new","2028",1698.21109212134
"SO2","coal-new","2030",1986.46704473049
"SO2","coal-new","2032",1833.95190174372
"SO2","coal-new","2034",2013.94274186633
"SO2","coal-new","2036",1298.66641352539
"SO2","coal-new","2038",882.330173996853
"SO2","coal-new","2040",683.522018078998
"SO2","coal-new","2042",481.87165501339
"SO2","coal-new","2044",456.18270361339
"SO2","coal-new","2046",481.264884195049
"SO2","coal-new","2048",481.87165501339
"SO2","coal-new","2050",479.825601516411
"SO2","CoalOldScr","2010",199242.338674746
"SO2","CoalOldScr","2012",124585.554533931
"SO2","CoalOldScr","2014",194557.961440963
"SO2","CoalOldScr","2016",42733.1314900348
"SO2","CoalOldScr","2018",118066.579660199
"SO2","CoalOldScr","2020",35703.6527290305
"SO2","CoalOldScr","2022",124391.746186252
"SO2","CoalOldScr","2024",40569.7419275038
"SO2","CoalOldScr","2026",34725.6196329457
"SO2","CoalOldScr","2028",36493.545713086
"SO2","CoalOldScr","2030",35779.740716217
"SO2","CoalOldScr","2032",32232.9045836642
"SO2","CoalOldScr","2034",33674.074535403
"SO2","CoalOldScr","2036",28563.4365380526
"SO2","CoalOldScr","2038",20346.5393114927
"SO2","CoalOldScr","2040",14529.9449939249
"SO2","CoalOldScr","2042",13870.2910365395
"SO2","CoalOldScr","2044",9600.1304851175
"SO2","CoalOldScr","2046",11037.6939479654
"SO2","CoalOldScr","2048",13317.0996323363
"SO2","CoalOldScr","2050",8359.57132195467
"SO2","CoalOldUns","2010",81809.5628000199
"SO2","CoalOldUns","2012",22237.056059932
"SO2","CoalOldUns","2014",44080.16196616
"SO2","CoalOldUns","2016",3192.327193056
"SO2","CoalOldUns","2018",7403.4809129576
"SO2","CoalOldUns","2020",1651.4845647216
"SO2","CoalOldUns","2022",2553.6759526896
"SO2","CoalOldUns","2024",951.324070378885
"SO2","CoalOldUns","2026",314.0530403112
"SO2","CoalOldUns","2028",345.6970143912
"SO2","CoalOldUns","2030",462.1867300224
"SO2","CoalOldUns","2032",328.8880706184
"SO2","CoalOldUns","2034",556.327813446613
"SO2","Gas-CC","2010",2272.63233000003
"SO2","Gas-CC","2012",2995.70573414075
"SO2","Gas-CC","2014",2227.65838309426
"SO2","Gas-CC","2016",3867.13800506171
"SO2","Gas-CC","2018",2931.13000271487
"SO2","Gas-CC","2020",3751.49851295238
"SO2","Gas-CC","2022",1815.66813178316
"SO2","Gas-CC","2024",1764.82278462956
"SO2","Gas-CC","2026",1397.22948052263
"SO2","Gas-CC","2028",1017.04140949231
"SO2","Gas-CC","2030",683.460468527793
"SO2","Gas-CC","2032",550.290710109591
"SO2","Gas-CC","2034",491.141541343594
"SO2","Gas-CC","2036",365.375419952667
"SO2","Gas-CC","2038",278.401661717321
"SO2","Gas-CC","2040",268.451593309512
"SO2","Gas-CC","2042",268.917710149477
"SO2","Gas-CC","2044",267.640378249931
"SO2","Gas-CC","2046",264.653108347535
"SO2","Gas-CC","2048",261.621501171428
"SO2","Gas-CC","2050",253.104576817324
"SO2","Gas-CT","2010",507.660854185083
"SO2","Gas-CT","2012",526.630750165666
"SO2","Gas-CT","2014",598.83390436184
"SO2","Gas-CT","2016",619.154578469048
"SO2","Gas-CT","2018",617.795128066245
"SO2","Gas-CT","2020",1240.7283616673
"SO2","Gas-CT","2022",648.615723538818
"SO2","Gas-CT","2024",599.61631482695
"SO2","Gas-CT","2026",594.484296398122
"SO2","Gas-CT","2028",571.997637365777
"SO2","Gas-CT","2030",559.74311291073
"SO2","Gas-CT","2032",549.148064430253
"SO2","Gas-CT","2034",580.040914002441
"SO2","Gas-CT","2036",567.517993915598
"SO2","Gas-CT","2038",568.649978889489
"SO2","Gas-CT","2040",622.286856996438
"SO2","Gas-CT","2042",710.719403025489
"SO2","Gas-CT","2044",843.806426373628
"SO2","Gas-CT","2046",1065.46171761965
"SO2","Gas-CT","2048",1230.52043088952
"SO2","Gas-CT","2050",1403.39389404331
"SO2","o-g-s","2010",20808.9483154877
"SO2","o-g-s","2012",19374.8977000434
"SO2","o-g-s","2014",16354.7177075163
"SO2","o-g-s","2016",13692.8312093125
"SO2","o-g-s","2018",10528.871466315
"SO2","o-g-s","2020",8559.45284491404
"SO2","o-g-s","2022",8409.37846383557
"SO2","o-g-s","2024",3288.92601480109
"SO2","o-g-s","2026",3196.90013853449
"SO2","o-g-s","2028",2540.88065529919
"SO2","o-g-s","2030",1368.63056323223
"SO2","o-g-s","2032",1253.3957086262
"SO2","o-g-s","2034",1136.62946382619
"SO2","o-g-s","2036",933.843069782312
"SO2","o-g-s","2038",454.992174879609
"SO2","o-g-s","2040",458.455405208995
"SO2","o-g-s","2042",459.885284548269
"SO2","o-g-s","2044",459.523782124935
"SO2","o-g-s","2046",456.556355324059
"SO2","o-g-s","2048",456.298139307393
"SO2","o-g-s","2050",331.66111608
"NOX","biopower","2010",181.045958609613
"NOX","biopower","2012",57.1325684741859
"NOX","biopower","2014",82.7857771056
"NOX","biopower","2016",54.6976229494588
"NOX","biopower","2018",56.1474828
"NOX","biopower","2020",332.782793560941
"NOX","biopower","2022",56.9847636
"NOX","biopower","2024",56.9847636
"NOX","biopower","2026",56.984763599998
"NOX","biopower","2028",52.613874
"NOX","biopower","2030",49.73268873825
"NOX","biopower","2032",37.0957968
"NOX","biopower","2034",20.8752552000001
"NOX","biopower","2036",15.6245112
"NOX","biopower","2038",14.0634792
"NOX","biopower","2040",14.0634791999999
