"Dim1","Dim2","Dim3","Val"
"CO2","p1","2010",1546615.09910938
"CO2","p1","2012",1906469.87918755
"CO2","p1","2014",1258080.88245638
"CO2","p1","2016",2720696.07473074
"CO2","p1","2018",2062627.56991571
"CO2","p1","2020",2720696.07473074
"CO2","p1","2022",741319.812033984
"CO2","p1","2024",1069572.87297932
"CO2","p1","2026",706434.786033984
"CO2","p1","2028",434972.059953984
"CO2","p1","2030",99952.9882092
"CO2","p1","2034",-1.0385974746896E-11
"CO2","p1","2036",-1.19520393582206E-12
"CO2","p1","2042",1.22747678688029E-13
"CO2","p1","2044",28007.7154542982
"CO2","p2","2010",14696800.3861695
"CO2","p2","2012",11206586.0197375
"CO2","p2","2014",13451518.3877596
"CO2","p2","2016",6892072.82758455
"CO2","p2","2018",5574228.1658271
"CO2","p2","2020",7047251.04669968
"CO2","p2","2022",6396526.66320528
"CO2","p2","2024",1595285.19291261
"CO2","p2","2026",867158.543528408
"CO2","p2","2028",499345.70443128
"CO2","p2","2030",156411.508943475
"CO2","p3","2010",73249.2917700525
"CO2","p3","2012",41709.9181431524
"CO2","p3","2014",16998.186724703
"CO2","p3","2016",47933.13549648
"CO2","p3","2018",31758.87812784
"CO2","p3","2020",118171.494903375
"CO2","p3","2034",5.30280885868706E-12
"CO2","p4","2048",-1.09987468022155E-10
"CO2","p5","2010",8713031.37872906
"CO2","p5","2012",7319508.32673741
"CO2","p5","2014",8613894.09712744
"CO2","p5","2016",7069313.93056587
"CO2","p5","2018",5861449.15987349
"CO2","p5","2020",8872674.56268205
"CO2","p5","2022",4597435.23223087
"CO2","p5","2024",4859150.39628156
"CO2","p5","2026",4060226.46398929
"CO2","p5","2028",3616583.63340728
"CO2","p5","2030",2883779.89033504
"CO2","p5","2032",2725303.07545333
"CO2","p5","2034",1731854.74305763
"CO2","p5","2036",856960.096264873
"CO2","p5","2038",784618.375549873
"CO2","p5","2040",566996.674609214
"CO2","p5","2042",539407.111794339
"CO2","p5","2044",585442.752249339
"CO2","p5","2046",596947.072327102
"CO2","p5","2048",389753.840793618
"CO2","p5","2050",582251.042888015
"CO2","p6","2010",1545339.49037415
"CO2","p6","2012",1567844.10655488
"CO2","p6","2014",1497746.50975488
"CO2","p6","2016",1567844.10655488
"CO2","p6","2018",1567844.10655488
"CO2","p6","2020",1656934.27032288
"CO2","p6","2022",1203484.17708288
"CO2","p6","2024",1291537.82670528
"CO2","p6","2026",1063207.42885896
"CO2","p6","2028",795558.83448272
"CO2","p6","2030",186222.907794
"CO2","p6","2044",-1.7735999335855E-12
"CO2","p6","2050",3.88582183014868E-10
"CO2","p8","2010",21389.926655392
"CO2","p8","2012",12620.9701486334
"CO2","p8","2014",16744.8678358749
"CO2","p8","2018",4344.7153462835
"CO2","p8","2022",4718.45253601859
"CO2","p8","2024",5308.447156969
"CO2","p8","2030",4897.373992437
"CO2","p8","2032",2863.119327437
"CO2","p9","2010",24291505.1689699
"CO2","p9","2012",25337095.8594391
"CO2","p9","2014",23212542.9995558
"CO2","p9","2016",25511868.0539456
"CO2","p9","2018",21474636.8268604
"CO2","p9","2020",19460141.4372848
"CO2","p9","2022",13866858.8485403
"CO2","p9","2024",12138940.9991282
"CO2","p9","2026",9791828.35862102
"CO2","p9","2028",7191513.5753955
"CO2","p9","2030",6839576.67985882
"CO2","p9","2032",3919529.12154216
"CO2","p9","2034",3192360.4812194
"CO2","p9","2036",2361759.5191357
"CO2","p9","2038",479270.527848948
"CO2","p9","2040",366959.417393125
"CO2","p9","2042",74314.7147127279
"CO2","p9","2044",27706.0666857874
