"Dim1","Dim2","Dim3","Dim4","Val"
"load","p1","p2","2022",7284117.422712
"load","p1","p2","2024",6274068.47450916
"load","p1","p2","2026",14504073.2027031
"load","p1","p2","2028",4846383.24626394
"load","p1","p2","2046",0
"load","p1","p4","2044",0
"load","p2","p1","2010",244887651.764674
"load","p2","p1","2012",88659041.4038851
"load","p2","p1","2014",112881455.113133
"load","p2","p1","2016",132918349.347804
"load","p2","p1","2018",45375419.2394869
"load","p2","p1","2020",81969438.066624
"load","p2","p1","2022",16548369.9628779
"load","p2","p1","2024",66335421.4091939
"load","p2","p1","2026",64377198.8373373
"load","p2","p1","2028",62591442.7704428
"load","p2","p1","2030",100681633.047063
"load","p2","p1","2032",120648623.909741
"load","p2","p1","2034",100022417.873799
"load","p2","p1","2036",94552737.1236206
"load","p2","p1","2038",101749497.763311
"load","p2","p1","2040",97208204.255422
"load","p2","p1","2042",95762759.6793536
"load","p2","p1","2044",103112629.830933
"load","p2","p1","2046",140733936.542762
"load","p2","p1","2048",154756855.482771
"load","p2","p1","2050",164421959.949264
"load","p2","p3","2032",5.60565408934739E-12
"load","p2","p3","2048",0
"load","p2","p4","2030",0
"load","p2","p4","2032",3.52431391398912E-12
"load","p2","p4","2042",0
"load","p2","p4","2044",0
"load","p2","p4","2046",0
"load","p2","p4","2048",0
"load","p2","p4","2050",0
"load","p2","p5","2010",516922939.963683
"load","p2","p5","2012",459093193.073099
"load","p2","p5","2014",646139787.177682
"load","p2","p5","2016",113540941.352668
"load","p2","p5","2018",224205778.273855
"load","p2","p5","2020",152464559.199234
"load","p2","p5","2022",342675582.712197
"load","p2","p5","2024",301439260.536603
"load","p2","p5","2026",322788036.043134
"load","p2","p5","2028",294612470.470182
"load","p2","p5","2030",400401486.368745
"load","p2","p5","2032",385654336.169967
"load","p2","p5","2034",435209183.685762
"load","p2","p5","2036",370540513.118516
"load","p2","p5","2038",334038825.34291
"load","p2","p5","2040",273230324.437929
"load","p2","p5","2042",173945583.389327
"load","p2","p5","2044",121981655.831797
"load","p2","p5","2046",88712173.5716378
"load","p2","p5","2048",126475572.887752
"load","p2","p5","2050",123717531.402094
"load","p2","p14","2016",2031605.63398926
"load","p2","p14","2020",1572238.97091016
