"Dim1","Dim2","Val"
"p1","2010",-117072002.540487
"p1","2012",44548240.3589013
"p1","2014",-47660298.1122178
"p1","2016",64798328.8757974
"p1","2018",59095816.4631779
"p1","2020",44950554.5074102
"p1","2022",47101938.4705431
"p1","2024",30221439.1849238
"p1","2026",45873688.1980584
"p1","2028",44302934.7524923
"p1","2030",43408827.1879367
"p1","2032",38981791.9048827
"p1","2034",37907185.5115641
"p1","2036",36679012.2254216
"p1","2038",35377699.9203177
"p1","2040",34167989.944621
"p1","2042",29102218.7804292
"p1","2044",27088654.9343866
"p1","2046",26979399.7631527
"p1","2048",28001496.8828561
"p1","2050",26998638.880635
"p3","2010",-62828829.8359646
"p3","2012",10296944.412681
"p3","2014",-33245078.5342744
"p3","2016",31270035.3037405
"p3","2018",24063903.0842435
"p3","2020",18718319.7405985
"p3","2022",18557821.1201988
"p3","2024",13713336.2380484
"p3","2026",21551422.2135312
"p3","2028",20825177.3994544
"p3","2030",20413426.1724778
"p3","2032",18279162.9224926
"p3","2034",17712911.5357971
"p3","2036",17098475.7492462
"p3","2038",16494506.2090709
"p3","2040",15957686.6109774
"p3","2042",13536786.1725846
"p3","2044",12596235.4212637
"p3","2046",12560471.3222524
"p3","2048",13027702.3780514
"p3","2050",12525759.1225326
"p18","2010",-2502981.75433107
"p18","2012",-6063806.63568824
"p18","2014",-4772451.02129822
"p18","2016",-472808.939696309
"p18","2018",-2638791.93626696
"p18","2020",-1864530.87739724
"p18","2022",-2189494.4777594
"p18","2024",-560302.694185007
"p18","2026",-441333.744684619
"p18","2028",-356312.646750909
"p18","2030",-296701.266932597
"p18","2032",-338465.515685
"p18","2034",-331300.39576092
"p18","2036",-229161.765754133
"p18","2038",-249070.26717236
"p18","2040",-307472.917291763
"p18","2042",-289086.044509069
"p18","2044",-277526.476043564
"p18","2046",-284532.946193788
"p18","2048",-296729.142611016
"p18","2050",-287318.015405217
