"Dim1","Dim2","Dim3","Val"
"AZ","corporate","2020",1808019.1010368
"CA","corporate","2020",0
"CO","corporate","2020",65975038.6164904
"ID","CA","2020",60749824.4763982
"ID","CA","2028",16341.8414501555
"ID","WA","2036",0
"ID","WA","2042",9186046.55225651
"ID","WA","2046",3569574.85014123
"ID","WA","2050",498998.398456532
"ID","corporate","2020",9962326.22192069
"MT","CA","2020",64778004.4622851
"MT","CA","2022",0
"MT","CA","2024",28003509.4303593
"MT","CA","2028",15080775.7980597
"MT","CA","2030",139955444.291926
"MT","CA","2036",0
"MT","CA","2038",0
"MT","CA","2040",-6.30321704645842E-10
"MT","CA","2042",0
"MT","CA","2044",0
"MT","CA","2046",0
"MT","CA","2048",0
"MT","CA","2050",0
"NM","CA","2020",12923666.0138884
"NM","CA","2022",0
"NM","CA","2024",29449881.9708226
"NM","CA","2028",12599601.4567315
"NM","CA","2030",54433795.4631381
"NM","CA","2036",0
"NM","CA","2038",0
"NM","CA","2040",-3.10400054246507E-8
"NM","CA","2050",0
"NM","corporate","2020",3687734.04436183
"NV","corporate","2020",7737442.60404163
"OR","WA","2020",54406111.0027794
"OR","WA","2024",0
"OR","WA","2026",0
"OR","WA","2028",0
"OR","WA","2036",0
"OR","WA","2038",0
"OR","WA","2044",5759031.14502183
"OR","WA","2048",8144377.31637287
"OR","corporate","2020",3946964.26115754
"SD","corporate","2020",4213545.76926
"UT","corporate","2020",46137551.2792153
"WA","CA","2020",49831136.9022341
"WA","CA","2022",0
"WA","CA","2024",315496.106791443
"WA","CA","2028",2848217.08357944
"WA","CA","2030",138814712.059745
"WA","CA","2040",-4.34577982428901E-9
"WA","CA","2044",0
"WA","corporate","2020",6097076.44785769
"WY","CO","2024",0
"WY","corporate","2020",82661615.287074
