"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",-178.57864309906
"battery_2","p1","2018",-240.129542306343
"battery_2","p1","2020",-276.796896803543
"battery_2","p1","2022",-668.717142843261
"battery_2","p1","2024",-279.751286108194
"battery_2","p1","2026",-442.332618987898
"battery_2","p1","2028",-453.165890232935
"battery_2","p1","2030",-462.08737439387
"battery_2","p1","2032",-260.801983345649
"battery_2","p1","2034",-105.238576855524
"battery_2","p1","2036",-115.758932959656
"battery_2","p3","2014",-105.864653165592
"battery_2","p3","2016",-107.147185859436
"battery_2","p3","2018",-92.9533712153584
"battery_2","p3","2020",-107.147185859436
"battery_2","p3","2022",-107.135397907717
"battery_2","p3","2024",-94.4662455758321
"battery_2","p3","2026",-151.459531892929
"battery_2","p3","2028",-157.394995997002
"battery_2","p4","2038",-8975.93832494878
"battery_2","p4","2040",-6628.19955969996
"battery_2","p4","2042",-9000.41403873933
"battery_2","p4","2044",-7688.72001162863
"battery_2","p4","2046",-8191.89467790249
"battery_2","p4","2048",-7769.10326454824
"battery_2","p4","2050",-9900.38853738289
"battery_2","p5","2014",-220.462543192056
"battery_2","p5","2016",-223.223303873825
"battery_2","p5","2018",-193.652856698663
"battery_2","p5","2020",-223.223303873825
"battery_2","p5","2022",-222.973059633917
"battery_2","p5","2024",-205.849442662934
"battery_2","p5","2026",-320.118234548803
"battery_2","p5","2028",-337.492668104907
"battery_2","p5","2040",-10382.5338187591
"battery_2","p5","2042",-9311.94615344521
"battery_2","p5","2044",-10653.6789394668
"battery_2","p5","2046",-15303.8378916922
"battery_2","p5","2048",-13482.7574190437
"battery_2","p5","2050",-12767.5281557726
"battery_2","p6","2022",-55.8058259684562
"battery_2","p6","2024",-51.027757289479
"battery_2","p6","2026",-84.4969369998109
"battery_2","p6","2028",-80.9265329363578
"battery_2","p6","2030",-76.2033141276949
"battery_2","p6","2032",-257.132721421958
"battery_2","p6","2034",-216.616762544195
"battery_2","p6","2036",-97.8252491150663
"battery_2","p6","2038",-315.635654314603
"battery_2","p6","2040",-393.977863068448
"battery_2","p6","2042",-296.955428222441
"battery_2","p6","2044",-413.680579604385
"battery_2","p6","2046",-653.441451244828
"battery_2","p6","2048",-694.626209576537
"battery_2","p6","2050",-666.994664975509
"battery_2","p8","2038",-190.604229240747
"battery_2","p8","2040",-225.927569635778
"battery_2","p8","2042",-221.282491443318
"battery_2","p8","2044",-315.931332403209
"battery_2","p8","2046",-35292.6779404287
"battery_2","p8","2048",-43569.521073928
"battery_2","p8","2050",-35971.9917045221
"battery_2","p9","2024",-52197.8997416451
"battery_2","p9","2026",-75096.9878924982
"battery_2","p9","2028",-71125.0224568833
"battery_2","p9","2030",-134625.873101204
"battery_2","p9","2032",-486829.06662736
"battery_2","p9","2034",-380744.726714117
"battery_2","p9","2036",-486921.426093844
"battery_2","p9","2038",-507699.273461608
"battery_2","p9","2040",-565103.19819976
"battery_2","p9","2042",-400879.109391456
"battery_2","p9","2044",-512198.514690147
"battery_2","p9","2046",-677839.448934306
"battery_2","p9","2048",-562319.896180047
"battery_2","p9","2050",-647939.082543697
"battery_2","p10","2024",-12284.5303864524
"battery_2","p10","2026",-29363.1069509299
"battery_2","p10","2028",-29274.2773651758
"battery_2","p10","2030",-69757.6292434135
"battery_2","p10","2032",-376539.391830889
"battery_2","p10","2034",-408690.860220336
"battery_2","p10","2036",-419935.203517783
"battery_2","p10","2038",-647706.600447641
"battery_2","p10","2040",-874531.040965499
"battery_2","p10","2042",-738133.953273372
"battery_2","p10","2044",-1006508.47697714
"battery_2","p10","2046",-971863.406826668
"battery_2","p10","2048",-1179515.44806421
"battery_2","p10","2050",-1109029.31140619
"battery_2","p11","2024",-32411.4180151978
"battery_2","p11","2026",-25785.3046370567
"battery_2","p11","2028",-23756.4881577174
"battery_2","p11","2030",-30338.8258035076
"battery_2","p11","2032",-31494.3090158231
"battery_2","p11","2034",-45596.6724714877
"battery_2","p11","2036",-52133.0103078574
"battery_2","p11","2038",-83466.2995484242
"battery_2","p11","2040",-57324.5509617261
"battery_2","p11","2042",-44471.5351209138
"battery_2","p11","2044",-83624.6044640777
"battery_2","p11","2046",-79884.441015074
"battery_2","p11","2048",-79136.2142763131
"battery_2","p11","2050",-75090.2344820236
"battery_2","p12","2022",-4410.80181438844
"battery_2","p12","2024",-4896.28753866173
"battery_2","p12","2026",-13205.3487853719
"battery_2","p12","2028",-15438.2907148562
"battery_2","p12","2030",-6733.14495564697
"battery_2","p12","2032",-14541.1349806057
"battery_2","p12","2034",-9792.70755792291
"battery_2","p12","2036",-11701.1360926975
"battery_2","p12","2044",-22900.2356777369
"battery_2","p12","2046",-107919.472820703
"battery_2","p12","2048",-193832.001861588
"battery_2","p12","2050",-177664.728748211
"battery_2","p13","2022",-16781.4211988521
"battery_2","p13","2024",-8422.07886444275
"battery_2","p13","2026",-16135.4057754634
"battery_2","p13","2028",-11786.5855587792
"battery_2","p13","2030",-22027.6040032468
"battery_2","p13","2032",-15526.9913766538
"battery_2","p13","2034",-19079.1520610432
"battery_2","p13","2036",-19451.6186004965
"battery_2","p13","2038",-53415.1384978702
"battery_2","p13","2040",-80727.9203063958
"battery_2","p13","2042",-64259.6164945392
"battery_2","p13","2044",-117538.700703336
"battery_2","p13","2046",-179229.666201426
"battery_2","p13","2048",-170653.752758687
"battery_2","p13","2050",-258697.517223369
