"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2016",156.8
"battery_2","new1","p1","2020",243.04
"battery_2","new1","p1","2022",243.04
"battery_2","new1","p1","2026",1230.28127
"battery_2","new1","p1","2028",1182.75548851262
"battery_2","new1","p1","2030",1339.428
"battery_2","new1","p1","2032",701.879031374696
"battery_2","new1","p3","2014",94.08
"battery_2","new1","p3","2016",94.08
"battery_2","new1","p3","2020",94.08
"battery_2","new1","p3","2022",94.08
"battery_2","new1","p3","2024",11.5980856754705
"battery_2","new1","p3","2026",489.268600289129
"battery_2","new1","p3","2028",517.818876035645
"battery_2","new1","p5","2014",196
"battery_2","new1","p5","2016",196
"battery_2","new1","p5","2020",196
"battery_2","new1","p5","2022",196
"battery_2","new1","p5","2024",79.7930402690709
"battery_2","new1","p5","2026",1013.94838404916
"battery_2","new1","p5","2028",1145.90316711241
"battery_2","new1","p28","2018",78.4
"battery_2","new1","p28","2020",78.4
"battery_2","new1","p28","2024",368
"battery_2","new1","p28","2026",1224.91077830324
"battery_2","new1","p28","2028",1216
"battery_2","new1","p28","2030",2676.51011764711
"battery_2","new1","p28","2032",2196.51011764706
"battery_2","new1","p30","2018",392
"battery_2","new1","p30","2020",392
"battery_2","new1","p30","2022",2425.5247196187
"battery_2","new1","p30","2024",3701.50027493016
"battery_2","new1","p30","2026",4658.69131744947
"battery_2","new1","p30","2028",7073.40374041845
"battery_2","new1","p30","2030",7851.60978478407
"battery_2","new1","p30","2032",9178.94111897209
"battery_2","new1","p31","2012",70.56
"battery_2","new1","p31","2014",70.56
"battery_2","new1","p31","2016",70.56
"battery_2","new1","p31","2018",109.76
"battery_2","new1","p31","2020",109.76
"battery_2","new1","p31","2022",177.214691762268
"battery_2","new1","p31","2024",818.543375479603
"battery_2","new1","p31","2026",1256.79375075147
"battery_2","new1","p31","2028",1475.74228108108
"battery_2","new1","p31","2030",1293.36775135135
"battery_2","new1","p31","2032",722.39827027027
"battery_2","new1","p33","2018",156.8
"battery_2","new1","p33","2020",156.8
"battery_2","new1","p33","2024",0.878570714230537
"battery_2","new1","p33","2026",4212.2384682736
"battery_2","new1","p33","2028",4685.4710054054
"battery_2","new1","p33","2030",4509.51424864865
"battery_2","new1","p33","2032",5245.51424864865
"battery_2","new3","p28","2020",392
"battery_2","new3","p28","2024",2252.598525
"battery_2","new3","p28","2026",4842.477
"battery_2","new3","p28","2028",4994.27760821887
"battery_2","new3","p28","2030",7300
"battery_2","new3","p28","2032",9140
"battery_2","new3","p28","2034",10409.911027027
"battery_2","new5","p1","2022",2169.73893667906
"battery_2","new5","p1","2024",11.1947693138926
