"Dim1","Dim2","Dim3","Dim4","Val"
"csp-ns","new1","p10","2014",2530961.404608
"csp-ns","new1","p10","2016",2530961.404608
"csp-ns","new1","p10","2018",2530961.404608
"csp-ns","new1","p10","2020",2530961.404608
"csp-ns","new1","p10","2022",2530961.404608
"csp-ns","new1","p10","2024",2530961.404608
"csp-ns","new1","p10","2026",2530961.404608
"csp-ns","new1","p10","2028",2530961.404608
"csp-ns","new1","p10","2030",2530961.404608
"csp-ns","new1","p10","2032",2530961.404608
"csp-ns","new1","p10","2034",2530961.404608
"csp-ns","new1","p10","2036",2530961.404608
"csp-ns","new1","p10","2038",2530961.404608
"csp-ns","new1","p10","2040",2530961.404608
"csp-ns","new1","p10","2042",2530961.404608
"csp-ns","new1","p12","2016",303340.3296
"csp-ns","new1","p12","2018",303340.3296
"csp-ns","new1","p12","2020",303340.3296
"csp-ns","new1","p12","2022",303340.3296
"csp-ns","new1","p12","2024",303340.3296
"csp-ns","new1","p12","2026",303340.3296
"csp-ns","new1","p12","2028",303340.3296
"csp-ns","new1","p12","2030",303340.3296
"csp-ns","new1","p12","2032",303340.3296
"csp-ns","new1","p12","2034",303340.3296
"csp-ns","new1","p12","2036",303340.3296
"csp-ns","new1","p12","2038",303340.3296
"csp-ns","new1","p12","2040",303340.3296
"csp-ns","new1","p12","2042",303340.3296
"csp-ns","new1","p12","2044",303340.3296
"csp-ns","new1","p28","2014",815158.194816
"csp-ns","new1","p28","2016",815158.194816
"csp-ns","new1","p28","2018",815158.194816
"csp-ns","new1","p28","2020",815158.194816
"csp-ns","new1","p28","2022",815158.194816
"csp-ns","new1","p28","2024",815158.194816
"csp-ns","new1","p28","2026",815158.194816
"csp-ns","new1","p28","2028",815158.194816
"csp-ns","new1","p28","2030",815158.194816
"csp-ns","new1","p28","2032",815158.194816
"csp-ns","new1","p28","2034",815158.194816
"csp-ns","new1","p28","2036",815158.194816
"csp-ns","new1","p28","2038",815158.194816
"csp-ns","new1","p28","2040",815158.194816
"csp-ns","new1","p28","2042",815158.194816
"distpv","init-1","p1","2012",10963.512301
"distpv","init-1","p1","2014",25546.04808
"distpv","init-1","p1","2016",62268.492195
"distpv","init-1","p1","2018",100268.238714
"distpv","init-1","p1","2020",136352.031627
"distpv","init-1","p1","2022",240558.61942
"distpv","init-1","p1","2024",459403.097972
"distpv","init-1","p1","2026",754779.278897
"distpv","init-1","p1","2028",1011304.178367
"distpv","init-1","p1","2030",1488802.393729
"distpv","init-1","p1","2032",1928087.978838
"distpv","init-1","p1","2034",1965342.632288
"distpv","init-1","p1","2036",1991953.099038
"distpv","init-1","p1","2038",2016541.170315
"distpv","init-1","p1","2040",2039426.17172
"distpv","init-1","p1","2042",2061459.638189
"distpv","init-1","p1","2044",2090837.593481
"distpv","init-1","p1","2046",2115957.874093
"distpv","init-1","p1","2048",2125111.874655
"distpv","init-1","p1","2050",2147677.550459
"distpv","init-1","p2","2012",4370.348592
"distpv","init-1","p2","2014",9590.487188
"distpv","init-1","p2","2016",21366.148672
"distpv","init-1","p2","2018",34598.59302
"distpv","init-1","p2","2020",45888.660216
"distpv","init-1","p2","2022",93962.494728
"distpv","init-1","p2","2024",176027.9294
"distpv","init-1","p2","2026",280916.295608
"distpv","init-1","p2","2028",396244.939008
"distpv","init-1","p2","2030",628359.008672
"distpv","init-1","p2","2032",849911.402572
"distpv","init-1","p2","2034",880261.045572
"distpv","init-1","p2","2036",894221.881352
"distpv","init-1","p2","2038",906240.33998
"distpv","init-1","p2","2040",916559.2186
"distpv","init-1","p2","2042",926999.495792
"distpv","init-1","p2","2044",941203.128716
"distpv","init-1","p2","2046",954921.167352
"distpv","init-1","p2","2048",959291.515944
"distpv","init-1","p2","2050",969367.59742
"distpv","init-1","p3","2010",129.853468
"distpv","init-1","p3","2012",2337.362424
"distpv","init-1","p3","2014",6232.966464
"distpv","init-1","p3","2016",14803.295352
"distpv","init-1","p3","2018",24672.15892
"distpv","init-1","p3","2020",33761.90168
"distpv","init-1","p3","2022",57654.939792
"distpv","init-1","p3","2024",102973.800124
"distpv","init-1","p3","2026",158161.524024
"distpv","init-1","p3","2028",218803.09358
"distpv","init-1","p3","2030",364628.538144
"distpv","init-1","p3","2032",514869.00062
"distpv","init-1","p3","2034",545514.419068
"distpv","init-1","p3","2036",558759.472804
"distpv","init-1","p3","2038",566940.241288
"distpv","init-1","p3","2040",575770.277112
"distpv","init-1","p3","2042",582652.510916
"distpv","init-1","p3","2044",595897.564652
"distpv","init-1","p3","2046",606026.135156
"distpv","init-1","p3","2048",607973.937176
"distpv","init-1","p3","2050",614206.90364
"distpv","init-1","p4","2010",139.894195
"distpv","init-1","p4","2012",559.57678
"distpv","init-1","p4","2014",2797.8839
"distpv","init-1","p4","2016",4616.508435
"distpv","init-1","p4","2018",8253.757505
"distpv","init-1","p4","2020",14269.20789
"distpv","init-1","p4","2022",26160.214465
"distpv","init-1","p4","2024",62252.916775
"distpv","init-1","p4","2026",133039.379445
"distpv","init-1","p4","2028",213758.32996
"distpv","init-1","p4","2030",281886.802925
"distpv","init-1","p4","2032",313782.679385
"distpv","init-1","p4","2034",323994.95562
"distpv","init-1","p4","2036",336025.85639
"distpv","init-1","p4","2038",342321.095165
"distpv","init-1","p4","2040",350574.85267
"distpv","init-1","p4","2042",357149.879835
"distpv","init-1","p4","2044",366103.108315
"distpv","init-1","p4","2046",376735.067135
"distpv","init-1","p4","2048",380512.2104
"distpv","init-1","p4","2050",389465.43888
"distpv","init-1","p5","2010",6749.321322
"distpv","init-1","p5","2012",49613.432174
"distpv","init-1","p5","2014",62875.256526
"distpv","init-1","p5","2016",105028.912502
"distpv","init-1","p5","2018",150142.797128
"distpv","init-1","p5","2020",167667.350736
"distpv","init-1","p5","2022",213136.4628
"distpv","init-1","p5","2024",295075.591832
"distpv","init-1","p5","2026",408629.962846
"distpv","init-1","p5","2028",566232.536172
"distpv","init-1","p5","2030",792630.823324
"distpv","init-1","p5","2032",1050762.761604
"distpv","init-1","p5","2034",1168461.452728
"distpv","init-1","p5","2036",1201023.967878
"distpv","init-1","p5","2038",1233468.073882
"distpv","init-1","p5","2040",1265675.361594
"distpv","init-1","p5","2042",1296935.376138
"distpv","init-1","p5","2044",1328432.208974
"distpv","init-1","p5","2046",1362178.815584
"distpv","init-1","p5","2048",1402201.106932
"distpv","init-1","p5","2050",1453472.26715
"distpv","init-1","p6","2010",268.972254
"distpv","init-1","p6","2012",13179.640446
"distpv","init-1","p6","2014",16003.849113
"distpv","init-1","p6","2016",26224.794765
"distpv","init-1","p6","2018",37252.657179
"distpv","init-1","p6","2020",42094.157751
"distpv","init-1","p6","2022",51911.645022
"distpv","init-1","p6","2024",69125.869278
"distpv","init-1","p6","2026",94274.775027
"distpv","init-1","p6","2028",129510.140301
"distpv","init-1","p6","2030",179673.465672
"distpv","init-1","p6","2032",239788.764441
"distpv","init-1","p6","2034",280134.602541
"distpv","init-1","p6","2036",297617.799051
"distpv","init-1","p6","2038",314563.051053
"distpv","init-1","p6","2040",330970.358547
"distpv","init-1","p6","2042",346301.777025
"distpv","init-1","p6","2044",360422.82036
"distpv","init-1","p6","2046",375485.266584
"distpv","init-1","p6","2048",392161.546332
"distpv","init-1","p6","2050",411931.007001
"distpv","init-1","p7","2012",2339.6664
"distpv","init-1","p7","2014",5264.2494
"distpv","init-1","p7","2016",8627.51985
"distpv","init-1","p7","2018",11259.64455
"distpv","init-1","p7","2020",11844.56115
"distpv","init-1","p7","2022",12721.93605
"distpv","init-1","p7","2024",14769.14415
"distpv","init-1","p7","2026",17401.26885
"distpv","init-1","p7","2028",21056.9976
"distpv","init-1","p7","2030",26321.247
"distpv","init-1","p7","2032",32755.3296
"distpv","init-1","p7","2034",38019.579
"distpv","init-1","p7","2036",40359.2454
"distpv","init-1","p7","2038",42698.9118
"distpv","init-1","p7","2040",45184.80735
"distpv","init-1","p7","2042",47232.01545
"distpv","init-1","p7","2044",49425.4527
"distpv","init-1","p7","2046",51618.88995
"distpv","init-1","p7","2048",54104.7855
"distpv","init-1","p7","2050",57321.8268
"distpv","init-1","p8","2010",1258.279504
"distpv","init-1","p8","2012",13841.074544
"distpv","init-1","p8","2014",57409.00237
"distpv","init-1","p8","2016",99089.51094
"distpv","init-1","p8","2018",145960.422464
"distpv","init-1","p8","2020",148476.981472
"distpv","init-1","p8","2022",151465.395294
"distpv","init-1","p8","2024",162003.48614
"distpv","init-1","p8","2026",172856.146862
"distpv","init-1","p8","2028",185596.22684
"distpv","init-1","p8","2030",200852.865826
"distpv","init-1","p8","2032",214851.225308
"distpv","init-1","p8","2034",223501.896898
"distpv","init-1","p8","2036",224602.891464
"distpv","init-1","p8","2038",226018.455906
"distpv","init-1","p8","2040",227591.305286
"distpv","init-1","p8","2042",230737.004046
"distpv","init-1","p8","2044",234354.55762
"distpv","init-1","p8","2046",238129.396132
"distpv","init-1","p8","2048",239859.53045
"distpv","init-1","p8","2050",240645.95514
"distpv","init-1","p9","2010",657829.412995
"distpv","init-1","p9","2012",1094295.94624
"distpv","init-1","p9","2014",2118671.75529
"distpv","init-1","p9","2016",4206047.379305
"distpv","init-1","p9","2018",6321818.51755
"distpv","init-1","p9","2020",7351537.568525
"distpv","init-1","p9","2022",7944484.758145
"distpv","init-1","p9","2024",9233732.70262
"distpv","init-1","p9","2026",10900060.862945
"distpv","init-1","p9","2028",12828665.86976
"distpv","init-1","p9","2030",14877722.81597
"distpv","init-1","p9","2032",16659159.673765
"distpv","init-1","p9","2034",17838031.506475
"distpv","init-1","p9","2036",18474793.27988
"distpv","init-1","p9","2038",19055069.352935
"distpv","init-1","p9","2040",19581913.00674
"distpv","init-1","p9","2042",20087994.349065
"distpv","init-1","p9","2044",20543238.561075
"distpv","init-1","p9","2046",20954057.53308
"distpv","init-1","p9","2048",21263812.900675
"distpv","init-1","p9","2050",21488992.3818
"distpv","init-1","p10","2010",867330.597474
"distpv","init-1","p10","2012",1404828.964371
"distpv","init-1","p10","2014",2750116.153719
"distpv","init-1","p10","2016",5188895.342127
"distpv","init-1","p10","2018",7721611.009386
"distpv","init-1","p10","2020",8805044.179968
"distpv","init-1","p10","2022",9668805.515724
"distpv","init-1","p10","2024",11252097.565995
"distpv","init-1","p10","2026",13034781.554967
"distpv","init-1","p10","2028",14951312.858364
"distpv","init-1","p10","2030",16895262.581322
"distpv","init-1","p10","2032",18541016.711658
"distpv","init-1","p10","2034",19592651.005116
"distpv","init-1","p10","2036",20136314.460435
"distpv","init-1","p10","2038",20656939.953756
"distpv","init-1","p10","2040",21160205.855994
"distpv","init-1","p10","2042",21678397.76178
"distpv","init-1","p10","2044",22154894.201133
"distpv","init-1","p10","2046",22598456.089179
"distpv","init-1","p10","2048",22986856.659765
"distpv","init-1","p10","2050",23291704.058316
"distpv","init-1","p11","2010",175002.246936
"distpv","init-1","p11","2012",216553.059756
"distpv","init-1","p11","2014",373305.537924
"distpv","init-1","p11","2016",800219.771604
"distpv","init-1","p11","2018",1219801.508904
"distpv","init-1","p11","2020",1427229.684276
"distpv","init-1","p11","2022",1517012.02884
"distpv","init-1","p11","2024",1719714.817656
"distpv","init-1","p11","2026",1991668.961172
"distpv","init-1","p11","2028",2322446.020092
"distpv","init-1","p11","2030",2672287.5696
"distpv","init-1","p11","2032",2983674.249204
"distpv","init-1","p11","2034",3180022.207824
"distpv","init-1","p11","2036",3288217.26552
"distpv","init-1","p11","2038",3377347.832628
"distpv","init-1","p11","2040",3452302.240068
"distpv","init-1","p11","2042",3516828.208212
"distpv","init-1","p11","2044",3573369.90252
"distpv","init-1","p11","2046",3625349.154636
"distpv","init-1","p11","2048",3688408.623504
"distpv","init-1","p11","2050",3740061.986892
"distpv","init-1","p12","2010",675.379456
"distpv","init-1","p12","2012",23975.970688
"distpv","init-1","p12","2014",48120.78624
"distpv","init-1","p12","2016",117516.025344
"distpv","init-1","p12","2018",149765.394368
"distpv","init-1","p12","2020",159896.086208
"distpv","init-1","p12","2022",175092.123968
"distpv","init-1","p12","2024",203458.06112
"distpv","init-1","p12","2026",240603.9312
"distpv","init-1","p12","2028",299193.099008
"distpv","init-1","p12","2030",389693.946112
"distpv","init-1","p12","2032",482052.08672
"distpv","init-1","p12","2034",540303.5648
"distpv","init-1","p12","2036",552291.550144
"distpv","init-1","p12","2038",562759.931712
"distpv","init-1","p12","2040",576436.365696
"distpv","init-1","p12","2042",584203.22944
"distpv","init-1","p12","2044",600918.870976
"distpv","init-1","p12","2046",632661.705408
"distpv","init-1","p12","2048",661365.332288
"distpv","init-1","p12","2050",694965.460224
"distpv","init-1","p13","2010",887.85706
"distpv","init-1","p13","2012",52738.709364
"distpv","init-1","p13","2014",97131.562364
"distpv","init-1","p13","2016",331525.826204
"distpv","init-1","p13","2018",487966.240176
"distpv","init-1","p13","2020",568938.804048
"distpv","init-1","p13","2022",674593.794188
"distpv","init-1","p13","2024",841155.778644
"distpv","init-1","p13","2026",1049979.759156
"distpv","init-1","p13","2028",1276738.45228
"distpv","init-1","p13","2030",1552506.855116
"distpv","init-1","p13","2032",1804125.54592
"distpv","init-1","p13","2034",1955416.388944
"distpv","init-1","p13","2036",1991108.242756
"distpv","init-1","p13","2038",2019519.668676
"distpv","init-1","p13","2040",2055744.236724
"distpv","init-1","p13","2042",2077940.663224
"distpv","init-1","p13","2044",2122511.087636
"distpv","init-1","p13","2046",2193184.509612
"distpv","init-1","p13","2048",2256755.075108
"distpv","init-1","p13","2050",2310204.07012
"distpv","init-1","p14","2014",130.037797
"distpv","init-1","p14","2016",910.264579
"distpv","init-1","p14","2018",2860.831534
"distpv","init-1","p14","2020",4421.285098
"distpv","init-1","p14","2022",12613.666309
"distpv","init-1","p14","2024",30558.882295
"distpv","init-1","p14","2026",69570.221395
"distpv","init-1","p14","2028",127567.078857
"distpv","init-1","p14","2030",185954.04971
"distpv","init-1","p14","2032",205329.681463
"distpv","init-1","p14","2034",210661.23114
"distpv","init-1","p14","2036",212351.722501
"distpv","init-1","p14","2038",214302.289456
"distpv","init-1","p14","2040",216382.894208
"distpv","init-1","p14","2042",218333.461163
"distpv","init-1","p14","2044",220934.217103
"distpv","init-1","p14","2046",223274.897449
