"Dim1","Dim2","Dim3","Val"
"end_use","p1","2010",47104678.2898
"end_use","p1","2012",48616519.1426
"end_use","p1","2014",48354284.0059
"end_use","p1","2016",49101898.3885
"end_use","p1","2018",50726936.96915
"end_use","p1","2020",52838674.83875
"end_use","p1","2022",53710667.6702
"end_use","p1","2024",55048695.60435
"end_use","p1","2026",56500675.1778
"end_use","p1","2028",58234218.8701
"end_use","p1","2030",60242338.57815
"end_use","p1","2032",62356086.7589
"end_use","p1","2034",64611217.1573
"end_use","p1","2036",67179115.8771
"end_use","p1","2038",69936397.0817
"end_use","p1","2040",72745549.02445
"end_use","p1","2042",75499152.93295
"end_use","p1","2044",78206922.941
"end_use","p1","2046",80911247.7712
"end_use","p1","2048",83628614.27835
"end_use","p1","2050",86397033.4283
"end_use","p2","2010",26518940.34465
"end_use","p2","2012",27370074.40135
"end_use","p2","2014",27222441.72615
"end_use","p2","2016",27643333.2554
"end_use","p2","2018",28556982.5998
"end_use","p2","2020",29744530.8731
"end_use","p2","2022",30234030.11035
"end_use","p2","2024",30985492.1763
"end_use","p2","2026",31800434.85915
"end_use","p2","2028",32772781.70345
"end_use","p2","2030",33898878.13995
"end_use","p2","2032",35084099.22865
"end_use","p2","2034",36348603.0186
"end_use","p2","2036",37788998.6901
"end_use","p2","2038",39336055.7636
"end_use","p2","2040",40912316.25415
"end_use","p2","2042",42457304.0804
"end_use","p2","2044",43976375.6872
"end_use","p2","2046",45493357.5163
"end_use","p2","2048",47017532.2989
"end_use","p2","2050",48570101.34175
"end_use","p3","2010",12094609.6912
"end_use","p3","2012",12482789.8505
"end_use","p3","2014",12415457.8785
"end_use","p3","2016",12607416.3681
"end_use","p3","2018",13023742.6068
"end_use","p3","2020",13565080.92725
"end_use","p3","2022",13788286.9052
"end_use","p3","2024",14131177.20435
"end_use","p3","2026",14503417.31175
"end_use","p3","2028",14948157.3446
"end_use","p3","2030",15463634.3651
"end_use","p3","2032",16006335.0834
"end_use","p3","2034",16585472.03615
"end_use","p3","2036",17244975.06825
"end_use","p3","2038",17952947.7264
"end_use","p3","2040",18673978.44045
"end_use","p3","2042",19380400.3338
"end_use","p3","2044",20074633.55045
"end_use","p3","2046",20767537.6582
"end_use","p3","2048",21463307.03245
