"Dim1","Dim2","Val"
"p1","2010",49583871.884
"p1","2012",51175283.308
"p1","2014",50899246.322
"p1","2016",51686208.83
"p1","2018",53396775.757
"p1","2020",55619657.725
"p1","2022",56537544.916
"p1","2024",57945995.373
"p1","2026",59474394.924
"p1","2028",61299177.758
"p1","2030",63412987.977
"p1","2032",65637986.062
"p1","2034",68011807.534
"p1","2036",70714858.818
"p1","2038",73617260.086
"p1","2040",76574262.131
"p1","2042",79472792.561
"p1","2044",82323076.78
"p1","2046",85169734.496
"p1","2048",88030120.293
"p1","2050",90944245.714
"p2","2010",27914674.047
"p2","2012",28810604.633
"p2","2014",28655201.817
"p2","2016",29098245.532
"p2","2018",30059981.684
"p2","2020",31310032.498
"p2","2022",31825294.853
"p2","2024",32616307.554
"p2","2026",33474141.957
"p2","2028",34497664.951
"p2","2030",35683029.621
"p2","2032",36930630.767
"p2","2034",38261687.388
"p2","2036",39777893.358
"p2","2038",41406374.488
"p2","2040",43065596.057
"p2","2042",44691899.032
"p2","2044",46290921.776
"p2","2046",47887744.754
"p2","2048",49492139.262
"p2","2050",51126422.465
"p3","2010",12731168.096
"p3","2012",13139778.79
"p3","2014",13068903.03
"p3","2016",13270964.598
"p3","2018",13709202.744
"p3","2020",14279032.555
"p3","2022",14513986.216
"p3","2024",14874923.373
"p3","2026",15266755.065
"p3","2028",15734902.468
"p3","2030",16277509.858
"p3","2032",16848773.772
"p3","2034",17458391.617
"p3","2036",18152605.335
"p3","2038",18897839.712
"p3","2040",19656819.411
"p3","2042",20400421.404
"p3","2044",21131193.211
"p3","2046",21860565.956
"p3","2048",22592954.771
"p3","2050",23338658.991
"p4","2010",4994759.641
"p4","2012",5155069.581
"p4","2014",5127263.95
"p4","2016",5206537.348
"p4","2018",5378470.473
"p4","2020",5601918.458
"p4","2022",5693752.487
"p4","2024",5834726.114
"p4","2026",5987321.862
"p4","2028",6168987.914
"p4","2030",6379124.911
"p4","2032",6600111.312
"p4","2034",6835872.973
"p4","2036",7104626.83
"p4","2038",7393513.23
"p4","2040",7688040.744
"p4","2042",7976831.809
"p4","2044",8260861.636
"p4","2046",8544606.95
"p4","2048",8829837.6
"p4","2050",9120438.907
"p5","2010",36280369.228
"p5","2012",37444799.208
"p5","2014",37242824.605
"p5","2016",37818642.453
"p5","2018",39058996.717
"p5","2020",40672964.272
"p5","2022",41329478.537
"p5","2024",42339312.813
"p5","2026",43425859.121
"p5","2028",44710129.185
"p5","2030",46194124.882
"p5","2032",47764362.297
"p5","2034",49457851.008
"p5","2036",51420294.478
"p5","2038",53556596.493
"p5","2040",55751296.752
"p5","2042",57911428.325
"p5","2044",60039312.976
"p5","2046",62167292.439
"p5","2048",64307713.689
"p5","2050",66481049.4
"p6","2010",10797325.955
"p6","2012",11143868.579
"p6","2014",11083758.645
"p6","2016",11255127.271
"p6","2018",11624067.556
"p6","2020",12104161.014
"p6","2022",12299244.22
"p6","2024",12599345.175
"p6","2026",12922048.55
"p6","2028",13303227.963
"p6","2030",13743607.97
"p6","2032",14209643.63
"p6","2034",14712394.115
"p6","2036",15295217.043
"p6","2038",15929808.369
"p6","2040",16581857.495
"p6","2042",17223671.136
"p6","2044",17855889.137
"p6","2046",18488112.149
"p6","2048",19124025.289
"p6","2050",19769670.844
"p7","2010",1429574.918
"p7","2012",1475457.837
"p7","2014",1467499.821
"p7","2016",1490188.267
"p7","2018",1538847.537
"p7","2020",1602242.465
"p7","2022",1627956.835
"p7","2024",1667602.428
"p7","2026",1710292.117
"p7","2028",1760824.523
"p7","2030",1819280.702
"p7","2032",1881175.36
"p7","2034",1947966.582
"p7","2036",2025391.149
"p7","2038",2109643.694
"p7","2040",2196147.107
"p7","2042",2281206.026
"p7","2044",2364896.313
"p7","2046",2448487.196
"p7","2048",2532454.187
"p7","2050",2617612.94
"p8","2010",1442167.249
"p8","2012",1457143.077
"p8","2014",1455419.15
"p8","2016",1451592.387
"p8","2018",1486834.307
"p8","2020",1539937.637
"p8","2022",1563965.98
"p8","2024",1577386.414
"p8","2026",1592721.434
"p8","2028",1622685.652
"p8","2030",1665413.635
"p8","2032",1712329.47
"p8","2034",1764849.804
"p8","2036",1825026.782
"p8","2038",1890917.745
"p8","2040",1959542.041
"p8","2042",2028862.559
"p8","2044",2098149.631
"p8","2046",2167839.407
"p8","2048",2239179.78
"p8","2050",2313938.82
"p9","2010",119124592.915
"p9","2012",120361610.866
"p9","2014",120219141.345
"p9","2016",119903215.314
"p9","2018",122812652.56
"p9","2020",127199475.624
"p9","2022",129188956.762
"p9","2024",138125186.158
"p9","2026",139486498.092
"p9","2028",142143996.479
"p9","2030",145930942.118
"p9","2032",150088585.697
"p9","2034",154738934.665
"p9","2036",160060880.737
"p9","2038",165877804.441
"p9","2040",171927019.278
"p9","2042",178029974.243
"p9","2044",184123404.09
"p9","2046",190246242.035
"p9","2048",196508791.506
"p9","2050",203071469.331
"p10","2010",133513163.001
"p10","2012",134899596.808
"p10","2014",134739914.963
"p10","2016",134385829.843
"p10","2018",137646001.573
"p10","2020",142561843.966
"p10","2022",144790183.117
"p10","2024",154803120.128
"p10","2026",156324971.83
"p10","2028",159296801.501
"p10","2030",163532632.055
"p10","2032",168183165.313
"p10","2034",173385645.664
"p10","2036",179340129.092
"p10","2038",185849893.047
"p10","2040",192621043.398
"p10","2042",199453749.4
"p10","2044",206276846.198
"p10","2046",213133766.527
"p10","2048",220147859.726
"p10","2050",227497472.505
"p11","2010",18440241.279
"p11","2012",18631728.211
"p11","2014",18609673.753
"p11","2016",18560769.865
"p11","2018",19011528.586
"p11","2020",19691218.493
"p11","2022",20000140.387
"p11","2024",21385042.913
"p11","2026",21598054.05
"p11","2028",22013106.981
"p11","2030",22604329.993
"p11","2032",23253647.913
"p11","2034",23979771.021
"p11","2036",24810240.245
"p11","2038",25717344.299
"p11","2040",26660344.48
"p11","2042",27611646.061
"p11","2044",28561525.786
"p11","2046",29515941.889
"p11","2048",30491781.311
"p11","2050",31513639.321
"p12","2010",11772027.223
"p12","2012",12149854.194
"p12","2014",12084319.412
"p12","2016",12271156.751
"p12","2018",12671824.473
"p12","2020",13195134.619
"p12","2022",13407708.572
"p12","2024",13734628.474
"p12","2026",14086896.123
"p12","2028",14504794.432
"p12","2030",14985518.425
"p12","2032",15486100.861
"p12","2034",16014629.257
"p12","2036",16613543.044
"p12","2038",17252355.874
"p12","2040",17899365.598
"p12","2042",18528174.901
"p12","2044",19141993.039
"p12","2046",19753065.973
"p12","2048",20367299.661
"p12","2050",20993984.438
"p13","2010",23813010.433
"p13","2012",24577296.513
"p13","2014",24444728.843
"p13","2016",24822672.607
"p13","2018",25629839.777
"p13","2020",26684527.507
"p13","2022",27111053.868
"p13","2024",27768688.93
"p13","2026",28477484.739
"p13","2028",29319049.042
"p13","2030",30287629.564
"p13","2032",31296328.878
"p13","2034",32361302.897
"p13","2036",33568035.292
"p13","2038",34854129.389
"p13","2040",36155093.914
"p13","2042",37417385.94
"p13","2044",38647292.44
"p13","2046",39869377.919
"p13","2048",41095292.348
"p13","2050",42343828.936
"p14","2010",4100256.709
"p14","2012",4231855.031
"p14","2014",4209028.402
"p14","2016",4274104.874
"p14","2018",4412396.846
"p14","2020",4594291.907
"p14","2022",4668561.223
"p14","2024",4782998.071
"p14","2026",4906772.8
"p14","2028",5053952.412
"p14","2030",5223815.932
"p14","2032",5401805.35
"p14","2034",5591138.999
"p14","2036",5807127.515
"p14","2038",6038847.15
"p14","2040",6274051.562
"p14","2042",6503351.273
"p14","2044",6728008.104
"p14","2046",6952484.374
"p14","2048",7178876.045
"p14","2050",7410208.505
"p15","2010",14591284.475
"p15","2012",15059597.909
"p15","2014",14978365.923
"p15","2016",15209949.451
"p15","2018",15701091.693
"p15","2020",16346913.245
"p15","2022",16609701.124
"p15","2024",17015115.583
"p15","2026",17453264.918
"p15","2028",17974002.184
"p15","2030",18574832.773
