"Dim1","Dim2","Val"
"STORAGE","2010",600889.537898402
"STORAGE","2012",176172.273970515
"STORAGE","2014",178735.141202171
"STORAGE","2016",180190.851743144
"STORAGE","2018",176671.066475337
"STORAGE","2020",182453.409370108
"STORAGE","2022",419116.91351081
"STORAGE","2024",1764475.0140805
"STORAGE","2026",2785885.33417145
"STORAGE","2028",5518374.76789731
"STORAGE","2030",10202022.9238431
"STORAGE","2032",14572783.424785
"STORAGE","2034",16783907.7378773
"STORAGE","2036",18925219.4334005
"STORAGE","2038",22468328.2372468
"STORAGE","2040",24656923.5123015
"STORAGE","2042",27128464.3163261
"STORAGE","2044",27667538.7689883
"STORAGE","2046",27699541.9163891
"STORAGE","2048",29571214.3992556
"STORAGE","2050",32242258.5386892
"load","2010",705084480.543
"load","2012",719599753.030998
"load","2014",718254498.72
"load","2016",722548348.143001
"load","2018",741369123.505001
"load","2020",770231003.978999
"load","2022",782429804.82
"load","2024",814426157.383
"load","2026",830714461.203999
"load","2028",851931915.939999
"load","2030",878102487.742999
"load","2032",905996788.506001
"load","2034",936219198.157
"load","2036",970737720.808
"load","2038",1007957339.981
"load","2040",1046130404.04
"load","2042",1083904014.343
"load","2044",1121138343.755
"load","2046",1158344220.576
"load","2048",1195951434.178
"load","2050",1234646539.117
"trans","2010",8421939.96389442
"trans","2012",7042760.45436161
"trans","2014",10169515.197876
"trans","2016",6131844.14180809
"trans","2018",6640383.87259321
"trans","2020",6662013.80058692
"trans","2022",11282710.8069638
"trans","2024",13063198.3359854
"trans","2026",15449857.809228
"trans","2028",16811619.8510707
"trans","2030",18353891.5552784
"trans","2032",18370711.4155673
"trans","2034",17523009.1510948
"trans","2036",19265632.2560268
"trans","2038",18590692.7640268
"trans","2040",17433956.450995
"trans","2042",17660926.0440006
"trans","2044",17490566.3324749
"trans","2046",16383574.7744557
"trans","2048",17281414.3493789
"trans","2050",17183622.6968454
"curt","2010",-1.46322065575077E-10
"curt","2012",2.17152518189323E-10
"curt","2014",-1.74195236013475E-9
"curt","2016",-4.03888833488963E-9
"curt","2018",-5.51942758164614E-9
"curt","2020",-1.18379404057123E-8
"curt","2022",2619834.16491141
"curt","2024",7721564.09209036
"curt","2026",4199834.29601811
"curt","2028",12228645.9142008
"curt","2030",47348758.1699055
"curt","2032",32497975.6116038
"curt","2034",33412425.6036948
"curt","2036",38882698.5250431
"curt","2038",49368893.5803809
"curt","2040",58832017.9927961
"curt","2042",67480293.1182542
"curt","2044",68345103.977072
"curt","2046",85969425.4926514
"curt","2048",99428466.4766153
"curt","2050",114014653.803695
