"Dim1","Dim2","Dim3","Dim4","Val"
"biopower","init-1","p1","2010",72
"biopower","init-1","p3","2010",50
"biopower","init-1","p3","2012",50
"biopower","init-1","p3","2014",50
"biopower","init-1","p3","2016",50
"biopower","init-1","p3","2018",50
"biopower","init-1","p3","2020",50
"biopower","init-1","p3","2022",50
"biopower","init-1","p3","2024",50
"biopower","init-1","p3","2026",50
"biopower","init-1","p5","2010",7.5
"biopower","init-1","p5","2012",7.5
"biopower","init-1","p5","2014",7.5
"biopower","init-1","p5","2016",7.5
"biopower","init-1","p5","2018",7.5
"biopower","init-1","p5","2020",7.5
"biopower","init-1","p5","2022",7.5
"biopower","init-1","p5","2024",7.5
"biopower","init-1","p5","2026",7.5
"biopower","init-1","p5","2028",7.5
"biopower","init-1","p5","2030",7.5
"biopower","init-1","p6","2010",14
"biopower","init-1","p6","2012",14
"biopower","init-1","p6","2014",14
"biopower","init-1","p6","2016",14
"biopower","init-1","p6","2018",14
"biopower","init-1","p6","2020",14
"biopower","init-1","p6","2022",14
"biopower","init-1","p6","2024",14
"biopower","init-1","p6","2026",14
"biopower","init-1","p6","2028",14
"biopower","init-1","p8","2010",30
"biopower","init-1","p8","2012",30
"biopower","init-1","p8","2014",30
"biopower","init-1","p8","2016",30
"biopower","init-1","p8","2018",30
"biopower","init-1","p8","2020",30
"biopower","init-1","p8","2022",30
"biopower","init-1","p8","2024",30
"biopower","init-1","p8","2026",30
"biopower","init-1","p8","2028",30
"biopower","init-1","p8","2030",30
"biopower","init-1","p8","2032",30
"biopower","init-1","p9","2010",50.8
"biopower","init-1","p9","2012",50.8
"biopower","init-1","p9","2014",50.8
"biopower","init-1","p9","2016",50.8
"biopower","init-1","p9","2018",50.8
"biopower","init-1","p9","2020",50.8
"biopower","init-1","p9","2022",50.8
"biopower","init-1","p9","2024",50.8
"biopower","init-1","p9","2026",50.8
"biopower","init-1","p9","2028",50.8
"biopower","init-1","p9","2030",50.8
"biopower","init-1","p9","2032",50.8
"biopower","init-1","p10","2010",47
"biopower","init-1","p10","2012",47
"biopower","init-1","p10","2014",47
"biopower","init-1","p10","2016",47
"biopower","init-1","p10","2018",47
"biopower","init-1","p10","2020",47
"biopower","init-1","p10","2022",47
"biopower","init-1","p10","2024",47
"biopower","init-1","p10","2026",47
"biopower","init-1","p10","2028",47
"biopower","init-1","p10","2030",47
"biopower","init-1","p10","2032",47
"biopower","init-1","p10","2034",47
"biopower","init-1","p14","2010",5.8
"biopower","init-1","p14","2012",5.8
"biopower","init-1","p14","2014",5.8
"biopower","init-1","p14","2016",5.8
"biopower","init-1","p14","2018",5.8
"biopower","init-1","p14","2020",5.8
"biopower","init-1","p14","2022",5.8
"biopower","init-1","p14","2024",5.8
"biopower","init-1","p14","2026",5.8
"biopower","init-1","p15","2010",3.6
"biopower","init-1","p15","2012",3.6
"biopower","init-1","p15","2014",3.6
"biopower","init-1","p15","2016",3.6
"biopower","init-1","p15","2018",3.6
"biopower","init-1","p15","2020",3.6
"biopower","init-1","p15","2022",3.6
"biopower","init-1","p15","2024",3.6
"biopower","init-1","p15","2026",3.6
"biopower","init-1","p15","2028",3.6
"biopower","init-1","p15","2030",3.6
"biopower","init-1","p15","2032",3.6
"biopower","init-1","p15","2034",3.6
"biopower","init-1","p15","2036",3.6
"biopower","init-1","p15","2038",3.6
"biopower","init-1","p15","2040",3.6
"biopower","init-1","p15","2042",3.6
"biopower","init-1","p15","2044",3.6
"biopower","init-1","p15","2046",3.6
"biopower","init-1","p15","2048",3.6
"biopower","init-1","p15","2050",3.6
"biopower","init-1","p28","2010",22.2
"biopower","init-1","p28","2012",22.2
"biopower","init-1","p28","2014",22.2
"biopower","init-1","p28","2016",22.2
"biopower","init-1","p28","2018",22.2
"biopower","init-1","p28","2020",22.2
"biopower","init-1","p28","2022",22.2
"biopower","init-1","p28","2024",22.2
"biopower","init-1","p28","2026",22.2
"biopower","init-1","p28","2028",22.2
"biopower","init-1","p28","2030",22.2
"biopower","init-1","p28","2032",22.2
"biopower","init-1","p28","2034",22.2
"biopower","init-1","p28","2036",22.2
"biopower","init-1","p28","2038",22.2
"biopower","init-1","p28","2040",22.2
"biopower","init-1","p28","2042",22.2
"biopower","init-1","p28","2044",22.2
"biopower","init-1","p28","2046",22.2
"biopower","init-1","p28","2048",22.2
"biopower","init-1","p28","2050",22.2
"biopower","init-1","p29","2010",2.5
"biopower","init-1","p29","2012",2.5
"biopower","init-1","p29","2014",2.5
"biopower","init-1","p29","2016",2.5
"biopower","init-1","p29","2018",2.5
"biopower","init-1","p29","2020",2.5
"biopower","init-1","p29","2022",2.5
"biopower","init-1","p29","2024",2.5
"biopower","init-1","p29","2026",2.5
"biopower","init-1","p29","2028",2.5
"biopower","init-1","p29","2030",2.5
"biopower","init-1","p29","2032",2.5
"biopower","init-1","p29","2034",2.5
"biopower","init-1","p29","2036",2.5
"biopower","init-1","p29","2038",2.5
"biopower","init-1","p29","2040",2.5
"biopower","init-1","p29","2042",2.5
"biopower","init-1","p29","2044",2.5
"biopower","init-1","p29","2046",2.5
"biopower","init-1","p29","2048",2.5
"biopower","init-1","p31","2010",2.2
"biopower","init-1","p31","2012",2.2
"biopower","init-1","p31","2014",2.2
"biopower","init-1","p31","2016",2.2
"biopower","init-1","p31","2018",2.2
"biopower","init-1","p31","2020",2.2
"biopower","init-1","p31","2022",2.2
"biopower","init-1","p31","2024",2.2
"biopower","init-1","p31","2026",2.2
"biopower","init-1","p31","2028",2.2
"biopower","init-1","p31","2030",2.2
"biopower","init-1","p33","2010",2.4
"biopower","init-1","p33","2012",2.4
"biopower","init-1","p33","2014",2.4
"biopower","init-1","p33","2016",2.4
"biopower","init-1","p33","2018",2.4
"biopower","init-1","p33","2020",2.4
"biopower","init-1","p33","2022",2.4
"biopower","init-1","p33","2024",2.4
"biopower","init-1","p33","2026",2.4
"biopower","init-1","p33","2028",2.4
"biopower","init-2","p6","2010",14
"biopower","init-2","p6","2012",14
"biopower","init-2","p6","2014",14
"biopower","init-2","p6","2016",14
"biopower","init-2","p6","2018",14
"biopower","init-2","p6","2020",14
"biopower","init-2","p6","2022",14
"biopower","init-2","p6","2024",14
"biopower","init-2","p6","2026",14
"biopower","init-2","p6","2028",14
"biopower","init-2","p6","2030",14
"biopower","init-2","p6","2032",14
"biopower","init-2","p6","2034",14
"biopower","init-2","p6","2036",14
"biopower","init-2","p6","2038",14
"biopower","init-2","p6","2040",14
"biopower","init-2","p6","2042",14
"biopower","init-2","p6","2044",14
"biopower","init-2","p6","2046",14
"biopower","init-2","p6","2048",14
"biopower","init-2","p6","2050",14
"biopower","init-2","p8","2010",10.5
"biopower","init-2","p9","2010",87.4
"biopower","init-2","p9","2012",87.4
"biopower","init-2","p9","2014",87.4
"biopower","init-2","p9","2016",87.4
"biopower","init-2","p9","2018",87.4
"biopower","init-2","p9","2020",87.4
"biopower","init-2","p9","2022",87.4
"biopower","init-2","p9","2024",87.4
"biopower","init-2","p9","2026",87.4
"biopower","init-2","p9","2028",87.4
"biopower","init-2","p9","2030",87.4
"biopower","init-2","p9","2032",24.4
"biopower","init-2","p10","2010",42.4
"biopower","init-2","p10","2012",42.4
"biopower","init-2","p10","2014",42.4
"biopower","init-2","p10","2016",42.4
"biopower","init-2","p10","2018",42.4
"biopower","init-2","p10","2020",42.4
"biopower","init-2","p10","2022",42.4
"biopower","init-2","p10","2024",42.4
"biopower","init-2","p10","2026",42.4
"biopower","init-2","p10","2028",42.4
"biopower","init-2","p10","2030",42.4
"biopower","init-2","p10","2032",42.4
"biopower","init-2","p15","2010",5.8
"biopower","init-2","p15","2012",5.8
"biopower","init-2","p15","2014",5.8
"biopower","init-2","p15","2016",5.8
"biopower","init-2","p15","2018",5.8
"biopower","init-2","p15","2020",5.8
"biopower","init-2","p15","2022",5.8
"biopower","init-2","p15","2024",5.8
"biopower","init-2","p15","2026",5.8
"biopower","init-2","p33","2010",2.4
"biopower","init-2","p33","2012",2.4
"biopower","init-2","p33","2014",2.4
"biopower","init-2","p33","2016",2.4
"biopower","init-2","p33","2018",2.4
"biopower","init-2","p33","2020",2.4
"biopower","init-2","p33","2022",2.4
"biopower","init-2","p33","2024",2.4
"biopower","init-2","p33","2026",2.4
"biopower","init-2","p33","2028",2.4
"biopower","init-3","p6","2010",7.8
"biopower","init-3","p6","2012",7.8
"biopower","init-3","p6","2014",7.8
"biopower","init-3","p6","2016",7.8
"biopower","init-3","p6","2018",7.8
"biopower","init-3","p6","2020",7.8
"biopower","init-3","p6","2022",7.8
"biopower","init-3","p6","2024",7.8
"biopower","init-3","p6","2026",7.8
"biopower","init-3","p6","2028",7.8
"biopower","init-3","p6","2030",7.8
"biopower","init-3","p9","2010",25
"biopower","init-3","p9","2012",25
"biopower","init-3","p9","2014",25
"biopower","init-3","p9","2016",25
"biopower","init-3","p9","2018",25
"biopower","init-3","p9","2020",25
"biopower","init-3","p9","2022",25
