"Dim1","Dim2","Dim3","Dim4","Val"
"flex","battery_2","p5","2042",20373.9012065218
"flex","battery_2","p6","2040",539.791070197037
"flex","battery_2","p8","2042",57.2892977070037
"flex","battery_2","p8","2046",6871.71728940198
"flex","battery_2","p8","2048",34805.8415104188
"flex","battery_2","p9","2026",2694.38431200893
"flex","battery_2","p9","2028",46823.7850961617
"flex","battery_2","p9","2030",96384.9447012318
"flex","battery_2","p9","2032",64558.1899628673
"flex","battery_2","p9","2034",54597.7618067757
"flex","battery_2","p9","2036",65013.0924950342
"flex","battery_2","p9","2040",98724.5553101001
"flex","battery_2","p9","2042",56456.5075246248
"flex","battery_2","p9","2050",49209.1890462187
"flex","battery_2","p10","2028",27471.6432055537
"flex","battery_2","p10","2030",38504.6024164364
"flex","battery_2","p10","2038",24963.7494819251
"flex","battery_2","p10","2040",154595.666518921
"flex","battery_2","p10","2042",14045.3518312368
"flex","battery_2","p10","2044",131877.87597475
"flex","battery_2","p10","2046",462433.291794751
"flex","battery_2","p10","2048",256621.323088685
"flex","battery_2","p10","2050",329096.807824373
"flex","battery_2","p11","2026",5034.19871255904
"flex","battery_2","p11","2028",25120.7304857881
"flex","battery_2","p11","2030",7197.49788731164
"flex","battery_2","p11","2032",36807.446538014
"flex","battery_2","p11","2034",386.160423909347
"flex","battery_2","p11","2038",3871.43494751315
"flex","battery_2","p11","2040",14280.7931571931
"flex","battery_2","p11","2042",18381.3178522409
"flex","battery_2","p11","2044",6768.81137656619
"flex","battery_2","p11","2046",4874.83466847467
"flex","battery_2","p11","2048",76261.0453539086
"flex","battery_2","p11","2050",87431.4679064362
"flex","battery_2","p12","2028",24000
"flex","battery_2","p12","2030",18400
"flex","battery_2","p12","2036",10377.2109032102
"flex","battery_2","p12","2044",14646.8286050503
"flex","battery_2","p12","2046",38322.560325695
"flex","battery_2","p12","2048",74398.4145275037
"flex","battery_2","p13","2028",21306.4727287079
"flex","battery_2","p13","2038",1861.5275175357
"flex","battery_2","p13","2042",725.31955060462
"flex","battery_2","p13","2044",44876.0378227093
"flex","battery_2","p13","2048",69666.4922418621
"flex","battery_2","p13","2050",54462.3124488903
"flex","battery_2","p18","2036",13840.9985345858
"flex","battery_2","p21","2050",3601.03582712063
"flex","battery_2","p23","2030",1.27258959696517
"flex","battery_2","p23","2032",2.15326968275824
"flex","battery_2","p23","2034",0.875780324464815
"flex","battery_2","p23","2036",858.908300634837
"flex","battery_2","p23","2038",1414.81791770823
"flex","battery_2","p23","2040",707.408958854117
"flex","battery_2","p23","2044",707.408958854117
"flex","battery_2","p23","2046",1001.21829648992
"flex","battery_2","p23","2048",1535.36709613992
"flex","battery_2","p23","2050",1533.40121845086
"flex","battery_2","p24","2046",2078.606111109
"flex","battery_2","p24","2048",234923.126476441
"flex","battery_2","p24","2050",210228.868145342
"flex","battery_2","p27","2034",3619.89143271255
"flex","battery_2","p27","2036",3259.47438450136
"flex","battery_2","p27","2040",2866.00148926167
"flex","battery_2","p27","2042",2310.82988124272
"flex","battery_2","p27","2044",14572.2624615229
"flex","battery_2","p27","2046",7120.13554650193
"flex","battery_2","p27","2048",12362.4028794458
"flex","battery_2","p28","2026",22439.582
"flex","battery_2","p28","2028",150019.107939596
"flex","battery_2","p28","2030",87704.2021446288
"flex","battery_2","p28","2032",47028.5876976784
"flex","battery_2","p28","2034",76116.1308556915
"flex","battery_2","p28","2038",47055.6319644981
"flex","battery_2","p28","2040",100862.786105638
"flex","battery_2","p28","2042",166026.83234795
"flex","battery_2","p28","2044",124542.393874069
"flex","battery_2","p28","2046",104541.645034235
"flex","battery_2","p28","2048",318790.735396559
"flex","battery_2","p28","2050",74179.0338097345
"flex","battery_2","p29","2034",6105.87632155293
"flex","battery_2","p29","2038",14802.24
"flex","battery_2","p29","2040",6331.64137758462
"flex","battery_2","p29","2042",12055.1932341354
"flex","battery_2","p29","2044",8119.19649234565
"flex","battery_2","p29","2046",24597.7986196049
"flex","battery_2","p29","2048",5737.87422619073
"flex","battery_2","p29","2050",13558.4823413488
"flex","battery_2","p30","2026",1659.358
"flex","battery_2","p30","2028",1840
"flex","battery_2","p30","2030",1220
"flex","battery_2","p30","2032",1840
"flex","battery_2","p30","2034",15561.273
"flex","battery_2","p30","2040",51177.7932170534
"flex","battery_2","p30","2042",165543.289926475
"flex","battery_2","p30","2044",182450.808894623
"flex","battery_2","p30","2046",129072.507505446
"flex","battery_2","p30","2048",259002.493970741
"flex","battery_2","p30","2050",332572.921440679
"flex","battery_2","p31","2026",341.6
"flex","battery_2","p31","2032",184
"flex","battery_2","p31","2036",54589.1582957726
"flex","battery_2","p31","2038",75713.6251410023
"flex","battery_2","p31","2040",96762.9124044523
"flex","battery_2","p31","2042",51037.0906498141
"flex","battery_2","p31","2044",44956.9682316461
"flex","battery_2","p31","2046",20913.3436352275
"flex","battery_2","p31","2048",126824.457487382
"flex","battery_2","p31","2050",76780.5689832442
"flex","battery_2","p32","2036",9425.42547944136
"flex","battery_2","p32","2038",5381.30848687615
"flex","battery_2","p32","2040",7702.95767480912
"flex","battery_2","p32","2042",4066.94928356369
"flex","battery_2","p32","2044",2578.88226593372
"flex","battery_2","p32","2046",6312.28767614492
"flex","battery_2","p32","2048",6647.59738670322
"flex","battery_2","p32","2050",6189.90937654572
"flex","battery_2","p33","2028",736
"flex","battery_2","p33","2030",727.812113720643
"flex","battery_2","p33","2038",18895.0878762413
"flex","battery_2","p33","2040",16296.7894022757
"flex","battery_2","p33","2042",20585.3922260231
"flex","battery_2","p33","2044",8388.02558083966
"flex","battery_2","p33","2046",30163.5001446207
"flex","battery_2","p33","2048",25548.6844352954
"flex","battery_2","p33","2050",17003.2280217873
"flex","battery_2","p34","2036",2426.60761426876
"flex","battery_2","p34","2038",8186.20794424242
"flex","battery_2","p34","2040",15186.3429889388
"flex","battery_2","p34","2042",17096.3471024281
"flex","battery_2","p34","2044",31466.236593349
"flex","battery_2","p34","2046",73493.9996616793
"flex","battery_2","p34","2048",82950.1276234127
"flex","battery_2","p34","2050",169538.545816723
"flex","battery_2","p59","2038",7265.23103788115
"flex","battery_2","p59","2040",11581.4494162774
"flex","battery_2","p59","2042",2059.91103891946
"flex","battery_2","p59","2044",35285.0895059054
"flex","battery_2","p59","2046",109820.983751087
"flex","battery_2","p59","2048",113931.262596249
"flex","battery_2","p59","2050",168856.073894417
"flex","battery_4","p1","2042",1800.62898253515
"flex","battery_4","p1","2048",686.595999999999
"flex","battery_4","p1","2050",1403.35845441659
"flex","battery_4","p2","2042",807.557871075836
"flex","battery_4","p2","2050",102.137777777778
"flex","battery_4","p5","2036",4222.65034314827
"flex","battery_4","p5","2038",28636.8455223869
"flex","battery_4","p5","2040",143669.788415461
"flex","battery_4","p5","2042",200191.814979952
"flex","battery_4","p5","2044",446249.026065765
"flex","battery_4","p5","2046",433883.012377882
"flex","battery_4","p5","2048",186796.772917455
"flex","battery_4","p5","2050",145340.797011866
"flex","battery_4","p6","2040",1217.94071129789
"flex","battery_4","p6","2044",148.08514513
"flex","battery_4","p6","2050",189.689171700055
"flex","battery_4","p7","2038",232468.098627703
"flex","battery_4","p7","2040",146925.076951266
"flex","battery_4","p7","2042",59967.1359038211
"flex","battery_4","p7","2046",366825.521445356
"flex","battery_4","p7","2048",306582.381422049
"flex","battery_4","p7","2050",175011.873098608
"flex","battery_4","p8","2036",518.190793008361
"flex","battery_4","p8","2038",6444.99877610612
"flex","battery_4","p8","2040",797.065411771007
"flex","battery_4","p8","2042",17240.6166658457
"flex","battery_4","p8","2046",32785.8537131758
"flex","battery_4","p8","2050",52.4458482906557
"flex","battery_4","p9","2024",50663.5614586319
"flex","battery_4","p9","2026",93389.892210764
"flex","battery_4","p9","2028",424479.32856848
"flex","battery_4","p9","2030",594221.720941683
"flex","battery_4","p9","2032",504992.947892764
"flex","battery_4","p9","2034",556672.52758151
"flex","battery_4","p9","2036",525295.199459105
"flex","battery_4","p9","2038",363345.601023201
"flex","battery_4","p9","2040",814863.031261642
"flex","battery_4","p9","2042",891803.853745078
"flex","battery_4","p9","2044",524271.426856215
"flex","battery_4","p9","2046",1278830.50177101
"flex","battery_4","p9","2048",1545758.51854276
"flex","battery_4","p9","2050",1136361.12219763
"flex","battery_4","p10","2024",124630.117470846
"flex","battery_4","p10","2026",546178.483223482
"flex","battery_4","p10","2028",484382.460073996
"flex","battery_4","p10","2030",479348.642998362
"flex","battery_4","p10","2032",36003.2142623202
"flex","battery_4","p10","2034",153367.772072955
"flex","battery_4","p10","2036",21513.5857881155
"flex","battery_4","p10","2038",478189.181885898
"flex","battery_4","p10","2040",1563791.04421177
"flex","battery_4","p10","2042",2349371.51563334
"flex","battery_4","p10","2044",3366022.58163221
"flex","battery_4","p10","2046",3129901.5390156
"flex","battery_4","p10","2048",4187197.96895304
"flex","battery_4","p10","2050",5017574.92481336
"flex","battery_4","p11","2026",331.762432636189
"flex","battery_4","p11","2028",25812.4143503658
"flex","battery_4","p11","2030",133492.677094664
"flex","battery_4","p11","2032",179794.21142283
"flex","battery_4","p11","2034",62659.2847617221
"flex","battery_4","p11","2036",11416.838735325
"flex","battery_4","p11","2038",76422.3768735547
"flex","battery_4","p11","2040",285580.852173308
"flex","battery_4","p11","2042",196045.89879545
"flex","battery_4","p11","2044",145437.266607902
"flex","battery_4","p11","2046",91802.0189037484
"flex","battery_4","p11","2048",109146.120115291
"flex","battery_4","p11","2050",62615.6165776967
