"Dim1","Dim2","Dim3","Dim4","Val"
"flex","p1","p2","2012",1174861.77285108
"flex","p1","p2","2014",237171.365509454
"flex","p1","p2","2016",1669209.72869189
"flex","p1","p2","2018",4405176
"flex","p1","p2","2020",271927.334614037
"flex","p1","p2","2022",2208.23373851371
"flex","p1","p2","2024",118541.333199112
"flex","p1","p2","2026",95053.0306147148
"flex","p1","p2","2028",24885.5465893574
"flex","p1","p2","2030",3257650.09529764
"flex","p1","p2","2032",1744690.81255718
"flex","p1","p2","2034",1297110.94223961
"flex","p1","p2","2036",5130735.6178249
"flex","p1","p2","2038",2853128.66036574
"flex","p1","p2","2040",11434.5047124704
"flex","p1","p2","2042",1597388.6400007
"flex","p1","p2","2044",96190.3804442148
"flex","p1","p2","2046",69717.1671210288
"flex","p1","p2","2048",1007777.84443091
"flex","p1","p2","2050",60221.9033977052
"flex","p1","p4","2010",3709974.27219745
"flex","p1","p4","2012",3520226.622555
"flex","p1","p4","2014",3002262.4753589
"flex","p1","p4","2016",750949.681965206
"flex","p1","p4","2018",2890365.74958531
"flex","p1","p4","2020",4620302.23005439
"flex","p1","p4","2022",958485.863577674
"flex","p1","p4","2024",162025.964084445
"flex","p1","p4","2026",2846833.00247569
"flex","p1","p4","2028",436818.936399105
"flex","p1","p4","2030",672155.144837189
"flex","p1","p4","2032",489.698930858072
"flex","p1","p4","2034",1013091.98700929
"flex","p1","p4","2036",3879118.54774177
"flex","p1","p4","2038",1747124.0200546
"flex","p1","p4","2040",26041.998944169
"flex","p1","p4","2042",895359.336444156
"flex","p1","p4","2044",323758.348585988
"flex","p1","p4","2046",1167781.41925968
"flex","p1","p4","2048",1998633.96562552
"flex","p1","p4","2050",306709.948037441
"flex","p2","p1","2010",1641293.60624913
"flex","p2","p1","2012",4354148.23218684
"flex","p2","p1","2014",3786564.17503573
"flex","p2","p1","2016",2576543.90686921
"flex","p2","p1","2018",2536606.67298079
"flex","p2","p1","2020",3318537.91150989
"flex","p2","p1","2022",1888858.76040845
"flex","p2","p1","2024",619299.688189986
"flex","p2","p1","2026",1833156.00324526
"flex","p2","p1","2028",1343991.81121549
"flex","p2","p1","2030",6596149.38932757
"flex","p2","p1","2032",3829136.55739336
"flex","p2","p1","2034",4467282.28372034
"flex","p2","p1","2036",76584.7751619324
"flex","p2","p1","2038",160882.499368926
"flex","p2","p1","2040",1036561.05899428
"flex","p2","p1","2042",4174794.14147701
"flex","p2","p1","2044",2076859.68178953
"flex","p2","p1","2046",7828942.43018797
"flex","p2","p1","2048",11223134.2134325
"flex","p2","p1","2050",2626061.36589506
"flex","p2","p3","2010",478533.611531029
"flex","p2","p3","2012",1511609.84240907
"flex","p2","p3","2014",742364.367709587
"flex","p2","p3","2016",2279181.42416071
"flex","p2","p3","2018",2329243.66235671
"flex","p2","p3","2020",2461299.09967085
"flex","p2","p3","2022",1464924.5074315
"flex","p2","p3","2024",1741844.51175458
"flex","p2","p3","2026",589583.689897677
"flex","p2","p3","2028",1534750.83827611
"flex","p2","p3","2030",467654.692785093
"flex","p2","p3","2032",475983.001632009
"flex","p2","p3","2034",962634.811194498
"flex","p2","p3","2036",17447.5863177063
"flex","p2","p3","2038",1003557.20929699
"flex","p2","p3","2040",323890.030197237
"flex","p2","p3","2042",2058734.79184138
"flex","p2","p3","2044",123829.135522651
"flex","p2","p3","2048",45498.8533580055
"flex","p2","p3","2050",110467.272666304
"flex","p2","p4","2010",6312610.56953976
"flex","p2","p4","2012",3270612.51981907
"flex","p2","p4","2014",5041665.42386561
"flex","p2","p4","2016",3116818.0634403
"flex","p2","p4","2018",8309589.00520548
"flex","p2","p4","2022",7465688.26680612
"flex","p2","p4","2024",5163136.13746872
"flex","p2","p4","2026",2621937.6439906
"flex","p2","p4","2028",4662647.59194937
"flex","p2","p4","2030",2506434.9756968
"flex","p2","p4","2032",5264407.89703027
"flex","p2","p4","2034",2884342.45414343
"flex","p2","p4","2036",2053723.73538806
"flex","p2","p4","2038",2090364.48371068
"flex","p2","p4","2040",2421505.88697316
"flex","p2","p4","2046",5348398.53774908
"flex","p2","p4","2048",2451660.13137314
"flex","p2","p4","2050",715559.667896231
"flex","p2","p5","2010",28183033.6768895
"flex","p2","p5","2012",7712049.36483527
"flex","p2","p5","2014",2232443.61173943
"flex","p2","p5","2016",886032.953964894
"flex","p2","p5","2018",15621939.161273
"flex","p2","p5","2020",50579864.4698028
"flex","p2","p5","2022",18362779.7967618
"flex","p2","p5","2024",15455471.6768285
"flex","p2","p5","2026",22454341.050229
"flex","p2","p5","2028",24843525.2098073
"flex","p2","p5","2030",16038189.9127119
"flex","p2","p5","2032",3293277.49712234
"flex","p2","p5","2034",23134048.8476115
"flex","p2","p5","2036",11531400.3219413
"flex","p2","p5","2038",23411157.611742
"flex","p2","p5","2040",27879276.6374237
"flex","p2","p5","2042",22067527.6180481
"flex","p2","p5","2044",5967631.42955424
"flex","p2","p5","2046",5525014.66403533
"flex","p2","p5","2048",17548281.3885721
"flex","p2","p5","2050",32297473.527164
"flex","p2","p14","2010",3725379.26212969
"flex","p2","p14","2012",778337.433904201
"flex","p2","p14","2014",5066483.26634764
"flex","p2","p14","2016",397116.04410296
"flex","p2","p14","2018",56653.1350286619
"flex","p2","p14","2020",3764287.21592866
"flex","p2","p14","2022",5617991.8130385
"flex","p2","p14","2024",2053578.47663955
"flex","p2","p14","2026",2726224.48893556
"flex","p2","p14","2028",933326.340374666
"flex","p2","p14","2030",1568417.98787683
"flex","p2","p14","2032",1912687.02215499
"flex","p2","p14","2034",1173718.94247976
"flex","p2","p14","2036",3456676.22288708
"flex","p2","p14","2038",1019591.65591031
"flex","p2","p14","2040",2199692.99958415
"flex","p2","p14","2042",3773535.3899757
"flex","p2","p14","2044",3526815.37808576
"flex","p2","p14","2046",2914577.94933406
"flex","p2","p14","2048",3015899.46615039
"flex","p2","p14","2050",1305321.64379127
"flex","p3","p2","2010",4525698.49002119
"flex","p3","p2","2012",5187488.42522554
"flex","p3","p2","2014",9378681.07041764
"flex","p3","p2","2016",3143056.71209161
"flex","p3","p2","2018",3643349.55717764
"flex","p3","p2","2020",3436556.1413919
"flex","p3","p2","2022",6331033.8802557
"flex","p3","p2","2024",3647818.64202497
"flex","p3","p2","2026",3371535.85604627
"flex","p3","p2","2028",3189260.17822244
