"Dim1","Dim2","Val"
"p1","2010",4709.5
"p1","2012",5127.13215636364
"p1","2014",5127.13215636364
"p1","2016",5431.30860818182
"p1","2018",5431.30860818182
"p1","2020",5431.30860818182
"p1","2022",5431.30860818182
"p1","2024",5655.90717146091
"p1","2026",6288.29433372977
"p1","2028",6496.69479879295
"p1","2030",7721.04047641113
"p1","2032",8073.62799416452
"p1","2034",8101.97527184576
"p1","2036",8101.97527184576
"p1","2038",8101.97527184576
"p1","2040",8721.73402881528
"p1","2042",10789.2481089903
"p1","2044",12707.7775957808
"p1","2046",14651.5268228909
"p1","2048",16504.6070830403
"p1","2050",17463.8607481728
"p2","2010",9419.2
"p2","2012",9989.67032727273
"p2","2014",10004.7529181818
"p2","2016",10008.90948
"p2","2018",10014.2111009091
"p2","2020",10014.2111009091
"p2","2022",10014.2111009091
"p2","2024",10014.2111009091
"p2","2026",10014.2111009091
"p2","2028",10014.2111009091
"p2","2030",12131.0479169369
"p2","2032",12213.0165817014
"p2","2034",13633.1212672844
"p2","2036",13749.4737929571
"p2","2038",14921.1108936861
"p2","2040",15141.4184019367
"p2","2042",15141.4184019367
"p2","2044",15382.1904463704
"p2","2046",16551.2272234574
"p2","2048",20459.9976762408
"p2","2050",23843.854545261
"p3","2010",3141.96180909091
"p3","2012",3464.75116363636
"p3","2014",3464.75116363636
"p3","2016",3563.76549636364
"p3","2018",3563.76549636364
"p3","2020",3570.08454363636
"p3","2022",3570.08454363636
"p3","2024",3570.08454363636
"p3","2026",3678.67872272727
"p3","2028",3678.67872272727
"p3","2030",3766.50911727273
"p3","2032",3861.65662545455
"p3","2034",3875.49902090909
"p3","2036",3875.49902090909
"p3","2038",3875.49902090909
"p3","2040",4105.97809641908
"p3","2042",4189.27867342968
"p3","2044",4197.59044070241
"p3","2046",4568.2715717124
"p3","2048",4658.44432807604
"p3","2050",4658.44432807604
"p4","2010",13368.7899090909
"p4","2012",13735.0626363636
"p4","2014",13980.5171818182
"p4","2016",14225.699
"p4","2018",14472.0626363636
"p4","2020",14597.9717272727
"p4","2022",14731.699
"p4","2024",14754.4731454545
"p4","2026",15015.7927454545
"p4","2028",15067.5794909091
