"Dim1","Dim2","Val"
"p1","2020",0.1435
"p1","2021",0.1435
"p1","2022",0.1435
"p1","2023",0.1435
"p1","2024",0.1435
"p1","2025",0.1435
"p1","2026",0.1435
"p1","2027",0.1435
"p1","2028",0.1435
"p1","2029",0.1435
"p1","2030",0.1435
"p1","2031",0.1435
"p1","2032",0.1435
"p1","2033",0.1435
"p1","2034",0.1435
"p1","2035",0.1435
"p1","2036",0.1435
"p1","2037",0.1435
"p1","2038",0.1435
"p1","2039",0.1435
"p1","2040",0.1435
"p1","2041",0.1435
"p1","2042",0.1435
"p1","2043",0.1435
"p1","2044",0.1435
"p1","2045",0.1435
"p1","2046",0.1435
"p1","2047",0.1435
"p1","2048",0.1435
"p1","2049",0.1435
"p1","2050",0.1435
"p2","2020",0.1435
"p2","2021",0.1435
"p2","2022",0.1435
"p2","2023",0.1435
"p2","2024",0.1435
"p2","2025",0.1435
"p2","2026",0.1435
"p2","2027",0.1435
"p2","2028",0.1435
"p2","2029",0.1435
"p2","2030",0.1435
"p2","2031",0.1435
"p2","2032",0.1435
"p2","2033",0.1435
"p2","2034",0.1435
"p2","2035",0.1435
"p2","2036",0.1435
"p2","2037",0.1435
"p2","2038",0.1435
"p2","2039",0.1435
"p2","2040",0.1435
"p2","2041",0.1435
"p2","2042",0.1435
"p2","2043",0.1435
"p2","2044",0.1435
"p2","2045",0.1435
"p2","2046",0.1435
"p2","2047",0.1435
"p2","2048",0.1435
"p2","2049",0.1435
"p2","2050",0.1435
"p3","2020",0.1435
"p3","2021",0.1435
"p3","2022",0.1435
"p3","2023",0.1435
"p3","2024",0.1435
"p3","2025",0.1435
"p3","2026",0.1435
"p3","2027",0.1435
"p3","2028",0.1435
"p3","2029",0.1435
"p3","2030",0.1435
"p3","2031",0.1435
"p3","2032",0.1435
"p3","2033",0.1435
"p3","2034",0.1435
"p3","2035",0.1435
"p3","2036",0.1435
"p3","2037",0.1435
"p3","2038",0.1435
"p3","2039",0.1435
"p3","2040",0.1435
"p3","2041",0.1435
"p3","2042",0.1435
"p3","2043",0.1435
"p3","2044",0.1435
"p3","2045",0.1435
"p3","2046",0.1435
"p3","2047",0.1435
"p3","2048",0.1435
"p3","2049",0.1435
"p3","2050",0.1435
"p4","2020",0.1435
"p4","2021",0.1435
"p4","2022",0.1435
"p4","2023",0.1435
"p4","2024",0.1435
"p4","2025",0.1435
"p4","2026",0.1435
"p4","2027",0.1435
"p4","2028",0.1435
"p4","2029",0.1435
"p4","2030",0.1435
"p4","2031",0.1435
"p4","2032",0.1435
"p4","2033",0.1435
"p4","2034",0.1435
"p4","2035",0.1435
"p4","2036",0.1435
"p4","2037",0.1435
"p4","2038",0.1435
"p4","2039",0.1435
"p4","2040",0.1435
"p4","2041",0.1435
"p4","2042",0.1435
"p4","2043",0.1435
"p4","2044",0.1435
"p4","2045",0.1435
"p4","2046",0.1435
