"Dim1","Val"
"2010",8362495617.32533
"2012",23510397603.3437
"2014",55500769213.4516
"2016",15339763631.2143
"2018",6672502767.82267
"2020",16427410816.3777
"2022",32257472462.1387
"2024",43773621067.8239
"2026",14878639673.4809
"2028",20511509900.4172
"2030",36378035150.0163
"2032",15487311375.927
"2034",16835535635.4285
"2036",23452648553.242
"2038",27676622257.5347
"2040",26371889930.974
"2042",27854429427.2755
"2044",26809000499.1276
"2046",28175665033.8041
"2048",25304293280.8961
"2050",31289275562.9989
