"Dim1","Val"
"2010",21951148988.5382
"2012",17652037673.455
"2014",19751487580.4151
"2016",14164084859.1393
"2018",15380103731.7324
"2020",12996077512.1244
"2022",14576017420.8655
"2024",10947271189.1524
"2026",10312828672.5164
"2028",9989049369.7471
"2030",8636168455.52199
"2032",8826014246.48779
"2034",10247447273.3234
"2036",10397576479.14
"2038",10570633626.6355
"2040",11546144056.9599
"2042",11673808372.8296
"2044",11950858573.3444
"2046",12248336444.2654
"2048",12621117159.0805
"2050",12487471406.676
