"Dim1","Val"
"2010",4.30744304381203
"2012",2.26498265334785
"2014",3.66887914351201
"2016",1.47236230283082
"2018",2.01275927298404
"2020",1.17856304743244
"2022",2.58231691204766
"2024",1.97277118066241
"2026",2.05548070909125
"2028",2.18625350268421
"2030",2.4326004145385
"2032",2.32198343424987
"2034",2.36220743881091
"2036",2.3873879742285
"2038",2.34717148375432
"2040",2.36022524931543
"2042",2.31747094087093
"2044",2.3132727419667
"2046",2.32675426648277
"2048",2.34576762470197
"2050",2.33242341182481
