"Dim1","Dim2","Val"
"p1","2010",4.26105676010959
"p1","2012",2.29503630049315
"p1","2014",3.697775696
"p1","2016",1.48962513994521
"p1","2018",2.03277350728767
"p1","2020",1.20551578717808
"p1","2022",2.65221931550685
"p1","2024",2.05630530717808
"p1","2026",2.13909799473973
"p1","2028",2.26228737994521
"p1","2030",2.49638184964384
"p1","2032",2.38182853589041
"p1","2034",2.41410887649315
"p1","2036",2.42624589610959
"p1","2038",2.3961641459726
"p1","2040",2.42881455539726
"p1","2042",2.3703471059726
"p1","2044",2.35462677545206
"p1","2046",2.38304859945205
"p1","2048",2.42139186345206
"p1","2050",2.3853650220274
"p2","2010",4.2651766259726
"p2","2012",2.29262524263014
"p2","2014",3.69639460460274
"p2","2016",1.48569254071233
"p2","2018",2.03251601567123
"p2","2020",1.20031913819178
"p2","2022",2.65196182389041
"p2","2024",2.05508807408219
"p2","2026",2.13633581194521
"p2","2028",2.25929111386301
"p2","2030",2.49399420010959
"p2","2032",2.38159445260274
"p2","2034",2.41570064284932
"p2","2036",2.42875058728767
"p2","2038",2.39820067057534
"p2","2040",2.43028928010959
"p2","2042",2.37320292208219
"p2","2044",2.3585125580274
"p2","2046",2.38644280712329
"p2","2048",2.42406041293151
"p2","2050",2.38925080460274
"p3","2010",4.29598605764383
"p3","2012",2.2745947229589
"p3","2014",3.68606644284932
"p3","2016",1.45628353775342
"p3","2018",2.03059042619178
"p3","2020",1.16145724142466
"p3","2022",2.65003623441096
"p3","2024",2.04598528745205
"p3","2026",2.11567948843836
"p3","2028",2.23688425446575
"p3","2030",2.4761387340274
"p3","2032",2.37984391671233
"p3","2034",2.42760428690411
"p3","2036",2.44748132131507
"p3","2038",2.41343033282192
"p3","2040",2.44131765621918
"p3","2042",2.39455945994521
"p3","2044",2.38757145380822
"p3","2046",2.41182557753425
"p3","2048",2.44401652208219
"p3","2050",2.41830970038356
"p4","2010",4.26893824263014
"p4","2012",2.2904238419726
"p4","2014",3.69513360810959
"p4","2016",1.48210190663014
"p4","2018",2.03228091463014
"p4","2020",1.19557437172603
"p4","2022",2.65172672284932
"p4","2024",2.05397668734247
"p4","2026",2.1338138189589
"p4","2028",2.25655539265753
"p4","2030",2.49181417227397
"p4","2032",2.38138072438356
"p4","2034",2.41715399473973
"p4","2036",2.43103747923288
"p4","2038",2.40006010608219
"p4","2040",2.43163576789041
"p4","2042",2.37581040635616
"p4","2044",2.36206044646575
"p4","2046",2.38954186630137
"p4","2048",2.42649691463014
"p4","2050",2.3927986930411
"p5","2010",4.27108773786302
"p5","2012",2.28916589873973
"p5","2014",3.69441303868493
"p5","2016",1.48005011572603
"p5","2018",2.03214657117808
"p5","2020",1.19286307660274
"p5","2022",2.65159237939726
"p5","2024",2.05334160920548
"p5","2026",2.13237268010959
"p5","2028",2.25499212339726
"p5","2030",2.49056844208219
"p5","2032",2.3812585939726
"p5","2034",2.41798448153425
"p5","2036",2.43234427463014
"p5","2038",2.40112264065753
"p5","2040",2.43240518947945
"p5","2042",2.37730039736986
"p5","2044",2.36408781128767
"p5","2046",2.39131275726027
"p5","2048",2.42788920131507
"p5","2050",2.39482605786301
"p6","2010",4.27807359736986
"p6","2012",2.28507758323288
"p6","2014",3.69207118805479
"p6","2016",1.47338179528767
"p6","2018",2.0317099549589
"p6","2020",1.18405136745205
"p6","2022",2.65115576317808
"p6","2024",2.05127760526027
"p6","2026",2.12768897884931
"p6","2028",2.24991149830137
"p6","2030",2.4865198189589
"p6","2032",2.38086167013699
"p6","2034",2.42068356361644
"p6","2036",2.43659135967123
"p6","2038",2.4045758780274
"p6","2040",2.43490580964384
"p6","2042",2.38214286816438
"p6","2044",2.3706767469589
"p6","2046",2.39706815287671
"p6","2048",2.4324141330411
