"Dim1","Dim2","Dim3","Val"
"Gas-CC","p1","2010",0.0291451788771445
"Gas-CC","p1","2012",0.0359283525455488
"Gas-CC","p1","2014",0.0237074160938112
"Gas-CC","p1","2016",0.0512775101267136
"Gas-CC","p1","2018",0.038872212842307
"Gas-CC","p1","2020",0.0512775101267136
"Gas-CC","p1","2022",0.0139698136225152
"Gas-CC","p1","2024",0.0201551636224152
"Gas-CC","p1","2026",0.0133124759425152
"Gas-CC","p1","2028",0.0081970418593152
"Gas-CC","p1","2030",0.00188361254376
"Gas-CC","p2","2010",0.0733025295858848
"Gas-CC","p2","2012",0.08798507219864
"Gas-CC","p2","2014",0.0498345038759511
"Gas-CC","p2","2016",0.113587482366768
"Gas-CC","p2","2018",0.0887542615974971
"Gas-CC","p2","2020",0.113587482366768
"Gas-CC","p2","2022",0.0189266223475872
"Gas-CC","p2","2024",0.022616623728252
"Gas-CC","p2","2026",0.0163341111546145
"Gas-CC","p2","2028",0.0094046605422672
"Gas-CC","p2","2030",0.0029458492051965
"Gas-CC","p5","2010",0.0819995330935085
"Gas-CC","p5","2012",0.0870581458741372
"Gas-CC","p5","2014",0.0680731260590285
"Gas-CC","p5","2016",0.12695572930866
"Gas-CC","p5","2018",0.102779069950233
"Gas-CC","p5","2020",0.16036239509056
"Gas-CC","p5","2022",0.0747740089591761
"Gas-CC","p5","2024",0.0815898471579763
"Gas-CC","p5","2026",0.0646542819952127
"Gas-CC","p5","2028",0.057234888996671
"Gas-CC","p5","2030",0.0377517046031514
"Gas-CC","p5","2032",0.0336723728738176
"Gas-CC","p5","2034",0.0287342465687819
"Gas-CC","p5","2036",0.0115242311186407
"Gas-CC","p5","2038",0.0101614451765407
"Gas-CC","p5","2040",0.0106811821689869
"Gas-CC","p5","2042",0.0101614451765407
"Gas-CC","p5","2044",0.0110286725942407
"Gas-CC","p5","2046",0.0112451582054173
"Gas-CC","p5","2048",0.00734225077677604
"Gas-CC","p5","2050",0.00910506216287622
"Gas-CC","p6","2010",0.028220003886144
"Gas-CC","p6","2012",0.029540757726144
"Gas-CC","p6","2014",0.028220003886144
"Gas-CC","p6","2016",0.029540757726144
"Gas-CC","p6","2018",0.029540757726144
"Gas-CC","p6","2020",0.029540757726144
"Gas-CC","p6","2022",0.022675618292544
"Gas-CC","p6","2024",0.024334693655664
"Gas-CC","p6","2026",0.020032573989498
"Gas-CC","p6","2028",0.014989634931236
"Gas-CC","p6","2030",0.00350874540345
"Gas-CC","p9","2010",0.323137786618316
"Gas-CC","p9","2012",0.398714402958137
"Gas-CC","p9","2014",0.328150002338577
"Gas-CC","p9","2016",0.428209488464794
"Gas-CC","p9","2018",0.381244895841608
"Gas-CC","p9","2020",0.350793566416775
"Gas-CC","p9","2022",0.244996574413885
"Gas-CC","p9","2024",0.213724400992232
"Gas-CC","p9","2026",0.172603151782594
"Gas-CC","p9","2028",0.123866768716524
"Gas-CC","p9","2030",0.111609397455831
"Gas-CC","p9","2032",0.0681951110015946
"Gas-CC","p9","2034",0.0554182157530288
"Gas-CC","p9","2036",0.0400193555505334
"Gas-CC","p9","2038",0.00780125166041994
"Gas-CC","p9","2040",0.00691284545628542
"Gas-CC","p9","2042",0.00139995354687048
"Gas-CC","p9","2046",0.00139217433202561
"Gas-CC","p9","2048",0.00724080359938971
"Gas-CC","p9","2050",0.000640474314620272
"Gas-CC","p10","2010",0.377693538916444
"Gas-CC","p10","2012",0.439365386218321
"Gas-CC","p10","2014",0.32918199658742
"Gas-CC","p10","2016",0.455419918946751
