"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",2
"battery_2","p1","2034",1.1
"battery_2","p1","2038",0.5
"battery_2","p3","2030",1.2
"battery_2","p5","2030",2.5
"battery_2","p6","2038",0.625
"battery_2","p9","2040",128.04321090833
"battery_2","p9","2042",236.377865692037
"battery_2","p9","2046",42.187008330849
"battery_2","p9","2048",527.439265846565
"battery_2","p10","2040",37.5332463193845
"battery_2","p10","2042",63.0595096198101
"battery_2","p10","2046",57.2129916691511
"battery_2","p10","2048",475.285734153435
"battery_2","p11","2040",85.198542772285
"battery_2","p11","2042",1.58262468815306
"battery_2","p12","2038",50
"battery_2","p13","2038",50
"battery_2","p18","2038",100
"battery_2","p23","2038",0.00177078098911032
"battery_2","p27","2050",13.3445626937023
"battery_2","p28","2034",1.00000000000001
"battery_2","p28","2036",4.99999999999999
"battery_2","p28","2038",111.5
"battery_2","p28","2050",117.200382260942
"battery_2","p29","2050",30.838
"battery_2","p30","2034",5
"battery_2","p30","2050",14.2502500000001
"battery_2","p31","2028",0.9
"battery_2","p31","2034",0.5
"battery_2","p33","2034",2
"battery_2","p33","2050",5.05559738483168
"battery_2","p34","2050",3.8194368795349
"battery_4","p1","2042",0.476802798066045
"battery_4","p1","2046",0.37453124999999
"battery_4","p1","2048",2.03010113578249
"battery_4","p1","2050",3.67978599539634
"battery_4","p2","2040",3.9237413317266
"battery_4","p2","2042",0.0714000000000254
"battery_4","p2","2048",1.12493661579028
"battery_4","p2","2050",0.622363954325687
"battery_4","p5","2042",0.218598909577253
"battery_4","p5","2044",0.377567721699386
"battery_4","p5","2046",33.0732851285417
"battery_4","p5","2048",18.4926805225445
"battery_4","p5","2050",6.86671426233833
"battery_4","p6","2040",0.0193375000000007
"battery_4","p6","2042",0.0803249999999991
"battery_4","p6","2044",0.196610459037928
"battery_4","p6","2046",4.98302662031806
"battery_4","p6","2048",0.1071
"battery_4","p6","2050",0.2050625
"battery_4","p7","2040",0.138689450198456
"battery_4","p7","2044",0.26258209729658
"battery_4","p7","2046",0.112349983989372
"battery_4","p7","2048",0.163310484785235
"battery_4","p7","2050",36.3466281706871
"battery_4","p8","2040",3.66143003207551
"battery_4","p8","2042",0.360708967924438
"battery_4","p8","2046",36.9297900838911
"battery_4","p8","2050",6.41006975399397
"battery_4","p9","2030",3
"battery_4","p9","2036",0.5
"battery_4","p9","2038",532.9
"battery_4","p9","2040",99.2678487721387
"battery_4","p9","2042",5.42471267628252
"battery_4","p9","2044",4.7629750000001
"battery_4","p9","2046",360.61058125
"battery_4","p10","2028",0.499999999999915
"battery_4","p10","2032",45.45
"battery_4","p10","2034",16.6500000000001
"battery_4","p10","2036",10.0000000000001
"battery_4","p10","2038",407.4
"battery_4","p10","2040",668.360829487677
"battery_4","p10","2042",67.3406957836924
"battery_4","p10","2044",239.959616502034
"battery_4","p10","2046",10.1544187499998
"battery_4","p11","2028",0.499999999999972
"battery_4","p11","2030",1
"battery_4","p11","2032",0.5
"battery_4","p11","2034",39.75
"battery_4","p11","2036",126
"battery_4","p11","2038",48
"battery_4","p11","2042",0.700862755208391
"battery_4","p11","2044",146.462459022967
"battery_4","p11","2050",19.2974999999999
"battery_4","p12","2040",50
"battery_4","p12","2042",265.311368902224
"battery_4","p12","2044",293.112878926242
"battery_4","p12","2046",91.2430703654419
"battery_4","p12","2048",12.3517465156318
"battery_4","p12","2050",0.757881249999969
"battery_4","p13","2040",69.5781504600001
"battery_4","p13","2042",30.4218495399998
"battery_4","p13","2044",620.971419250474
