"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2032",4
"battery_2","new1","p1","2034",2.2
"battery_2","new1","p3","2030",2.4
"battery_2","new1","p5","2030",5
"battery_2","new1","p28","2034",2
"battery_2","new1","p30","2034",10
"battery_2","new1","p31","2028",1.8
"battery_2","new1","p31","2034",1
"battery_2","new1","p33","2034",4
"battery_2","new3","p28","2036",10
"battery_2","new5","p1","2038",1
"battery_2","new5","p6","2038",1.25
"battery_2","new5","p12","2038",100
"battery_2","new5","p13","2038",100
"battery_2","new5","p18","2038",200
"battery_2","new5","p23","2038",0.00354156197822078
"battery_2","new5","p28","2038",223
"battery_2","new7","p9","2040",256.086421816661
"battery_2","new7","p10","2040",75.066492638769
"battery_2","new7","p11","2040",170.39708554457
"battery_2","new9","p9","2042",472.755731384073
"battery_2","new9","p10","2042",126.119019239621
"battery_2","new9","p11","2042",3.16524937630612
"battery_2","new13","p9","2046",84.3740166616981
"battery_2","new13","p10","2046",114.425983338302
"battery_2","new15","p9","2048",1054.87853169313
"battery_2","new15","p10","2048",950.57146830687
"battery_2","new17","p27","2050",26.6891253874045
"battery_2","new17","p28","2050",234.400764521884
"battery_2","new17","p29","2050",61.676
"battery_2","new17","p30","2050",28.5005
"battery_2","new17","p33","2050",10.1111947696633
"battery_2","new17","p34","2050",7.63887375906982
"battery_4","new1","p9","2030",6
"battery_4","new1","p10","2028",1
"battery_4","new1","p10","2032",90.9
"battery_4","new1","p10","2034",33.3
"battery_4","new1","p11","2028",1
"battery_4","new1","p11","2030",2
"battery_4","new1","p11","2032",1
"battery_4","new1","p11","2034",79.5
"battery_4","new3","p9","2036",1
"battery_4","new3","p10","2036",20
"battery_4","new3","p11","2036",252
"battery_4","new5","p9","2038",1065.8
"battery_4","new5","p10","2038",814.8
"battery_4","new5","p11","2038",96
"battery_4","new5","p26","2038",0.087125
"battery_4","new7","p2","2040",7.8474826634532
"battery_4","new7","p6","2040",0.038675
"battery_4","new7","p7","2040",0.277378900396935
"battery_4","new7","p8","2040",7.32286006415101
"battery_4","new7","p9","2040",198.535697544278
"battery_4","new7","p10","2040",1336.72165897535
"battery_4","new7","p12","2040",100
"battery_4","new7","p13","2040",139.15630092
"battery_4","new9","p1","2042",0.953605596132085
"battery_4","new9","p2","2042",0.142800000000053
"battery_4","new9","p5","2042",0.437197819154408
"battery_4","new9","p6","2042",0.16065
"battery_4","new9","p8","2042",0.721417935848876
"battery_4","new9","p9","2042",10.849425352565
"battery_4","new9","p10","2042",134.681391567384
"battery_4","new9","p11","2042",1.40172551041679
"battery_4","new9","p12","2042",530.622737804448
"battery_4","new9","p13","2042",60.8436990800001
"battery_4","new9","p21","2042",23.9921417898418
"battery_4","new9","p23","2042",0.440283921407263
"battery_4","new9","p24","2042",102.040316822611
"battery_4","new9","p25","2042",96.7260633317229
"battery_4","new9","p26","2042",1.55239337926733
"battery_4","new9","p27","2042",112.170237527146
"battery_4","new9","p28","2042",394.950162968116
"battery_4","new9","p29","2042",0.2097375
"battery_4","new9","p30","2042",67.3641334470349
"battery_4","new9","p31","2042",87.6114435601005
"battery_4","new9","p33","2042",105.838809329101
"battery_4","new9","p59","2042",104.045693086718
"battery_4","new11","p5","2044",0.755135443398933
"battery_4","new11","p6","2044",0.393220918075856
"battery_4","new11","p7","2044",0.525164194593087
"battery_4","new11","p9","2044",9.52595
"battery_4","new11","p10","2044",479.919233004068
"battery_4","new11","p11","2044",292.924918045934
"battery_4","new11","p12","2044",586.225757852483
"battery_4","new11","p13","2044",1241.94283850095
"battery_4","new11","p19","2044",0.0813454552204943
"battery_4","new11","p21","2044",44.6179369054294
"battery_4","new11","p25","2044",464.86969130814
"battery_4","new11","p27","2044",73.1392288398769
"battery_4","new11","p28","2044",1197.13021364431
"battery_4","new11","p29","2044",10.20425
"battery_4","new11","p30","2044",444.126870984913
"battery_4","new11","p31","2044",67.4338460685553
"battery_4","new11","p33","2044",111.453590117788
"battery_4","new11","p59","2044",139.458871876697
"battery_4","new13","p1","2046",0.7490625
"battery_4","new13","p5","2046",66.1465702570832
"battery_4","new13","p6","2046",9.96605324063611
"battery_4","new13","p7","2046",0.224699967978711
"battery_4","new13","p8","2046",73.8595801677821
"battery_4","new13","p9","2046",721.221162500001
"battery_4","new13","p10","2046",20.3088375
"battery_4","new13","p12","2046",182.486140730884
"battery_4","new13","p13","2046",45.7794673386799
"battery_4","new13","p20","2046",85.5751018317186
"battery_4","new13","p21","2046",123.55308381744
"battery_4","new13","p22","2046",13.9090909090909
"battery_4","new13","p23","2046",21.2757292007684
"battery_4","new13","p25","2046",53.6082641049974
"battery_4","new13","p26","2046",0.811267177120836
"battery_4","new13","p27","2046",149.553358025615
