"Dim1","Dim2","Dim3","Dim4","Val"
"pumped-hydro","p1","cap","bin1",1156.36194
"pumped-hydro","p1","cap","bin2",663.71231
"pumped-hydro","p1","cap","bin3",902.0096
"pumped-hydro","p1","cap","bin4",836.13645
"pumped-hydro","p1","cap","bin5",744.81819
"pumped-hydro","p1","cap","bin6",594.29524
"pumped-hydro","p1","cap","bin7",721.92573
"pumped-hydro","p1","cap","bin8",723.19412
"pumped-hydro","p1","cap","bin9",758.10857
"pumped-hydro","p1","cap","bin10",391.75624
"pumped-hydro","p1","cap","bin11",916.20035
"pumped-hydro","p1","cap","bin12",837.48763
"pumped-hydro","p1","cap","bin13",680.86917
"pumped-hydro","p1","cap","bin14",699.22115
"pumped-hydro","p1","cap","bin15",761.07538
"pumped-hydro","p1","cost","bin1",1512789.72
"pumped-hydro","p1","cost","bin2",1646341.67
"pumped-hydro","p1","cost","bin3",1794176.23
"pumped-hydro","p1","cost","bin4",1925068.12
"pumped-hydro","p1","cost","bin5",2117580.88
"pumped-hydro","p1","cost","bin6",2176512.88
"pumped-hydro","p1","cost","bin7",2238304.31
"pumped-hydro","p1","cost","bin8",2327409.37
"pumped-hydro","p1","cost","bin9",2405319.19
"pumped-hydro","p1","cost","bin10",2561347.61
"pumped-hydro","p1","cost","bin11",2617898.66
"pumped-hydro","p1","cost","bin12",2844416.34
"pumped-hydro","p1","cost","bin13",3014584.05
"pumped-hydro","p1","cost","bin14",3145431.83
"pumped-hydro","p1","cost","bin15",3401206.82
"pumped-hydro","p2","cap","bin1",3452.60688
"pumped-hydro","p2","cap","bin2",3178.19026
"pumped-hydro","p2","cap","bin3",2846.28657
"pumped-hydro","p2","cap","bin4",3197.1239
"pumped-hydro","p2","cap","bin5",3173.98492
"pumped-hydro","p2","cap","bin6",3188.38475
"pumped-hydro","p2","cap","bin7",3100.69718
"pumped-hydro","p2","cap","bin8",3090.61124
"pumped-hydro","p2","cap","bin9",3214.46662
"pumped-hydro","p2","cap","bin10",3096.15684
"pumped-hydro","p2","cap","bin11",3136.85358
"pumped-hydro","p2","cap","bin12",3110.16043
"pumped-hydro","p2","cap","bin13",3048.81221
"pumped-hydro","p2","cap","bin14",3217.0377
"pumped-hydro","p2","cap","bin15",3128.95043
"pumped-hydro","p2","cost","bin1",1500102.64
"pumped-hydro","p2","cost","bin2",1841101.07
"pumped-hydro","p2","cost","bin3",2002216.11
"pumped-hydro","p2","cost","bin4",2107036.18
"pumped-hydro","p2","cost","bin5",2193294.1
"pumped-hydro","p2","cost","bin6",2287006.03
"pumped-hydro","p2","cost","bin7",2414867.74
"pumped-hydro","p2","cost","bin8",2548575.21
"pumped-hydro","p2","cost","bin9",2651196.2
"pumped-hydro","p2","cost","bin10",2734124.69
"pumped-hydro","p2","cost","bin11",2840742.77
"pumped-hydro","p2","cost","bin12",2989555.62
"pumped-hydro","p2","cost","bin13",3113200.68
"pumped-hydro","p2","cost","bin14",3293845.67
"pumped-hydro","p2","cost","bin15",3593536.36
"pumped-hydro","p3","cap","bin1",854.20944
"pumped-hydro","p3","cap","bin3",1338.28513
"pumped-hydro","p3","cap","bin4",537.45296
"pumped-hydro","p3","cap","bin5",424.58114
"pumped-hydro","p3","cap","bin6",783.16456
"pumped-hydro","p3","cap","bin7",449.91549
"pumped-hydro","p3","cap","bin8",564.64993
"pumped-hydro","p3","cap","bin9",461.88517
"pumped-hydro","p3","cap","bin10",657.60954
"pumped-hydro","p3","cap","bin11",632.39312
"pumped-hydro","p3","cap","bin12",234.88021
"pumped-hydro","p3","cap","bin13",832.54499
"pumped-hydro","p3","cap","bin14",508.84939
"pumped-hydro","p3","cap","bin15",658.43673
"pumped-hydro","p3","cost","bin1",1456682.53
"pumped-hydro","p3","cost","bin3",1929666.9
"pumped-hydro","p3","cost","bin4",2000507.66
"pumped-hydro","p3","cost","bin5",2263309.68
"pumped-hydro","p3","cost","bin6",2393046.76
"pumped-hydro","p3","cost","bin7",2510965.26
"pumped-hydro","p3","cost","bin8",2615405.78
"pumped-hydro","p3","cost","bin9",2675438.35
"pumped-hydro","p3","cost","bin10",2770081.73
"pumped-hydro","p3","cost","bin11",2932011.88
"pumped-hydro","p3","cost","bin12",3007939.25
"pumped-hydro","p3","cost","bin13",3197675.86
"pumped-hydro","p3","cost","bin14",3547200.52
"pumped-hydro","p3","cost","bin15",4132578.01
"pumped-hydro","p4","cap","bin1",2365.45036
"pumped-hydro","p4","cap","bin2",1997.61448
"pumped-hydro","p4","cap","bin3",2015.14149
"pumped-hydro","p4","cap","bin4",1740.97393
"pumped-hydro","p4","cap","bin5",2023.53495
"pumped-hydro","p4","cap","bin6",1959.19905
"pumped-hydro","p4","cap","bin7",2039.28561
"pumped-hydro","p4","cap","bin8",1934.22676
"pumped-hydro","p4","cap","bin9",2062.42859
"pumped-hydro","p4","cap","bin10",1999.64931
"pumped-hydro","p4","cap","bin11",1925.12503
"pumped-hydro","p4","cap","bin12",1861.27379
"pumped-hydro","p4","cap","bin13",1984.09023
"pumped-hydro","p4","cap","bin14",1959.08821
"pumped-hydro","p4","cap","bin15",2065.75518
"pumped-hydro","p4","cost","bin1",1204426.39
"pumped-hydro","p4","cost","bin2",1551586.46
"pumped-hydro","p4","cost","bin3",1673288.5
"pumped-hydro","p4","cost","bin4",1812006.74
"pumped-hydro","p4","cost","bin5",1925237.55
"pumped-hydro","p4","cost","bin6",2086799.57
"pumped-hydro","p4","cost","bin7",2216014.28
"pumped-hydro","p4","cost","bin8",2312575.06
"pumped-hydro","p4","cost","bin9",2399980.96
"pumped-hydro","p4","cost","bin10",2521762.71
"pumped-hydro","p4","cost","bin11",2612564.04
"pumped-hydro","p4","cost","bin12",2788958.01
"pumped-hydro","p4","cost","bin13",3005462.02
"pumped-hydro","p4","cost","bin14",3375405.68
"pumped-hydro","p4","cost","bin15",3875840.33
"pumped-hydro","p5","cap","bin1",8433.62798
"pumped-hydro","p5","cap","bin2",7491.30905
"pumped-hydro","p5","cap","bin3",7963.30724
"pumped-hydro","p5","cap","bin4",7770.11762
"pumped-hydro","p5","cap","bin5",7855.21092
"pumped-hydro","p5","cap","bin6",7704.05281
"pumped-hydro","p5","cap","bin7",7715.51086
"pumped-hydro","p5","cap","bin8",7654.42368
"pumped-hydro","p5","cap","bin9",7818.45432
"pumped-hydro","p5","cap","bin10",7702.3208
"pumped-hydro","p5","cap","bin11",7700.70292
"pumped-hydro","p5","cap","bin12",7668.4192
"pumped-hydro","p5","cap","bin13",7695.38357
"pumped-hydro","p5","cap","bin14",7755.31038
"pumped-hydro","p5","cap","bin15",7835.46869
"pumped-hydro","p5","cost","bin1",1457672.84
"pumped-hydro","p5","cost","bin2",1728885.35
"pumped-hydro","p5","cost","bin3",1892545.42
"pumped-hydro","p5","cost","bin4",2030930.45
"pumped-hydro","p5","cost","bin5",2134164.93
"pumped-hydro","p5","cost","bin6",2250890.62
"pumped-hydro","p5","cost","bin7",2368402.36
"pumped-hydro","p5","cost","bin8",2463293.85
"pumped-hydro","p5","cost","bin9",2563722.87
