"Dim1","Dim2","Dim3","Dim4","Val"
"NorthernGrid","summ","2","2010",1000
"NorthernGrid","summ","2","2022",301.23
"NorthernGrid","summ","2","2026",100.3
"NorthernGrid","summ","2","2030",100.39
"NorthernGrid","summ","2","2032",100.34
"NorthernGrid","summ","2","2038",300.56
"NorthernGrid","summ","2","2040",300.54
"NorthernGrid","summ","2","2042",100.23
"NorthernGrid","summ","2","2044",100.19
"NorthernGrid","summ","2","2046",200.45
"NorthernGrid","summ","2","2048",300.74
"NorthernGrid","summ","4","2010",1000
"NorthernGrid","summ","4","2022",1204.9
"NorthernGrid","summ","4","2024",2411.32
"NorthernGrid","summ","4","2026",2507.43
"NorthernGrid","summ","4","2028",3609.71
"NorthernGrid","summ","4","2030",4868.76
"NorthernGrid","summ","4","2032",5418.1
"NorthernGrid","summ","4","2034",6517.01
"NorthernGrid","summ","4","2036",7424.61
"NorthernGrid","summ","4","2038",7914.82
"NorthernGrid","summ","4","2040",8715.57
"NorthernGrid","summ","4","2042",9922.96
"NorthernGrid","summ","4","2044",10520.08
"NorthernGrid","summ","4","2046",10924.79
"NorthernGrid","summ","4","2048",11628.51
"NorthernGrid","summ","4","2050",12633.29
"NorthernGrid","summ","6","2010",1000
"NorthernGrid","summ","6","2022",652.66
"NorthernGrid","summ","6","2024",255.2
"NorthernGrid","summ","6","2028",401.08
"NorthernGrid","summ","6","2030",1907.35
"NorthernGrid","summ","6","2032",1224.09
"NorthernGrid","summ","6","2034",952.49
"NorthernGrid","summ","6","2036",1729.73
"NorthernGrid","summ","6","2038",3248.08
"NorthernGrid","summ","6","2040",3906.98
"NorthernGrid","summ","6","2042",5412.53
"NorthernGrid","summ","6","2044",5710.9
"NorthernGrid","summ","6","2046",4610.46
"NorthernGrid","summ","6","2048",4711.55
"NorthernGrid","summ","6","2050",4912.95
"NorthernGrid","summ","8","2010",1000
"NorthernGrid","summ","8","2022",1291.25
"NorthernGrid","summ","8","2024",2005.41
"NorthernGrid","summ","8","2026",1905.65
"NorthernGrid","summ","8","2028",1203.24
"NorthernGrid","summ","8","2030",1003.87
"NorthernGrid","summ","8","2032",4695.69
"NorthernGrid","summ","8","2034",5464.26
"NorthernGrid","summ","8","2036",5092.88
"NorthernGrid","summ","8","2038",4115.71
"NorthernGrid","summ","8","2040",5259.4
"NorthernGrid","summ","8","2042",3357.77
"NorthernGrid","summ","8","2044",3957.55
"NorthernGrid","summ","8","2046",6665.12
"NorthernGrid","summ","8","2048",5357.13
"NorthernGrid","summ","8","2050",5816.33
"NorthernGrid","summ","10","2010",1000
"NorthernGrid","summ","10","2022",2373.66
"NorthernGrid","summ","10","2024",1363.4
"NorthernGrid","summ","10","2026",152.45
"NorthernGrid","summ","10","2028",1205.24
"NorthernGrid","summ","10","2030",2559.86
"NorthernGrid","summ","10","2032",805.69
"NorthernGrid","summ","10","2034",952.49
"NorthernGrid","summ","10","2036",2056.82
"NorthernGrid","summ","10","2038",4057.6
"NorthernGrid","summ","10","2040",3055.46
"NorthernGrid","summ","10","2042",5462.64
"NorthernGrid","summ","10","2044",5260.04
"NorthernGrid","summ","10","2046",2756.25
"NorthernGrid","summ","10","2048",4466.95
"NorthernGrid","summ","10","2050",4410.62
"NorthernGrid","summ","12","2010",1000
"NorthernGrid","summ","12","2022",1259.12
"NorthernGrid","summ","12","2024",2102.87
"NorthernGrid","summ","12","2026",3910.59
"NorthernGrid","summ","12","2028",3189.58
"NorthernGrid","summ","12","2030",1925.42
"NorthernGrid","summ","12","2032",2304.7
"NorthernGrid","summ","12","2034",2255.89
"NorthernGrid","summ","12","2036",1809
"NorthernGrid","summ","12","2038",734.38
"NorthernGrid","summ","12","2040",1870.34
"NorthernGrid","summ","12","2042",608.41
"NorthernGrid","summ","12","2044",416.8
