"Dim1","Dim2","Dim3","Val"
"upv_3","i7656","2018",24.96
"upv_3","i7656","2020",24.96
"upv_3","i7656","2022",24.96
"upv_3","i7656","2024",24.96
"upv_3","i7656","2026",24.96
"upv_3","i7656","2028",24.96
"upv_3","i7656","2030",24.96
"upv_3","i7656","2032",24.96
"upv_3","i7656","2034",24.96
"upv_3","i7656","2036",24.96
"upv_3","i7656","2038",24.96
"upv_3","i7656","2040",24.96
"upv_3","i7656","2042",24.96
"upv_3","i7656","2044",24.96
"upv_3","i7656","2046",24.96
"upv_3","i7656","2048",24.96
"upv_3","i7656","2050",24.96
"upv_3","i8784","2022",19.5
"upv_3","i8784","2024",19.5
"upv_3","i8784","2026",19.5
"upv_3","i8784","2028",19.5
"upv_3","i8784","2030",19.5
"upv_3","i8784","2032",19.5
"upv_3","i8784","2034",19.5
"upv_3","i8784","2036",30.0075455168202
"upv_3","i8784","2038",30.0075455168202
"upv_3","i8784","2040",30.0075455168202
"upv_3","i8784","2042",30.0075455168202
"upv_3","i8784","2044",30.0075455168202
"upv_3","i8784","2046",30.0075455168202
"upv_3","i8784","2048",30.0075455168202
"upv_3","i8784","2050",30.0075455168202
"upv_3","i8794","2018",24.96
"upv_3","i8794","2020",24.96
"upv_3","i8794","2022",24.96
"upv_3","i8794","2024",24.96
"upv_3","i8794","2026",24.96
"upv_3","i8794","2028",24.96
"upv_3","i8794","2030",24.96
"upv_3","i8794","2032",24.96
"upv_3","i8794","2034",24.96
"upv_3","i8794","2036",24.96
"upv_3","i8794","2038",24.96
"upv_3","i8794","2040",24.96
"upv_3","i8794","2042",24.96
"upv_3","i8794","2044",24.96
"upv_3","i8794","2046",24.96
"upv_3","i8794","2048",24.96
"upv_3","i8794","2050",24.96
"upv_3","i10302","2022",195
"upv_3","i10302","2024",195
"upv_3","i10302","2026",195
"upv_3","i10302","2028",195
"upv_3","i10302","2030",3618.05687064635
"upv_3","i10302","2032",3618.05687064635
"upv_3","i10302","2034",3709.79217732546
"upv_3","i10302","2036",3719.05024971712
"upv_3","i10302","2038",3719.05024971712
"upv_3","i10302","2040",3719.05024971712
"upv_3","i10302","2042",3719.05024971712
"upv_3","i10302","2044",3719.05024971712
"upv_3","i10302","2046",3719.05024971712
"upv_3","i10302","2048",3719.05024971712
"upv_3","i10302","2050",3719.05024971712
"upv_3","i10316","2018",24.96
