"Dim1","Dim2","Dim3","Dim4","Val"
"battery_2","new1","p1","2016",8
"battery_2","new1","p1","2018",12.4
"battery_2","new1","p1","2020",12.4
"battery_2","new1","p1","2022",12.4
"battery_2","new1","p1","2024",12.4
"battery_2","new1","p1","2026",12.4
"battery_2","new1","p1","2028",12.4
"battery_2","new1","p1","2030",12.4
"battery_2","new1","p1","2032",4.4
"battery_2","new1","p3","2014",4.8
"battery_2","new1","p3","2016",4.8
"battery_2","new1","p3","2018",4.8
"battery_2","new1","p3","2020",4.8
"battery_2","new1","p3","2022",4.8
"battery_2","new1","p3","2024",4.8
"battery_2","new1","p3","2026",4.8
"battery_2","new1","p3","2028",4.8
"battery_2","new1","p5","2014",10
"battery_2","new1","p5","2016",10
"battery_2","new1","p5","2018",10
"battery_2","new1","p5","2020",10
"battery_2","new1","p5","2022",10
"battery_2","new1","p5","2024",10
"battery_2","new1","p5","2026",10
"battery_2","new1","p5","2028",10
"battery_2","new1","p28","2018",4
"battery_2","new1","p28","2020",4
"battery_2","new1","p28","2022",4
"battery_2","new1","p28","2024",4
"battery_2","new1","p28","2026",4
"battery_2","new1","p28","2028",4
"battery_2","new1","p28","2030",4
"battery_2","new1","p28","2032",4
"battery_2","new1","p30","2018",20
"battery_2","new1","p30","2020",20
"battery_2","new1","p30","2022",20
"battery_2","new1","p30","2024",20
"battery_2","new1","p30","2026",20
"battery_2","new1","p30","2028",20
"battery_2","new1","p30","2030",20
"battery_2","new1","p30","2032",20
"battery_2","new1","p31","2012",3.6
"battery_2","new1","p31","2014",3.6
"battery_2","new1","p31","2016",3.6
"battery_2","new1","p31","2018",5.6
"battery_2","new1","p31","2020",5.6
"battery_2","new1","p31","2022",5.6
"battery_2","new1","p31","2024",5.6
"battery_2","new1","p31","2026",5.6
"battery_2","new1","p31","2028",2
"battery_2","new1","p31","2030",2
"battery_2","new1","p31","2032",2
"battery_2","new1","p33","2018",8
"battery_2","new1","p33","2020",8
"battery_2","new1","p33","2022",8
"battery_2","new1","p33","2024",8
"battery_2","new1","p33","2026",8
"battery_2","new1","p33","2028",8
"battery_2","new1","p33","2030",8
"battery_2","new1","p33","2032",8
"battery_2","new3","p28","2020",20
"battery_2","new3","p28","2022",20
"battery_2","new3","p28","2024",20
"battery_2","new3","p28","2026",20
"battery_2","new3","p28","2028",20
"battery_2","new3","p28","2030",20
"battery_2","new3","p28","2032",20
"battery_2","new3","p28","2034",20
"battery_2","new5","p1","2022",2
"battery_2","new5","p1","2024",2
"battery_2","new5","p1","2026",2
"battery_2","new5","p1","2028",2
"battery_2","new5","p1","2030",2
"battery_2","new5","p1","2032",2
"battery_2","new5","p1","2034",2
"battery_2","new5","p1","2036",2
"battery_2","new5","p6","2022",2.5
"battery_2","new5","p6","2024",2.5
"battery_2","new5","p6","2026",2.5
"battery_2","new5","p6","2028",2.5
"battery_2","new5","p6","2030",2.5
"battery_2","new5","p6","2032",2.5
"battery_2","new5","p6","2034",2.5
"battery_2","new5","p6","2036",2.5
"battery_2","new5","p12","2022",200
"battery_2","new5","p12","2024",200
"battery_2","new5","p12","2026",200
"battery_2","new5","p12","2028",200
"battery_2","new5","p12","2030",200
"battery_2","new5","p12","2032",200
"battery_2","new5","p12","2034",200
"battery_2","new5","p12","2036",200
"battery_2","new5","p13","2022",200
"battery_2","new5","p13","2024",200
"battery_2","new5","p13","2026",200
"battery_2","new5","p13","2028",200
"battery_2","new5","p13","2030",200
"battery_2","new5","p13","2032",200
"battery_2","new5","p13","2034",200
"battery_2","new5","p13","2036",200
"battery_2","new5","p18","2022",400
"battery_2","new5","p18","2024",400
"battery_2","new5","p18","2026",400
"battery_2","new5","p18","2028",400
"battery_2","new5","p18","2030",400
"battery_2","new5","p18","2032",400
"battery_2","new5","p18","2034",400
"battery_2","new5","p18","2036",400
"battery_2","new5","p23","2022",0.00708312395644157
"battery_2","new5","p23","2024",0.00708312395644157
"battery_2","new5","p23","2026",0.00708312395644157
"battery_2","new5","p23","2028",0.00708312395644157
"battery_2","new5","p23","2030",0.00708312395644157
"battery_2","new5","p23","2032",0.00708312395644157
"battery_2","new5","p23","2034",0.00708312395644157
"battery_2","new5","p23","2036",0.00708312395644157
"battery_2","new5","p28","2022",446
"battery_2","new5","p28","2024",446
"battery_2","new5","p28","2026",446
"battery_2","new5","p28","2028",446
"battery_2","new5","p28","2030",446
"battery_2","new5","p28","2032",446
"battery_2","new5","p28","2034",446
"battery_2","new5","p28","2036",446
"battery_2","new7","p9","2024",512.172843633322
"battery_2","new7","p9","2026",512.172843633322
"battery_2","new7","p9","2028",512.172843633322
"battery_2","new7","p9","2030",512.172843633322
"battery_2","new7","p9","2032",512.172843633322
"battery_2","new7","p9","2034",512.172843633322
"battery_2","new7","p9","2036",512.172843633322
"battery_2","new7","p9","2038",512.172843633322
"battery_2","new7","p10","2024",150.132985277538
"battery_2","new7","p10","2026",150.132985277538
"battery_2","new7","p10","2028",150.132985277538
"battery_2","new7","p10","2030",150.132985277538
"battery_2","new7","p10","2032",150.132985277538
"battery_2","new7","p10","2034",150.132985277538
"battery_2","new7","p10","2036",150.132985277538
"battery_2","new7","p10","2038",150.132985277538
"battery_2","new7","p11","2024",340.79417108914
"battery_2","new7","p11","2026",340.79417108914
"battery_2","new7","p11","2028",340.79417108914
"battery_2","new7","p11","2030",340.79417108914
"battery_2","new7","p11","2032",340.79417108914
"battery_2","new7","p11","2034",340.79417108914
"battery_2","new7","p11","2036",340.79417108914
"battery_2","new7","p11","2038",340.79417108914
"battery_2","new9","p9","2026",945.511462768147
"battery_2","new9","p9","2028",945.511462768147
"battery_2","new9","p9","2030",945.511462768147
"battery_2","new9","p9","2032",945.511462768147
"battery_2","new9","p9","2034",945.511462768147
"battery_2","new9","p9","2036",945.511462768147
"battery_2","new9","p9","2038",945.511462768147
"battery_2","new9","p9","2040",945.511462768147
"battery_2","new9","p10","2026",252.238038479241
"battery_2","new9","p10","2028",252.238038479241
"battery_2","new9","p10","2030",252.238038479241
"battery_2","new9","p10","2032",252.238038479241
"battery_2","new9","p10","2034",252.238038479241
"battery_2","new9","p10","2036",252.238038479241
"battery_2","new9","p10","2038",252.238038479241
"battery_2","new9","p10","2040",252.238038479241
"battery_2","new9","p11","2026",6.33049875261224
"battery_2","new9","p11","2028",6.33049875261224
"battery_2","new9","p11","2030",6.33049875261224
"battery_2","new9","p11","2032",6.33049875261224
"battery_2","new9","p11","2034",6.33049875261224
"battery_2","new9","p11","2036",6.33049875261224
"battery_2","new9","p11","2038",6.33049875261224
"battery_2","new9","p11","2040",6.33049875261224
"battery_2","new13","p9","2030",168.748033323396
"battery_2","new13","p9","2032",168.748033323396
"battery_2","new13","p9","2034",168.748033323396
"battery_2","new13","p9","2036",168.748033323396
"battery_2","new13","p9","2038",168.748033323396
"battery_2","new13","p9","2040",168.748033323396
"battery_2","new13","p9","2042",168.748033323396
"battery_2","new13","p9","2044",168.748033323396
"battery_2","new13","p10","2030",228.851966676604
"battery_2","new13","p10","2032",228.851966676604
"battery_2","new13","p10","2034",228.851966676604
"battery_2","new13","p10","2036",228.851966676604
"battery_2","new13","p10","2038",228.851966676604
"battery_2","new13","p10","2040",228.851966676604
"battery_2","new13","p10","2042",228.851966676604
"battery_2","new13","p10","2044",228.851966676604
"battery_2","new15","p9","2032",2109.75706338626
"battery_2","new15","p9","2034",2109.75706338626
"battery_2","new15","p9","2036",2109.75706338626
"battery_2","new15","p9","2038",2109.75706338626
"battery_2","new15","p9","2040",2109.75706338626
"battery_2","new15","p9","2042",2109.75706338626
"battery_2","new15","p9","2044",2109.75706338626
"battery_2","new15","p9","2046",2109.75706338626
"battery_2","new15","p10","2032",1901.14293661374
"battery_2","new15","p10","2034",1901.14293661374
"battery_2","new15","p10","2036",1901.14293661374
"battery_2","new15","p10","2038",1901.14293661374
"battery_2","new15","p10","2040",1901.14293661374
"battery_2","new15","p10","2042",1901.14293661374
"battery_2","new15","p10","2044",1901.14293661374
"battery_2","new15","p10","2046",1901.14293661374
"battery_2","new17","p27","2034",53.378250774809
"battery_2","new17","p27","2036",53.378250774809
"battery_2","new17","p27","2038",53.378250774809
"battery_2","new17","p27","2040",53.378250774809
"battery_2","new17","p27","2042",53.378250774809
"battery_2","new17","p27","2044",53.378250774809
"battery_2","new17","p27","2046",53.378250774809
"battery_2","new17","p27","2048",53.378250774809
"battery_2","new17","p28","2034",468.801529043768
"battery_2","new17","p28","2036",468.801529043768
"battery_2","new17","p28","2038",468.801529043768
"battery_2","new17","p28","2040",468.801529043768
"battery_2","new17","p28","2042",468.801529043768
"battery_2","new17","p28","2044",468.801529043768
"battery_2","new17","p28","2046",468.801529043768
"battery_2","new17","p28","2048",468.801529043768
"battery_2","new17","p29","2034",123.352
"battery_2","new17","p29","2036",123.352
"battery_2","new17","p29","2038",123.352
"battery_2","new17","p29","2040",123.352
"battery_2","new17","p29","2042",123.352
"battery_2","new17","p29","2044",123.352
"battery_2","new17","p29","2046",123.352
"battery_2","new17","p29","2048",123.352
"battery_2","new17","p30","2034",57.001
"battery_2","new17","p30","2036",57.001
"battery_2","new17","p30","2038",57.001
"battery_2","new17","p30","2040",57.001
"battery_2","new17","p30","2042",57.001
"battery_2","new17","p30","2044",57.001
"battery_2","new17","p30","2046",57.001
"battery_2","new17","p30","2048",57.001
"battery_2","new17","p33","2034",20.2223895393267
"battery_2","new17","p33","2036",20.2223895393267
"battery_2","new17","p33","2038",20.2223895393267
"battery_2","new17","p33","2040",20.2223895393267
"battery_2","new17","p33","2042",20.2223895393267
"battery_2","new17","p33","2044",20.2223895393267
"battery_2","new17","p33","2046",20.2223895393267
"battery_2","new17","p33","2048",20.2223895393267
"battery_2","new17","p34","2034",15.2777475181396
"battery_2","new17","p34","2036",15.2777475181396
"battery_2","new17","p34","2038",15.2777475181396
"battery_2","new17","p34","2040",15.2777475181396
"battery_2","new17","p34","2042",15.2777475181396
"battery_2","new17","p34","2044",15.2777475181396
"battery_2","new17","p34","2046",15.2777475181396
"battery_2","new17","p34","2048",15.2777475181396
"battery_2","new19","p23","2036",7.6892278136317
"battery_2","new19","p23","2038",7.6892278136317
"battery_2","new19","p23","2040",7.6892278136317
"battery_2","new19","p23","2042",7.6892278136317
"battery_2","new19","p23","2044",7.6892278136317
"battery_2","new19","p23","2046",7.6892278136317
"battery_2","new19","p23","2048",7.6892278136317
"battery_2","new19","p23","2050",7.6892278136317
"battery_2","new19","p28","2036",271.424836228097
"battery_2","new19","p28","2038",271.424836228097
"battery_2","new19","p28","2040",271.424836228097
"battery_2","new19","p28","2042",271.424836228097
"battery_2","new19","p28","2044",271.424836228097
"battery_2","new19","p28","2046",271.424836228097
"battery_2","new19","p28","2048",271.424836228097
"battery_2","new19","p28","2050",271.424836228097
"battery_2","new19","p29","2036",63.274
"battery_2","new19","p29","2038",63.274
"battery_2","new19","p29","2040",63.274
"battery_2","new19","p29","2042",63.274
"battery_2","new19","p29","2044",63.274
"battery_2","new19","p29","2046",63.274
"battery_2","new19","p29","2048",63.274
"battery_2","new19","p29","2050",63.274
"battery_2","new19","p31","2036",428.483035299306
"battery_2","new19","p31","2038",428.483035299306
"battery_2","new19","p31","2040",428.483035299306
"battery_2","new19","p31","2042",428.483035299306
"battery_2","new19","p31","2044",428.483035299306
"battery_2","new19","p31","2046",428.483035299306
"battery_2","new19","p31","2048",428.483035299306
"battery_2","new19","p31","2050",428.483035299306
"battery_2","new19","p32","2036",32.0900789775405
"battery_2","new19","p32","2038",32.0900789775405
"battery_2","new19","p32","2040",32.0900789775405
"battery_2","new19","p32","2042",32.0900789775405
"battery_2","new19","p32","2044",32.0900789775405
"battery_2","new19","p32","2046",32.0900789775405
"battery_2","new19","p32","2048",32.0900789775405
"battery_2","new19","p32","2050",32.0900789775405
"battery_2","new19","p33","2036",124.24807818133
"battery_2","new19","p33","2038",124.24807818133
"battery_2","new19","p33","2040",124.24807818133
"battery_2","new19","p33","2042",124.24807818133
"battery_2","new19","p33","2044",124.24807818133
"battery_2","new19","p33","2046",124.24807818133
"battery_2","new19","p33","2048",124.24807818133
"battery_2","new19","p33","2050",124.24807818133
"battery_2","new19","p34","2036",51.007393764673
"battery_2","new19","p34","2038",51.007393764673
"battery_2","new19","p34","2040",51.007393764673
"battery_2","new19","p34","2042",51.007393764673
"battery_2","new19","p34","2044",51.007393764673
"battery_2","new19","p34","2046",51.007393764673
"battery_2","new19","p34","2048",51.007393764673
"battery_2","new19","p34","2050",51.007393764673
"battery_2","new19","p59","2036",48.3233497354168
"battery_2","new19","p59","2038",48.3233497354168
"battery_2","new19","p59","2040",48.3233497354168
"battery_2","new19","p59","2042",48.3233497354168
"battery_2","new19","p59","2044",48.3233497354168
"battery_2","new19","p59","2046",48.3233497354168
"battery_2","new19","p59","2048",48.3233497354168
"battery_2","new19","p59","2050",48.3233497354168
"battery_2","new21","p4","2038",64.86775
"battery_2","new21","p4","2040",64.86775
"battery_2","new21","p4","2042",64.86775
"battery_2","new21","p4","2044",64.86775
"battery_2","new21","p4","2046",64.86775
"battery_2","new21","p4","2048",64.86775
"battery_2","new21","p4","2050",64.86775
"battery_2","new21","p6","2038",5.86729424127214
"battery_2","new21","p6","2040",5.86729424127214
"battery_2","new21","p6","2042",5.86729424127214
"battery_2","new21","p6","2044",5.86729424127214
"battery_2","new21","p6","2046",5.86729424127214
"battery_2","new21","p6","2048",5.86729424127214
"battery_2","new21","p6","2050",5.86729424127214
"battery_2","new21","p8","2038",2.92292335239815
"battery_2","new21","p8","2040",2.92292335239815
"battery_2","new21","p8","2042",2.92292335239815
"battery_2","new21","p8","2044",2.92292335239815
"battery_2","new21","p8","2046",2.92292335239815
"battery_2","new21","p8","2048",2.92292335239815
"battery_2","new21","p8","2050",2.92292335239815
"battery_2","new21","p9","2038",379.662333140409
"battery_2","new21","p9","2040",379.662333140409
"battery_2","new21","p9","2042",379.662333140409
"battery_2","new21","p9","2044",379.662333140409
"battery_2","new21","p9","2046",379.662333140409
"battery_2","new21","p9","2048",379.662333140409
"battery_2","new21","p9","2050",379.662333140409
"battery_2","new21","p10","2038",1412.53947599496
"battery_2","new21","p10","2040",1412.53947599496
"battery_2","new21","p10","2042",1412.53947599496
"battery_2","new21","p10","2044",1412.53947599496
