"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","new1","p1","2016","IN",335.37864309906
"battery_2","new1","p1","2016","out",156.8
"battery_2","new1","p1","2018","IN",240.129542306343
"battery_2","new1","p1","2020","IN",519.836896803543
"battery_2","new1","p1","2020","out",243.04
"battery_2","new1","p1","2022","IN",519.811019594934
"battery_2","new1","p1","2022","out",243.04
"battery_2","new1","p1","2024","IN",239.41127559433
"battery_2","new1","p1","2026","IN",1613.04462189742
"battery_2","new1","p1","2026","out",1230.28127
"battery_2","new1","p1","2028","IN",1564.59601527863
"battery_2","new1","p1","2028","out",1182.75548851262
"battery_2","new1","p1","2030","IN",1743.46450752956
"battery_2","new1","p1","2030","out",1339.428
"battery_2","new1","p1","2032","IN",886.609736003395
"battery_2","new1","p1","2032","out",701.879031374696
"battery_2","new1","p3","2014","IN",199.944653165592
"battery_2","new1","p3","2014","out",94.08
"battery_2","new1","p3","2016","IN",201.227185859436
"battery_2","new1","p3","2016","out",94.08
"battery_2","new1","p3","2018","IN",92.9533712153584
"battery_2","new1","p3","2020","IN",201.227185859436
"battery_2","new1","p3","2020","out",94.08
"battery_2","new1","p3","2022","IN",201.215397907717
"battery_2","new1","p3","2022","out",94.08
"battery_2","new1","p3","2024","IN",106.064331251303
"battery_2","new1","p3","2024","out",11.5980856754705
"battery_2","new1","p3","2026","IN",640.728132182058
"battery_2","new1","p3","2026","out",489.268600289129
"battery_2","new1","p3","2028","IN",675.213872032647
"battery_2","new1","p3","2028","out",517.818876035645
"battery_2","new1","p5","2014","IN",416.462543192056
"battery_2","new1","p5","2014","out",196
"battery_2","new1","p5","2016","IN",419.223303873825
"battery_2","new1","p5","2016","out",196
"battery_2","new1","p5","2018","IN",193.652856698663
"battery_2","new1","p5","2020","IN",419.223303873825
"battery_2","new1","p5","2020","out",196
"battery_2","new1","p5","2022","IN",418.973059633917
"battery_2","new1","p5","2022","out",196
"battery_2","new1","p5","2024","IN",285.642482932005
"battery_2","new1","p5","2024","out",79.7930402690709
"battery_2","new1","p5","2026","IN",1334.06661859796
"battery_2","new1","p5","2026","out",1013.94838404916
"battery_2","new1","p5","2028","IN",1483.39583521732
"battery_2","new1","p5","2028","out",1145.90316711241
"battery_2","new1","p28","2018","IN",167.68932154953
"battery_2","new1","p28","2018","out",78.4
"battery_2","new1","p28","2020","IN",167.600212774791
"battery_2","new1","p28","2020","out",78.4
"battery_2","new1","p28","2022","IN",76.2211768875248
"battery_2","new1","p28","2024","IN",505.370812140507
"battery_2","new1","p28","2024","out",368
"battery_2","new1","p28","2026","IN",1482.74676520609
"battery_2","new1","p28","2026","out",1224.91077830324
"battery_2","new1","p28","2028","IN",1451.33530771621
"battery_2","new1","p28","2028","out",1216
"battery_2","new1","p28","2030","IN",3153.73917278038
"battery_2","new1","p28","2030","out",2676.51011764711
"battery_2","new1","p28","2032","IN",2584.15595063502
"battery_2","new1","p28","2032","out",2196.51011764706
"battery_2","new1","p30","2018","IN",838.44660774765
"battery_2","new1","p30","2018","out",392
"battery_2","new1","p30","2020","IN",832.657177649603
"battery_2","new1","p30","2020","out",392
"battery_2","new1","p30","2022","IN",3191.34131374973
"battery_2","new1","p30","2022","out",2425.5247196187
"battery_2","new1","p30","2024","IN",4638.48091226303
"battery_2","new1","p30","2024","out",3701.50027493016
"battery_2","new1","p30","2026","IN",5658.97114466184
"battery_2","new1","p30","2026","out",4658.69131744947
"battery_2","new1","p30","2028","IN",8358.2661978823
"battery_2","new1","p30","2028","out",7073.40374041845
"battery_2","new1","p30","2030","IN",9397.303323139
"battery_2","new1","p30","2030","out",7851.60978478407
"battery_2","new1","p30","2032","IN",10830.6434753631
"battery_2","new1","p30","2032","out",9178.94111897209
"battery_2","new1","p31","2012","IN",150.920389394577
"battery_2","new1","p31","2012","out",70.56
"battery_2","new1","p31","2014","IN",149.766747612871
"battery_2","new1","p31","2014","out",70.56
"battery_2","new1","p31","2016","IN",149.958489874194
"battery_2","new1","p31","2016","out",70.56
"battery_2","new1","p31","2018","IN",234.765050169342
"battery_2","new1","p31","2018","out",109.76
"battery_2","new1","p31","2020","IN",234.640297884707
"battery_2","new1","p31","2020","out",109.76
"battery_2","new1","p31","2022","IN",310.836593809983
"battery_2","new1","p31","2022","out",177.214691762268
"battery_2","new1","p31","2024","IN",1049.67125543365
"battery_2","new1","p31","2024","out",818.543375479603
"battery_2","new1","p31","2026","IN",1544.25737778887
"battery_2","new1","p31","2026","out",1256.79375075147
"battery_2","new1","p31","2028","IN",1740.98394005142
"battery_2","new1","p31","2028","out",1475.74228108108
"battery_2","new1","p31","2030","IN",1529.56665577437
"battery_2","new1","p31","2030","out",1293.36775135135
"battery_2","new1","p31","2032","IN",859.281972109713
"battery_2","new1","p31","2032","out",722.39827027027
"battery_2","new1","p33","2018","IN",335.37864309906
"battery_2","new1","p33","2018","out",156.8
"battery_2","new1","p33","2020","IN",335.271479605256
"battery_2","new1","p33","2020","out",156.8
"battery_2","new1","p33","2022","IN",152.551056444632
"battery_2","new1","p33","2024","IN",155.496397771217
"battery_2","new1","p33","2024","out",0.878570714230537
"battery_2","new1","p33","2026","IN",5051.67344676439
"battery_2","new1","p33","2026","out",4212.2384682736
"battery_2","new1","p33","2028","IN",5569.93991572979
"battery_2","new1","p33","2028","out",4685.4710054054
"battery_2","new1","p33","2030","IN",5366.14228184005
"battery_2","new1","p33","2030","out",4509.51424864865
"battery_2","new1","p33","2032","IN",6212.79454204228
