"Dim1","Dim2","Val"
"inv_converter_costs","2026",150333.185533482
"inv_converter_costs","2028",7279595.53662841
"inv_converter_costs","2030",4227575.79821544
"inv_converter_costs","2036",560140.860369885
"inv_converter_costs","2042",19432947.1186813
"inv_converter_costs","2044",122847455.097249
"inv_converter_costs","2046",109999882.943463
"inv_converter_costs","2048",15878249.4980745
"inv_converter_costs","2050",54254817.6025797
"inv_investment_capacity_costs","2010",8183853744.85465
"inv_investment_capacity_costs","2012",23814351459.3218
"inv_investment_capacity_costs","2014",59703692621.0779
"inv_investment_capacity_costs","2016",17715249587.532
"inv_investment_capacity_costs","2018",6970765368.03468
"inv_investment_capacity_costs","2020",16561613980.7491
"inv_investment_capacity_costs","2022",30810277759.6003
"inv_investment_capacity_costs","2024",37221037734.7884
"inv_investment_capacity_costs","2026",13696083736.72
"inv_investment_capacity_costs","2028",20998576370.5664
"inv_investment_capacity_costs","2030",34723779999.7402
"inv_investment_capacity_costs","2032",18246710666.0663
"inv_investment_capacity_costs","2034",17739322029.2351
"inv_investment_capacity_costs","2036",22829714650.2237
"inv_investment_capacity_costs","2038",28243249848.6685
"inv_investment_capacity_costs","2040",26383349529.0355
"inv_investment_capacity_costs","2042",26410798343.3544
"inv_investment_capacity_costs","2044",19407009537.1952
"inv_investment_capacity_costs","2046",22003544926.7848
"inv_investment_capacity_costs","2048",19119370230.3328
"inv_investment_capacity_costs","2050",24596367653.0329
"inv_investment_refurbishment_capacity","2016",144422612.19306
"inv_investment_refurbishment_capacity","2020",23036591.484
"inv_investment_refurbishment_capacity","2022",231316265.645408
"inv_investment_refurbishment_capacity","2024",189875559.183828
"inv_investment_refurbishment_capacity","2030",47156225.348028
"inv_investment_refurbishment_capacity","2032",195201200.503148
"inv_investment_refurbishment_capacity","2034",324983799.559504
"inv_investment_refurbishment_capacity","2036",178013056.15878
"inv_investment_refurbishment_capacity","2038",1528084357.81655
"inv_investment_refurbishment_capacity","2040",1742328457.71507
"inv_investment_refurbishment_capacity","2042",1213663318.1844
"inv_investment_refurbishment_capacity","2044",4462907356.98337
"inv_investment_refurbishment_capacity","2046",2405933021.25926
"inv_investment_refurbishment_capacity","2048",3679237685.2474
"inv_investment_refurbishment_capacity","2050",2415881498.12933
"inv_investment_spurline_costs_rsc_technologies","2010",172951969.978775
"inv_investment_spurline_costs_rsc_technologies","2012",1044141862.2587
"inv_investment_spurline_costs_rsc_technologies","2014",534586099.185541
"inv_investment_spurline_costs_rsc_technologies","2016",567597351.632098
"inv_investment_spurline_costs_rsc_technologies","2018",375934723.406855
"inv_investment_spurline_costs_rsc_technologies","2020",620070300.193693
"inv_investment_spurline_costs_rsc_technologies","2022",1705606247.37417
"inv_investment_spurline_costs_rsc_technologies","2024",3475094254.10265
"inv_investment_spurline_costs_rsc_technologies","2026",957885568.061699
"inv_investment_spurline_costs_rsc_technologies","2028",1755684306.18295
"inv_investment_spurline_costs_rsc_technologies","2030",3772985832.67885
"inv_investment_spurline_costs_rsc_technologies","2032",1375278270.07298
"inv_investment_spurline_costs_rsc_technologies","2034",1793339481.11613
"inv_investment_spurline_costs_rsc_technologies","2036",2934056471.11782
"inv_investment_spurline_costs_rsc_technologies","2038",3803096703.57045
"inv_investment_spurline_costs_rsc_technologies","2040",3596856925.60162
"inv_investment_spurline_costs_rsc_technologies","2042",3366215027.81289
"inv_investment_spurline_costs_rsc_technologies","2044",2528238095.92617
"inv_investment_spurline_costs_rsc_technologies","2046",2083057295.48459
"inv_investment_spurline_costs_rsc_technologies","2048",1090357739.47497
"inv_investment_spurline_costs_rsc_technologies","2050",2106067575.69147
"inv_itc_payments_negative","2010",-164628111.037133
"inv_itc_payments_negative","2012",-1713612930.77706
"inv_itc_payments_negative","2014",-4954567990.85578
"inv_itc_payments_negative","2016",-3353216142.49205
"inv_itc_payments_negative","2018",-786827667.825086
"inv_itc_payments_negative","2020",-1012605330.95575
"inv_itc_payments_negative","2022",-1183341642.94853
"inv_itc_payments_negative","2024",-977137050.004484
"inv_itc_payments_negative","2026",-921268181.816425
"inv_itc_payments_negative","2028",-3864855857.65501
"inv_itc_payments_negative","2030",-5964534880.60902
"inv_itc_payments_negative","2032",-5312212263.98723
"inv_itc_payments_negative","2034",-4553142366.07168
"inv_itc_payments_negative","2036",-5156811914.45204
