"Dim1","Dim2","Dim3","Dim4","Val"
"inv_investment_capacity_costs","battery_2","p1","2016",10825451.94
"inv_investment_capacity_costs","battery_2","p1","2018",2185526.4552
"inv_investment_capacity_costs","battery_2","p1","2022",889938.203
"inv_investment_capacity_costs","battery_2","p3","2014",6416680.6944
"inv_investment_capacity_costs","battery_2","p4","2038",16747841.7617775
"inv_investment_capacity_costs","battery_2","p5","2014",13522183.74
"inv_investment_capacity_costs","battery_2","p5","2040",49860996.0065672
"inv_investment_capacity_costs","battery_2","p6","2022",1121257.34875
"inv_investment_capacity_costs","battery_2","p6","2038",1546146.94940022
"inv_investment_capacity_costs","battery_2","p6","2040",487812.81108
"inv_investment_capacity_costs","battery_2","p6","2046",421204.241227352
"inv_investment_capacity_costs","battery_2","p8","2038",775260.008686405
"inv_investment_capacity_costs","battery_2","p8","2046",68388814.5852105
"inv_investment_capacity_costs","battery_2","p8","2048",3431949.16638813
"inv_investment_capacity_costs","battery_2","p8","2050",2248364.92425309
"inv_investment_capacity_costs","battery_2","p9","2024",198606719.683088
"inv_investment_capacity_costs","battery_2","p9","2026",325104875.04379
"inv_investment_capacity_costs","battery_2","p9","2030",50483254.7983643
"inv_investment_capacity_costs","battery_2","p9","2032",615761587.011331
"inv_investment_capacity_costs","battery_2","p9","2038",102291051.077673
"inv_investment_capacity_costs","battery_2","p9","2040",117892345.63278
"inv_investment_capacity_costs","battery_2","p9","2044",189394232.635253
"inv_investment_capacity_costs","battery_2","p9","2046",275647100.714306
"inv_investment_capacity_costs","battery_2","p9","2048",318085854.181417
"inv_investment_capacity_costs","battery_2","p9","2050",120128287.943219
"inv_investment_capacity_costs","battery_2","p10","2024",57713279.0535458
"inv_investment_capacity_costs","battery_2","p10","2026",85948777.6509349
"inv_investment_capacity_costs","battery_2","p10","2030",67883133.3729995
"inv_investment_capacity_costs","battery_2","p10","2032",550165708.792112
"inv_investment_capacity_costs","battery_2","p10","2038",377345631.762713
"inv_investment_capacity_costs","battery_2","p10","2040",367080294.51526
"inv_investment_capacity_costs","battery_2","p10","2044",438698644.797657
"inv_investment_capacity_costs","battery_2","p10","2048",716103020.389254
"inv_investment_capacity_costs","battery_2","p11","2024",132238766.389606
"inv_investment_capacity_costs","battery_2","p11","2026",2178187.51799714
"inv_investment_capacity_costs","battery_2","p11","2038",57848520.7272767
"inv_investment_capacity_costs","battery_2","p11","2040",34667165.4078619
"inv_investment_capacity_costs","battery_2","p11","2044",61439519.2449058
"inv_investment_capacity_costs","battery_2","p11","2046",10512972.2966945
"inv_investment_capacity_costs","battery_2","p12","2022",89347204.1
"inv_investment_capacity_costs","battery_2","p12","2044",38292875.3526906
"inv_investment_capacity_costs","battery_2","p12","2046",126551529.714199
"inv_investment_capacity_costs","battery_2","p12","2048",132379895.850841
"inv_investment_capacity_costs","battery_2","p13","2022",88934923
"inv_investment_capacity_costs","battery_2","p13","2038",137790532.363489
"inv_investment_capacity_costs","battery_2","p13","2044",105857763.321645
"inv_investment_capacity_costs","battery_2","p13","2046",90456760.9275161
"inv_investment_capacity_costs","battery_2","p13","2050",104176918.787364
"inv_investment_capacity_costs","battery_2","p18","2022",174807186.4
"inv_investment_capacity_costs","battery_2","p21","2046",14731930.2592164
"inv_investment_capacity_costs","battery_2","p23","2022",3026.61823973101
"inv_investment_capacity_costs","battery_2","p23","2036",1984635.19585932
"inv_investment_capacity_costs","battery_2","p24","2046",1702387.54172843
"inv_investment_capacity_costs","battery_2","p24","2048",109144531.609445
"inv_investment_capacity_costs","battery_2","p25","2040",235371.665400375
