"Dim1","Val"
"2010",-164628111.037133
"2012",-1713612930.77706
"2014",-4954567990.85578
"2016",-3353216142.49205
"2018",-786827667.825086
"2020",-1012605330.95575
"2022",-1183341642.94853
"2024",-977137050.004484
"2026",-921268181.816425
"2028",-3864855857.65501
"2030",-5964534880.60902
"2032",-5312212263.98723
"2034",-4553142366.07168
"2036",-5156811914.45204
"2038",-7612440357.43581
"2040",-7042484948.63981
"2042",-6026446208.71774
"2044",-3608407164.32625
"2046",-734043488.288994
"2048",-42284.2889943421
"2050",-42284.2889943421
