"Dim1","Val"
"2010",-58574828.6351684
"2012",-298424818.797083
"2014",-332203522.363247
"2016",-362136076.180217
"2018",-420537541.839532
"2020",-620730076.097056
"2022",-1316812581.49611
"2024",-2911269132.1783
"2026",-3368061554.54815
"2028",-3653594464.81203
"2030",-4831895178.56801
"2032",-4447552780.5301
"2034",-3322209314.9743
"2036",-3493784113.64691
"2038",-3588580194.55532
"2040",-3021629900.45572
"2042",-3347743592.43533
"2044",-3548167346.86321
"2046",-3676449339.6585
"2048",-3694510751.95638
"2050",-4165517370.31727
