"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",4588.725
"p1","p2","AC","2012",4588.725
"p1","p2","AC","2014",4588.725
"p1","p2","AC","2016",4588.725
"p1","p2","AC","2018",4588.725
"p1","p2","AC","2020",4588.725
"p1","p2","AC","2022",4588.725
"p1","p2","AC","2024",4600.12595030791
"p1","p2","AC","2026",4600.61174905482
"p1","p2","AC","2028",4600.67743964717
"p1","p2","AC","2030",4776.65527042211
"p1","p2","AC","2032",4778.62088409877
"p1","p2","AC","2034",4783.43600414353
"p1","p2","AC","2036",4805.6763677473
"p1","p2","AC","2038",4847.13281378183
"p1","p2","AC","2040",4850.88047777502
"p1","p2","AC","2042",4870.0873170753
"p1","p2","AC","2044",4873.93047503414
"p1","p2","AC","2046",4887.14072015942
"p1","p2","AC","2048",4896.79461598442
"p1","p2","AC","2050",4901.03783901801
"p1","p4","AC","2010",7454.499
"p1","p4","AC","2012",7454.499
"p1","p4","AC","2014",7454.499
"p1","p4","AC","2016",7454.499
"p1","p4","AC","2018",7454.499
"p1","p4","AC","2020",7454.499
"p1","p4","AC","2022",7454.499
"p1","p4","AC","2024",7454.499
"p1","p4","AC","2026",7454.5477761055
"p1","p4","AC","2028",7456.36025888473
"p1","p4","AC","2030",7499.17588096954
"p1","p4","AC","2032",7502.07404006373
"p1","p4","AC","2034",7502.14124384606
"p1","p4","AC","2036",7538.34648855557
"p1","p4","AC","2038",7541.84290772466
"p1","p4","AC","2040",7541.84290772466
"p1","p4","AC","2042",7568.18668073778
"p1","p4","AC","2044",7569.03180913253
"p1","p4","AC","2046",7569.43508380216
"p1","p4","AC","2048",7595.81982614852
"p1","p4","AC","2050",7620.5415920482
"p2","p1","AC","2010",9226.461
"p2","p1","AC","2012",9226.461
"p2","p1","AC","2014",9226.461
"p2","p1","AC","2016",9226.461
"p2","p1","AC","2018",9226.461
"p2","p1","AC","2020",9226.461
"p2","p1","AC","2022",9226.461
"p2","p1","AC","2024",9237.8619503079
"p2","p1","AC","2026",9238.34774905482
"p2","p1","AC","2028",9238.41343964717
"p2","p1","AC","2030",9414.39127042211
"p2","p1","AC","2032",9416.35688409877
"p2","p1","AC","2034",9421.17200414353
"p2","p1","AC","2036",9443.41236774729
"p2","p1","AC","2038",9484.86881378183
"p2","p1","AC","2040",9488.61647777502
"p2","p1","AC","2042",9507.8233170753
"p2","p1","AC","2044",9511.66647503414
"p2","p1","AC","2046",9524.87672015942
"p2","p1","AC","2048",9534.53061598442
"p2","p1","AC","2050",9538.77383901801
"p2","p3","AC","2010",1524.944
"p2","p3","AC","2012",1524.944
"p2","p3","AC","2014",1524.944
"p2","p3","AC","2016",1524.944
"p2","p3","AC","2018",1524.944
"p2","p3","AC","2020",1524.944
"p2","p3","AC","2022",1524.944
"p2","p3","AC","2024",1524.944
"p2","p3","AC","2026",1524.944
"p2","p3","AC","2028",1524.944
"p2","p3","AC","2030",1524.944
"p2","p3","AC","2032",1524.944
"p2","p3","AC","2034",1524.944
"p2","p3","AC","2036",1524.944
"p2","p3","AC","2038",1524.944
"p2","p3","AC","2040",1524.944
"p2","p3","AC","2042",1524.944
"p2","p3","AC","2044",1524.944
"p2","p3","AC","2046",1524.944
"p2","p3","AC","2048",1524.944
"p2","p3","AC","2050",1524.944
"p2","p4","AC","2010",8328.09
"p2","p4","AC","2012",8328.09
"p2","p4","AC","2014",8328.09
"p2","p4","AC","2016",8328.09
"p2","p4","AC","2018",8328.09
"p2","p4","AC","2020",8328.09
"p2","p4","AC","2022",8328.09
"p2","p4","AC","2024",8328.09
"p2","p4","AC","2026",8328.09
"p2","p4","AC","2028",8328.20606582094
"p2","p4","AC","2030",9131.59658170592
"p2","p4","AC","2032",9160.55853766104
"p2","p4","AC","2034",9555.27983697502
"p2","p4","AC","2036",9636.00194556299
"p2","p4","AC","2038",10083.2533789922
"p2","p4","AC","2040",10342.7924170146
"p2","p4","AC","2042",10489.3775935851
"p2","p4","AC","2044",11196.7604651904
"p2","p4","AC","2046",11821.7444157318
"p2","p4","AC","2048",12288.0021024048
"p2","p4","AC","2050",12749.8292976151
"p2","p5","AC","2010",26128.447
"p2","p5","AC","2012",26128.447
"p2","p5","AC","2014",26128.447
"p2","p5","AC","2016",26128.447
"p2","p5","AC","2018",26128.447
"p2","p5","AC","2020",26128.447
"p2","p5","AC","2022",26128.447
"p2","p5","AC","2024",26128.447
"p2","p5","AC","2026",26128.447
"p2","p5","AC","2028",26128.5067127484
"p2","p5","AC","2030",26144.8547934997
"p2","p5","AC","2032",26159.2529428757
"p2","p5","AC","2034",26174.5605723319
"p2","p5","AC","2036",26204.4062329309
"p2","p5","AC","2038",26543.7832802154
"p2","p5","AC","2040",26640.0717294025
"p2","p5","AC","2042",26860.6178489785
"p2","p5","AC","2044",27648.5615145897
"p2","p5","AC","2046",28273.545465131
"p2","p5","AC","2048",28365.5919704246
"p2","p5","AC","2050",28714.8728244333
"p2","p14","AC","2010",3679.012
"p2","p14","AC","2012",3679.012
"p2","p14","AC","2014",3679.012
"p2","p14","AC","2016",3679.012
"p2","p14","AC","2018",3679.012
"p2","p14","AC","2020",3679.012
"p2","p14","AC","2022",3679.012
"p2","p14","AC","2024",3679.012
"p2","p14","AC","2026",3679.012
"p2","p14","AC","2028",3679.012
"p2","p14","AC","2030",3712.59023561479
"p2","p14","AC","2032",3712.59023561479
"p2","p14","AC","2034",3712.59023561479
"p2","p14","AC","2036",3712.7246860062
"p2","p14","AC","2038",3712.7246860062
"p2","p14","AC","2040",3712.7246860062
"p2","p14","AC","2042",3712.7246860062
