"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",2927.071
"p1","p2","AC","2012",2927.071
"p1","p2","AC","2014",2927.071
"p1","p2","AC","2016",2927.071
"p1","p2","AC","2018",2927.071
"p1","p2","AC","2020",2927.071
"p1","p2","AC","2022",2927.071
"p1","p2","AC","2024",2936.76180776172
"p1","p2","AC","2026",2937.1747366966
"p1","p2","AC","2028",2937.23057370009
"p1","p2","AC","2030",3086.81172985879
"p1","p2","AC","2032",3088.48250148395
"p1","p2","AC","2034",3092.575353522
"p1","p2","AC","2036",3111.4796625852
"p1","p2","AC","2038",3146.71764171455
"p1","p2","AC","2040",3149.90315610877
"p1","p2","AC","2042",3166.22896951401
"p1","p2","AC","2044",3169.49565377902
"p1","p2","AC","2046",3180.72436213551
"p1","p2","AC","2048",3188.93017358676
"p1","p2","AC","2050",3192.53691316531
"p1","p4","AC","2010",7295.905
"p1","p4","AC","2012",7295.905
"p1","p4","AC","2014",7295.905
"p1","p4","AC","2016",7295.905
"p1","p4","AC","2018",7295.905
"p1","p4","AC","2020",7295.905
"p1","p4","AC","2022",7295.905
"p1","p4","AC","2024",7295.905
"p1","p4","AC","2026",7295.94645968968
"p1","p4","AC","2028",7297.48707005202
"p1","p4","AC","2030",7333.88034882411
"p1","p4","AC","2032",7336.34378405417
"p1","p4","AC","2034",7336.40090726915
"p1","p4","AC","2036",7367.17536527223
"p1","p4","AC","2038",7370.14732156596
"p1","p4","AC","2040",7370.14732156596
"p1","p4","AC","2042",7392.53952862712
"p1","p4","AC","2044",7393.25788776265
"p1","p4","AC","2046",7393.60067123184
"p1","p4","AC","2048",7416.02770222624
"p1","p4","AC","2050",7437.04120324097
"p2","p1","AC","2010",5092.371
"p2","p1","AC","2012",5092.371
"p2","p1","AC","2014",5092.371
"p2","p1","AC","2016",5092.371
"p2","p1","AC","2018",5092.371
"p2","p1","AC","2020",5092.371
"p2","p1","AC","2022",5092.371
"p2","p1","AC","2024",5102.06180776172
"p2","p1","AC","2026",5102.4747366966
"p2","p1","AC","2028",5102.53057370009
"p2","p1","AC","2030",5252.11172985879
"p2","p1","AC","2032",5253.78250148395
"p2","p1","AC","2034",5257.875353522
"p2","p1","AC","2036",5276.7796625852
"p2","p1","AC","2038",5312.01764171455
"p2","p1","AC","2040",5315.20315610877
"p2","p1","AC","2042",5331.52896951401
"p2","p1","AC","2044",5334.79565377902
"p2","p1","AC","2046",5346.02436213551
"p2","p1","AC","2048",5354.23017358676
"p2","p1","AC","2050",5357.83691316531
"p2","p3","AC","2010",1524.634
"p2","p3","AC","2012",1524.634
"p2","p3","AC","2014",1524.634
"p2","p3","AC","2016",1524.634
"p2","p3","AC","2018",1524.634
"p2","p3","AC","2020",1524.634
"p2","p3","AC","2022",1524.634
"p2","p3","AC","2024",1524.634
"p2","p3","AC","2026",1524.634
"p2","p3","AC","2028",1524.634
"p2","p3","AC","2030",1524.634
"p2","p3","AC","2032",1524.634
"p2","p3","AC","2034",1524.634
"p2","p3","AC","2036",1524.634
"p2","p3","AC","2038",1524.634
"p2","p3","AC","2040",1524.634
"p2","p3","AC","2042",1524.634
"p2","p3","AC","2044",1524.634
"p2","p3","AC","2046",1524.634
"p2","p3","AC","2048",1524.634
"p2","p3","AC","2050",1524.634
"p2","p4","AC","2010",5438.744
"p2","p4","AC","2012",5438.744
"p2","p4","AC","2014",5438.744
"p2","p4","AC","2016",5438.744
"p2","p4","AC","2018",5438.744
"p2","p4","AC","2020",5438.744
"p2","p4","AC","2022",5438.744
"p2","p4","AC","2024",5438.744
"p2","p4","AC","2026",5438.744
"p2","p4","AC","2028",5438.8426559478
"p2","p4","AC","2030",6121.72459445003
"p2","p4","AC","2032",6146.34225701188
"p2","p4","AC","2034",6481.85536142876
"p2","p4","AC","2036",6550.46915372855
"p2","p4","AC","2038",6930.63287214341
"p2","p4","AC","2040",7151.24105446242
"p2","p4","AC","2042",7275.83845454737
"p2","p4","AC","2044",7877.11389541184
"p2","p4","AC","2046",8408.35025337202
"p2","p4","AC","2048",8804.66928704405
"p2","p4","AC","2050",9197.22240297279
"p2","p5","AC","2010",25965.266
"p2","p5","AC","2012",25965.266
"p2","p5","AC","2014",25965.266
"p2","p5","AC","2016",25965.266
"p2","p5","AC","2018",25965.266
"p2","p5","AC","2020",25965.266
"p2","p5","AC","2022",25965.266
"p2","p5","AC","2024",25965.266
"p2","p5","AC","2026",25965.266
"p2","p5","AC","2028",25965.3167558362
"p2","p5","AC","2030",25979.2126244748
"p2","p5","AC","2032",25991.4510514444
"p2","p5","AC","2034",26004.4625364821
"p2","p5","AC","2036",26029.8313479912
"p2","p5","AC","2038",26318.3018381831
"p2","p5","AC","2040",26400.1470199922
"p2","p5","AC","2042",26587.6112216317
"p2","p5","AC","2044",27257.3633374012
"p2","p5","AC","2046",27788.5996953614
"p2","p5","AC","2048",27866.8392248609
"p2","p5","AC","2050",28163.7279507683
"p2","p14","AC","2010",491.728
"p2","p14","AC","2012",491.728
"p2","p14","AC","2014",491.728
"p2","p14","AC","2016",491.728
"p2","p14","AC","2018",491.728
"p2","p14","AC","2020",491.728
"p2","p14","AC","2022",491.728
"p2","p14","AC","2024",491.728
"p2","p14","AC","2026",491.728
"p2","p14","AC","2028",491.728
"p2","p14","AC","2030",520.269500272571
"p2","p14","AC","2032",520.269500272571
"p2","p14","AC","2034",520.269500272571
"p2","p14","AC","2036",520.383783105271
"p2","p14","AC","2038",520.383783105271
"p2","p14","AC","2040",520.383783105271
"p2","p14","AC","2042",520.383783105271
"p2","p14","AC","2044",520.383783105271
"p2","p14","AC","2046",520.383783105271
"p2","p14","AC","2048",520.383783105271
"p2","p14","AC","2050",520.416455700494
"p3","p2","AC","2010",1358.824
"p3","p2","AC","2012",1358.824
