"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",6808134.39269217
"p1","p2","AC","2012",3949314.13451594
"p1","p2","AC","2014",3612439.07798413
"p1","p2","AC","2016",7764587.3278809
"p1","p2","AC","2018",2203940.64589576
"p1","p2","AC","2020",4873789.68289352
"p1","p2","AC","2022",1060313.65656898
"p1","p2","AC","2024",4257287.62884987
"p1","p2","AC","2026",5843808.13920903
"p1","p2","AC","2028",6161141.29213277
"p1","p2","AC","2030",6611290.86109435
"p1","p2","AC","2032",9623158.15314707
"p1","p2","AC","2034",8297279.62743584
"p1","p2","AC","2036",8476487.80553193
"p1","p2","AC","2038",9813419.59853493
"p1","p2","AC","2040",11614181.5096556
"p1","p2","AC","2042",9975296.52402253
"p1","p2","AC","2044",11108004.6077812
"p1","p2","AC","2046",18568697.6421468
"p1","p2","AC","2048",18068463.7225069
"p1","p2","AC","2050",17447617.6827068
"p1","p4","AC","2010",33763090.6256384
"p1","p4","AC","2012",30739598.6556437
"p1","p4","AC","2014",36366894.7028784
"p1","p4","AC","2016",24693600.6193567
"p1","p4","AC","2018",34683016.9437949
"p1","p4","AC","2020",32266176.5701955
"p1","p4","AC","2022",42138145.7136851
"p1","p4","AC","2024",39441793.26214
"p1","p4","AC","2026",39827540.1875886
"p1","p4","AC","2028",41080820.6228434
"p1","p4","AC","2030",39069796.3419169
"p1","p4","AC","2032",38115128.8047854
"p1","p4","AC","2034",41745596.5495407
"p1","p4","AC","2036",43553271.3345045
"p1","p4","AC","2038",45661924.0134163
"p1","p4","AC","2040",47165695.4550803
"p1","p4","AC","2042",51027435.3652432
"p1","p4","AC","2044",57858373.8379018
"p1","p4","AC","2046",50071854.1557238
"p1","p4","AC","2048",51148388.9287306
"p1","p4","AC","2050",54671734.8859482
"p2","p3","AC","2010",9900.40686124361
"p2","p3","AC","2012",3869.9719698749
"p2","p3","AC","2014",35420.2066113132
"p2","p3","AC","2022",1282200.93439116
"p2","p3","AC","2024",2408808.48396123
"p2","p3","AC","2026",2326700.49964727
"p2","p3","AC","2028",2492756.98546464
"p2","p3","AC","2030",3038697.40249417
"p2","p3","AC","2032",2880616.51173016
"p2","p3","AC","2034",606119.527679616
"p2","p3","AC","2036",6304.4162437323
"p2","p3","AC","2042",55703.622054186
"p2","p3","AC","2048",727890.090754334
"p2","p4","AC","2010",5300190.16582575
"p2","p4","AC","2012",10964837.4680594
"p2","p4","AC","2014",11117353.2333788
"p2","p4","AC","2016",2804196.7308345
"p2","p4","AC","2018",6742448.5804773
"p2","p4","AC","2020",4567439.0932657
"p2","p4","AC","2022",12856524.4100292
"p2","p4","AC","2024",15180552.4621685
"p2","p4","AC","2026",16471734.9591817
"p2","p4","AC","2028",15842283.3809416
"p2","p4","AC","2030",22814097.1524945
"p2","p4","AC","2032",22329697.0530839
"p2","p4","AC","2034",21545244.50423
"p2","p4","AC","2036",18205231.6160469
"p2","p4","AC","2038",16558553.5372686
