"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2022",338665.544561657
"p1","p2","AC","2024",327943.020460374
"p1","p2","AC","2026",1141640.08949646
"p1","p2","AC","2028",752015.218020064
"p1","p2","AC","2046",924008.44887708
"p1","p4","AC","2044",2539786.16946652
"p2","p3","AC","2032",982063.936
"p2","p3","AC","2048",428321.551671932
"p2","p4","AC","2030",2299307.686639
"p2","p4","AC","2032",653664.662151237
"p2","p4","AC","2042",1710186.20916983
"p2","p4","AC","2044",574107.388350725
"p2","p4","AC","2046",1837029.44365115
"p2","p4","AC","2048",1647346.41916065
"p2","p4","AC","2050",2793937.11212286
"p2","p5","AC","2010",13088515.117749
"p2","p5","AC","2012",21062225.2105671
"p2","p5","AC","2014",20821684.0154488
"p2","p5","AC","2016",6309646.30153768
"p2","p5","AC","2018",11501797.7892663
"p2","p5","AC","2020",8831094.38980593
"p2","p5","AC","2022",15722137.3749584
"p2","p5","AC","2024",17046022.1089699
"p2","p5","AC","2026",20109368.3479719
"p2","p5","AC","2028",19041980.9322425
"p2","p5","AC","2030",25035068.6018639
"p2","p5","AC","2032",24671070.2329201
"p2","p5","AC","2034",26057092.2235566
"p2","p5","AC","2036",22043912.2826607
"p2","p5","AC","2038",20834208.0361992
"p2","p5","AC","2040",17991075.4547461
"p2","p5","AC","2042",12907847.676462
"p2","p5","AC","2044",9797727.38189585
"p2","p5","AC","2046",7962322.37644641
"p2","p5","AC","2048",11862755.0387231
"p2","p5","AC","2050",13132030.433354
"p2","p14","AC","2016",126736.000936768
"p2","p14","AC","2020",94205.4880594132
"p2","p14","AC","2040",989382.104939341
"p3","p4","AC","2010",539253.636721006
"p3","p4","AC","2014",665435.393395516
"p3","p4","AC","2022",1986290.57185596
"p3","p4","AC","2024",2935287.77359661
"p3","p4","AC","2026",3415682.18952705
"p3","p4","AC","2028",4285166.34423396
"p3","p4","AC","2030",5873725.45813592
"p3","p4","AC","2032",8138771.84205038
"p3","p4","AC","2034",13297025.8354692
"p3","p4","AC","2036",13542044.8765308
"p3","p4","AC","2038",14345983.4547802
"p3","p4","AC","2040",12858963.0654974
"p3","p4","AC","2042",12193326.7207828
