"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",-777.184291403216
"p1","p2","AC","2012",-450.83494686255
"p1","p2","AC","2014",-412.378890180837
"p1","p2","AC","2016",-886.368416424761
"p1","p2","AC","2018",-251.591397933306
"p1","p2","AC","2020",-556.368685261818
"p1","p2","AC","2022",-43.7194711695965
"p1","p2","AC","2024",-411.118902731635
"p1","p2","AC","2026",-406.452963494991
"p1","p2","AC","2028",-531.633659371307
"p1","p2","AC","2030",-754.713568618076
"p1","p2","AC","2032",-1098.53403574738
"p1","p2","AC","2034",-947.178039661626
"p1","p2","AC","2036",-967.635594238805
"p1","p2","AC","2038",-1120.25337882819
"p1","p2","AC","2040",-1325.81980703831
"p1","p2","AC","2042",-1138.73247991125
"p1","p2","AC","2044",-1268.03705568279
"p1","p2","AC","2046",-1908.75350963386
"p1","p2","AC","2048",-2062.61001398481
"p1","p2","AC","2050",-1991.73717839118
"p1","p4","AC","2010",-3854.23408968475
"p1","p4","AC","2012",-3509.08660452553
"p1","p4","AC","2014",-4151.47199804548
"p1","p4","AC","2016",-2818.90418029187
"p1","p4","AC","2018",-3959.24850956563
"p1","p4","AC","2020",-3683.35348974834
"p1","p4","AC","2022",-4810.29060658506
"p1","p4","AC","2024",-4502.48781531278
"p1","p4","AC","2026",-4546.52285246445
"p1","p4","AC","2028",-4689.59139530176
"p1","p4","AC","2030",-4460.02241346083
"p1","p4","AC","2032",-4351.0421010029
"p1","p4","AC","2034",-4765.47905816675
"p1","p4","AC","2036",-4971.83462722654
"p1","p4","AC","2038",-5212.54840335802
"p1","p4","AC","2040",-5384.21180994068
"p1","p4","AC","2042",-5825.04969922868
"p1","p4","AC","2044",-6024.97734006492
"p1","p4","AC","2046",-5715.96508626984
"p1","p4","AC","2048",-5838.85718364504
"p1","p4","AC","2050",-6241.0656262498
"p2","p3","AC","2010",-1.13018343164881
"p2","p3","AC","2012",-0.441777622131838
"p2","p3","AC","2014",-4.04340258120014
"p2","p3","AC","2022",-146.369969679356
"p2","p3","AC","2024",-274.978137438497
"p2","p3","AC","2026",-265.60507986841
"p2","p3","AC","2028",-284.561299710575
"p2","p3","AC","2030",-346.883265124905
"p2","p3","AC","2032",-104.621990836776
"p2","p3","AC","2034",-69.1917269040657
"p2","p3","AC","2036",-0.719682219604143
"p2","p3","AC","2042",-6.35886096508973
"p2","p3","AC","2048",14.6978324873893
"p2","p4","AC","2010",-605.044539477826
"p2","p4","AC","2012",-1251.69377489263
"p2","p4","AC","2014",-1269.10425038571
"p2","p4","AC","2016",-320.113782058733
"p2","p4","AC","2018",-769.685911013391
"p2","p4","AC","2020",-521.397156765491
"p2","p4","AC","2022",-1467.63977283439
"p2","p4","AC","2024",-1732.93977878636
"p2","p4","AC","2026",-1880.33504100247
"p2","p4","AC","2028",-1808.47983800703
"p2","p4","AC","2030",-2079.39289717083
"p2","p4","AC","2032",-2399.81366766911
"p2","p4","AC","2034",-2459.50279728653
"p2","p4","AC","2036",-2078.22278721996
"p2","p4","AC","2038",-1890.24583758774
"p2","p4","AC","2040",-1510.67807654577
"p2","p4","AC","2042",-989.928577158253
"p2","p4","AC","2044",-842.773587514629
"p2","p4","AC","2046",-762.603788184294
"p2","p4","AC","2048",-745.003877295365
"p2","p4","AC","2050",-527.913716073559
"p2","p5","AC","2010",1284.36806462232
"p2","p5","AC","2012",2354.59086065055
"p2","p5","AC","2014",2340.37454530018
"p2","p5","AC","2016",686.015456622844
"p2","p5","AC","2018",1289.20780545585
"p2","p5","AC","2020",990.604826033165
"p2","p5","AC","2022",1665.27104591616
"p2","p5","AC","2024",1514.17427601341
"p2","p5","AC","2026",1839.20898657475
"p2","p5","AC","2028",1664.30681580905
"p2","p5","AC","2030",2335.69311370512
"p2","p5","AC","2032",1881.7441347114
"p2","p5","AC","2034",2528.58083768723
"p2","p5","AC","2036",2118.96420602088
"p2","p5","AC","2038",1961.50595286959
"p2","p5","AC","2040",1426.18738835879
